	GTEX.RTLS.1326.SM.46MUN	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.131YS.1626.SM.5HL6C	GTEX.13QJC.0726.SM.5RQJK	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.RN64.1826.SM.48FDV	GTEX.13SLX.1226.SM.5S2Q6	GTEX.14753.1626.SM.5NQ9L	GTEX.13VXU.0926.SM.5IFFH	TCGA.05.5420.01A.01R.1628.07	TCGA.44.2657.01A.01R.1107.07	TCGA.50.5066.01A.01R.1628.07	TCGA.50.5068.01A.01R.1628.07	TCGA.49.6745.11A.01R.1858.07	TCGA.38.4627.11A.01R.1758.07	TCGA.73.4676.11A.01R.1755.07	TCGA.49.4512.11A.01R.1858.07	TCGA.49.4490.11A.01R.1858.07	TCGA.38.4626.11A.01R.1758.07	GTEX.11WQK.1226.SM.5GU5Z	TCGA.37.4132.01A.01R.1100.07	TCGA.34.5234.01A.01R.1635.07	TCGA.37.4130.01A.01R.1100.07	TCGA.37.4132.01A.01R.1100.07.1	TCGA.33.4587.11A.01R.2125.07	TCGA.39.5040.11A.01R.2125.07	TCGA.56.7582.11A.01R.2045.07	TCGA.85.7710.11A.01R.2125.07
ADK	2384.37	2434.5	1225.22	1277.29	2335.28	1225.22	2148.82	1844.76	4066.71	4769.75	1870.53	1487.87	4869.99	2609.3	1369.04	2384.37	5041.77	3018.3	1340.84	1159.07	2240.11	3589.58	1340.84	934.76	1175.27	1605.83	1313.23	1104.13	1175.27	1417.35	1909.85	1175.27	1417.35	1651.0	1447.15	728.11	842.36
AMD1	155.5	341.51	392.44	346.29	346.29	236.21	389.72	181.28	318.57	371.22	228.13	500.46	381.68	269.6	217.27	351.14	158.79	417.77	1369.04	941.27	1143.1	1051.79	1447.15	1127.35	1081.39	967.76	1745.2	1498.22	1313.23	1794.29	1233.75	1909.85	1794.29	1073.91	1508.65	878.17	1051.79
APOC3	9243449.07	7719092.49	5420519.65	5809569.18	4621724.04	7202167.89	8928583.23	2884719.27	7612821.45	3551506.25	3178687.03	5163792.94	1.24530853E7	5611673.89	3968052.37	1.032758687E7	1.09164457E7	4023444.33	23.93	0.0	0.0	0.0	0.0	10.79	0.0	5.45	9.41	0.0	5.23	0.0	12.36	129266.49	0.0	0.0	0.0	0.0	0.0
ATG10	105.15	140.04	111.21	50.98	84.04	80.57	84.63	117.6	90.14	80.57	81.14	99.43	145.02	58.71	92.7	65.72	57.49	83.45	223.41	113.56	186.4	325.29	144.01	191.67	162.14	242.88	180.02	133.36	285.03	142.01	251.48	104.42	142.01	199.85	189.02	154.42	127.0
BNIP1	169.07	217.27	159.9	220.32	208.38	102.25	194.36	185.11	239.52	208.38	246.28	187.71	162.14	169.07	226.54	167.9	423.61	149.12	651.58	336.79	759.08	480.04	463.65	429.54	389.72	358.54	466.88	285.03	633.73	438.59	718.08	713.11	438.59	417.77	536.45	197.09	221.86
BUD31	1397.83	1388.16	1037.29	1216.75	1417.35	1216.75	1259.69	1059.11	1819.35	1697.45	974.5	2090.03	2193.99	1059.11	1167.14	1651.0	915.51	1008.9	5479.15	2645.74	9409.14	8363.13	3564.78	2777.33	2502.97	3018.3	3395.89	2434.5	3742.05	4066.71	7803.01	5594.3	4066.71	3564.78	3794.3	1806.78	1909.85
BZW1	2855.44	1923.14	1378.57	1639.59	1350.18	1286.18	1909.85	1397.83	2319.15	1733.13	1857.6	3589.58	2018.8	1769.57	1583.71	1561.89	2720.15	2609.3	3847.29	3372.43	4869.99	4903.87	2720.15	2816.11	2240.11	2701.35	3395.89	2451.44	2303.12	2720.15	4181.07	3716.2	2720.15	2417.67	3280.18	2193.99	2384.37
C12orf29	279.14	291.04	267.73	287.01	193.01	289.02	249.73	170.25	273.37	346.29	299.25	209.84	336.79	185.11	265.87	155.5	183.82	409.15	575.03	281.09	819.3	688.78	470.14	389.72	293.07	336.79	529.06	277.2	620.67	547.75	866.07	591.22	547.75	473.41	511.0	232.94	275.28
C19orf10	3349.13	4481.23	2468.49	3081.75	2163.77	1819.35	2119.22	2555.58	4239.45	3589.58	2502.97	5517.27	3190.46	2451.44	2018.8	4802.93	2875.3	2502.97	8718.32	3742.05	7911.95	8598.28	4450.27	4736.79	4066.71	3847.29	3639.7	4704.07	8778.97	4152.18	7081.29	7433.4	4152.18	5403.7	4239.45	2758.13	2855.44
C1orf52	265.87	332.14	287.01	361.04	267.73	406.31	190.34	236.21	189.02	217.27	361.04	397.93	301.33	232.94	320.8	265.87	172.65	327.56	486.75	473.41	1457.23	1350.18	759.08	595.34	500.46	493.56	651.58	555.41	967.76	836.53	1167.14	1175.27	836.53	860.08	753.83	529.06	567.1
