	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.IG.A5B8.01A.11R.A28J.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.VR.A8EX.01A.11R.A36D.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.ZYFC.2226.SM.5NQ96	GTEX.P4PP.0626.SM.3NM9X	GTEX.ZVE2.1326.SM.5NQ94	GTEX.SNOS.0626.SM.4DM5F	GTEX.144GM.1426.SM.5LU31	GTEX.13OVJ.1226.SM.5L3HA	GTEX.13OW8.2326.SM.5L3I9	GTEX.144FL.2726.SM.5O98Z	GTEX.ZZPT.1426.SM.5N9C5	GTEX.13QJ3.1726.SM.5RQK9	GTEX.13W3W.1626.SM.5LU35	GTEX.11TUW.1326.SM.5EQKV	GTEX.WEY5.0926.SM.4LMI4	GTEX.131YS.1426.SM.5IJF7	GTEX.RTLS.1126.SM.46MUQ	GTEX.13G51.0926.SM.5IFFU	GTEX.ZUA1.1226.SM.5NQ6O	TCGA.CV.7180.01A.11R.2016.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.BA.5558.01A.01R.1514.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.CV.7252.11A.01R.2016.07	TCGA.33.4589.01A.01R.1443.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.IN.AB1X.11A.21R.A39E.31	TCGA.IN.AB1V.11A.11R.A414.31	GTEX.RTLS.2426.SM.46MUO	GTEX.ZAK1.2526.SM.5S2N7
AC135178.1	20.11	10.31	21.47	29.91	44.25	20.26	34.26	31.22	157.68	54.33	86.43	29.91	22.1	80.57	68.55	75.64	191.67	82.29	60.39	49.91	22.59	48.52	75.64	104.42	94.67	5.45	2.14	2.29	4.28	4.5	1.51	14.89	0.83	2.18	6.67	5.59	18.56	7.28	8.71	3.32	55.89	40.93	239.52	265.87
AGAP5	64.8	83.45	81.14	100.13	76.71	66.18	59.97	69.03	325.29	144.01	262.2	135.24	123.5	283.05	169.07	212.78	236.21	224.97	166.73	155.5	111.99	176.29	202.66	229.72	190.34	21.94	15.0	4.94	21.63	16.03	14.03	49.56	0.0	5.54	12.83	15.8	25.35	15.0	18.29	6.84	149.12	155.5	155.5	151.22
AL354993.1	11.47	8.38	21.16	18.84	47.17	0.0	52.08	52.45	126.12	92.05	155.5	122.64	69.52	87.03	135.24	63.89	363.56	307.69	56.28	93.35	40.93	125.24	77.79	110.43	82.87	42.41	7.82	48.18	1.62	4.54	36.01	50.63	5.28	17.0	18.16	36.53	107.38	31.0	58.71	6.89	120.94	131.51	256.78	429.54
ANKRD36C	5.68	18.97	26.1	20.11	18.97	35.76	42.11	17.77	122.64	223.41	27.25	84.63	43.02	52.45	43.63	45.85	47.17	146.03	47.84	52.08	52.82	27.64	91.41	113.56	47.17	8.85	2.86	5.28	9.56	4.94	10.39	24.63	9.85	3.86	3.17	5.77	23.93	9.56	11.21	1.38	122.64	50.63	90.77	81.71
AP003733.1	6.73	5.96	8.25	15.34	23.42	4.74	6.52	24.46	17.64	11.73	11.3	2.92	2.1	2.61	17.51	15.8	22.92	40.64	3.76	17.77	4.94	44.25	8.85	17.38	14.89	0.0	0.0	12.09	1.5	1.3	3.41	2.05	1.0	0.68	0.51	1.66	1.71	4.7	3.82	1.08	33.78	7.11	35.25	30.56
ARHGAP12	236.21	158.79	217.27	260.38	224.97	289.02	211.31	163.28	1175.27	607.87	351.14	371.22	318.57	435.55	361.04	379.04	476.71	466.88	251.48	285.03	309.83	423.61	466.88	624.99	473.41	205.5	170.25	134.3	197.09	220.32	120.94	303.44	291.04	161.02	119.26	139.07	224.97	137.14	178.77	147.06	379.04	361.04	525.39	808.0
ARMCX4	11.64	55.49	131.51	149.12	113.56	105.89	65.26	88.26	748.61	136.19	165.57	137.14	91.41	189.02	198.47	177.53	218.79	255.0	171.45	106.63	148.09	149.12	231.32	237.86	186.4	30.12	3.89	39.22	18.84	25.17	49.91	60.82	92.05	3.79	19.82	28.86	50.27	26.28	21.47	13.42	83.45	112.77	1781.89	1977.24
BZRAP1	74.58	31.22	215.77	191.67	128.79	92.05	100.13	197.09	1008.9	447.82	384.34	397.93	191.67	454.09	629.35	212.78	656.11	368.65	361.04	189.02	269.6	400.71	540.19	540.19	406.31	25.17	1.87	7.22	11.82	10.08	2.97	152.28	3.29	2.39	25.72	58.3	87.65	31.45	30.56	18.16	279.14	316.37	2777.33	3639.7
C16orf52	231.32	323.03	181.28	199.85	181.28	124.37	180.02	198.47	373.81	281.09	275.28	153.34	220.32	316.37	195.72	215.77	400.71	447.82	236.21	258.57	211.31	265.87	271.48	271.48	226.54	164.42	147.06	244.57	178.77	169.07	106.63	173.85	265.87	107.38	81.14	127.89	142.01	76.17	84.04	123.5	289.02	198.47	358.54	285.03
DENND6B	96.01	76.17	150.17	228.13	186.4	114.36	125.24	150.17	223.41	209.84	212.78	120.94	104.42	226.54	258.57	157.68	329.84	253.23	148.09	149.12	88.26	204.07	167.9	205.5	228.13	76.17	62.56	59.13	127.0	22.26	34.51	81.14	40.36	25.54	60.82	41.52	85.22	61.68	61.25	19.97	125.24	122.64	836.53	540.19
