	TCGA.BP.4974.01A.01R.1334.07	TCGA.A3.3376.01A.02R.1420.07	TCGA.EM.A3AL.01A.11R.A206.07	TCGA.EL.A4K9.01A.11R.A250.07	TCGA.DJ.A1QL.01A.11R.A14Y.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.EM.A4FH.01A.11R.A250.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.EL.A4KD.01A.11R.A250.07	TCGA.EM.A3SX.01A.11R.A22U.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.EL.A3T0.01A.22R.A22L.07	TCGA.E3.A3DZ.01A.11R.A20F.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.BJ.A0ZG.01A.11R.A10U.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.EM.A1YD.01A.11R.A14Y.07	TCGA.BJ.A0YZ.01A.11R.A10U.07	TCGA.ET.A39L.01A.12R.A19O.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EM.A3AI.01A.11R.A206.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.BJ.A45K.01A.11R.A23W.07	TCGA.EM.A3AP.01A.12R.A20F.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.EL.A3ZH.11A.11R.A23N.07	TCGA.EM.A1CU.11A.11R.A13Y.07	TCGA.EM.A1CW.11A.12R.A13Y.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.11EM3.0126.SM.5985K	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.146FR.0326.SM.5SI8U	GTEX.ZLWG.0526.SM.4WWFB	GTEX.117YW.0126.SM.5EGGN	GTEX.WY7C.0226.SM.3NB37	GTEX.SJXC.0726.SM.2XCFJ	GTEX.YEC3.0826.SM.4WWFP	GTEX.13FLW.0326.SM.5J2M4	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1
ABI3	624.99	872.1	529.06	507.46	603.67	305.55	241.19	490.14	480.04	599.49	361.04	381.68	473.41	358.54	476.71	381.68	325.29	450.94	395.18	476.71	551.56	336.79	303.44	368.65	339.14	521.76	409.15	400.71	73.54	102.25	79.45	183.82	212.78	194.36	208.38	208.38	142.01	271.48	146.03	21.47	101.54	40.07	307.69	165.57	173.85	275.28	95.34	145.02	173.85	211.31	135.24	159.9	215.77	226.54	116.78	193.01	61.68	273.37	125.24	117.6	125.24	212.78	52.08	246.28	87.03	361.04	76.17	279.14	117.6	118.43	199.85	128.79	141.02	41.22	153.34	156.59	78.89	175.07	137.14	307.69	146.03	177.53	223.41	63.89	231.32	138.1	173.85	191.67
ACVRL1	2133.97	1950.0	1242.34	733.19	1183.45	836.53	1295.13	1250.98	1331.57	1242.34	1096.5	934.76	1073.91	1183.45	1757.34	1313.23	909.17	718.08	1594.73	1030.12	1183.45	1199.98	995.0	1233.75	713.11	1242.34	753.83	1151.06	297.17	301.33	229.72	743.43	348.71	612.11	1127.35	567.1	470.14	1015.93	460.44	127.89	684.02	444.72	988.12	684.02	708.18	791.35	376.41	384.34	638.15	854.13	493.56	507.46	796.86	463.65	237.86	551.56	339.14	733.19	305.55	429.54	295.11	521.76	166.73	603.67	185.11	791.35	146.03	551.56	441.64	314.17	389.72	218.79	400.71	217.27	312.0	669.92	206.94	246.28	356.05	698.41	447.82	559.28	500.46	397.93	813.63	237.86	587.13	718.08
AFAP1L1	1250.98	1388.16	599.49	358.54	444.72	273.37	173.85	249.73	368.65	521.76	320.8	228.13	325.29	336.79	389.72	351.14	189.02	265.87	318.57	339.14	473.41	218.79	226.54	299.25	214.27	620.67	389.72	221.86	75.64	68.55	100.83	137.14	195.72	121.79	88.88	116.78	113.56	152.28	143.01	62.56	109.66	52.45	281.09	115.97	187.71	76.71	164.42	95.34	244.57	56.68	91.41	143.01	178.77	193.01	72.01	231.32	58.71	186.4	175.07	116.78	75.11	91.41	91.41	115.97	114.36	76.71	65.26	164.42	78.89	50.63	125.24	111.99	121.79	44.25	96.01	248.0	43.94	61.68	49.91	104.42	65.72	132.44	145.02	105.89	120.1	137.14	177.53	122.64
ARAP3	1407.55	1304.15	665.29	764.36	638.15	547.75	381.68	583.07	743.43	769.69	518.15	624.99	669.92	543.96	633.73	571.05	389.72	358.54	493.56	463.65	567.1	417.77	454.09	518.15	432.53	708.18	525.39	536.45	89.51	93.35	115.16	201.25	189.02	135.24	119.26	190.34	151.22	260.38	195.72	67.59	150.17	118.43	366.09	231.32	170.25	170.25	169.07	152.28	351.14	178.77	126.12	176.29	244.57	297.17	197.09	248.0	128.79	226.54	221.86	111.21	92.05	115.97	117.6	175.07	111.99	229.72	108.9	303.44	119.26	103.69	177.53	180.02	100.83	108.14	153.34	171.45	111.99	77.25	131.51	224.97	105.15	137.14	221.86	177.53	244.57	163.28	161.02	400.71
ARHGDIB	13033.07	15075.35	6983.79	8363.13	4869.99	6652.97	3901.01	8191.0	10368.08	6471.02	3491.39	7537.18	10808.41	5479.15	5872.48	5872.48	4239.45	6207.38	4869.99	5403.7	5041.77	7803.01	6471.02	5183.54	9215.48	5112.16	5791.62	5791.62	1583.71	2255.7	1709.26	2148.82	3235.01	2384.37	3443.31	2758.13	3491.39	4298.64	2739.08	954.43	2855.44	1167.14	4512.4	2303.12	2178.83	3303.0	1819.35	1896.65	5183.54	3280.18	1909.85	2502.97	2664.15	5219.6	1651.0	4575.41	2520.38	4903.87	2609.3	1781.89	1857.6	3235.01	1883.54	3325.99	1628.26	4268.94	1857.6	3124.78	1709.26	2075.59	1806.78	1857.6	1617.0	1167.14	2758.13	3303.0	1331.57	2104.58	1745.2	5872.48	2032.85	2255.7	3060.45	1529.73	3419.52	1991.0	2319.15	3768.09
ARHGEF15	1806.78	1883.54	896.64	665.29	941.27	599.49	420.68	693.58	743.43	909.17	748.61	551.56	902.89	591.22	842.36	665.29	555.41	490.14	780.44	688.78	842.36	500.46	620.67	587.13	599.49	1030.12	660.68	665.29	81.14	52.08	73.54	176.29	137.14	153.34	251.48	297.17	162.14	320.8	137.14	129.69	165.57	57.08	518.15	218.79	232.94	281.09	212.78	144.01	420.68	293.07	177.53	242.88	220.32	473.41	102.25	138.1	116.78	285.03	135.24	155.5	138.1	180.02	47.17	314.17	75.11	363.56	134.3	525.39	201.25	119.26	234.57	137.14	143.01	87.65	74.06	242.88	90.14	123.5	206.94	460.44	265.87	208.38	182.55	80.01	409.15	119.26	228.13	493.56
BCL6B	1806.78	2004.85	830.75	438.59	555.41	473.41	211.31	366.09	579.04	583.07	521.76	334.46	656.11	414.87	486.75	511.0	376.41	373.81	466.88	497.0	775.05	329.84	343.89	483.38	503.95	769.69	532.74	325.29	127.89	64.34	68.07	116.78	202.66	131.51	130.6	109.66	136.19	170.25	171.45	144.01	221.86	38.67	239.52	182.55	187.71	124.37	139.07	113.56	251.48	91.41	65.72	117.6	198.47	218.79	87.65	186.4	107.38	334.46	124.37	202.66	148.09	121.79	119.26	147.06	183.82	163.28	104.42	223.41	208.38	53.57	273.37	205.5	100.83	51.35	239.52	540.19	100.83	81.71	126.12	158.79	94.01	94.67	171.45	82.29	159.9	186.4	106.63	172.65
C1QTNF5	3257.52	3168.41	1909.85	1369.04	1794.29	1295.13	1277.29	1883.54	2287.2	2075.59	1322.37	1551.09	1757.34	1551.09	2178.83	2090.03	1044.52	1225.22	1350.18	1857.6	1639.59	1397.83	1268.46	1498.22	1331.57	1583.71	1322.37	1175.27	239.52	236.21	226.54	555.41	438.59	341.51	363.56	264.03	371.22	1066.48	476.71	258.57	444.72	271.48	775.05	612.11	575.03	802.41	450.94	351.14	915.51	848.22	279.14	463.65	684.02	500.46	384.34	866.07	376.41	738.29	503.95	265.87	269.6	454.09	353.59	420.68	202.66	591.22	198.47	759.08	429.54	400.71	503.95	507.46	303.44	269.6	493.56	500.46	279.14	486.75	212.78	674.59	223.41	316.37	392.44	409.15	511.0	373.81	470.14	633.73
C20orf202	51.35	41.81	52.08	33.54	9.2	7.11	6.62	16.63	15.56	5.32	18.03	15.0	8.85	11.13	26.86	13.22	11.47	12.64	10.16	16.51	19.39	18.29	9.63	19.25	9.06	23.76	27.84	14.03	1.58	3.86	4.66	3.14	10.31	3.82	3.72	6.06	10.31	4.9	7.75	4.7	3.44	2.34	10.71	2.61	5.11	7.06	1.55	1.79	11.21	7.28	4.43	4.86	6.52	7.63	3.56	11.64	6.89	8.19	2.05	3.99	4.31	1.62	4.1	4.62	2.2	8.71	5.96	9.27	1.31	3.99	4.21	4.03	2.84	2.36	4.5	1.11	0.0	1.95	1.91	6.94	4.24	2.63	9.06	2.39	8.51	7.57	3.59	11.82
C3orf70	146.03	178.77	114.36	52.45	43.63	36.27	43.02	48.18	59.13	46.5	49.21	51.71	49.91	61.68	74.06	43.63	49.21	26.67	81.14	47.17	79.45	43.02	41.81	43.63	52.08	46.18	62.56	64.8	5.92	12.09	11.82	22.59	25.54	21.63	14.03	13.62	12.83	40.93	20.11	2.66	21.94	7.94	37.85	21.63	20.41	22.92	10.88	10.96	50.27	20.41	10.88	24.28	14.67	17.64	6.36	18.16	9.2	51.35	15.56	14.24	11.64	12.64	11.3	33.54	10.16	21.47	11.13	22.43	12.64	11.13	18.16	12.18	7.51	14.78	10.96	25.54	11.64	7.46	9.7	26.67	10.88	11.3	23.08	6.73	22.1	14.45	14.89	40.64
CALCRL	2224.63	4358.66	2047.0	1001.93	1143.1	723.08	536.45	995.0	1030.12	1498.22	1030.12	629.35	1015.93	1143.1	503.95	830.75	866.07	718.08	1015.93	1477.58	1388.16	713.11	624.99	896.64	860.08	1135.2	1427.22	836.53	132.44	182.55	323.03	291.04	896.64	291.04	409.15	642.59	529.06	647.07	490.14	64.34	532.74	169.07	785.88	325.29	334.46	532.74	312.0	226.54	802.41	429.54	312.0	329.84	323.03	591.22	384.34	400.71	92.05	543.96	299.25	320.8	389.72	361.04	137.14	693.58	339.14	497.0	363.56	854.13	267.73	224.97	329.84	253.23	387.02	237.86	376.41	239.52	242.88	232.94	334.46	728.11	547.75	616.37	384.34	152.28	547.75	555.41	567.1	339.14
