	TCGA.XF.AAN4.01A.11R.A42T.07	TCGA.ZF.AA5P.01A.11R.A39I.07	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.G4.6302.01A.11R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.AA.3489.11A.01R.1839.07	GTEX.11ZVC.2126.SM.5EGJ1	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.LN.A4A5.01A.21R.A260.31	TCGA.LN.A5U7.01A.11R.A31P.31	TCGA.LN.A5U7.01A.11R.A31P.31.1	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.146FQ.1126.SM.5NQBM	TCGA.EJ.7783.11A.01R.2118.07	GTEX.13RTJ.2126.SM.5S2PZ	GTEX.14C5O.2826.SM.5RQI6	GTEX.13111.1326.SM.5GCNO	GTEX.OOBK.2025.SM.3LK5S	GTEX.XPVG.2026.SM.4B65E	GTEX.11EQ9.1726.SM.5HL6U	GTEX.12696.2226.SM.5EQ65	TCGA.AG.3742.11A.01R.1660.07	TCGA.AG.3732.11A.01R.1660.07	TCGA.FP.7735.11A.01R.2055.13	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.S4P3.0726.SM.4AD57	GTEX.WH7G.1526.SM.4LVMX	GTEX.R55D.1526.SM.48FEJ	TCGA.AX.A2HC.11A.11R.A32Y.07
CASC5	26.1	32.36	191.67	3.5	11.47	22.43	0.0	27.05	38.4	42.71	125.24	323.03	323.03	14.14	6.94	0.0	1.69	1.99	2.86	6.31	5.23	5.15	42.71	3.44	20.71	12.64	15.45	0.0	8.38	25.17	27.05	15.91	2.36
CCNB2	348.71	624.99	819.3	8.38	58.71	215.77	6.67	108.14	320.8	341.51	463.65	759.08	759.08	63.0	12.18	0.18	3.56	15.22	19.39	16.51	25.35	43.32	305.55	41.22	31.45	206.94	45.85	3.76	34.75	57.49	43.32	50.27	21.78
CDC20	591.22	1073.91	775.05	14.56	106.63	236.21	10.0	105.15	679.29	769.69	536.45	1427.22	1427.22	334.46	7.46	0.0	8.85	26.86	49.21	30.12	24.11	55.1	934.76	42.41	32.36	132.44	25.91	5.28	48.18	92.7	74.06	50.98	29.06
CDC25C	32.13	98.04	206.94	3.06	4.31	24.11	0.4	16.15	45.21	154.42	92.05	119.26	119.26	2.03	0.46	0.0	0.0	3.23	2.66	1.22	3.29	10.31	85.82	2.12	1.2	35.76	15.0	0.0	8.06	13.93	7.22	13.93	1.66
CDCA2	44.89	27.44	109.66	0.45	35.76	27.64	1.27	16.03	47.17	64.8	90.77	713.11	713.11	8.78	1.35	0.0	2.03	5.36	6.21	5.23	1.5	5.92	63.45	6.89	1.41	19.53	10.96	0.0	6.62	10.88	7.28	8.19	1.48
CDCA5	154.42	262.2	780.44	13.22	82.87	81.71	6.67	124.37	173.85	232.94	684.02	1757.34	1757.34	96.68	11.55	7.34	17.13	17.13	11.3	7.57	25.72	31.67	387.02	24.46	13.03	52.45	40.36	5.19	30.78	49.91	63.89	41.81	26.47
CDCA8	204.07	262.2	334.46	12.36	50.63	109.66	3.86	76.17	220.32	187.71	559.28	249.73	249.73	70.51	5.28	0.0	14.67	12.27	13.22	8.25	12.27	25.54	208.38	19.11	6.89	74.58	51.35	2.92	16.15	35.5	24.28	23.25	19.68
CDK1	379.04	363.56	688.78	11.91	85.22	224.97	3.79	329.84	336.79	231.32	521.76	629.35	629.35	178.77	17.13	0.0	22.43	40.07	45.85	37.05	42.11	87.03	967.76	45.21	38.4	450.94	125.24	9.63	39.5	64.34	99.43	56.68	78.89
CDT1	115.16	267.73	327.56	6.57	79.45	44.57	6.46	46.5	158.79	265.87	199.85	974.5	974.5	74.06	9.41	0.39	2.94	10.08	22.75	15.22	21.32	40.36	256.78	5.41	9.78	33.54	14.03	7.06	26.1	39.5	59.13	28.65	11.21
CENPA	136.19	241.19	215.77	7.88	15.45	82.87	1.39	31.0	116.78	139.07	397.93	1378.57	1378.57	61.68	1.89	0.0	4.21	3.5	2.39	0.97	4.82	7.75	124.37	6.16	5.5	67.12	13.62	0.0	12.36	25.72	35.76	14.78	3.08
CENPF	251.48	215.77	1119.56	16.63	50.27	76.71	6.84	4.66	140.04	140.04	1268.46	1242.34	1242.34	74.06	25.35	1.13	12.55	6.21	5.15	4.24	3.06	14.14	256.78	1.95	3.29	17.38	51.35	4.74	20.41	39.22	35.0	32.82	18.43
CENPH	202.66	209.84	429.54	57.89	166.73	145.02	81.71	185.11	142.01	234.57	234.57	379.04	379.04	158.79	85.22	35.25	59.97	77.79	107.38	92.05	69.03	91.41	361.04	165.57	137.14	197.09	147.06	49.21	59.55	62.56	79.45	58.3	79.45
CENPM	141.02	277.2	476.71	3.99	60.82	113.56	6.31	283.05	312.0	72.01	177.53	406.31	406.31	16.63	2.97	0.0	4.31	34.51	16.39	9.27	5.32	29.91	384.34	16.75	20.56	98.04	27.64	5.32	34.51	63.45	62.12	50.27	16.75
CENPO	90.14	165.57	237.86	24.28	108.14	106.63	29.27	88.88	102.97	187.71	249.73	403.5	403.5	134.3	67.59	22.75	53.19	41.52	34.51	27.25	26.86	45.85	175.07	76.17	28.65	84.63	81.71	22.26	37.32	70.01	52.82	58.71	69.52
CEP55	318.57	209.84	1037.29	11.82	36.79	51.35	1.89	55.49	158.79	185.11	164.42	1322.37	1322.37	64.34	9.13	0.0	4.62	8.25	6.78	2.46	4.13	7.46	197.09	7.0	7.11	73.03	20.11	0.23	14.67	46.5	24.28	24.11	12.93
CKAP2L	95.34	38.67	291.04	4.82	16.75	23.59	1.62	12.93	43.63	24.28	299.25	1111.82	1111.82	46.84	5.02	1.14	5.06	8.19	11.55	3.66	1.28	8.19	92.7	2.39	7.75	26.67	22.26	2.12	8.13	19.82	13.72	13.22	3.2
CLSPN	38.4	31.0	178.77	2.2	7.82	11.55	0.0	25.54	29.91	28.45	244.57	208.38	208.38	32.13	3.86	0.0	1.27	3.56	0.0	0.88	0.0	11.55	76.71	5.73	0.0	4.31	12.45	0.04	9.85	24.99	24.81	22.1	3.5
DEPDC1B	68.55	73.54	85.82	3.53	18.29	45.85	0.0	42.71	59.13	62.12	120.94	185.11	185.11	33.06	2.39	0.0	1.68	4.1	0.0	2.71	1.95	17.51	120.94	2.63	6.57	90.77	28.86	0.78	7.22	15.68	11.38	6.41	3.89
DIAPH3	57.08	49.21	392.44	7.82	16.75	16.63	0.89	25.54	41.52	30.56	51.71	316.37	316.37	5.45	0.0	0.56	24.28	1.79	1.62	1.6	1.17	3.26	76.17	0.0	1.58	10.31	15.91	2.63	1.99	5.36	33.3	9.06	12.83
DLGAP5	122.64	118.43	277.2	3.92	14.14	41.22	0.75	18.16	93.35	31.22	1350.18	1066.48	1066.48	94.67	2.73	0.0	2.36	3.0	6.01	4.82	1.36	13.22	167.9	6.94	1.31	62.56	12.55	0.0	12.93	13.93	11.3	9.78	5.28
E2F2	16.03	23.76	63.89	0.45	12.74	22.1	0.0	18.56	52.82	51.35	177.53	139.07	139.07	6.11	0.35	0.0	1.36	1.14	0.47	0.46	0.88	1.6	51.35	1.16	0.0	14.35	15.34	0.0	8.0	36.27	15.68	10.0	3.96
E2F8	21.63	53.95	21.94	0.0	2.94	13.62	0.0	14.03	80.01	16.15	78.89	291.04	291.04	1.81	0.0	0.0	0.0	9.34	0.0	3.89	3.66	3.17	49.21	1.79	3.82	9.13	18.43	0.0	7.22	17.51	23.76	9.27	0.87
EME1	27.05	38.67	59.55	3.56	15.45	28.45	18.29	22.59	35.0	146.03	149.12	251.48	251.48	30.78	9.63	1.23	12.27	3.89	5.06	8.78	7.4	4.54	60.39	11.47	8.78	20.26	22.92	16.75	16.51	37.85	25.17	13.42	14.89
ERCC6L	17.9	23.76	55.1	0.89	18.29	12.27	2.53	13.72	15.91	15.56	91.41	76.17	76.17	13.12	3.08	0.37	4.03	2.43	2.63	1.08	1.99	4.1	31.0	1.03	1.41	8.13	10.24	1.66	5.11	6.78	4.54	5.23	2.12
ESCO2	47.17	33.06	140.04	1.77	47.84	19.53	0.48	53.95	89.51	25.35	71.0	358.54	358.54	8.71	1.17	0.0	7.57	4.66	0.0	0.0	0.0	11.04	65.26	2.18	2.97	46.84	33.3	0.0	5.5	24.81	15.45	6.67	1.22
FAM111B	55.1	44.89	127.89	0.91	27.64	10.63	0.43	58.3	101.54	37.85	129.69	612.11	612.11	20.11	2.66	0.0	1.69	2.32	4.24	0.0	1.99	10.31	124.37	2.43	0.0	26.67	32.36	0.8	11.47	22.75	17.64	12.45	4.21
FAM64A	73.54	260.38	559.28	2.66	23.76	34.26	0.82	68.55	78.34	239.52	808.0	293.07	293.07	84.63	16.88	4.35	10.31	8.32	4.35	8.0	0.0	10.55	214.27	7.75	4.24	71.0	41.52	22.1	24.28	35.5	34.02	29.91	13.22
FANCA	146.03	444.72	132.44	18.03	92.05	57.49	9.85	150.17	186.4	204.07	587.13	293.07	293.07	92.7	70.01	2.18	29.91	26.86	22.43	20.26	19.39	32.13	236.21	30.78	8.13	61.68	57.49	21.78	50.98	84.63	73.03	51.35	28.86
FOXM1	454.09	400.71	1369.04	13.22	73.03	78.89	12.74	48.52	248.0	432.53	656.11	7749.1	7749.1	110.43	26.1	1.11	11.13	13.12	7.75	7.22	9.13	12.27	293.07	13.72	10.63	60.82	51.71	5.59	35.0	77.79	51.71	57.49	9.48
GINS1	105.89	162.14	214.27	12.27	55.1	37.85	8.92	111.21	76.71	78.89	194.36	507.46	507.46	41.52	8.13	1.53	5.23	25.35	9.41	6.94	12.55	26.1	146.03	15.11	12.83	66.18	43.02	3.29	12.0	27.84	25.17	16.51	13.72
GINS4	55.49	412.0	206.94	39.22	46.18	27.84	9.93	70.51	75.11	33.54	79.45	133.36	133.36	15.91	12.36	9.27	12.18	20.56	25.35	6.36	14.78	9.34	215.77	48.18	13.03	53.57	37.59	11.91	18.16	40.64	16.27	38.95	20.11
