	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.DK.A3IQ.01A.31R.A32Y.07	TCGA.BH.A1FH.01A.12R.A13Q.07	TCGA.A1.A0SI.01A.11R.A144.07	TCGA.AC.A23G.01A.11R.A213.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.BH.A6R9.01A.21R.A32P.07	TCGA.AR.A2LQ.01A.22R.A18M.07	GTEX.ZF2S.2026.SM.5E461	GTEX.TML8.0726.SM.4DXTT	TCGA.CN.6016.01A.11R.1686.07	TCGA.IQ.A61O.01A.11R.A30B.07	TCGA.HD.7831.01A.11R.2132.07	TCGA.CN.6019.01A.11R.1686.07	TCGA.B0.4696.01A.01R.1277.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.85.6175.01A.11R.1820.07	TCGA.BR.A4IZ.01A.32R.A251.31
AC139426.2	0.0	4.7	9.63	3.99	6.06	3.82	3.23	3.41	15.0	5.54	0.0	0.71	0.0	3.32	14.56	1.39	1.85	2.27	0.0	0.0	4.9	7.69
AKAP10	120.94	217.27	409.15	211.31	327.56	293.07	239.52	348.71	698.41	314.17	220.32	180.02	218.79	237.86	497.0	61.25	77.25	93.35	66.18	44.57	358.54	316.37
APPBP2	183.82	260.38	1583.71	493.56	348.71	503.95	253.23	603.67	915.51	432.53	226.54	175.07	236.21	258.57	420.68	57.49	64.34	83.45	73.54	62.12	450.94	480.04
AREL1	149.12	186.4	318.57	262.2	242.88	395.18	363.56	336.79	348.71	195.72	279.14	183.82	366.09	236.21	441.64	141.02	152.28	149.12	109.66	108.9	540.19	336.79
ATXN3	253.23	150.17	327.56	470.14	258.57	305.55	361.04	389.72	486.75	164.42	346.29	258.57	463.65	307.69	629.35	176.29	98.73	170.25	132.44	79.45	348.71	287.01
BBS1	241.19	409.15	688.78	525.39	591.22	647.07	277.2	551.56	1104.13	651.58	297.17	285.03	260.38	417.77	571.05	108.9	117.6	98.73	125.24	164.42	435.55	603.67
BCL9L	187.71	780.44	921.88	1111.82	981.29	947.83	896.64	1127.35	1191.69	441.64	1628.26	301.33	1397.83	603.67	1745.2	105.89	63.45	99.43	60.82	100.83	1088.92	1697.45
C6orf89	629.35	842.36	1208.34	954.43	909.17	1277.29	759.08	1216.75	1519.15	1388.16	642.59	785.88	1037.29	967.76	1191.69	595.34	543.96	679.29	536.45	346.29	995.0	764.36
CNOT4	127.89	189.02	371.22	281.09	221.86	287.01	198.47	323.03	438.59	358.54	178.77	120.1	201.25	172.65	299.25	114.36	118.43	96.68	96.01	59.97	256.78	379.04
COL1A1	244588.0	405683.88	152662.96	168220.2	195931.88	284880.02	189257.69	254974.66	79022.82	485798.0	282912.21	598087.73	324980.94	168220.2	214407.12	1378.57	988.12	1594.73	1037.29	353.59	208544.12	345900.08
