	GTEX.14C38.2626.SM.5RQI4	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A4NR.01A.11R.A311.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.GJ.A3OU.01A.31R.A38B.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.1399R.1226.SM.5P9GF	GTEX.RN64.1826.SM.48FDV	GTEX.Q734.0326.SM.48U15	GTEX.R53T.0326.SM.48FEC	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.38.4631.01A.01R.1755.07	TCGA.95.7043.01A.11R.1949.07	TCGA.91.6836.11A.01R.1858.07	TCGA.38.4632.11A.01R.1755.07	TCGA.38.4626.11A.01R.1758.07	GTEX.1313W.0926.SM.5EQ56	GTEX.ZZPU.0526.SM.5E44U	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.QV44.0926.SM.2S1RH	GTEX.13OW5.0726.SM.5KLZK	GTEX.OXRN.0526.SM.2I5EN	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZTTD.1126.SM.51MRP	GTEX.S4Q7.0426.SM.3K2BJ	GTEX.147JS.1226.SM.5RQK4	GTEX.YB5E.0726.SM.4VDSH	GTEX.139YR.0926.SM.5LZYB	GTEX.ZAB4.0626.SM.5CVN3	GTEX.13FLV.0426.SM.5KLZA	GTEX.132QS.0726.SM.5IJE9	GTEX.PWOO.0726.SM.2I3EB	GTEX.WH7G.0726.SM.3NMBM	GTEX.WVJS.0826.SM.4MVNR	GTEX.131XE.0726.SM.5HL9K	GTEX.XBED.0826.SM.47JYC	GTEX.SUCS.0626.SM.32PM5	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.14A6H.0526.SM.5NQAZ	GTEX.144GO.0226.SM.5LUB1	TCGA.18.3411.01A.01R.0980.07	TCGA.77.8007.11A.01R.2187.07
AC096677.1	26.1	10.16	2.36	14.89	4.46	1.46	1.83	9.93	1.91	0.0	0.0	0.0	0.0	1.27	1.14	5.63	0.0	2.14	1.23	1.19	3.11	1.46	2.01	11.47	3.66	0.0	1.08	0.67	4.46	0.0	0.0	20.26	0.0	3.44	0.0	1.93	0.0	0.0	2.61	1.57	7.69	9.13	0.0	28.86	8.13	9.13	23.93	5.59	7.94	18.03	11.55	27.84	18.29	66.18	96.01	45.53	24.63	13.93	29.91	5.77	65.26	42.41	40.07	21.47	17.0	17.9	21.47	31.9	8.25	8.85	190.34	11.3	76.71	27.64	271.48	1.31	22.59
ANKDD1A	483.38	36.53	53.57	54.72	17.51	14.67	49.21	22.92	17.9	19.25	14.56	28.04	20.56	30.12	14.56	71.5	22.1	21.94	23.93	13.72	38.67	21.94	26.47	39.5	10.0	8.65	13.03	8.19	40.36	18.7	24.99	37.59	12.83	22.1	14.03	33.54	10.88	16.88	12.45	13.93	54.33	18.84	4.13	177.53	16.39	53.95	125.24	45.53	71.0	170.25	65.26	102.25	69.03	122.64	185.11	82.29	129.69	73.54	199.85	77.79	80.01	103.69	341.51	98.04	71.0	67.59	96.68	91.41	70.01	73.03	497.0	110.43	309.83	116.78	260.38	42.11	95.34
ANTXR1	595.34	332.14	343.89	1081.39	473.41	264.03	157.68	186.4	47.84	131.51	19.53	24.11	10.88	91.41	60.82	85.22	35.76	13.52	149.12	13.93	123.5	11.91	90.14	161.02	27.64	19.97	24.81	21.01	389.72	12.55	56.68	438.59	38.95	93.35	62.56	12.45	46.18	149.12	23.59	59.97	72.52	466.88	27.05	571.05	497.0	312.0	1001.93	599.49	507.46	1605.83	1023.0	2855.44	1259.69	1487.87	1561.89	2796.65	854.13	297.17	1844.76	497.0	563.18	1832.01	3257.52	603.67	258.57	480.04	1909.85	2351.53	303.44	532.74	1950.0	1015.93	2835.7	2537.92	988.12	529.06	909.17
ANXA3	2816.11	426.57	426.57	178.77	197.09	60.82	15.68	31.45	7.22	29.7	4.39	22.59	8.65	17.77	17.25	53.19	31.45	6.06	14.56	4.43	18.56	35.25	10.08	35.25	24.63	14.45	70.01	12.93	35.5	9.13	22.43	94.67	1119.56	358.54	3.06	93.35	13.83	223.41	22.1	4.78	17.77	206.94	104.42	1519.15	2609.3	42.11	4388.98	3515.68	3395.89	2502.97	5292.48	25.35	638.15	3589.58	6381.92	1909.85	866.07	3124.78	2816.11	2758.13	8479.89	961.07	1359.57	6935.54	1111.82	5366.37	6079.61	638.15	5183.54	2384.37	4903.87	579.04	3124.78	3955.48	3665.02	555.41	2271.4
ARHGAP21	289.02	246.28	178.77	343.89	137.14	105.15	175.07	229.72	332.14	171.45	204.07	122.64	194.36	111.21	131.51	221.86	130.6	194.36	183.82	299.25	183.82	144.01	148.09	253.23	273.37	71.5	194.36	217.27	223.41	115.16	215.77	267.73	123.5	265.87	158.79	212.78	100.83	98.73	163.28	181.28	171.45	237.86	217.27	429.54	267.73	371.22	669.92	265.87	339.14	432.53	435.55	414.87	395.18	848.22	1044.52	775.05	403.5	234.57	500.46	275.28	417.77	819.3	563.18	454.09	275.28	356.05	684.02	587.13	381.68	454.09	854.13	536.45	961.07	748.61	660.68	172.65	373.81
ARHGAP23	273.37	63.89	83.45	363.56	132.44	205.5	83.45	109.66	113.56	75.11	37.59	36.79	48.87	54.33	48.18	95.34	36.01	36.79	122.64	21.47	57.08	25.17	66.18	136.19	83.45	19.39	81.71	74.58	143.01	19.53	51.71	156.59	21.01	39.22	34.26	72.52	10.71	22.92	34.02	50.98	26.67	135.24	39.79	373.81	44.25	105.89	438.59	220.32	318.57	915.51	616.37	144.01	551.56	363.56	1073.91	718.08	215.77	228.13	1104.13	208.38	454.09	395.18	2193.99	928.3	73.54	447.82	297.17	271.48	426.57	180.02	5147.73	171.45	1369.04	450.94	2997.45	204.07	309.83
ARHGAP9	1561.89	791.35	466.88	1088.92	260.38	343.89	341.51	214.27	187.71	162.14	89.51	406.31	70.01	297.17	176.29	981.29	72.52	43.63	86.43	94.01	72.52	75.11	206.94	525.39	59.13	57.49	137.14	90.77	463.65	88.26	84.04	567.1	161.02	135.24	82.87	122.64	92.7	555.41	303.44	193.01	211.31	447.82	97.36	947.83	176.29	100.13	872.1	698.41	703.28	507.46	551.56	420.68	2018.8	2451.44	2573.36	718.08	759.08	1781.89	1167.14	1096.5	1477.58	802.41	915.51	312.0	1378.57	457.25	2400.97	878.17	176.29	591.22	1477.58	483.38	836.53	1331.57	2193.99	251.48	1059.11
ARHGEF10	373.81	205.5	149.12	182.55	140.04	206.94	47.84	48.18	23.08	39.22	15.56	11.38	15.68	25.91	18.29	47.17	20.56	9.13	43.32	17.51	28.45	11.13	24.63	56.68	23.93	4.78	22.43	19.53	68.07	10.31	38.12	75.64	9.93	21.63	29.91	77.25	27.64	17.13	13.72	23.93	90.14	100.13	14.56	293.07	96.68	95.34	400.71	190.34	320.8	255.0	1015.93	155.5	232.94	981.29	426.57	633.73	239.52	460.44	915.51	466.88	316.37	334.46	1135.2	363.56	110.43	395.18	603.67	555.41	563.18	264.03	616.37	309.83	595.34	287.01	1143.1	111.99	249.73
ARHGEF17	166.73	376.41	348.71	493.56	299.25	381.68	126.12	108.14	103.69	100.83	38.12	73.03	41.81	95.34	70.01	123.5	138.1	45.85	150.17	155.5	72.52	115.97	87.65	239.52	126.12	37.85	92.7	96.68	260.38	19.97	116.78	198.47	30.78	79.45	49.91	81.14	36.27	61.68	39.79	68.55	26.1	209.84	47.84	974.5	127.0	444.72	669.92	387.02	373.81	127.89	463.65	191.67	878.17	1427.22	1417.35	890.44	813.63	358.54	1674.06	403.5	260.38	620.67	571.05	518.15	417.77	287.01	1073.91	1208.34	536.45	591.22	1277.29	514.56	819.3	713.11	1487.87	89.51	460.44
ARHGEF2	2664.15	1167.14	1183.45	1487.87	718.08	748.61	693.58	400.71	376.41	532.74	158.79	1322.37	1119.56	450.94	303.44	688.78	182.55	211.31	507.46	1081.39	432.53	848.22	454.09	603.67	187.71	463.65	189.02	420.68	521.76	120.94	255.0	1447.15	145.02	172.65	120.94	273.37	139.07	218.79	115.16	211.31	130.6	444.72	100.83	4095.0	432.53	890.44	2835.7	1457.23	1477.58	2895.31	1662.49	764.36	2104.58	1819.35	3491.39	2701.35	1639.59	1216.75	2271.4	2895.31	2133.97	1594.73	2520.38	1286.18	1508.65	2032.85	1378.57	1199.98	642.59	5479.15	7433.4	2434.5	3349.13	3467.27	3349.13	438.59	1923.14
