	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.AA.3655.11A.01R.1723.07	TCGA.AA.3489.11A.01R.1839.07	GTEX.1399R.2226.SM.5P9JB	GTEX.S4P3.1226.SM.4AD4Y	GTEX.UJMC.1326.SM.4IHLS	GTEX.XPVG.1826.SM.4B64X	GTEX.VJYA.2026.SM.4KL1K	GTEX.14DAR.1526.SM.5RQIX	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.AG.3742.11A.01R.1660.07
AAED1	215.77	211.31	123.5	205.5	27.25	72.01	67.59	43.32	77.25	38.95	312.0	493.56	454.09	226.54
ANXA5	6887.62	9151.82	3515.68	5872.48	1437.15	2351.53	1757.34	1388.16	2287.2	1340.84	6561.36	7280.4	6426.31	5633.22
ARHGAP23	389.72	974.5	119.26	264.03	26.28	127.89	70.51	46.18	193.01	33.78	2271.4	1551.09	1769.57	358.54
ARID5B	320.8	361.04	172.65	157.68	64.8	198.47	153.34	84.04	241.19	99.43	728.11	825.0	860.08	215.77
ASB2	1721.16	5403.7	848.22	1111.82	107.38	463.65	205.5	54.72	693.58	65.26	2682.69	3467.27	8305.36	1519.15
ATL3	753.83	842.36	381.68	543.96	189.02	397.93	258.57	215.77	325.29	253.23	1277.29	1819.35	1508.65	579.04
AXL	1151.06	2178.83	536.45	559.28	75.64	239.52	166.73	107.38	265.87	102.97	1540.37	2303.12	3039.3	928.3
CADM4	934.76	2047.0	283.05	616.37	45.21	165.57	79.45	57.08	193.01	44.57	540.19	547.75	981.29	616.37
CDC42EP3	1096.5	2895.31	486.75	967.76	120.1	346.29	323.03	154.42	470.14	215.77	3716.2	1111.82	4066.71	1127.35
CLIC4	5594.3	8538.88	1781.89	3395.89	217.27	1015.93	660.68	339.14	1295.13	447.82	13123.73	14361.31	17197.56	5147.73
CLIP4	563.18	775.05	231.32	392.44	12.36	106.63	61.68	29.7	156.59	33.3	974.5	896.64	884.29	713.11
COL4A1	2875.3	10959.3	511.0	848.22	127.89	769.69	361.04	214.27	1023.0	149.12	8479.89	10959.3	8191.0	1151.06
COL8A2	159.9	297.17	50.63	67.12	21.63	34.75	15.22	23.59	74.06	22.1	368.65	785.88	555.41	67.59
COPS8	1277.29	1378.57	1001.93	1487.87	423.61	543.96	521.76	470.14	620.67	384.34	1259.69	2303.12	1628.26	1605.83
CSRP1	311742.51	1645391.11	68318.04	180294.02	4543.8	20170.07	10368.08	4095.0	20310.37	3349.13	428815.23	172949.54	938500.81	174152.51
