	TCGA.38.4625.01A.01R.1206.07.1	GTEX.U412.0826.SM.3DB9K	GTEX.11EI6.0826.SM.5985V	GTEX.11ZUS.0126.SM.5EQM5	TCGA.EL.A3N2.11A.11R.A20F.07	GTEX.WH7G.0526.SM.3NMBI	GTEX.QV31.0726.SM.3GAEG	GTEX.Y5LM.0626.SM.4V6G4	GTEX.11I78.0526.SM.5986A	GTEX.P4QT.2626.SM.2I3FM	GTEX.132QS.0326.SM.5IJFN	GTEX.XUZC.0126.SM.4BOO6	GTEX.ZTSS.0226.SM.59877	GTEX.ZV7C.0126.SM.57WDE	GTEX.X4LF.0426.SM.3NMB5	GTEX.TKQ1.0126.SM.33HB3	GTEX.PWCY.2326.SM.2I3EQ	GTEX.YF7O.0726.SM.4W213	GTEX.XUJ4.0726.SM.4BOOP	GTEX.YB5E.0626.SM.4VDSE	GTEX.12WSJ.0326.SM.5GCMT	GTEX.T8EM.0226.SM.3DB7C
ALAS1	0.16	743.43	902.89	1191.69	587.13	934.76	1304.15	1059.11	753.83	1023.0	1066.48	1135.2	860.08	928.3	1023.0	902.89	813.63	1037.29	974.5	1088.92	1437.15	1015.93
ALG8	507.46	329.84	361.04	325.29	563.18	743.43	1242.34	723.08	842.36	796.86	884.29	967.76	748.61	974.5	733.19	764.36	780.44	1135.2	759.08	909.17	1044.52	1059.11
APOA1BP	0.67	1111.82	1183.45	961.07	1794.29	2367.9	3443.31	1991.0	2875.3	2855.44	3874.05	3443.31	2816.11	2645.74	3039.3	2271.4	2240.11	3690.52	2502.97	4298.64	3190.46	2520.38
ARPC3	1.04	5517.27	3982.99	3257.52	3742.05	4450.27	7032.37	4937.99	4481.23	5183.54	5995.9	5219.6	4298.64	5831.91	4419.52	6337.83	3716.2	6516.03	4210.15	5751.61	6792.79	5831.91
ATP5C1	1.0	2133.97	1268.46	1923.14	3419.52	5076.84	6294.04	4903.87	4388.98	4607.24	7485.11	5995.9	4512.4	5219.6	5076.84	5995.9	4095.0	6426.31	4639.29	6792.79	6607.01	6337.83
ATP5F1	0.59	3467.27	2335.28	2061.24	4123.49	6294.04	9279.58	5711.87	5112.16	6121.9	8305.36	6887.62	4903.87	6471.02	6381.92	6699.25	5147.73	8078.22	6079.61	7331.05	7642.41	6561.36
ATP5O	0.95	4937.99	2956.17	4123.49	4239.45	5147.73	8963.45	4481.23	4769.75	5366.37	9606.86	5995.9	4481.23	6037.61	5954.47	6471.02	4010.71	7857.29	5255.91	7857.29	9673.69	6935.54
BZW2	1313.23	320.8	366.09	480.04	836.53	954.43	1417.35	1051.79	1183.45	1191.69	1457.23	1498.22	1191.69	1561.89	1175.27	1617.0	981.29	1427.22	1159.07	1286.18	1242.34	1388.16
C14orf166	1.07	2400.97	1183.45	1551.09	2835.7	3235.01	4388.98	2915.45	2997.45	3190.46	3928.15	3847.29	2835.7	3589.58	3235.01	4038.61	2537.92	4210.15	3280.18	3742.05	4388.98	3768.09
C3orf14	0.18	182.55	162.14	100.13	199.85	194.36	336.79	199.85	169.07	170.25	361.04	180.02	177.53	220.32	183.82	283.05	218.79	264.03	111.99	221.86	395.18	242.88
CCT2	0.92	780.44	1417.35	1135.2	1331.57	1388.16	2133.97	1617.0	1832.01	1819.35	2255.7	1806.78	1745.2	2133.97	1561.89	2061.24	1322.37	1883.54	1561.89	1745.2	1936.53	1819.35
CCT6A	1.19	1781.89	1322.37	825.0	1447.15	1617.0	2434.5	1769.57	1883.54	1950.0	2384.37	1991.0	1950.0	2271.4	2163.77	2468.49	1651.0	2193.99	1685.71	1844.76	2224.63	2133.97
CDC123	0.29	764.36	379.04	423.61	872.1	988.12	1208.34	1096.5	1051.79	1088.92	1225.22	1208.34	941.27	1119.56	1044.52	1304.15	947.83	1151.06	954.43	1199.98	1135.2	1159.07
CLTC	0.79	1508.65	1883.54	1733.13	2224.63	2720.15	4038.61	2777.33	2835.7	2664.15	3280.18	3168.41	2573.36	2739.08	2976.74	2956.17	2627.46	3768.09	2400.97	3874.05	3491.39	3419.52
COQ3	0.13	71.0	40.93	40.07	92.7	166.73	262.2	132.44	114.36	182.55	220.32	146.03	187.71	197.09	191.67	211.31	144.01	232.94	157.68	176.29	283.05	208.38
COX7A2	0.99	6079.61	3395.89	3235.01	3847.29	6079.61	11909.94	6699.25	5366.37	7433.4	12160.22	7642.41	6037.61	7749.1	6607.01	6745.86	5112.16	9808.75	5183.54	10883.59	10733.74	10959.3
COX7B	191.67	1991.0	2609.3	1936.53	1977.24	2915.45	6471.02	3467.27	3280.18	3103.19	8421.31	4152.18	3124.78	4328.55	3820.7	4268.94	2537.92	5594.3	3716.2	5219.6	8598.28	4210.15
DCAF4	0.51	70.01	173.85	71.0	426.57	450.94	620.67	426.57	339.14	397.93	490.14	624.99	435.55	669.92	397.93	429.54	426.57	563.18	460.44	555.41	540.19	406.31
DECR1	0.66	1417.35	1191.69	1427.22	1529.73	1883.54	2520.38	1794.29	1304.15	1733.13	2209.26	1477.58	1709.26	1870.53	1909.85	1733.13	1572.76	2224.63	1487.87	2645.74	2367.9	2032.85
DLD	229.72	669.92	435.55	684.02	915.51	1529.73	2319.15	1407.55	1388.16	1304.15	1617.0	1662.49	1388.16	1487.87	1594.73	1498.22	1277.29	1757.34	1437.15	1331.57	1832.01	1883.54
EARS2	0.0	197.09	103.69	157.68	255.0	353.59	743.43	441.64	301.33	371.22	684.02	540.19	339.14	470.14	438.59	387.02	283.05	595.34	348.71	480.04	651.58	599.49
EIF3I	2255.7	3349.13	2976.74	3280.18	3419.52	3190.46	4802.93	3639.7	3690.52	4239.45	4450.27	4704.07	3639.7	3901.01	3419.52	3982.99	3690.52	4358.66	4419.52	3955.48	4298.64	3467.27
GOT1	0.11	409.15	234.57	392.44	656.11	941.27	1477.58	1088.92	819.3	967.76	2591.27	1175.27	1286.18	1350.18	1662.49	1781.89	866.07	1857.6	947.83	1096.5	2682.69	1639.59
GPR3	0.0	14.56	32.82	34.51	26.67	26.86	43.63	24.99	40.07	14.67	47.17	30.34	15.56	48.52	15.91	82.29	12.36	33.78	21.16	32.59	64.34	31.22
GTF3C6	0.0	693.58	651.58	551.56	764.36	947.83	1322.37	1066.48	1030.12	1151.06	1605.83	1268.46	1151.06	1250.98	1066.48	1277.29	890.44	1605.83	1143.1	1572.76	1359.57	1369.04
IMMT	0.65	995.0	514.56	633.73	1008.9	1277.29	1674.06	1359.57	1119.56	1457.23	1540.37	1340.84	1233.75	1457.23	1457.23	1427.22	1331.57	1605.83	1331.57	1674.06	1508.65	1498.22
LEO1	0.0	173.85	131.51	212.78	316.37	236.21	511.0	309.83	358.54	406.31	403.5	473.41	291.04	463.65	277.2	341.51	273.37	351.14	343.89	267.73	366.09	366.09
LMAN1	0.57	432.53	612.11	928.3	1119.56	1313.23	1806.78	1111.82	1037.29	1096.5	1477.58	1286.18	1073.91	1183.45	1151.06	1225.22	1088.92	1529.73	967.76	1331.57	1477.58	1963.57
MED27	0.64	348.71	204.07	281.09	303.44	423.61	511.0	381.68	429.54	454.09	559.28	525.39	435.55	497.0	414.87	511.0	353.59	540.19	409.15	454.09	454.09	463.65
MORF4L2	277.2	3146.52	3018.3	4095.0	3491.39	5441.3	7589.61	5555.65	5633.22	4769.75	6037.61	6516.03	5292.48	5872.48	5112.16	6337.83	4903.87	6840.04	4239.45	4543.8	5594.3	6381.92
MPDU1	0.22	1233.75	941.27	796.86	934.76	1733.13	2303.12	1561.89	1733.13	2090.03	2417.67	2555.58	1745.2	1745.2	2104.58	1936.53	1572.76	2319.15	1819.35	2061.24	2240.11	2209.26
MRPL13	0.37	473.41	303.44	271.48	466.88	679.29	947.83	764.36	599.49	785.88	808.0	842.36	638.15	759.08	723.08	819.3	511.0	890.44	616.37	854.13	1073.91	902.89
MRPL35	0.15	363.56	212.78	285.03	525.39	536.45	860.08	629.35	587.13	629.35	679.29	559.28	579.04	693.58	708.18	669.92	540.19	642.59	684.02	483.38	748.61	669.92
MRPL39	0.41	450.94	111.21	363.56	466.88	483.38	693.58	497.0	444.72	511.0	698.41	470.14	417.77	571.05	511.0	511.0	497.0	638.15	607.87	532.74	616.37	587.13
MRPL47	0.59	529.06	141.02	320.8	480.04	748.61	1066.48	753.83	728.11	802.41	1216.75	909.17	733.19	941.27	738.29	1023.0	612.11	1127.35	633.73	1191.69	1059.11	1030.12
MRPS22	392.44	669.92	363.56	450.94	743.43	785.88	1081.39	896.64	866.07	854.13	1096.5	974.5	878.17	921.88	921.88	1001.93	808.0	1030.12	961.07	842.36	1037.29	954.43
MRPS9	0.06	457.25	221.86	329.84	547.75	579.04	759.08	583.07	470.14	607.87	728.11	571.05	518.15	674.59	624.99	642.59	447.82	647.07	579.04	567.1	733.19	579.04
NDUFV2	0.92	1709.26	1073.91	2004.85	2075.59	2537.92	4388.98	2956.17	2502.97	2997.45	4181.07	3564.78	2417.67	3325.99	2875.3	3303.0	2255.7	4123.49	3018.3	4298.64	4328.55	3742.05
NIF3L1	0.0	260.38	220.32	237.86	316.37	540.19	595.34	507.46	500.46	483.38	591.22	567.1	511.0	532.74	486.75	575.03	486.75	559.28	490.14	532.74	511.0	567.1
NIT2	289.02	780.44	336.79	665.29	884.29	1225.22	1295.13	1096.5	1096.5	890.44	1561.89	1023.0	1111.82	1167.14	1259.69	1331.57	1023.0	1167.14	860.08	1304.15	1242.34	1225.22
NOL7	0.61	928.3	543.96	764.36	1242.34	1350.18	1572.76	1359.57	1369.04	1167.14	1781.89	1350.18	1407.55	1551.09	1268.46	1685.71	1191.69	1721.16	1225.22	1508.65	1540.37	1540.37
PAICS	0.23	208.38	228.13	258.57	521.76	679.29	1277.29	624.99	718.08	780.44	1051.79	1088.92	684.02	902.89	785.88	1015.93	651.58	1044.52	785.88	595.34	1030.12	981.29
PDCD5	1.17	1674.06	1350.18	1135.2	1498.22	1498.22	1508.65	1745.2	1733.13	1340.84	2956.17	1561.89	1781.89	1883.54	1529.73	2148.82	1286.18	2351.53	1369.04	1977.24	2004.85	1923.14
PGAM1	1.03	2502.97	1733.13	1519.15	2061.24	3419.52	4095.0	3103.19	3325.99	3716.2	4210.15	4066.71	3039.3	3235.01	3491.39	3280.18	3212.66	4210.15	3060.45	4239.45	3768.09	3257.52
PIGO	0.29	395.18	264.03	426.57	555.41	633.73	890.44	753.83	599.49	848.22	928.3	961.07	693.58	660.68	860.08	708.18	708.18	854.13	842.36	830.75	954.43	674.59
PIGW	0.0	82.87	35.25	54.33	76.71	140.04	231.32	116.78	167.9	143.01	214.27	237.86	153.34	189.02	177.53	215.77	127.0	201.25	133.36	134.3	164.42	218.79
PPIL1	0.0	223.41	279.14	176.29	297.17	764.36	1467.37	848.22	854.13	603.67	1104.13	1467.37	743.43	1073.91	728.11	769.69	656.11	1617.0	723.08	1437.15	1340.84	1551.09
PRR5-ARHGAP8	0.0	17.25	2.89	12.83	22.1	45.53	28.45	27.05	12.09	29.91	71.0	32.36	27.25	45.85	47.5	54.72	17.64	41.22	26.67	92.05	44.25	55.89
PSMA1	848.22	2148.82	1745.2	1806.78	2148.82	2956.17	3901.01	2796.65	3212.66	2739.08	3515.68	3212.66	2895.31	3018.3	3395.89	3820.7	2591.27	3820.7	2915.45	3716.2	3540.14	4152.18
