	GTEX.SE5C.1026.SM.4BRUG	TCGA.K4.A4AC.01A.21R.A26T.07	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.G4.6310.01A.11R.1723.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.A6.5662.11A.01R.1653.07	TCGA.AA.3489.11A.01R.1839.07	GTEX.ZPIC.2626.SM.57WE2	GTEX.1399R.2126.SM.5K7WZ	GTEX.131XE.1026.SM.5EGKE	GTEX.ZPCL.1626.SM.57WGC	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.13NYB.1326.SM.5K7Y1	GTEX.145MF.1526.SM.5LU95	GTEX.11ZTS.2726.SM.5EQLU	GTEX.WVLH.1526.SM.4MVOC	GTEX.ZAK1.1826.SM.5HL93	GTEX.13VXU.1126.SM.5LU3U	GTEX.1212Z.2026.SM.5N9EA	GTEX.13NYB.0826.SM.5MR4V	GTEX.RNOR.1326.SM.48FDE	GTEX.146FQ.1126.SM.5NQBM	GTEX.RTLS.1226.SM.46MUP	GTEX.11ZUS.0926.SM.5FQSY	GTEX.13OW6.1426.SM.5L3EU	GTEX.YECK.1726.SM.5IFI3	GTEX.13OW8.2226.SM.5K7Z4	GTEX.WZTO.1526.SM.4PQYQ	GTEX.RWSA.1326.SM.47JX9	GTEX.ZA64.0526.SM.5HL9I	TCGA.CV.7425.11A.01R.2081.07	TCGA.38.4625.01A.01R.1206.07	TCGA.EJ.7783.11A.01R.2118.07	GTEX.13RTJ.2126.SM.5S2PZ	GTEX.14C5O.2826.SM.5RQI6	GTEX.13111.1326.SM.5GCNO	GTEX.OOBK.2025.SM.3LK5S	GTEX.11EQ9.1726.SM.5HL6U	GTEX.12696.2226.SM.5EQ65	TCGA.AG.3742.11A.01R.1660.07	TCGA.AF.2689.11A.01R.A32Z.07	TCGA.AG.3732.11A.01R.1660.07	TCGA.AF.2692.11A.01R.A32Z.07	TCGA.BR.A453.01A.11R.A24K.31	TCGA.FP.7735.11A.01R.2055.13	TCGA.FP.7829.11A.01R.2055.13	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.R55D.1526.SM.48FEJ
ABCA6	4.74	3.29	186.4	366.09	193.01	26.67	143.01	285.03	234.57	159.9	147.06	106.63	163.28	61.25	121.79	204.07	583.07	1073.91	463.65	656.11	693.58	583.07	1023.0	1674.06	1081.39	1233.75	236.21	473.41	1081.39	253.23	1088.92	738.29	1001.93	708.18	1709.26	633.73	507.46	384.34	18.03	0.0	81.71	61.68	31.67	27.05	8.71	32.59	15.34	249.73	88.88	409.15	223.41	126.12	182.55	511.0	111.99	343.89
AC010642.1	6.31	1.77	10.47	1.75	1.77	5.06	7.82	1.33	5.45	6.36	6.62	3.23	4.21	2.97	4.9	14.35	7.69	11.55	5.73	11.91	16.27	10.96	7.4	14.03	4.82	9.48	5.73	11.04	16.88	4.9	8.13	10.63	21.63	6.94	7.0	9.48	7.82	4.98	3.56	0.0	5.32	4.21	2.14	6.11	4.98	2.27	4.7	6.36	2.73	1.85	9.13	2.36	8.71	6.62	7.82	5.73
AC016722.2	8.85	21.32	13.12	9.56	23.93	29.91	25.72	30.34	59.55	42.41	24.46	16.15	7.0	8.0	18.16	81.71	35.25	76.71	63.89	36.79	52.45	44.57	40.36	54.72	63.89	49.21	53.57	65.26	36.79	28.24	49.21	53.57	53.57	51.71	70.51	38.67	35.76	49.56	3.72	10.24	23.25	9.85	39.22	23.76	6.06	7.88	25.72	46.84	17.0	53.95	22.26	47.17	52.82	39.5	54.72	44.57
AC105020.1	3.08	18.03	6.62	11.73	11.91	27.84	27.64	8.19	43.02	25.54	8.51	10.47	9.41	10.55	7.28	31.9	46.18	54.33	46.84	90.14	70.01	62.12	107.38	65.26	117.6	103.69	97.36	54.72	65.72	12.45	77.25	99.43	146.03	147.06	132.44	72.52	96.01	37.85	0.74	0.0	8.78	5.54	4.9	7.34	6.26	6.31	6.52	17.64	15.34	17.25	44.25	29.91	31.45	19.25	32.13	37.85
ADAMTS10	29.06	19.11	124.37	69.52	104.42	111.99	176.29	195.72	307.69	237.86	170.25	99.43	229.72	189.02	127.0	660.68	571.05	896.64	460.44	583.07	591.22	1216.75	688.78	928.3	647.07	854.13	579.04	684.02	830.75	463.65	669.92	775.05	1159.07	1199.98	733.19	1277.29	723.08	343.89	36.79	0.0	165.57	59.97	43.32	81.14	107.38	172.65	78.89	165.57	198.47	231.32	255.0	480.04	214.27	269.6	262.2	204.07
ADCY4	49.91	35.25	83.45	181.28	102.25	187.71	232.94	228.13	181.28	228.13	114.36	67.59	100.83	152.28	65.26	753.83	1167.14	1519.15	503.95	934.76	808.0	1794.29	1437.15	2997.45	1477.58	2148.82	599.49	796.86	1794.29	647.07	2335.28	2434.5	1819.35	2018.8	1250.98	2287.2	1208.34	642.59	49.56	0.0	197.09	48.52	146.03	78.34	73.03	74.06	115.97	157.68	237.86	295.11	267.73	555.41	212.78	500.46	341.51	307.69
AGAP2	4.13	28.24	26.67	21.63	16.75	6.26	38.95	33.54	36.27	51.35	43.02	32.82	64.34	14.24	13.52	88.26	103.69	68.07	143.01	84.04	140.04	66.65	186.4	320.8	134.3	211.31	104.42	194.36	248.0	25.91	166.73	273.37	116.78	199.85	158.79	159.9	145.02	105.15	70.01	65.72	13.32	3.35	6.94	8.99	7.4	16.03	5.73	28.65	69.52	43.63	47.5	46.5	28.86	29.48	39.5	156.59
AP001885.1	0.0	0.0	0.0	0.0	1.31	0.0	0.0	0.0	0.0	1.48	0.0	0.0	0.49	0.92	0.0	0.85	2.05	4.58	0.69	5.19	5.36	4.21	7.06	5.41	9.93	3.89	0.0	4.06	13.93	0.0	8.25	4.7	2.61	3.96	6.41	10.96	14.35	2.46	0.0	0.0	2.61	0.64	0.06	0.0	2.46	0.2	0.2	0.0	0.0	1.5	0.89	8.99	3.63	2.25	2.71	9.48
ARHGEF10	271.48	87.03	379.04	295.11	444.72	373.81	514.56	435.55	603.67	336.79	267.73	164.42	273.37	154.42	269.6	567.1	624.99	775.05	974.5	620.67	759.08	860.08	890.44	909.17	836.53	1143.1	406.31	647.07	759.08	591.22	961.07	785.88	872.1	775.05	775.05	733.19	497.0	476.71	52.82	0.0	309.83	208.38	376.41	173.85	320.8	327.56	231.32	348.71	260.38	555.41	341.51	368.65	457.25	595.34	128.79	353.59
ARHGEF15	38.4	18.16	117.6	204.07	87.03	57.89	237.86	189.02	237.86	167.9	84.04	52.45	51.71	100.83	33.78	320.8	684.02	620.67	343.89	497.0	295.11	371.22	454.09	775.05	476.71	417.77	170.25	236.21	314.17	341.51	444.72	466.88	395.18	444.72	283.05	629.35	229.72	205.5	40.07	0.0	191.67	43.63	71.5	44.25	54.72	55.1	47.17	75.64	126.12	205.5	155.5	297.17	132.44	232.94	152.28	251.48
