	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.UPIC.0926.SM.4IHLV	TCGA.49.6744.11A.01R.1858.07	TCGA.44.6146.11A.01R.1858.07	GTEX.139TT.0726.SM.5K7XW	GTEX.13111.0426.SM.5DUXR	GTEX.YF7O.0626.SM.4W21R	GTEX.OOBK.0526.SM.2HMJJ	GTEX.O5YW.0526.SM.2YUMX	GTEX.Y5V5.0826.SM.4VBQD	GTEX.13FTZ.0526.SM.5IJCW	GTEX.TMMY.0926.SM.4TT1Z	GTEX.PVOW.1026.SM.2XCF9	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.WZTO.0426.SM.3NM99	GTEX.11WQC.0626.SM.5EQMF	GTEX.YB5E.0726.SM.4VDSH	GTEX.P4PQ.0526.SM.2HMKR	GTEX.111YS.0626.SM.5GZXV	GTEX.131XW.1126.SM.5EGK4	GTEX.131YS.0926.SM.5IJB9	GTEX.OXRO.0326.SM.33HBM	GTEX.WOFM.0126.SM.3MJFE	GTEX.YEC3.0226.SM.5IFJO	GTEX.WFON.0426.SM.3GIL4	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.13N1W.0726.SM.5MR57	GTEX.WRHU.0226.SM.3MJFV	GTEX.13O3Q.0526.SM.5KM18	GTEX.OIZI.1026.SM.3NB1K	GTEX.UJHI.0726.SM.3DB92	GTEX.ZLWG.0626.SM.4WWFR	GTEX.X4LF.0526.SM.3NMB6	GTEX.14DAR.0226.SM.5S2PR	GTEX.Q2AG.1026.SM.33HBW	GTEX.XQ8I.1126.SM.4BOO2	GTEX.OXRL.0526.SM.2I3EZ	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.QMRM.0826.SM.3NB33	TCGA.22.5472.11A.11R.1635.07	TCGA.22.4609.11A.01R.2125.07	TCGA.77.7142.11A.01R.2045.07
AC096677.1	1.46	0.0	1.95	2.78	44.57	52.82	98.04	11.04	4.13	17.0	34.51	11.55	61.68	14.67	62.12	4.1	14.89	9.85	0.71	11.55	75.64	150.17	5.77	8.19	34.51	83.45	26.1	76.17	14.35	8.51	24.99	10.08	9.63	18.16	42.11	146.03	9.78	9.85	11.38	13.32	15.68	70.01	22.59	16.51	0.0	8.85	25.17	10.24	46.18	56.28	32.36	16.39
ACAP2	53.95	86.43	48.87	73.03	447.82	414.87	629.35	297.17	267.73	110.43	193.01	457.25	693.58	271.48	1605.83	181.28	314.17	299.25	165.57	139.07	314.17	748.61	231.32	165.57	463.65	497.0	928.3	612.11	336.79	229.72	325.29	190.34	281.09	134.3	493.56	567.1	237.86	194.36	297.17	256.78	205.5	1001.93	166.73	242.88	323.03	161.02	194.36	514.56	525.39	444.72	323.03	423.61
AFAP1L1	130.6	47.17	32.36	45.21	493.56	438.59	500.46	249.73	348.71	190.34	423.61	376.41	753.83	206.94	698.41	563.18	387.02	153.34	312.0	275.28	624.99	1651.0	176.29	211.31	480.04	825.0	819.3	2240.11	397.93	226.54	299.25	323.03	361.04	796.86	1322.37	1733.13	320.8	197.09	339.14	329.84	267.73	1721.16	239.52	358.54	277.2	195.72	463.65	356.05	713.11	457.25	297.17	348.71
AIDA	332.14	438.59	303.44	429.54	1572.76	1417.35	1883.54	591.22	1111.82	954.43	1111.82	1572.76	1295.13	1151.06	1857.6	1008.9	1143.1	1044.52	836.53	1159.07	1950.0	1991.0	934.76	902.89	1427.22	2061.24	1639.59	2047.0	890.44	1135.2	1487.87	954.43	1350.18	995.0	2148.82	1572.76	1059.11	830.75	1286.18	909.17	748.61	2875.3	884.29	1208.34	1259.69	896.64	988.12	974.5	1216.75	1397.83	1350.18	1781.89
ANKIB1	108.14	57.08	57.89	81.14	361.04	389.72	251.48	260.38	226.54	194.36	283.05	346.29	389.72	371.22	679.29	185.11	256.78	267.73	162.14	198.47	473.41	470.14	201.25	198.47	303.44	587.13	555.41	325.29	253.23	264.03	361.04	244.57	303.44	237.86	450.94	412.0	339.14	318.57	246.28	275.28	180.02	860.08	147.06	295.11	387.02	226.54	343.89	361.04	450.94	346.29	320.8	368.65
ANP32E	163.28	223.41	140.04	389.72	733.19	651.58	1015.93	559.28	603.67	208.38	497.0	656.11	825.0	426.57	1096.5	265.87	563.18	381.68	426.57	277.2	909.17	1447.15	291.04	381.68	693.58	688.78	860.08	1769.57	674.59	463.65	647.07	470.14	836.53	500.46	981.29	825.0	312.0	287.01	848.22	493.56	351.14	1359.57	412.0	316.37	532.74	124.37	267.73	392.44	529.06	638.15	642.59	684.02
AP1S3	42.41	21.01	8.06	15.34	293.07	264.03	129.69	92.05	108.9	140.04	202.66	239.52	141.02	149.12	426.57	176.29	281.09	98.73	145.02	110.43	175.07	124.37	44.57	105.89	193.01	211.31	353.59	327.56	115.16	126.12	361.04	128.79	195.72	249.73	249.73	223.41	109.66	161.02	358.54	165.57	175.07	595.34	132.44	273.37	92.7	98.04	124.37	114.36	253.23	172.65	154.42	226.54
APOL3	373.81	406.31	460.44	397.93	1651.0	1991.0	1832.01	921.88	1191.69	470.14	1709.26	2976.74	3491.39	842.36	3614.55	1437.15	2434.5	1008.9	1268.46	2367.9	4181.07	11035.54	1498.22	836.53	988.12	8658.09	3874.05	3874.05	426.57	1427.22	780.44	1407.55	2209.26	4704.07	2319.15	3820.7	860.08	1081.39	808.0	1561.89	1167.14	7749.1	497.0	878.17	1498.22	500.46	1709.26	941.27	3257.52	1685.71	1923.14	1605.83
ARHGEF12	187.71	353.59	438.59	406.31	1295.13	1111.82	2319.15	647.07	529.06	547.75	961.07	954.43	1617.0	708.18	1794.29	808.0	808.0	567.1	551.56	860.08	2004.85	3257.52	559.28	575.03	1304.15	1397.83	1721.16	1487.87	587.13	575.03	934.76	638.15	954.43	1127.35	1674.06	2335.28	633.73	591.22	753.83	603.67	651.58	2816.11	629.35	738.29	674.59	441.64	733.19	872.1	1259.69	1242.34	1191.69	1183.45
ATF2	123.5	193.01	122.64	135.24	525.39	500.46	555.41	343.89	406.31	202.66	389.72	529.06	723.08	447.82	967.76	303.44	387.02	297.17	273.37	262.2	514.56	612.11	283.05	246.28	420.68	656.11	934.76	599.49	412.0	309.83	426.57	325.29	353.59	283.05	555.41	514.56	403.5	435.55	356.05	351.14	275.28	866.07	303.44	341.51	432.53	314.17	299.25	379.04	612.11	507.46	438.59	543.96
