	TCGA.AR.A0TY.01A.12R.A115.07	GTEX.T6MO.1426.SM.4DM73	TCGA.2Z.A9JJ.01A.11R.A42S.07	TCGA.A4.7828.01A.11R.2139.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.13FLV.0326.SM.5N9DJ	GTEX.PX3G.0826.SM.48TZS	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QV44.0326.SM.4R1KD	GTEX.X3Y1.2726.SM.4PQZH	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.Q734.0326.SM.48U15	GTEX.1212Z.0226.SM.59HLF	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	GTEX.R53T.0326.SM.48FEC	TCGA.EL.A3GZ.01A.11R.A20F.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.BJ.A45J.01A.11R.A23W.07	TCGA.EM.A1CU.01A.11R.A13Y.07	TCGA.MK.A4N7.01A.11R.A250.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.EM.A3FJ.01A.11R.A21D.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.FE.A3PD.01A.11R.A220.07	TCGA.EM.A3O7.01A.11R.A220.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.E3.A3DY.01A.11R.A20F.07	TCGA.DJ.A1QI.01A.11R.A14Y.07	TCGA.DJ.A2Q7.01A.11R.A18C.07	TCGA.BJ.A0Z3.01A.11R.A13Y.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.DJ.A4V5.01A.11R.A250.07	TCGA.DJ.A3UU.01A.11R.A22L.07	GTEX.11TT1.1126.SM.5P9GV
ABI2	406.31	435.55	620.67	616.37	151.22	169.07	118.43	143.01	297.17	128.79	93.35	239.52	348.71	246.28	269.6	217.27	123.5	376.41	262.2	54.72	187.71	262.2	854.13	579.04	860.08	536.45	878.17	1023.0	753.83	688.78	1059.11	493.56	684.02	1127.35	1001.93	988.12	748.61	830.75	854.13	796.86	587.13	902.89	518.15
AHCYL1	1551.09	1883.54	3081.75	1508.65	490.14	647.07	684.02	638.15	1023.0	684.02	941.27	1674.06	1447.15	1487.87	1427.22	1088.92	1008.9	1151.06	642.59	902.89	981.29	2271.4	2537.92	1304.15	2163.77	954.43	1359.57	2895.31	1950.0	1844.76	2119.22	1407.55	2119.22	2209.26	2240.11	2335.28	1923.14	1806.78	2148.82	1388.16	1397.83	2104.58	2047.0
ANP32E	669.92	555.41	854.13	738.29	348.71	332.14	397.93	356.05	376.41	293.07	336.79	583.07	309.83	559.28	412.0	463.65	450.94	208.38	255.0	318.57	253.23	312.0	764.36	583.07	802.41	460.44	567.1	884.29	860.08	866.07	896.64	733.19	759.08	836.53	830.75	896.64	836.53	748.61	638.15	579.04	483.38	638.15	532.74
ASCL5	1.66	8.58	4.35	0.39	0.0	0.0	0.0	0.0	0.92	0.33	0.0	0.0	0.0	0.0	0.0	0.0	3.08	4.58	0.0	0.0	0.0	0.0	8.99	18.16	17.77	6.26	10.88	12.74	6.21	25.91	4.9	4.24	17.13	10.96	43.02	11.82	9.2	11.38	12.36	7.57	14.67	23.25	1.62
ATP6V1A	764.36	454.09	1191.69	665.29	228.13	320.8	307.69	329.84	358.54	339.14	409.15	563.18	579.04	497.0	551.56	490.14	329.84	486.75	323.03	373.81	435.55	703.28	1268.46	514.56	872.1	571.05	813.63	884.29	769.69	842.36	947.83	612.11	669.92	785.88	941.27	915.51	808.0	698.41	759.08	483.38	543.96	665.29	808.0
BBS1	363.56	674.59	902.89	642.59	99.43	165.57	145.02	148.09	351.14	169.07	218.79	178.77	193.01	253.23	187.71	332.14	165.57	376.41	185.11	81.14	155.5	295.11	1015.93	825.0	848.22	616.37	872.1	1151.06	808.0	860.08	1081.39	642.59	928.3	941.27	1059.11	941.27	1037.29	848.22	961.07	802.41	688.78	1073.91	825.0
BHLHE41	90.14	16496.96	2018.8	2004.85	2.76	9.13	5.92	22.26	327.56	118.43	12.55	12.0	23.25	14.56	35.0	5.54	31.45	258.57	77.79	16.51	18.16	2.46	2855.44	2163.77	6207.38	1769.57	5006.93	6983.79	3874.05	5403.7	7911.95	1143.1	6381.92	5479.15	4066.71	5366.37	4210.15	4388.98	4903.87	4481.23	2004.85	5751.61	1023.0
BNIPL	41.22	7.28	4.03	2.25	1.69	0.0	22.59	9.7	10.96	5.11	3.03	5.68	7.63	3.44	5.23	1.28	4.31	19.25	7.69	2.76	4.9	7.57	896.64	371.22	559.28	713.11	551.56	1037.29	208.38	599.49	575.03	159.9	457.25	571.05	438.59	693.58	860.08	688.78	616.37	620.67	483.38	486.75	50.98
BRD7	961.07	1233.75	1477.58	1216.75	785.88	647.07	620.67	412.0	743.43	651.58	493.56	1159.07	780.44	587.13	620.67	571.05	529.06	1051.79	674.59	529.06	785.88	1059.11	1277.29	1088.92	1594.73	1143.1	1268.46	1369.04	1388.16	1268.46	1540.37	1191.69	1183.45	1225.22	1605.83	1286.18	1369.04	1268.46	1183.45	974.5	947.83	1225.22	921.88
C1orf216	226.54	232.94	144.01	169.07	52.82	80.01	59.97	40.07	117.6	37.05	67.59	85.82	82.29	56.28	94.67	103.69	73.54	139.07	74.06	29.7	109.66	76.71	307.69	234.57	303.44	187.71	214.27	295.11	267.73	287.01	305.55	251.48	384.34	271.48	320.8	312.0	395.18	346.29	318.57	249.73	218.79	283.05	190.34
