	GTEX.SE5C.1026.SM.4BRUG	TCGA.AZ.6605.11A.01R.1839.07	GTEX.146FH.1926.SM.5Q5B2	GTEX.139D8.1426.SM.5IJEX	GTEX.131XE.1226.SM.5EGKF	GTEX.R53T.1026.SM.48FCO	GTEX.146FH.1626.SM.5NQ9H	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.11TUW.2426.SM.5EQKB	GTEX.13CF2.2426.SM.5LZYL	GTEX.WZTO.2126.SM.4PQYW	GTEX.T5JC.1926.SM.4DM6Q	GTEX.13X6H.1626.SM.5Q5CT	GTEX.U8T8.1226.SM.4E3IH	GTEX.Y114.1226.SM.4TT88	GTEX.11EQ9.1226.SM.5987E	GTEX.P4QT.1526.SM.3NMCT	GTEX.ZV6S.0926.SM.57WGB	GTEX.WH7G.1526.SM.4LVMX	GTEX.UPIC.1826.SM.4IHKC	GTEX.13N1W.2026.SM.5K7YU	GTEX.R55D.1526.SM.48FEJ	GTEX.TKQ1.0526.SM.4DXTG	GTEX.Q734.1626.SM.48U1B
AL161915.1	34.75	63.45	82.87	102.97	94.01	77.25	95.34	0.0	0.14	1.77	21.78	74.06	67.12	22.43	12.18	9.63	18.29	15.0	26.47	16.51	42.71	14.67	38.95	24.11	94.67
ARAP1	759.08	1066.48	1540.37	2627.46	2119.22	1883.54	1467.37	0.0	0.77	490.14	1286.18	1159.07	1023.0	674.59	669.92	353.59	460.44	409.15	507.46	688.78	872.1	525.39	728.11	536.45	2133.97
BCS1L	493.56	819.3	1119.56	974.5	1359.57	896.64	1397.83	0.0	0.0	228.13	733.19	813.63	753.83	521.76	353.59	373.81	450.94	371.22	351.14	417.77	612.11	409.15	674.59	409.15	1268.46
C19orf60	703.28	961.07	1844.76	1936.53	1870.53	1322.37	1572.76	0.0	0.73	312.0	1794.29	1313.23	1417.35	785.88	403.5	470.14	1073.91	796.86	738.29	660.68	1286.18	708.18	808.0	647.07	1437.15
CACYBP	2796.65	1639.59	2163.77	2209.26	2367.9	2537.92	1844.76	0.0	0.0	629.35	1936.53	1175.27	1304.15	1709.26	575.03	1135.2	967.76	967.76	1295.13	1447.15	1529.73	633.73	1883.54	1304.15	4123.49
CASC10	20.26	12.09	24.81	41.52	24.46	37.05	23.93	0.0	0.03	4.9	18.03	30.34	20.86	15.0	10.0	6.36	6.41	14.03	6.46	7.11	14.56	8.25	15.0	8.85	67.12
CBY3	13.22	6.26	53.19	37.32	37.05	34.51	42.41	0.0	0.0	0.25	4.17	17.13	12.27	3.69	6.67	1.97	5.77	1.83	4.78	3.38	17.51	15.68	12.09	8.45	29.7
CCBL1	91.41	187.71	241.19	253.23	262.2	220.32	209.84	0.0	0.43	27.64	132.44	132.44	169.07	75.64	43.02	88.26	53.19	76.71	60.82	68.55	135.24	117.6	108.9	52.45	209.84
CUL7	187.71	279.14	277.2	281.09	289.02	351.14	332.14	0.0	0.47	118.43	199.85	255.0	175.07	177.53	85.82	100.83	114.36	120.94	138.1	130.6	244.57	122.64	134.3	131.51	536.45
CYB561A3	728.11	406.31	769.69	974.5	954.43	848.22	872.1	0.0	0.53	438.59	660.68	988.12	599.49	647.07	309.83	490.14	463.65	373.81	563.18	480.04	934.76	435.55	769.69	457.25	1175.27
DES	1364554.84	919186.72	81809.59	256748.15	159145.95	159145.95	148488.36	0.0	0.73	17197.56	2924988.47	945028.61	1026995.62	1246973.04	1545882.32	677564.08	1108362.75	659036.03	912837.43	1800541.22	1452391.55	1048575.0	1063212.58	691801.16	18304.63
DHODH	148.09	147.06	177.53	165.57	214.27	145.02	186.4	0.0	0.27	40.64	183.82	134.3	128.79	117.6	138.1	115.16	105.15	114.36	119.26	134.3	197.09	100.13	152.28	116.78	211.31
DHRS4-AS1	50.63	101.54	163.28	122.64	182.55	182.55	158.79	0.0	0.22	37.05	76.17	253.23	105.15	117.6	0.0	32.82	25.17	44.57	84.04	48.18	132.44	38.95	90.77	17.64	231.32
DLEU1	239.52	97.36	218.79	206.94	224.97	376.41	239.52	0.0	0.29	158.79	265.87	244.57	224.97	86.43	86.43	80.01	57.08	80.01	70.51	125.24	82.29	80.01	312.0	51.35	102.25
FASTKD1	368.65	205.5	392.44	587.13	567.1	595.34	466.88	0.0	0.16	171.45	660.68	198.47	373.81	128.79	74.58	120.94	99.43	132.44	125.24	149.12	114.36	162.14	301.33	96.01	346.29
FKBP4	4607.24	1268.46	2287.2	3124.78	3491.39	3081.75	2855.44	0.0	0.27	896.64	1870.53	1467.37	1508.65	780.44	518.15	480.04	1044.52	995.0	819.3	759.08	878.17	656.11	1697.45	1030.12	5441.3
GAS2L1	921.88	629.35	1143.1	2287.2	1417.35	1457.23	1467.37	0.0	0.47	441.64	624.99	738.29	470.14	417.77	299.25	275.28	642.59	733.19	395.18	599.49	629.35	202.66	842.36	423.61	728.11
GCK	13.52	10.63	100.83	33.78	42.71	88.26	82.87	0.0	0.22	0.72	18.97	31.22	46.5	22.92	3.0	12.27	21.94	9.27	8.19	20.26	14.78	6.52	4.03	7.0	105.89
GPR137	1369.04	743.43	1639.59	1304.15	1733.13	1417.35	1806.78	0.0	0.62	309.83	463.65	884.29	909.17	791.35	215.77	341.51	624.99	470.14	884.29	624.99	665.29	358.54	718.08	915.51	1008.9
GRK4	125.24	178.77	180.02	265.87	197.09	143.01	201.25	0.0	0.24	71.0	123.5	111.99	180.02	61.25	80.01	41.22	74.06	124.37	91.41	71.5	79.45	73.03	102.25	92.7	85.22
HEMK1	295.11	420.68	620.67	563.18	599.49	518.15	616.37	0.0	0.25	154.42	211.31	426.57	389.72	215.77	69.03	111.99	141.02	173.85	166.73	149.12	379.04	231.32	293.07	194.36	836.53
HIBCH	406.31	454.09	775.05	361.04	607.87	583.07	583.07	0.0	0.37	303.44	1088.92	518.15	693.58	444.72	104.42	204.07	279.14	316.37	426.57	211.31	423.61	450.94	447.82	348.71	1030.12
HSD17B4	1447.15	1498.22	2520.38	2209.26	2303.12	2384.37	2520.38	0.0	0.16	1832.01	1674.06	2047.0	1923.14	2004.85	961.07	1259.69	1119.56	1551.09	1159.07	1242.34	1350.18	1936.53	1721.16	1540.37	1977.24
KPTN	246.28	193.01	426.57	314.17	236.21	291.04	397.93	0.0	0.39	84.04	208.38	148.09	127.89	94.01	165.57	77.25	132.44	194.36	102.97	68.55	97.36	65.72	229.72	97.36	497.0
LMAN2L	363.56	651.58	866.07	563.18	693.58	629.35	753.83	0.0	0.28	78.89	269.6	414.87	395.18	327.56	186.4	173.85	212.78	236.21	248.0	303.44	318.57	246.28	316.37	301.33	1250.98
LRFN4	255.0	183.82	412.0	480.04	277.2	551.56	368.65	0.0	0.78	90.14	334.46	343.89	299.25	85.82	120.1	92.7	55.89	182.55	111.21	208.38	236.21	22.43	147.06	73.03	303.44
LRRC45	153.34	131.51	297.17	348.71	397.93	361.04	343.89	0.0	0.19	120.1	115.97	228.13	135.24	104.42	38.67	49.56	76.17	64.8	80.57	97.36	128.79	67.12	147.06	74.06	211.31
MRPS14	769.69	624.99	753.83	674.59	728.11	785.88	713.11	0.0	0.48	307.69	493.56	703.28	802.41	738.29	215.77	444.72	279.14	351.14	595.34	507.46	743.43	406.31	669.92	403.5	713.11
MTERF	97.36	105.15	131.51	157.68	204.07	190.34	146.03	0.0	0.0	30.78	139.07	152.28	244.57	71.5	45.21	55.49	56.28	36.53	39.79	59.55	111.21	5.96	73.03	62.56	283.05
MTFR1	299.25	361.04	341.51	503.95	336.79	521.76	387.02	0.0	0.66	194.36	503.95	392.44	403.5	273.37	241.19	275.28	217.27	224.97	363.56	323.03	249.73	361.04	361.04	281.09	353.59
NAPEPLD	90.14	166.73	277.2	241.19	189.02	339.14	248.0	0.0	0.19	48.87	80.01	195.72	265.87	138.1	90.77	58.3	88.26	84.04	99.43	134.3	172.65	141.02	158.79	109.66	175.07
PAPOLA	2271.4	1662.49	2075.59	2777.33	2255.7	2609.3	2061.24	0.0	0.8	1295.13	1001.93	1617.0	2271.4	1519.15	1605.83	1286.18	1397.83	1417.35	1551.09	1286.18	1151.06	2434.5	1769.57	1551.09	3419.52
