	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A4OE.01A.11R.A260.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.VR.A8EU.01A.11R.A36D.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.145MO.1426.SM.5Q5BS	GTEX.12WSL.1526.SM.5GCP8	GTEX.11EM3.0826.SM.5N9CC	GTEX.12KS4.0926.SM.5BC5S	GTEX.R3RS.1326.SM.48FE7	GTEX.ZE9C.1126.SM.4WWBD	GTEX.13CF3.1626.SM.5IFG9	GTEX.X15G.0826.SM.4PQZD	GTEX.Y3I4.1226.SM.4TT8N	GTEX.12696.1326.SM.5FQTJ	GTEX.QEG4.0726.SM.4R1JL	GTEX.XK95.1026.SM.4GIDV	GTEX.13X6H.1326.SM.5LU42	GTEX.1497J.2726.SM.5SI9W	GTEX.UJHI.0826.SM.4IHLM	GTEX.11LCK.1726.SM.5S2OQ	GTEX.111YS.0926.SM.5EGGI	GTEX.131YS.1426.SM.5IJF7	GTEX.WH7G.0926.SM.4LVMJ	GTEX.WFG8.1226.SM.4V6EI	GTEX.14DAQ.1426.SM.5RQJD	GTEX.WFJO.0826.SM.4LVM5	GTEX.11NUK.1326.SM.5P9GN	GTEX.XUJ4.1026.SM.4BOPB	GTEX.QEG5.1426.SM.447AS	GTEX.14BIN.2726.SM.5RQIE	GTEX.13111.0826.SM.5LZV3	GTEX.14C38.2126.SM.5RQJO	GTEX.146FR.0426.SM.5SI97	GTEX.ZYVF.2226.SM.5GIDD	GTEX.RN64.1026.SM.48FDX	GTEX.Y8E4.1726.SM.5LU9G	GTEX.T2IS.0826.SM.4DM6L	GTEX.11ZTS.2626.SM.5EGIC	GTEX.ZGAY.1126.SM.4WWBS	GTEX.ZYY3.1526.SM.5SIA9	GTEX.OXRL.0626.SM.3NM9C	GTEX.XV7Q.1126.SM.4BRVS	GTEX.R55E.1326.SM.48FCR	GTEX.13OVG.0626.SM.5IFEP	GTEX.ZUA1.1226.SM.5NQ6O	TCGA.CN.4726.01A.01R.1436.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CR.7391.01A.11R.2016.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.BA.5151.01A.01R.1436.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CV.7252.11A.01R.2016.07	TCGA.CV.7406.11A.01R.2081.07	TCGA.CV.6962.11A.01R.1915.07	TCGA.CV.6955.11A.01R.2016.07	TCGA.CV.6936.11A.01R.1915.07	TCGA.CV.6943.11A.01R.1915.07	TCGA.CV.7250.11A.01R.2016.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.CV.7177.11A.01R.2016.07	TCGA.CV.7437.11A.01R.2132.07	TCGA.CV.6935.11A.01R.1915.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZQG8.2126.SM.4YCF1	GTEX.XMK1.2626.SM.4B65R	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
ABHD16B	171.45	265.87	182.55	182.55	149.12	175.07	260.38	129.69	135.24	167.9	199.85	205.5	129.69	155.5	103.69	120.94	133.36	120.1	301.33	320.8	194.36	232.94	234.57	209.84	295.11	208.38	231.32	223.41	244.57	202.66	163.28	212.78	82.29	158.79	190.34	183.82	332.14	162.14	323.03	242.88	149.12	246.28	154.42	221.86	441.64	162.14	212.78	265.87	171.45	171.45	180.02	237.86	251.48	90.14	291.04	26.28	61.25	69.03	93.35	95.34	45.85	89.51	111.21	42.11	37.32	100.83	101.54	74.58	82.87	59.55	60.39	29.06	60.39	86.43	108.14	119.26	0.0	0.36	50.63	161.02	60.39	59.97	84.04	87.65	102.25	76.17
ABHD17A	2351.53	1286.18	1844.76	1721.16	1208.34	1331.57	2104.58	1242.34	1313.23	1721.16	1651.0	1369.04	1447.15	2537.92	1870.53	1183.45	1268.46	1467.37	1721.16	2520.38	1378.57	1529.73	1662.49	1733.13	3190.46	2367.9	1159.07	1977.24	1457.23	1277.29	1111.82	2384.37	1709.26	1498.22	1628.26	1487.87	2835.7	1628.26	1794.29	3060.45	1350.18	1477.58	1135.2	2032.85	3639.7	1457.23	2777.33	2875.3	1745.2	2032.85	1477.58	1745.2	2090.03	1183.45	2018.8	1175.27	1268.46	1015.93	1051.79	1397.83	1216.75	688.78	713.11	764.36	1073.91	1059.11	1233.75	1151.06	1540.37	974.5	1268.46	1096.5	1467.37	813.63	1313.23	1551.09	0.0	0.68	1037.29	1233.75	1685.71	1685.71	1233.75	1721.16	1073.91	1832.01
AC008443.1	1.45	656.11	0.0	158.79	327.56	307.69	0.0	190.34	25.17	84.63	182.55	0.0	187.71	31.0	50.27	14.24	18.56	101.54	123.5	98.04	14.78	53.95	33.06	69.03	152.28	90.77	26.67	70.51	23.42	34.51	14.45	86.43	38.4	21.63	101.54	47.17	127.0	9.48	94.01	111.99	7.4	94.01	24.99	132.44	103.69	63.45	107.38	81.14	18.43	115.16	56.28	61.68	98.04	30.56	143.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64	0.0	0.0	0.21	0.01	0.0	0.0
AC015987.2	6699.25	2468.49	1259.69	1059.11	1008.9	3639.7	642.59	3325.99	3168.41	4607.24	1721.16	2018.8	1191.69	1023.0	3614.55	1427.22	954.43	2287.2	2287.2	3928.15	1388.16	1498.22	1757.34	1819.35	4298.64	3443.31	1081.39	2682.69	1540.37	1561.89	1167.14	2855.44	1369.04	1806.78	1896.65	1259.69	3257.52	1757.34	2701.35	3372.43	1030.12	2468.49	1216.75	2701.35	3491.39	1870.53	2133.97	3349.13	1457.23	1950.0	1551.09	2047.0	2520.38	1583.71	3018.3	2061.24	1378.57	988.12	587.13	1407.55	1477.58	974.5	1697.45	1388.16	1508.65	896.64	1437.15	1066.48	1806.78	1697.45	1407.55	1457.23	2520.38	1119.56	1457.23	1639.59	1066.48	1167.14	2682.69	1051.79	1628.26	2133.97	1832.01	4736.79	3190.46	5594.3
ADRBK1	2133.97	2255.7	2163.77	1417.35	2303.12	1950.0	3639.7	2335.28	2573.36	1977.24	2502.97	2004.85	1781.89	2119.22	2209.26	1617.0	1733.13	2133.97	2627.46	2451.44	2209.26	1950.0	1950.0	1883.54	3235.01	2451.44	1857.6	2018.8	2193.99	1896.65	1769.57	2133.97	1721.16	1844.76	1806.78	1936.53	2434.5	1977.24	2224.63	2664.15	2178.83	2468.49	1561.89	2061.24	2502.97	1721.16	2537.92	2502.97	1733.13	1950.0	2287.2	1662.49	2573.36	1498.22	2104.58	995.0	974.5	1066.48	1191.69	1519.15	1037.29	1259.69	842.36	954.43	1457.23	961.07	1407.55	1709.26	1674.06	1427.22	1583.71	651.58	1447.15	1313.23	1487.87	1561.89	587.13	151.22	703.28	1119.56	1896.65	1617.0	961.07	1447.15	884.29	825.0
AL132989.1	1.48	10.0	7.17	2.97	31.0	11.82	0.55	8.51	6.89	6.89	7.82	9.34	5.19	2.12	3.11	4.9	2.89	23.76	20.56	5.54	4.82	9.7	15.11	14.78	10.88	4.86	3.96	18.43	15.56	8.78	11.64	15.91	5.36	5.15	15.8	10.16	11.21	4.31	9.13	12.0	3.35	7.51	8.06	14.45	6.26	16.63	18.29	19.25	8.38	18.97	17.64	15.91	14.67	2.61	8.0	0.0	0.0	1.51	1.64	5.68	1.75	2.27	1.97	1.14	9.78	1.28	4.17	0.0	0.0	2.73	0.0	0.0	1.79	3.44	0.0	0.68	0.0	0.21	0.93	2.29	0.61	1.23	0.72	0.48	0.0	0.0
ALS2CL	8022.41	4937.99	10440.2	2664.15	8598.28	3168.41	3955.48	6887.62	2209.26	12589.08	8134.41	3768.09	890.44	9945.68	2720.15	2367.9	1769.57	3060.45	6381.92	4512.4	1923.14	2816.11	2119.22	3280.18	3081.75	4298.64	1936.53	3190.46	3081.75	2090.03	1508.65	3742.05	2335.28	2468.49	3768.09	2163.77	2816.11	3280.18	3665.02	4181.07	2739.08	4066.71	2193.99	3847.29	3982.99	2796.65	3928.15	3901.01	2319.15	3124.78	2720.15	2935.74	3039.3	3280.18	3639.7	141.02	647.07	1015.93	143.01	660.68	836.53	759.08	373.81	775.05	1709.26	454.09	1286.18	769.69	974.5	1001.93	669.92	753.83	842.36	1697.45	890.44	748.61	0.0	1.03	954.43	583.07	11424.74	1769.57	2935.74	3589.58	3190.46	1909.85
AMMECR1L	146.03	283.05	221.86	237.86	246.28	249.73	190.34	223.41	269.6	173.85	199.85	256.78	191.67	190.34	314.17	202.66	150.17	341.51	262.2	201.25	202.66	231.32	180.02	214.27	267.73	316.37	209.84	305.55	206.94	194.36	237.86	195.72	228.13	199.85	251.48	242.88	281.09	187.71	242.88	241.19	205.5	314.17	206.94	258.57	239.52	176.29	255.0	285.03	166.73	312.0	271.48	279.14	241.19	209.84	265.87	226.54	152.28	265.87	165.57	183.82	122.64	277.2	341.51	211.31	215.77	194.36	175.07	208.38	172.65	255.0	157.68	96.68	148.09	193.01	158.79	152.28	343.89	934.76	159.9	180.02	147.06	242.88	187.71	133.36	176.29	124.37
AMN	2835.7	189.02	211.31	29.27	297.17	503.95	71.0	45.85	17.77	50.98	420.68	571.05	12.74	157.68	563.18	473.41	361.04	728.11	748.61	642.59	536.45	785.88	403.5	339.14	540.19	819.3	281.09	656.11	351.14	395.18	320.8	406.31	490.14	384.34	466.88	507.46	514.56	921.88	500.46	775.05	384.34	507.46	381.68	567.1	759.08	389.72	579.04	607.87	429.54	708.18	616.37	733.19	603.67	371.22	406.31	5.96	30.78	269.6	6.46	46.84	63.0	23.42	20.41	21.01	94.67	32.82	167.9	149.12	164.42	61.25	189.02	98.73	70.51	82.29	173.85	198.47	0.0	0.68	171.45	34.02	289.02	1721.16	514.56	253.23	193.01	291.04
ANAPC2	381.68	884.29	915.51	647.07	836.53	607.87	1037.29	684.02	603.67	854.13	967.76	775.05	669.92	866.07	775.05	651.58	563.18	947.83	1111.82	866.07	633.73	688.78	698.41	1008.9	1044.52	974.5	647.07	764.36	872.1	679.29	591.22	981.29	848.22	743.43	921.88	595.34	1111.82	934.76	842.36	1119.56	759.08	836.53	651.58	954.43	1313.23	688.78	1183.45	1001.93	728.11	890.44	866.07	607.87	928.3	791.35	974.5	312.0	460.44	389.72	417.77	532.74	507.46	334.46	314.17	343.89	497.0	389.72	507.46	514.56	571.05	426.57	366.09	211.31	432.53	447.82	551.56	511.0	0.0	0.91	147.06	507.46	376.41	277.2	414.87	307.69	361.04	301.33
