	TCGA.BH.A0B2.01A.11R.A10J.07.1	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.BH.A0DT.11A.12R.A12D.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A18Q.11A.34R.A12D.07	TCGA.A7.A0DC.11A.41R.A089.07.1	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.W5X1.2326.SM.3GIL6	TCGA.FV.A3R3.01A.11R.A22L.07	TCGA.K7.AAU7.01A.11R.A38B.07	TCGA.CC.5261.01A.01R.A131.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.BC.A3KG.01A.11R.A213.07	TCGA.DD.A4NB.01A.12R.A266.07	TCGA.ED.A97K.01A.21R.A38B.07	TCGA.BC.A216.01A.11R.A155.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.RTLS.1326.SM.46MUN	GTEX.YB5E.0326.SM.5IFHU	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.13FTZ.0726.SM.5IFFY	GTEX.13N11.0926.SM.5IJG2	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.QESD.2026.SM.447BI	GTEX.139TU.0826.SM.5IJFG	GTEX.14DAQ.1726.SM.5S2R2	GTEX.RN64.1826.SM.48FDV	GTEX.1497J.0726.SM.5Q5D1	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.WFON.1726.SM.4LVMQ
ABI2	698.41	878.17	872.1	525.39	890.44	1081.39	1066.48	854.13	525.39	848.22	1001.93	262.2	503.95	366.09	130.6	607.87	275.28	279.14	312.0	78.89	99.43	275.28	128.79	124.37	31.0	164.42	224.97	295.11	114.36	239.52	129.69	131.51	105.15	115.97	334.46	209.84	224.97	123.5	262.2	140.04
ACAP2	223.41	540.19	567.1	395.18	387.02	651.58	460.44	529.06	395.18	620.67	836.53	197.09	172.65	237.86	63.89	283.05	249.73	277.2	149.12	48.87	135.24	164.42	102.97	89.51	45.85	120.94	156.59	155.5	74.06	236.21	92.7	65.72	88.26	136.19	118.43	46.84	125.24	67.12	103.69	126.12
AP1AR	348.71	521.76	633.73	371.22	463.65	629.35	547.75	429.54	371.22	490.14	587.13	293.07	376.41	217.27	105.89	426.57	312.0	305.55	329.84	82.29	277.2	182.55	193.01	483.38	146.03	271.48	138.1	239.52	255.0	275.28	199.85	253.23	312.0	218.79	358.54	214.27	137.14	221.86	273.37	265.87
APOC2	1242.34	63.0	206.94	98.04	31.0	105.89	117.6	55.49	98.04	153.34	35.76	253213.41	46019.85	145432.49	273275.14	181548.07	152662.96	27553.49	207103.59	143430.26	408505.64	741454.2	593956.43	805764.22	135693.24	469249.9	506427.83	1355129.16	1412675.8	663619.99	402881.61	610654.84	932018.1	654483.73	783730.52	475800.4	434801.29	834179.46	598087.73	434801.29
ATF7	371.22	928.3	902.89	674.59	769.69	1199.98	947.83	995.0	674.59	842.36	1388.16	314.17	429.54	379.04	166.73	466.88	423.61	314.17	339.14	155.5	246.28	175.07	285.03	223.41	169.07	193.01	147.06	190.34	181.28	275.28	145.02	195.72	125.24	214.27	301.33	215.77	234.57	226.54	281.09	138.1
ATXN1	281.09	409.15	406.31	312.0	305.55	368.65	363.56	406.31	312.0	476.71	536.45	147.06	224.97	129.69	63.0	341.51	209.84	208.38	206.94	59.55	161.02	84.04	361.04	118.43	125.24	132.44	80.01	194.36	82.29	144.01	122.64	139.07	142.01	198.47	127.0	202.66	127.0	228.13	198.47	66.65
AZI2	1216.75	1407.55	1572.76	1628.26	1135.2	1388.16	1378.57	1369.04	1628.26	1583.71	2047.0	555.41	764.36	1059.11	291.04	2119.22	866.07	679.29	1051.79	149.12	748.61	723.08	368.65	426.57	323.03	511.0	571.05	366.09	412.0	497.0	339.14	281.09	314.17	587.13	281.09	327.56	679.29	409.15	429.54	684.02
C11orf57	507.46	688.78	718.08	441.64	587.13	796.86	866.07	575.03	441.64	567.1	796.86	172.65	346.29	339.14	155.5	334.46	237.86	395.18	262.2	72.01	212.78	161.02	167.9	232.94	206.94	218.79	175.07	198.47	157.68	251.48	163.28	128.79	158.79	151.22	209.84	151.22	167.9	159.9	148.09	127.0
C18orf25	189.02	325.29	301.33	371.22	267.73	376.41	307.69	303.44	371.22	351.14	444.72	119.26	143.01	181.28	68.55	215.77	102.25	176.29	93.35	55.1	52.45	72.52	110.43	78.89	68.07	83.45	94.67	98.73	63.0	84.04	98.04	115.16	47.84	105.89	115.97	107.38	77.25	105.89	96.68	55.49
C2orf49	208.38	417.77	486.75	241.19	339.14	463.65	460.44	389.72	241.19	361.04	583.07	202.66	253.23	226.54	92.7	384.34	206.94	295.11	163.28	56.68	208.38	145.02	133.36	98.04	74.06	119.26	202.66	96.68	114.36	111.21	148.09	79.45	77.79	143.01	165.57	115.16	105.89	138.1	95.34	105.15
