	TCGA.5N.A9KI.01A.31R.A42T.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.C5.A7CM.01A.11R.A33Z.07	TCGA.D5.6536.01A.11R.1723.07	TCGA.AA.A01P.01A.21R.A083.07	TCGA.JY.A6FH.01A.11R.A336.31	TCGA.L5.A4OP.01A.11R.A260.31	TCGA.L5.A891.01A.11R.A36D.31	TCGA.2H.A9GI.01A.11R.A37I.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.L5.A88Y.01A.11R.A354.31	GTEX.ZTSS.0626.SM.59867	GTEX.11DXZ.1226.SM.5H11L	GTEX.11P7K.1326.SM.5BC5G	GTEX.14H4A.1626.SM.5SI69	GTEX.YB5E.0926.SM.4WWDQ	GTEX.X3Y1.1326.SM.4PQZB	GTEX.Y9LG.0626.SM.4WWDH	GTEX.U3ZM.0526.SM.4DXTB	GTEX.PWCY.0726.SM.48TCS	GTEX.13QBU.1026.SM.5LU3R	GTEX.13RTK.0526.SM.5S2QF	GTEX.U3ZN.1726.SM.4DXUQ	TCGA.91.A4BC.01A.11R.A24H.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.55.8094.01A.11R.2241.07	GTEX.12WSL.2126.SM.5GCNG	GTEX.13113.1526.SM.5EGHV	TCGA.CG.5718.01A.11R.1602.13	TCGA.HU.A4GH.01A.11R.A24K.31	TCGA.D7.A748.01A.12R.A32D.31	TCGA.VQ.AA6D.01A.11R.A414.31	TCGA.IN.A6RS.01A.12R.A354.31	TCGA.VQ.A91W.01A.11R.A414.31	TCGA.CD.A486.01A.11R.A24K.31
ABHD14A	381.68	221.86	674.59	1508.65	1639.59	674.59	454.09	432.53	204.07	70.01	371.22	246.28	145.02	176.29	122.64	237.86	154.42	117.6	158.79	142.01	136.19	104.42	178.77	116.78	102.25	195.72	785.88	0.0	0.36	947.83	285.03	392.44	890.44	395.18	775.05	656.11	218.79	320.8	493.56
ATRAID	5329.3	1806.78	4802.93	5995.9	5219.6	8479.89	4358.66	3190.46	2777.33	3303.0	2915.45	3589.58	2591.27	2537.92	1819.35	2335.28	1832.01	1721.16	2018.8	1909.85	1594.73	1733.13	1832.01	1781.89	1628.26	2555.58	5913.33	0.0	0.95	10154.69	2047.0	3103.19	4419.52	2997.45	4736.79	3665.02	4358.66	2537.92	4095.0
B3GAT3	1111.82	406.31	684.02	1135.2	954.43	928.3	559.28	1066.48	1119.56	796.86	1023.0	559.28	480.04	660.68	334.46	444.72	289.02	248.0	346.29	353.59	242.88	334.46	366.09	285.03	232.94	423.61	2855.44	0.0	0.93	2796.65	387.02	426.57	723.08	555.41	567.1	842.36	733.19	470.14	616.37
C16orf13	1769.57	1208.34	1487.87	1909.85	1487.87	3639.7	4152.18	3146.52	1551.09	1551.09	3395.89	3419.52	1870.53	1857.6	775.05	1051.79	674.59	791.35	1175.27	1001.93	743.43	1151.06	1073.91	974.5	769.69	1467.37	3639.7	0.0	0.69	3303.0	1183.45	1135.2	4575.41	2303.12	3955.48	1388.16	2758.13	1950.0	2367.9
C17orf49	3146.52	2555.58	1883.54	1794.29	1191.69	2032.85	3280.18	2224.63	1508.65	947.83	2485.67	2178.83	1437.15	1781.89	934.76	1191.69	921.88	1081.39	1104.13	1313.23	1119.56	1242.34	1044.52	995.0	878.17	1457.23	2976.74	0.0	0.68	6935.54	1594.73	2384.37	3146.52	1119.56	2591.27	703.28	1151.06	1359.57	1806.78
C19orf10	7485.11	981.29	2090.03	3190.46	2367.9	15607.02	5292.48	3928.15	1950.0	1477.58	1950.0	2271.4	1936.53	2555.58	1417.35	1397.83	1268.46	1437.15	1199.98	1378.57	1191.69	1304.15	1551.09	1540.37	1304.15	1662.49	5219.6	0.0	0.46	8963.45	1639.59	1594.73	2720.15	4450.27	5711.87	3212.66	2777.33	2627.46	3190.46
C2orf70	14.56	0.0	4.66	466.88	3060.45	108.9	373.81	37.85	68.55	12.55	11.82	19.53	13.93	23.08	0.0	1.99	0.79	1.97	0.74	0.0	0.0	0.0	6.06	0.0	0.0	3.96	256.78	0.0	0.0	231.32	2.25	11.13	105.15	93.35	157.68	343.89	81.71	88.88	88.88
C6orf100	3.47	0.0	0.0	26.28	74.06	28.86	6.16	11.04	0.0	0.74	1.03	2.1	0.97	1.46	0.0	0.0	0.0	0.0	0.0	0.0	5.19	0.0	0.0	0.0	0.0	0.0	3.29	0.0	0.0	63.45	0.0	0.0	11.82	2.03	26.67	17.64	5.92	0.95	99.43
CD276	1977.24	698.41	1037.29	3325.99	3325.99	3349.13	2287.2	1991.0	1457.23	1159.07	1447.15	1151.06	1081.39	1216.75	120.94	334.46	153.34	223.41	215.77	237.86	309.83	356.05	226.54	363.56	307.69	426.57	2148.82	0.0	0.43	1519.15	775.05	733.19	1883.54	1427.22	3168.41	1950.0	2468.49	2591.27	2148.82
CHPF	1183.45	486.75	785.88	3124.78	1427.22	2104.58	2997.45	2319.15	1437.15	1350.18	785.88	1561.89	1259.69	1104.13	518.15	503.95	312.0	376.41	426.57	361.04	551.56	551.56	536.45	647.07	693.58	713.11	2209.26	0.0	0.95	3820.7	660.68	559.28	2520.38	1991.0	3589.58	2758.13	1991.0	2240.11	2468.49
