	TCGA.E9.A1QZ.01A.21R.A169.07	TCGA.EW.A1PG.01A.11R.A144.07	TCGA.BH.A209.11A.42R.A157.07	TCGA.BH.A18J.11A.31R.A12D.07	TCGA.BH.A0DO.11A.22R.A12D.07	TCGA.BH.A18L.11A.42R.A12D.07	TCGA.BH.A0H5.11A.62R.A115.07	TCGA.BH.A18S.11A.43R.A12D.07	TCGA.BH.A0BV.11A.31R.A089.07	TCGA.BH.A18K.11A.13R.A12D.07	TCGA.BH.A0BM.11A.12R.A089.07	TCGA.BH.A0DL.11A.13R.A115.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A18N.11A.43R.A12D.07	TCGA.BH.A0BC.11A.22R.A089.07	TCGA.E2.A1LH.11A.22R.A14D.07	GTEX.1211K.1926.SM.5EQLB	GTEX.1122O.1226.SM.5H113	GTEX.145ME.1526.SM.5Q5F2	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.BC.A10X.01A.11R.A131.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.2Y.A9GT.01A.11R.A38B.07	TCGA.2Y.A9GV.01A.11R.A38B.07	TCGA.DD.A1ED.01A.11R.A155.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.G3.A3CH.11A.11R.A22L.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.14A5I.1726.SM.5QGQ5	GTEX.S32W.1926.SM.4AD63	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZPU1.0826.SM.57WG2	GTEX.145LU.1326.SM.5LU9N	GTEX.WQUQ.1926.SM.4OOSA	GTEX.11NUK.1226.SM.5P9GM	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139TS.1426.SM.5IFJD	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.13N2G.0926.SM.5IFGJ	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.ZF29.2026.SM.4WWB7	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13NZB.0626.SM.5IFH6	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.VUSG.0126.SM.4KL1X
ABCF2	825.0	1242.34	753.83	866.07	536.45	647.07	599.49	647.07	674.59	633.73	785.88	775.05	703.28	660.68	808.0	674.59	1191.69	698.41	567.1	226.54	353.59	318.57	536.45	269.6	265.87	348.71	301.33	307.69	218.79	265.87	171.45	185.11	208.38	293.07	178.77	312.0	223.41	191.67	379.04	503.95	273.37	260.38	325.29	170.25	183.82	314.17	249.73	314.17	163.28	381.68	123.5	295.11	429.54	176.29	432.53	466.88	373.81	309.83	236.21	249.73	323.03	363.56	232.94	285.03	183.82	400.71	198.47	133.36	262.2	228.13	297.17
ANP32B	3235.01	3124.78	3257.52	3395.89	2956.17	3060.45	3303.0	3303.0	3665.02	3257.52	4671.57	3794.3	3190.46	3280.18	4481.23	3349.13	4836.35	3124.78	3716.2	1437.15	2555.58	1457.23	1936.53	1208.34	1594.73	1909.85	2163.77	1561.89	1457.23	2434.5	1697.45	1175.27	1572.76	1662.49	1487.87	1709.26	1745.2	961.07	2855.44	3768.09	2255.7	2133.97	2133.97	1199.98	2417.67	2335.28	1733.13	2287.2	1111.82	1721.16	1340.84	2935.74	2417.67	1225.22	2835.7	2720.15	2451.44	2133.97	1457.23	2384.37	2555.58	3257.52	1540.37	2163.77	909.17	2935.74	1794.29	1963.57	1745.2	1709.26	1519.15
APEX2	665.29	327.56	287.01	320.8	348.71	348.71	356.05	323.03	325.29	287.01	447.82	295.11	325.29	297.17	346.29	395.18	368.65	316.37	153.34	186.4	209.84	246.28	329.84	241.19	142.01	170.25	291.04	199.85	189.02	221.86	255.0	232.94	211.31	251.48	209.84	497.0	173.85	239.52	395.18	323.03	251.48	218.79	262.2	217.27	244.57	318.57	251.48	275.28	131.51	323.03	122.64	194.36	466.88	169.07	234.57	351.14	307.69	189.02	201.25	198.47	309.83	356.05	198.47	223.41	201.25	287.01	208.38	197.09	187.71	217.27	221.86
ARL4A	743.43	1088.92	1896.65	1447.15	2520.38	1111.82	1447.15	2133.97	1340.84	1950.0	5147.73	2335.28	1250.98	1628.26	2133.97	4704.07	616.37	791.35	532.74	339.14	406.31	94.01	124.37	194.36	59.13	271.48	1127.35	295.11	271.48	356.05	202.66	151.22	152.28	161.02	206.94	249.73	234.57	155.5	703.28	1135.2	241.19	289.02	295.11	224.97	379.04	599.49	327.56	435.55	50.27	379.04	86.43	87.03	376.41	119.26	540.19	176.29	346.29	121.79	271.48	277.2	848.22	297.17	909.17	119.26	253.23	329.84	115.16	244.57	376.41	221.86	371.22
BMS1	269.6	417.77	303.44	318.57	307.69	264.03	336.79	285.03	348.71	293.07	368.65	316.37	323.03	275.28	339.14	293.07	387.02	363.56	163.28	115.16	171.45	81.71	157.68	104.42	98.04	125.24	139.07	133.36	107.38	162.14	100.13	66.18	104.42	132.44	104.42	176.29	104.42	92.05	221.86	204.07	144.01	133.36	143.01	84.04	96.68	186.4	132.44	189.02	110.43	106.63	90.77	119.26	281.09	75.64	146.03	152.28	208.38	129.69	115.16	126.12	167.9	177.53	108.9	103.69	102.97	178.77	117.6	49.21	116.78	100.83	107.38
BZW2	1561.89	2701.35	1447.15	1277.29	1477.58	896.64	1268.46	1304.15	1540.37	1216.75	1674.06	1143.1	1295.13	1008.9	1709.26	1388.16	1268.46	1073.91	417.77	264.03	379.04	336.79	728.11	251.48	229.72	265.87	387.02	301.33	297.17	363.56	232.94	218.79	170.25	323.03	264.03	400.71	387.02	206.94	1044.52	808.0	381.68	447.82	780.44	206.94	291.04	403.5	346.29	543.96	162.14	351.14	150.17	320.8	890.44	171.45	476.71	698.41	896.64	236.21	236.21	299.25	493.56	536.45	353.59	343.89	147.06	633.73	363.56	204.07	277.2	277.2	262.2
CCBL2	551.56	759.08	629.35	555.41	679.29	629.35	909.17	500.46	638.15	543.96	595.34	629.35	674.59	603.67	651.58	921.88	603.67	656.11	947.83	293.07	312.0	327.56	470.14	293.07	214.27	215.77	397.93	283.05	273.37	327.56	244.57	228.13	275.28	395.18	234.57	409.15	307.69	187.71	409.15	429.54	412.0	497.0	511.0	239.52	307.69	532.74	532.74	420.68	195.72	409.15	234.57	293.07	633.73	215.77	420.68	201.25	417.77	420.68	226.54	316.37	309.83	616.37	273.37	343.89	305.55	486.75	242.88	281.09	647.07	279.14	289.02
CCT2	2997.45	4736.79	2335.28	2520.38	2520.38	1923.14	2209.26	2319.15	2796.65	2004.85	2537.92	2193.99	2537.92	2075.59	2627.46	2178.83	3847.29	1794.29	1561.89	1044.52	1529.73	1697.45	1963.57	1104.13	1127.35	1135.2	1304.15	1191.69	1111.82	1127.35	1023.0	780.44	1143.1	1208.34	1233.75	1639.59	1277.29	854.13	2163.77	2303.12	1216.75	1350.18	1583.71	665.29	974.5	1745.2	995.0	1832.01	703.28	1397.83	728.11	878.17	2075.59	1216.75	1923.14	1757.34	1617.0	995.0	967.76	796.86	1832.01	1605.83	1322.37	934.76	961.07	1697.45	884.29	551.56	1295.13	941.27	1135.2
CIRH1A	532.74	1191.69	796.86	665.29	785.88	669.92	748.61	688.78	708.18	738.29	941.27	718.08	866.07	616.37	921.88	703.28	1617.0	813.63	633.73	265.87	373.81	366.09	409.15	303.44	237.86	299.25	305.55	299.25	269.6	343.89	265.87	239.52	325.29	318.57	271.48	426.57	295.11	297.17	679.29	698.41	409.15	400.71	703.28	275.28	309.83	379.04	376.41	764.36	189.02	348.71	159.9	320.8	884.29	205.5	444.72	540.19	759.08	353.59	205.5	373.81	361.04	540.19	336.79	353.59	297.17	713.11	223.41	118.43	265.87	297.17	389.72
DCUN1D5	514.56	708.18	529.06	457.25	473.41	470.14	476.71	466.88	587.13	423.61	444.72	473.41	480.04	432.53	429.54	432.53	896.64	460.44	551.56	209.84	323.03	236.21	289.02	205.5	224.97	295.11	277.2	297.17	177.53	246.28	234.57	113.56	217.27	217.27	198.47	291.04	265.87	182.55	638.15	373.81	314.17	256.78	551.56	172.65	244.57	291.04	262.2	423.61	147.06	244.57	131.51	277.2	595.34	234.57	426.57	397.93	384.34	232.94	208.38	244.57	316.37	450.94	264.03	206.94	166.73	454.09	224.97	164.42	273.37	231.32	234.57
