	TCGA.FJ.A871.01A.11R.A352.07	TCGA.GU.A767.01A.11R.A32O.07	GTEX.T5JW.0726.SM.4DM6D	GTEX.T6MO.1426.SM.4DM73	TCGA.C5.A7CM.01A.11R.A33Z.07	TCGA.DM.A28M.01A.12R.A16W.07	TCGA.D5.6536.01A.11R.1723.07	TCGA.AA.A01P.01A.21R.A083.07	GTEX.11P7K.1526.SM.5EGI7	GTEX.S3XE.1126.SM.4AD4N	GTEX.P4PP.1426.SM.3NM9L	GTEX.ZZ64.0726.SM.5GZX4	GTEX.ZGAY.2126.SM.4YCFB	GTEX.13VXT.2426.SM.5LU46	GTEX.O5YW.1426.SM.3MJHF	TCGA.L5.A4OP.01A.11R.A260.31	TCGA.L5.A891.01A.11R.A36D.31	TCGA.2H.A9GI.01A.11R.A37I.31	TCGA.L5.A88Y.01A.11R.A354.31	TCGA.B8.5552.11A.01R.1672.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.97.7552.01A.11R.2039.07	TCGA.CG.5718.01A.11R.1602.13	TCGA.HU.A4GH.01A.11R.A24K.31	TCGA.D7.A748.01A.12R.A32D.31	TCGA.VQ.AA6D.01A.11R.A414.31	TCGA.IN.A6RS.01A.12R.A354.31	TCGA.VQ.AA6J.01A.11R.A414.31	TCGA.VQ.A91W.01A.11R.A414.31	TCGA.CD.5804.01A.12R.2055.13	TCGA.CD.A486.01A.11R.A24K.31	GTEX.POMQ.0826.SM.3P61H	GTEX.QDVN.1226.SM.48TZ5	TCGA.AJ.A3BK.01A.11R.A19W.07	TCGA.A5.A2K7.01A.11R.A180.07	TCGA.SL.A6J9.01A.11R.A31O.07	TCGA.N9.A4Q7.01A.11R.A28V.07	TCGA.N5.A4RF.01A.11R.A28V.07	TCGA.N8.A4PM.01A.11R.A28V.07
ACTR3	2319.15	1551.09	2701.35	1208.34	1896.65	1594.73	1639.59	3103.19	4268.94	4239.45	3039.3	3395.89	3060.45	3847.29	3419.52	3491.39	3018.3	3467.27	3982.99	5479.15	571.05	5076.84	2224.63	2255.7	2664.15	3124.78	3303.0	3124.78	3146.52	1857.6	1936.53	4181.07	3124.78	1199.98	2018.8	1605.83	1119.56	1697.45	941.27
AFF1	72.52	146.03	316.37	432.53	182.55	202.66	122.64	307.69	579.04	743.43	612.11	780.44	713.11	638.15	819.3	426.57	180.02	186.4	285.03	1806.78	58.3	698.41	198.47	262.2	529.06	555.41	336.79	271.48	808.0	189.02	289.02	320.8	392.44	62.56	273.37	90.77	100.13	106.63	108.14
AHCYL2	47.17	63.89	246.28	532.74	141.02	371.22	37.32	591.22	7537.18	3060.45	5594.3	2537.92	3794.3	1467.37	3589.58	426.57	85.22	221.86	285.03	329.84	47.5	1143.1	208.38	379.04	660.68	281.09	525.39	503.95	591.22	151.22	234.57	878.17	723.08	49.21	73.54	27.44	129.69	85.82	64.8
APC	34.75	33.06	82.87	71.5	73.54	66.18	59.13	91.41	182.55	218.79	236.21	163.28	208.38	214.27	185.11	114.36	57.08	78.34	165.57	285.03	41.22	191.67	29.7	98.73	120.94	81.71	107.38	138.1	183.82	50.63	81.14	115.97	107.38	25.35	44.89	28.04	20.41	52.08	29.48
APPL1	107.38	93.35	346.29	595.34	244.57	223.41	256.78	255.0	277.2	426.57	346.29	366.09	353.59	381.68	438.59	158.79	389.72	228.13	231.32	848.22	138.1	457.25	262.2	373.81	323.03	497.0	251.48	387.02	563.18	209.84	351.14	218.79	262.2	151.22	194.36	104.42	134.3	185.11	116.78
ARL15	70.51	96.68	381.68	540.19	157.68	164.42	187.71	181.28	457.25	366.09	595.34	403.5	420.68	241.19	323.03	114.36	75.11	122.64	202.66	1250.98	131.51	373.81	128.79	130.6	329.84	103.69	171.45	177.53	198.47	237.86	100.83	301.33	215.77	71.5	131.51	52.08	54.72	157.68	99.43
ARMC8	281.09	251.48	483.38	373.81	312.0	273.37	314.17	420.68	466.88	607.87	420.68	603.67	543.96	624.99	460.44	620.67	486.75	389.72	447.82	624.99	220.32	543.96	305.55	392.44	450.94	559.28	412.0	555.41	511.0	289.02	435.55	363.56	435.55	224.97	320.8	559.28	287.01	255.0	327.56
ASTE1	55.49	90.77	145.02	163.28	92.05	49.21	72.01	59.97	236.21	132.44	205.5	128.79	165.57	152.28	187.71	117.6	88.26	80.57	90.77	139.07	46.18	147.06	71.0	111.21	105.15	149.12	104.42	217.27	128.79	194.36	67.12	138.1	131.51	72.52	71.5	85.22	47.84	67.12	55.1
B3GNT5	32.36	148.09	7433.4	327.56	878.17	74.58	99.43	267.73	934.76	460.44	941.27	547.75	595.34	262.2	500.46	454.09	194.36	96.68	559.28	954.43	158.79	320.8	113.56	295.11	251.48	201.25	423.61	351.14	500.46	190.34	236.21	536.45	381.68	67.12	104.42	98.04	100.13	114.36	93.35
BCL10	183.82	120.94	896.64	277.2	228.13	599.49	64.34	175.07	934.76	503.95	698.41	463.65	500.46	392.44	521.76	842.36	127.89	403.5	532.74	728.11	79.45	473.41	121.79	599.49	384.34	253.23	316.37	208.38	214.27	236.21	166.73	384.34	363.56	127.0	147.06	229.72	115.16	241.19	176.29
