	GTEX.QLQW.0526.SM.4R1KS	GTEX.ZF2S.1226.SM.4WWAX	GTEX.X585.1226.SM.46MW7	GTEX.13G51.0926.SM.5IFFU	TCGA.D6.6824.01A.11R.1915.07	TCGA.CV.7261.11A.01R.2016.07	TCGA.CV.7440.11A.01R.2187.07	TCGA.CV.7101.11A.01R.2016.07	TCGA.CV.6962.11A.01R.1915.07	TCGA.CV.7424.11A.01R.2081.07	TCGA.CV.6934.11A.01R.1915.07	TCGA.CV.7177.11A.01R.2016.07	TCGA.H7.A6C5.11A.11R.A30B.07	TCGA.CV.7437.11A.01R.2132.07	TCGA.CV.6935.11A.01R.1915.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.ZVP2.0626.SM.51MSO	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZAB5.0426.SM.5CVMI	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	TCGA.55.8512.01A.11R.2403.07	TCGA.85.7697.01A.11R.2125.07	TCGA.IN.AB1V.01A.21R.A414.31
AC110619.2	102.25	156.59	56.28	105.89	66.18	209.84	109.66	320.8	228.13	339.14	68.07	341.51	105.15	283.05	69.03	0.78	0.47	0.14	0.49	1.01	0.0	0.0	1.07	0.0	0.13	0.0	0.49	0.0	0.45	0.54	2.94	1.36	1.39	0.45	0.0	1.19	1.0	0.0	1.36	57.08	25.91	31.0
ADARB2	14.03	9.06	18.56	9.41	29.48	19.97	14.35	53.57	56.68	57.89	45.85	19.25	137.14	12.83	25.91	39.5	4.94	7.17	13.22	14.45	32.13	27.25	0.08	21.63	2.23	2.92	6.57	7.94	2.86	8.0	16.63	8.19	3.5	27.05	0.0	6.06	28.65	12.36	7.4	17.9	9.7	28.65
ANKDD1A	57.89	76.17	137.14	193.01	61.25	73.03	146.03	65.72	141.02	57.49	121.79	172.65	60.82	110.43	76.71	24.63	16.51	14.56	7.75	5.77	21.78	6.52	16.75	20.56	18.03	12.45	8.32	20.26	17.77	12.74	5.15	8.38	3.63	13.52	10.63	5.77	8.92	17.13	5.77	80.01	109.66	125.24
ANXA11	6516.03	9673.69	5831.91	8538.88	4736.79	5791.62	9279.58	8658.09	9344.14	9215.48	9344.14	9808.75	6121.9	8538.88	8479.89	2895.31	2335.28	1199.98	651.58	642.59	1794.29	1572.76	1397.83	2451.44	1359.57	1832.01	909.17	1572.76	1191.69	830.75	1498.22	3467.27	896.64	629.35	1088.92	2075.59	1487.87	1427.22	1088.92	5041.77	3874.05	10440.2
AP003068.23	189.02	141.02	33.78	86.43	24.63	15.8	111.21	281.09	229.72	253.23	178.77	163.28	129.69	91.41	170.25	90.14	38.67	26.67	37.85	69.03	5.59	115.16	8.71	50.98	49.91	46.18	138.1	95.34	70.51	149.12	68.07	37.85	97.36	60.39	81.71	21.01	21.16	83.45	84.04	74.06	191.67	121.79
AQP2	15.68	8.19	10.63	12.83	10.31	0.0	5.73	48.18	5.15	13.52	4.46	7.75	6.94	7.88	1.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47	0.42	2.43	4.54	0.0	0.0	1.08	1.73	0.0	0.49	0.0	0.0	0.0	26.28	3.17	3.32
AQP5	2018.8	4268.94	909.17	4607.24	5594.3	525.39	6381.92	15499.21	5219.6	5711.87	14461.21	3928.15	11267.44	3467.27	1819.35	11.82	4.9	0.0	1.91	2.16	2.61	0.14	3.03	3.26	3.06	0.38	9.2	7.0	3.11	2.92	0.03	0.0	0.0	0.0	0.0	0.0	2.12	1.58	0.06	3768.09	1583.71	981.29
ARHGEF2	612.11	743.43	1096.5	921.88	928.3	796.86	825.0	1044.52	785.88	866.07	1044.52	890.44	500.46	878.17	808.0	708.18	129.69	153.34	74.06	157.68	447.82	199.85	351.14	521.76	175.07	115.16	251.48	348.71	91.41	156.59	92.05	84.63	87.65	87.03	151.22	71.0	236.21	194.36	239.52	4388.98	813.63	1551.09
ATL1	97.36	162.14	95.34	91.41	134.3	123.5	108.9	145.02	161.02	173.85	125.24	100.83	191.67	93.35	111.99	24.99	18.56	20.71	12.45	6.21	43.94	12.45	13.12	17.51	10.63	17.51	14.24	21.78	7.46	18.7	12.27	8.06	2.43	48.87	3.32	15.68	10.63	10.16	8.0	105.15	66.65	193.01
ATP12A	82.29	55.1	9.48	248.0	2956.17	579.04	5366.37	2434.5	995.0	2047.0	2555.58	1159.07	988.12	1135.2	607.87	6.26	0.0	0.0	0.0	3.86	1.1	1.11	0.0	0.0	0.0	0.88	1.1	0.99	1.04	13.42	0.0	0.0	0.0	0.0	0.93	0.0	0.0	0.0	0.0	167.9	181.28	271.48
