	TCGA.BT.A20X.01A.11R.A16R.07	TCGA.C4.A0F1.01A.11R.A034.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.C5.A902.01A.11R.A37O.07	TCGA.LP.A4AU.01A.32R.A32Y.07	TCGA.C5.A7CL.01A.11R.A32P.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.C5.A907.01A.11R.A37O.07	TCGA.EK.A2H0.01A.11R.A180.07	TCGA.L5.A88W.01A.11R.A354.31	TCGA.JY.A93F.01A.21R.A37I.31	TCGA.LN.A7HV.01A.21R.A354.31	TCGA.LN.A49U.01A.31R.A260.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.LN.A4MR.01A.11R.A28J.31	TCGA.LN.A4A9.01A.11R.A28J.31	TCGA.L5.A4OM.01A.11R.A260.31	TCGA.IG.A97I.01A.11R.A38D.31	TCGA.V5.A7RC.01B.11R.A406.31	TCGA.IG.A3QL.01A.11R.A24K.31	TCGA.LN.A9FO.01A.11R.A38D.31	TCGA.CN.4726.01A.01R.1436.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.C9.A480.01A.12R.A24H.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.T2.A6X2.01A.12R.A34R.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.UF.A7JC.01A.21R.A34R.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CV.7430.01A.11R.2132.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.90.A4ED.01A.31R.A24Z.07	GTEX.XV7Q.2426.SM.4BRV8	GTEX.11WQK.2926.SM.5EQKT
AC020922.1	4.28	5.02	10.24	15.91	11.04	33.78	16.63	43.02	7.34	5.54	10.96	16.27	28.04	18.29	28.65	60.39	45.21	42.11	31.22	5.96	34.51	1.31	0.0	4.31	0.82	5.02	5.28	0.0	20.71	1.46	2.29	2.16	3.14	5.73	13.32	2.61	3.59	4.74	1.53	2.41	8.38	3.14	7.63	3.69	1.19	1.46	2.18	2.86	1.23	15.68	0.84	3.03	3.89	5.15	4.66	0.0	0.82	0.0	77.25	1.38	0.06
AC137932.1	2.86	1.19	37.32	8.06	17.25	28.04	13.12	10.31	14.78	12.36	28.45	11.82	32.82	29.06	43.32	78.34	46.84	31.22	34.02	4.9	31.22	1.2	2.43	16.03	7.4	13.03	4.98	1.28	15.45	6.06	12.0	22.1	12.74	8.38	18.84	9.27	8.51	5.87	5.11	5.68	8.45	2.97	8.85	2.58	1.5	6.57	5.45	7.4	2.41	17.38	2.16	15.56	5.32	2.39	17.13	4.24	2.73	1.93	46.84	5.5	19.39
AC174470.1	3.92	2.34	14.78	38.12	30.12	113.56	37.59	30.78	17.0	14.35	46.18	0.0	53.95	56.28	70.51	0.0	133.36	94.01	78.89	42.11	74.58	2.63	0.0	3.26	1.68	17.0	4.78	0.0	8.32	0.0	4.62	2.51	0.0	1.6	12.27	0.0	4.9	7.17	6.16	1.79	4.1	2.58	4.17	2.16	1.08	5.82	2.53	0.0	0.0	0.0	0.0	12.0	0.0	2.43	10.39	0.0	0.0	0.0	277.2	1.85	3.14
ACAD11	173.85	92.05	107.38	88.88	171.45	417.77	153.34	218.79	170.25	277.2	607.87	507.46	441.64	543.96	947.83	2720.15	1250.98	575.03	1697.45	329.84	341.51	54.33	58.3	251.48	112.77	194.36	67.59	38.95	164.42	69.52	157.68	158.79	211.31	81.14	141.02	105.15	155.5	79.45	137.14	92.7	148.09	63.0	119.26	85.22	31.45	80.57	98.73	57.49	44.57	124.37	36.79	102.97	52.45	75.64	129.69	43.02	76.17	37.05	403.5	43.94	29.7
AGAP10	18.84	8.99	46.5	73.54	165.57	180.02	162.14	244.57	142.01	26.28	102.25	65.72	118.43	64.34	172.65	271.48	155.5	127.0	113.56	14.89	63.0	4.5	10.71	71.5	6.78	74.06	39.22	9.41	75.11	10.55	57.08	60.82	17.64	53.57	90.14	69.03	44.25	39.5	20.86	24.81	36.79	13.03	49.21	6.84	16.88	35.5	43.94	20.86	21.63	226.54	23.93	47.17	8.99	37.32	9.2	38.95	23.76	13.12	432.53	23.08	7.82
AGAP4	59.13	12.93	42.71	199.85	122.64	248.0	159.9	59.55	204.07	114.36	49.21	172.65	202.66	332.14	189.02	297.17	293.07	249.73	131.51	173.85	379.04	3.86	2.16	85.22	23.42	90.14	60.82	5.23	80.01	24.99	71.5	4.13	77.25	69.52	124.37	0.0	37.05	4.98	40.93	34.75	93.35	21.78	53.19	21.32	21.47	4.43	58.3	40.36	0.0	65.26	12.27	77.79	11.21	28.45	28.86	8.85	54.33	27.64	275.28	20.41	29.7
AGAP5	19.82	17.77	64.8	87.03	201.25	218.79	78.89	139.07	102.97	53.19	67.12	81.14	106.63	91.41	146.03	220.32	183.82	106.63	105.89	50.27	105.15	6.41	8.58	62.56	15.0	89.51	32.59	4.94	84.63	18.03	57.49	53.19	57.89	31.9	62.12	25.17	40.93	29.91	21.78	21.63	62.12	23.08	28.24	11.04	14.03	37.85	18.84	32.59	11.91	51.35	13.12	74.58	12.45	23.76	42.71	25.35	25.17	13.72	323.03	15.8	34.51
AGAP6	78.89	29.48	49.21	223.41	395.18	351.14	171.45	376.41	253.23	176.29	358.54	329.84	406.31	536.45	503.95	802.41	551.56	273.37	400.71	157.68	329.84	11.3	21.01	153.34	50.63	221.86	79.45	21.94	242.88	36.53	114.36	121.79	135.24	89.51	190.34	57.89	81.71	105.15	84.63	74.58	120.94	50.27	136.19	25.54	26.1	41.52	57.89	37.59	24.63	309.83	34.75	180.02	20.86	70.51	124.37	29.7	71.5	32.36	848.22	53.19	114.36
AGAP8	16.75	18.56	37.32	42.41	199.85	182.55	65.72	109.66	63.0	26.67	115.16	93.35	80.57	107.38	198.47	295.11	217.27	99.43	129.69	44.57	173.85	13.72	21.78	57.08	14.03	120.94	29.48	16.27	92.05	24.11	34.26	75.11	87.03	32.59	79.45	34.51	52.08	63.45	15.8	46.84	84.04	19.53	39.79	13.72	12.09	39.79	30.12	11.55	23.93	127.89	8.45	71.5	36.27	34.26	49.91	31.0	26.28	22.1	267.73	39.79	5.41
AHSA2	113.56	239.52	262.2	753.83	764.36	2163.77	995.0	1023.0	921.88	403.5	842.36	1167.14	1183.45	1427.22	2520.38	2997.45	2609.3	1081.39	1991.0	575.03	1135.2	48.52	17.38	376.41	115.97	748.61	202.66	43.02	660.68	58.71	244.57	255.0	420.68	438.59	579.04	115.16	154.42	164.42	85.22	124.37	376.41	89.51	256.78	73.03	39.22	128.79	149.12	104.42	44.57	395.18	70.01	361.04	86.43	164.42	460.44	44.89	102.97	34.75	2956.17	20.11	37.05
