	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.A7.A13E.11A.61R.A12P.07	TCGA.BH.A18L.11A.42R.A12D.07	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.BH.A18S.11A.43R.A12D.07	TCGA.BH.A0BZ.11A.61R.A12P.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.A7.A0DC.11A.41R.A089.07.1	TCGA.BH.A18N.11A.43R.A12D.07	TCGA.E9.A1NA.11A.33R.A144.07	GTEX.1211K.1926.SM.5EQLB	GTEX.11P81.1926.SM.5BC53	GTEX.W5X1.2326.SM.3GIL6	GTEX.YB5K.1626.SM.5IFIN	GTEX.145ME.1526.SM.5Q5F2	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.BC.A10X.01A.11R.A131.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.DD.A11C.01A.11R.A131.07	TCGA.DD.A73C.01A.12R.A33J.07	TCGA.2Y.A9GV.01A.11R.A38B.07	TCGA.UB.AA0V.01A.11R.A38B.07	TCGA.DD.A1ED.01A.11R.A155.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.BC.A10Y.11A.11R.A131.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.ZVP2.0626.SM.51MSO	GTEX.UTHO.2426.SM.4JBHD	GTEX.WQUQ.1926.SM.4OOSA	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.ZYY3.0626.SM.5NQ6W	GTEX.145MO.2326.SM.5NQ9K	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	GTEX.VUSG.0126.SM.4KL1X
ABCB7	454.09	351.14	366.09	389.72	389.72	395.18	414.87	616.37	473.41	423.61	389.72	417.77	373.81	358.54	493.56	713.11	423.61	500.46	293.07	341.51	368.65	182.55	267.73	249.73	234.57	209.84	271.48	423.61	603.67	251.48	395.18	387.02	332.14	253.23	381.68	348.71	214.27	339.14	253.23	327.56	226.54	353.59	379.04	293.07	218.79	265.87	373.81	351.14	660.68	299.25	336.79	289.02	309.83	301.33
ANKRD40	981.29	1447.15	1037.29	1286.18	896.64	1208.34	995.0	825.0	1277.29	1268.46	1286.18	995.0	1119.56	1159.07	1119.56	1674.06	2193.99	1923.14	256.78	281.09	371.22	204.07	264.03	154.42	183.82	162.14	232.94	312.0	353.59	307.69	341.51	291.04	334.46	217.27	275.28	371.22	258.57	269.6	205.5	392.44	218.79	253.23	351.14	260.38	307.69	256.78	193.01	368.65	447.82	248.0	176.29	116.78	279.14	236.21
APPL1	915.51	514.56	466.88	559.28	555.41	521.76	830.75	1073.91	753.83	698.41	559.28	583.07	521.76	713.11	819.3	1950.0	339.14	289.02	146.03	161.02	197.09	98.04	100.13	127.0	70.01	100.83	157.68	229.72	305.55	199.85	208.38	180.02	193.01	109.66	236.21	195.72	148.09	175.07	110.43	209.84	167.9	155.5	164.42	98.73	121.79	131.51	193.01	141.02	241.19	142.01	133.36	74.06	172.65	131.51
ARID1B	647.07	460.44	536.45	555.41	532.74	559.28	688.78	718.08	688.78	521.76	555.41	642.59	571.05	444.72	669.92	679.29	371.22	312.0	141.02	144.01	209.84	88.26	132.44	65.26	43.02	61.68	148.09	170.25	253.23	214.27	197.09	163.28	154.42	94.01	229.72	229.72	122.64	194.36	96.68	180.02	115.97	97.36	339.14	64.34	149.12	113.56	146.03	92.7	195.72	125.24	96.01	78.89	97.36	204.07
ATXN1	409.15	211.31	228.13	312.0	277.2	248.0	316.37	368.65	303.44	339.14	312.0	293.07	221.86	127.89	323.03	536.45	120.1	111.99	127.89	105.15	124.37	87.03	62.56	61.68	63.89	63.0	113.56	264.03	202.66	186.4	185.11	142.01	142.01	120.94	180.02	205.5	124.37	150.17	87.03	170.25	114.36	90.77	220.32	98.73	88.88	120.94	110.43	113.56	171.45	115.97	119.26	141.02	115.97	92.05
BDP1	529.06	234.57	318.57	358.54	403.5	271.48	555.41	674.59	775.05	412.0	358.54	397.93	275.28	287.01	395.18	674.59	149.12	224.97	114.36	104.42	155.5	83.45	88.88	57.49	76.71	54.72	106.63	173.85	133.36	150.17	161.02	114.36	117.6	69.52	137.14	144.01	83.45	123.5	69.52	149.12	98.04	93.35	165.57	47.5	49.56	85.22	109.66	119.26	153.34	67.12	60.39	55.1	84.63	101.54
BTBD7	511.0	334.46	275.28	285.03	301.33	320.8	466.88	500.46	457.25	435.55	285.03	363.56	312.0	339.14	356.05	693.58	283.05	320.8	95.34	111.99	111.21	77.79	68.07	62.12	82.29	50.98	111.21	62.56	145.02	141.02	185.11	119.26	94.01	77.79	155.5	133.36	96.68	167.9	78.34	115.16	86.43	87.65	102.25	64.34	84.04	120.94	95.34	143.01	127.89	79.45	85.82	27.25	75.64	93.35
CC2D2B	6.62	3.26	5.54	6.36	5.96	3.47	11.3	14.35	9.78	10.08	6.36	11.47	7.22	6.57	13.32	9.85	1.46	2.58	3.38	9.85	3.29	1.6	1.07	0.56	1.79	2.71	3.66	2.97	2.56	6.26	10.71	3.59	0.73	2.94	3.29	3.06	0.0	1.97	1.91	0.74	2.81	0.49	2.71	4.31	2.05	1.2	0.58	1.17	0.92	1.19	0.0	0.0	1.79	0.46
CCNT2	620.67	323.03	291.04	329.84	356.05	301.33	571.05	708.18	603.67	518.15	329.84	395.18	256.78	285.03	483.38	796.86	239.52	277.2	180.02	181.28	185.11	149.12	132.44	79.45	84.04	87.03	218.79	197.09	205.5	289.02	267.73	214.27	130.6	126.12	206.94	202.66	201.25	264.03	123.5	182.55	161.02	165.57	189.02	116.78	101.54	205.5	118.43	173.85	237.86	115.97	142.01	53.95	164.42	83.45
CD2AP	563.18	329.84	384.34	384.34	414.87	387.02	679.29	836.53	629.35	559.28	384.34	441.64	325.29	241.19	575.03	679.29	273.37	607.87	169.07	182.55	279.14	165.57	231.32	120.94	127.89	156.59	229.72	323.03	224.97	353.59	327.56	248.0	239.52	163.28	234.57	299.25	248.0	232.94	164.42	241.19	202.66	116.78	241.19	99.43	127.89	108.9	136.19	132.44	500.46	136.19	126.12	144.01	140.04	149.12
