	TCGA.W5.AA2U.01A.11R.A41I.07	TCGA.CZ.4857.01A.01R.1305.07	TCGA.B0.4837.01A.01R.1305.07	TCGA.CZ.5459.01A.01R.1503.07	TCGA.CJ.5671.01A.11R.1541.07	TCGA.CJ.5686.01A.11R.1672.07	TCGA.B0.5697.01A.11R.1541.07	TCGA.B0.5707.01A.11R.1541.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.B0.5097.01A.01R.1420.07	TCGA.CJ.5689.01A.11R.1541.07	TCGA.BP.4985.01A.01R.1334.07	TCGA.CJ.4923.01A.01R.1426.07	TCGA.CW.5591.01A.01R.1541.07	TCGA.BP.4176.01A.02R.1289.07	TCGA.2Z.A9J8.01A.11R.A42S.07	TCGA.PJ.A5Z9.01A.11R.A28H.07	TCGA.SX.A7SQ.01A.12R.A36F.07	TCGA.BQ.5879.01A.11R.1592.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.MH.A855.01A.11R.A355.07	TCGA.2Z.A9JL.01A.11R.A42S.07	TCGA.A4.7915.01A.11R.2204.07	TCGA.P4.A5E7.01A.31R.A28H.07	TCGA.B1.7332.01A.11R.A32Z.07	TCGA.G7.6792.01A.21R.1965.07	TCGA.MH.A561.01A.11R.A26U.07	TCGA.F9.A97G.01A.11R.A38C.07	TCGA.A4.8312.01A.11R.2404.07	TCGA.2Z.A9JN.01A.21R.A42S.07	TCGA.BQ.7049.01A.11R.1965.07	TCGA.P4.AAVO.01A.11R.A42S.07	GTEX.YB5E.0326.SM.5IFHU
ACKR3	651.58	2319.15	2835.7	723.08	3540.14	2645.74	470.14	111.99	197.09	5913.33	3901.01	2935.74	2047.0	164.42	2032.85	307.69	108.14	197.09	500.46	353.59	151.22	244.57	361.04	376.41	267.73	275.28	69.03	206.94	454.09	819.3	220.32	53.95	759.08
ADAMTS4	242.88	379.04	915.51	1167.14	1639.59	669.92	332.14	16.88	30.78	3794.3	1832.01	591.22	860.08	62.12	579.04	2.41	1.2	3.03	389.72	5.68	20.56	1.03	409.15	30.34	11.04	44.89	29.7	37.85	16.03	21.63	62.56	1.93	239.52
ANGPT2	50.63	1008.9	1397.83	234.57	1331.57	1191.69	503.95	16.88	150.17	3212.66	1769.57	2796.65	866.07	130.6	1697.45	26.86	2.32	52.08	346.29	38.12	25.72	3.63	373.81	38.12	19.53	43.02	3.26	42.11	29.06	8.13	42.41	4.5	4.74
APOLD1	368.65	595.34	1073.91	1819.35	1685.71	1857.6	1313.23	77.25	42.41	4038.61	2133.97	607.87	1183.45	102.97	1417.35	38.95	11.55	45.21	248.0	28.24	88.26	38.4	796.86	91.41	43.02	175.07	63.0	150.17	209.84	80.01	73.54	23.59	591.22
CD34	738.29	1950.0	4736.79	3716.2	4937.99	3491.39	1487.87	239.52	414.87	5479.15	3491.39	2032.85	2573.36	1268.46	2104.58	134.3	105.15	208.38	1096.5	170.25	323.03	116.78	1151.06	231.32	155.5	217.27	169.07	620.67	329.84	327.56	473.41	40.93	137.14
CD93	414.87	1378.57	1936.53	1127.35	3419.52	1529.73	890.44	132.44	285.03	4769.75	1806.78	1639.59	1044.52	1331.57	1745.2	95.34	26.67	119.26	1143.1	79.45	191.67	70.01	708.18	142.01	92.7	132.44	65.72	231.32	157.68	183.82	373.81	24.28	435.55
CDCA2	51.35	872.1	802.41	612.11	209.84	277.2	73.03	5.11	7.06	417.77	126.12	82.87	118.43	13.83	161.02	62.12	8.45	8.92	53.57	16.39	4.78	5.63	56.68	7.51	2.29	4.46	1.83	12.55	3.17	6.52	7.28	6.06	149.12
CDH13	85.82	420.68	738.29	656.11	1487.87	743.43	483.38	57.08	90.77	1662.49	1030.12	802.41	529.06	182.55	836.53	11.38	9.56	24.46	187.71	18.97	78.89	9.2	329.84	29.48	19.11	8.19	6.52	144.01	18.16	13.72	111.21	3.41	29.91
CDH5	341.51	909.17	2193.99	1183.45	2777.33	1572.76	775.05	96.68	150.17	2997.45	1697.45	1151.06	1233.75	759.08	967.76	74.58	21.63	90.14	708.18	86.43	162.14	55.1	547.75	92.7	101.54	106.63	50.63	264.03	135.24	147.06	195.72	17.9	514.56
CLEC1A	40.07	65.72	191.67	189.02	226.54	162.14	84.04	17.25	32.82	197.09	195.72	90.77	120.1	62.56	185.11	11.91	4.74	6.73	35.76	9.34	24.46	17.0	57.08	22.1	10.08	16.88	11.73	82.29	34.51	12.18	35.5	11.82	57.49
COL5A3	142.01	218.79	780.44	167.9	1073.91	176.29	64.8	3.86	25.54	738.29	961.07	325.29	460.44	20.41	136.19	9.41	1.25	9.48	75.11	9.48	25.72	4.13	191.67	12.64	2.03	7.75	0.97	46.84	15.68	5.36	14.45	1.99	84.04
CPA6	0.0	13.03	35.25	3.06	17.38	15.0	8.78	1.0	1.73	36.53	29.27	111.99	17.51	1.75	13.12	2.66	1.14	0.97	5.36	0.39	3.59	1.3	2.12	2.23	0.0	1.68	1.17	2.34	0.0	2.12	1.19	0.0	0.0
CXorf36	129.69	336.79	753.83	483.38	1030.12	624.99	242.88	33.3	73.54	1378.57	753.83	423.61	547.75	312.0	511.0	23.08	13.22	26.86	199.85	25.72	63.45	24.63	223.41	45.21	32.59	40.64	33.06	65.26	52.45	56.68	66.65	8.38	25.72
