	GTEX.YJ8O.1426.SM.5PNV9	GTEX.131YS.2926.SM.5EGKI	GTEX.ZVT3.2826.SM.5GU6A	GTEX.14C38.2626.SM.5RQI4	GTEX.147JS.2626.SM.5S2UX	GTEX.13PL7.2426.SM.5J2N3	GTEX.12ZZX.2726.SM.5N9FT	GTEX.11EI6.2626.SM.5PNVT	GTEX.12WSI.0826.SM.5EGKD	GTEX.13O3O.0726.SM.5J1N7	GTEX.12584.1426.SM.5EGJ9	GTEX.11TUW.0526.SM.5LU9A	GTEX.YFC4.1126.SM.5RQJN	GTEX.YECK.0926.SM.4W214	GTEX.OOBJ.0526.SM.48TDK	GTEX.11UD2.0726.SM.5EQ69	GTEX.WWYW.0926.SM.3NB2Z	GTEX.X3Y1.0626.SM.3P5YS	GTEX.RWSA.1126.SM.2XCAZ	GTEX.11ZUS.0126.SM.5EQM5	GTEX.1128S.0726.SM.5N9D6	GTEX.145MN.0926.SM.5NQBT	GTEX.13FLV.0426.SM.5KLZA	GTEX.ZPU1.0926.SM.57WDO	GTEX.XBEW.0226.SM.4AT6A	GTEX.ZE7O.0826.SM.57WCP	GTEX.145MF.0726.SM.5Q5BT	GTEX.S341.0326.SM.2XCAU	GTEX.13FTX.0326.SM.5J2NG	GTEX.11ZTT.0626.SM.5EQLM	GTEX.144GO.0226.SM.5LUB1
AC069368.3	3.99	0.0	0.0	128.79	0.0	3.23	7.28	2.36	5.96	42.11	42.11	13.32	14.24	0.0	4.28	26.1	4.43	7.82	8.71	0.0	10.63	0.0	25.54	12.64	0.0	1.14	23.08	0.0	4.7	0.0	61.25
ACSL1	285.03	327.56	397.93	84109.6	320.8	426.57	395.18	353.59	1313.23	14065.74	5517.27	4736.79	21617.82	1498.22	1208.34	5041.77	5751.61	1127.35	4736.79	928.3	10440.2	3168.41	6337.83	2271.4	1697.45	665.29	2796.65	1991.0	1896.65	2032.85	10154.69
ADAM8	31.22	42.71	67.59	11267.44	73.03	128.79	78.34	54.72	147.06	5041.77	1216.75	1037.29	2935.74	190.34	249.73	1417.35	967.76	198.47	1322.37	246.28	1628.26	144.01	1073.91	409.15	206.94	137.14	176.29	32.36	170.25	241.19	1457.23
AGFG1	591.22	555.41	525.39	2956.17	563.18	647.07	480.04	647.07	1225.22	5076.84	2004.85	2255.7	1508.65	947.83	854.13	1977.24	2271.4	638.15	3491.39	743.43	3467.27	896.64	2119.22	988.12	909.17	384.34	1685.71	743.43	902.89	1104.13	4769.75
AGTPBP1	113.56	77.79	105.15	2417.67	111.21	59.97	94.01	102.25	264.03	1143.1	769.69	718.08	1023.0	395.18	181.28	486.75	486.75	128.79	921.88	251.48	555.41	325.29	470.14	409.15	217.27	460.44	483.38	195.72	209.84	414.87	967.76
AKIRIN2	490.14	500.46	412.0	4869.99	559.28	432.53	460.44	426.57	1143.1	2682.69	1498.22	1295.13	2018.8	713.11	1104.13	808.0	1295.13	1457.23	1519.15	1001.93	1697.45	1073.91	1073.91	1096.5	698.41	642.59	1175.27	674.59	981.29	954.43	2133.97
AL627309.1	15.22	117.6	75.11	9025.81	47.5	24.28	62.12	22.59	198.47	2224.63	470.14	1437.15	3540.14	113.56	253.23	612.11	928.3	28.65	1242.34	220.32	2047.0	132.44	301.33	890.44	314.17	307.69	151.22	88.88	152.28	591.22	1388.16
ALAS1	848.22	866.07	698.41	5751.61	780.44	753.83	665.29	624.99	2976.74	2997.45	2609.3	2682.69	2451.44	974.5	1051.79	1923.14	2758.13	995.0	2816.11	1191.69	1963.57	1286.18	1721.16	1508.65	1143.1	743.43	4010.71	981.29	1697.45	954.43	4152.18
AMPD2	480.04	543.96	423.61	1806.78	532.74	281.09	283.05	381.68	723.08	1437.15	423.61	896.64	1508.65	836.53	583.07	738.29	1304.15	521.76	1023.0	532.74	1216.75	460.44	1023.0	775.05	450.94	426.57	476.71	287.01	384.34	748.61	1104.13
AMPD3	60.82	51.35	75.11	775.05	57.49	28.65	43.94	108.9	201.25	500.46	332.14	133.36	231.32	163.28	171.45	476.71	232.94	273.37	53.95	109.66	612.11	117.6	172.65	173.85	143.01	236.21	283.05	153.34	161.02	191.67	346.29
