	TCGA.CH.5739.01A.11R.1580.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.CH.5764.01A.21R.1580.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07
ABI1	748.61	934.76	316.37	854.13	947.83	547.75	579.04	909.17	490.14	551.56	551.56	769.69	616.37	595.34	559.28	486.75	656.11	603.67	941.27	521.76	775.05	521.76	616.37	555.41	234.57	320.8	830.75	432.53	376.41	363.56	406.31	633.73	616.37	728.11	651.58	921.88	753.83	423.61	497.0	420.68	830.75	412.0	356.05	629.35	848.22	547.75	698.41	392.44	579.04	423.61	500.46	480.04	470.14	417.77
ARHGAP32	356.05	389.72	129.69	518.15	368.65	295.11	153.34	497.0	183.82	271.48	176.29	307.69	312.0	167.9	212.78	199.85	297.17	265.87	211.31	166.73	325.29	253.23	409.15	379.04	195.72	87.03	679.29	143.01	63.89	170.25	156.59	295.11	400.71	366.09	698.41	607.87	579.04	206.94	172.65	78.89	493.56	244.57	128.79	258.57	392.44	473.41	299.25	132.44	204.07	281.09	183.82	199.85	182.55	177.53
ARID1B	521.76	540.19	193.01	684.02	571.05	267.73	381.68	612.11	275.28	470.14	309.83	559.28	397.93	356.05	234.57	384.34	353.59	305.55	389.72	223.41	441.64	241.19	363.56	406.31	185.11	176.29	633.73	205.5	202.66	265.87	258.57	486.75	457.25	400.71	412.0	483.38	536.45	255.0	273.37	246.28	698.41	397.93	197.09	406.31	543.96	490.14	532.74	239.52	346.29	211.31	265.87	379.04	285.03	316.37
ARID4A	214.27	220.32	57.89	229.72	303.44	75.11	120.1	205.5	81.71	134.3	129.69	182.55	115.97	129.69	85.82	80.01	116.78	107.38	228.13	117.6	137.14	92.7	186.4	127.0	43.32	51.35	215.77	91.41	70.01	85.22	92.05	146.03	166.73	142.01	106.63	170.25	177.53	103.69	108.14	82.87	271.48	113.56	64.34	123.5	209.84	142.01	182.55	86.43	125.24	65.72	114.36	151.22	104.42	112.77
ASH1L	507.46	454.09	106.63	559.28	540.19	120.94	277.2	547.75	212.78	318.57	228.13	420.68	307.69	264.03	139.07	209.84	312.0	241.19	414.87	201.25	320.8	206.94	336.79	265.87	120.1	110.43	616.37	140.04	132.44	177.53	173.85	325.29	381.68	361.04	264.03	457.25	412.0	234.57	181.28	182.55	642.59	343.89	136.19	291.04	454.09	314.17	400.71	161.02	262.2	142.01	214.27	291.04	198.47	209.84
ATRX	536.45	511.0	109.66	503.95	642.59	229.72	277.2	559.28	176.29	325.29	241.19	420.68	353.59	273.37	206.94	223.41	312.0	223.41	507.46	253.23	444.72	177.53	323.03	343.89	98.04	115.97	563.18	139.07	134.3	193.01	190.34	376.41	387.02	356.05	253.23	511.0	325.29	220.32	237.86	165.57	624.99	332.14	122.64	275.28	521.76	256.78	420.68	162.14	217.27	142.01	205.5	253.23	191.67	198.47
BRPF3	775.05	642.59	307.69	769.69	769.69	540.19	486.75	718.08	450.94	551.56	438.59	629.35	693.58	389.72	381.68	486.75	500.46	435.55	579.04	480.04	591.22	417.77	629.35	703.28	255.0	371.22	902.89	289.02	571.05	343.89	435.55	563.18	624.99	612.11	647.07	748.61	642.59	373.81	447.82	361.04	624.99	540.19	343.89	486.75	656.11	656.11	567.1	387.02	480.04	414.87	435.55	460.44	417.77	525.39
BTBD8	28.24	34.02	0.77	32.59	28.65	4.74	12.64	39.22	5.96	12.45	14.24	16.03	17.77	14.56	7.06	4.28	11.3	14.35	57.49	1.43	23.25	7.51	12.27	8.65	1.53	1.08	41.81	2.84	2.25	6.11	2.27	16.51	9.85	17.64	7.17	40.36	12.74	12.09	7.57	3.14	37.85	11.82	1.39	9.56	28.04	11.64	27.25	3.03	13.72	2.66	5.19	14.03	6.73	3.96
C5orf42	129.69	161.02	59.55	265.87	260.38	103.69	107.38	202.66	77.79	151.22	94.01	140.04	125.24	105.15	71.5	69.03	104.42	105.89	194.36	50.63	143.01	73.54	84.63	137.14	42.71	76.71	201.25	40.07	88.88	153.34	69.52	121.79	183.82	171.45	128.79	175.07	209.84	67.12	58.71	85.22	237.86	138.1	43.94	116.78	175.07	169.07	134.3	63.89	113.56	55.89	74.58	150.17	102.97	92.7
CDK14	187.71	255.0	103.69	301.33	368.65	86.43	198.47	287.01	175.07	256.78	161.02	215.77	120.94	170.25	137.14	164.42	186.4	146.03	305.55	124.37	246.28	119.26	231.32	173.85	104.42	105.89	283.05	77.25	117.6	176.29	131.51	234.57	295.11	307.69	149.12	262.2	400.71	100.13	161.02	123.5	332.14	185.11	90.14	224.97	248.0	202.66	258.57	142.01	161.02	145.02	115.16	189.02	137.14	156.59
