	GTEX.11I78.1326.SM.5PNY9	GTEX.S4P3.0426.SM.4AD56	GTEX.VUSG.0126.SM.4KL1X	TCGA.38.4625.01A.01R.1206.07	GTEX.P4QT.1526.SM.3NMCT	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YJ89.0726.SM.5P9F7	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.12ZZZ.1226.SM.59HK1	GTEX.1313W.0726.SM.5EGK1	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.ZYFG.0626.SM.5GZYA	GTEX.RN64.0626.SM.2TC5V	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.RVPV.1226.SM.2TF73	GTEX.S7SE.0726.SM.2XCD7	GTEX.YEC3.0826.SM.4WWFP	GTEX.T2IS.0626.SM.32QP6	GTEX.11DXX.0226.SM.5P9HL	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N
ACP1	1340.84	1369.04	1745.2	0.0	995.0	2573.36	2255.7	2018.8	1639.59	2664.15	2032.85	1709.26	2451.44	1909.85	1883.54	2004.85	2163.77	2255.7	2119.22	1561.89	2573.36	1487.87	2148.82	2018.8	2018.8	2032.85	1757.34	2224.63
ARHGEF9	161.02	84.04	35.76	110.43	145.02	256.78	241.19	183.82	176.29	244.57	260.38	152.28	271.48	205.5	303.44	260.38	249.73	309.83	273.37	208.38	234.57	175.07	189.02	212.78	197.09	169.07	205.5	217.27
ARNT2	55.49	9.63	3.66	0.0	185.11	258.57	231.32	177.53	75.11	287.01	129.69	157.68	171.45	87.03	289.02	253.23	289.02	305.55	211.31	67.59	320.8	127.89	140.04	157.68	249.73	208.38	281.09	271.48
ATP6AP1L	8.06	14.24	19.82	65.26	4.54	167.9	255.0	53.19	120.94	150.17	206.94	98.73	171.45	104.42	297.17	224.97	171.45	170.25	277.2	129.69	172.65	50.98	120.94	53.57	53.19	79.45	102.97	97.36
C1orf50	149.12	187.71	173.85	0.0	205.5	283.05	281.09	253.23	236.21	323.03	332.14	195.72	279.14	241.19	368.65	295.11	289.02	297.17	312.0	265.87	332.14	239.52	287.01	253.23	260.38	251.48	241.19	348.71
C2orf74	275.28	114.36	366.09	0.0	220.32	1477.58	878.17	295.11	518.15	1008.9	1111.82	540.19	1111.82	229.72	1135.2	872.1	423.61	1015.93	1233.75	633.73	1096.5	426.57	591.22	693.58	368.65	262.2	305.55	463.65
C7orf13	18.29	30.12	22.75	0.0	11.13	111.21	161.02	98.73	58.71	78.34	167.9	60.39	102.97	62.56	171.45	105.15	158.79	97.36	164.42	80.57	91.41	67.59	111.21	60.39	50.27	77.79	65.72	82.29
CCDC115	403.5	603.67	212.78	0.0	400.71	1870.53	1286.18	988.12	967.76	1551.09	1359.57	878.17	1617.0	1119.56	1498.22	1457.23	1340.84	1477.58	1583.71	808.0	1721.16	909.17	1073.91	995.0	934.76	1030.12	934.76	1073.91
CCDC15	4.46	18.7	1.71	0.0	2.92	23.08	29.48	15.34	9.78	13.52	21.94	7.34	23.08	16.51	29.91	22.92	12.0	14.78	27.05	23.25	23.93	11.13	10.79	9.27	17.64	10.47	7.22	6.67
CCDC178	1.77	7.57	1.91	0.0	6.31	20.26	102.97	13.52	14.78	73.03	65.72	7.69	38.4	10.24	62.12	49.56	42.71	39.5	40.36	9.78	79.45	18.56	21.78	39.22	38.12	31.22	26.28	20.41
CCDC74A	73.03	25.72	19.97	0.0	108.14	178.77	325.29	165.57	95.34	178.77	397.93	123.5	346.29	101.54	260.38	175.07	320.8	305.55	293.07	51.71	287.01	80.01	170.25	88.88	74.58	132.44	96.68	141.02
CCDC74B	28.86	3.0	2.48	0.0	52.82	397.93	403.5	142.01	202.66	334.46	334.46	132.44	532.74	166.73	483.38	289.02	567.1	295.11	299.25	71.5	237.86	153.34	316.37	120.94	161.02	134.3	236.21	212.78
CDKN1B	444.72	332.14	616.37	0.0	285.03	1529.73	1250.98	708.18	656.11	1697.45	1388.16	497.0	1605.83	796.86	1199.98	1135.2	1127.35	988.12	1191.69	514.56	1340.84	547.75	669.92	651.58	536.45	718.08	633.73	878.17
COA5	356.05	303.44	507.46	0.0	323.03	1508.65	1685.71	808.0	860.08	1407.55	1369.04	693.58	1388.16	988.12	1417.35	1322.37	1250.98	1167.14	1242.34	819.3	1594.73	718.08	1127.35	819.3	941.27	1081.39	988.12	1369.04
COMMD3	567.1	764.36	656.11	0.0	457.25	1066.48	1551.09	743.43	921.88	819.3	1388.16	1059.11	981.29	1199.98	1378.57	1304.15	708.18	995.0	1073.91	1111.82	1242.34	884.29	1191.69	1088.92	1175.27	733.19	884.29	808.0
CRYZL1	579.04	351.14	158.79	0.0	651.58	780.44	896.64	674.59	713.11	819.3	915.51	599.49	651.58	753.83	928.3	769.69	848.22	713.11	872.1	575.03	896.64	612.11	638.15	591.22	616.37	647.07	583.07	825.0
CYB5D1	211.31	165.57	121.79	0.0	147.06	693.58	890.44	532.74	595.34	698.41	825.0	536.45	723.08	679.29	1008.9	872.1	543.96	629.35	698.41	579.04	728.11	476.71	642.59	587.13	373.81	616.37	591.22	414.87
