	TCGA.BJ.A0ZC.01A.12R.A13Y.07	TCGA.EM.A4FH.01A.11R.A250.07	TCGA.ET.A39I.01A.11R.A19O.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.FY.A3NM.01A.11R.A21D.07	TCGA.EM.A22J.01A.11R.A180.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.EM.A1YE.01A.11R.A14Y.07	TCGA.EM.A3FL.01A.11R.A21D.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.EM.A2CJ.01A.11R.A180.07	TCGA.FY.A3NP.01A.11R.A21D.07	TCGA.BJ.A0Z0.01A.11R.A10U.07	TCGA.EL.A3T6.11A.11R.A220.07	TCGA.EL.A3T1.11A.11R.A22L.07	TCGA.EL.A3H7.11A.11R.A21D.07	GTEX.14ABY.0926.SM.5Q5DY	GTEX.113JC.0126.SM.5EGJW	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.11GS4.0826.SM.5986J	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZVT3.0726.SM.5GICN	GTEX.ZYFC.0926.SM.5GZWW	GTEX.WWYW.0826.SM.3NB2X	GTEX.11EM3.0126.SM.5985K	GTEX.117XS.0526.SM.5987Q	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZQG8.0926.SM.57WFF	GTEX.WVLH.0626.SM.3MJG7	GTEX.ZYFG.0626.SM.5GZYA	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.117YW.0126.SM.5EGGN	GTEX.YEC3.0826.SM.4WWFP	GTEX.ZAK1.0726.SM.5HL8Q	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.13PVQ.0726.SM.5L3GI	GTEX.OXRP.0326.SM.33HBJ	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2
ARL5B	106.63	84.04	98.73	89.51	67.59	74.58	79.45	82.29	92.7	90.77	64.8	86.43	96.01	83.45	88.26	111.99	177.53	220.32	273.37	307.69	248.0	98.73	115.16	127.89	108.14	226.54	148.09	275.28	195.72	301.33	143.01	256.78	87.65	127.89	74.58	106.63	100.83	115.16	115.97	176.29	111.99	161.02	90.77	111.99	110.43	309.83	83.45	166.73	102.97	106.63	214.27	118.43	96.68	125.24	224.97	206.94	134.3	103.69	135.24	124.37	100.83	171.45	190.34	92.7	159.9
ATF3	53.57	312.0	277.2	32.59	94.01	193.01	39.22	490.14	65.26	169.07	116.78	320.8	447.82	387.02	182.55	53.95	8598.28	8022.41	9474.59	13306.94	2075.59	3955.48	1216.75	6792.79	633.73	8191.0	1059.11	19214.73	10808.41	17927.91	2303.12	27174.14	748.61	769.69	1088.92	1250.98	1001.93	2193.99	703.28	8778.97	775.05	3515.68	693.58	8963.45	1467.37	17927.91	10296.45	11909.94	1605.83	1044.52	45701.96	476.71	1519.15	2384.37	32092.64	2193.99	713.11	941.27	447.82	1143.1	1844.76	2287.2	13306.94	303.44	15499.21
BMP2	68.07	148.09	87.03	29.06	69.03	54.72	95.34	153.34	41.52	77.25	96.68	195.72	117.6	169.07	65.26	72.52	2417.67	1175.27	2255.7	1015.93	1322.37	397.93	267.73	1745.2	305.55	819.3	175.07	1540.37	1447.15	638.15	633.73	3168.41	748.61	651.58	229.72	231.32	454.09	830.75	486.75	1008.9	450.94	297.17	417.77	1081.39	441.64	1923.14	312.0	780.44	612.11	307.69	2777.33	148.09	514.56	796.86	1819.35	854.13	438.59	314.17	265.87	316.37	271.48	381.68	1519.15	194.36	2240.11
BTG2	1216.75	830.75	2163.77	921.88	819.3	1233.75	1135.2	2104.58	1268.46	1216.75	836.53	624.99	1936.53	947.83	1529.73	1923.14	2915.45	3768.09	2796.65	4869.99	6250.56	2224.63	1551.09	2664.15	2417.67	3443.31	2520.38	8901.53	9606.86	7081.29	4268.94	4769.75	2627.46	2417.67	1477.58	2018.8	2400.97	3820.7	2287.2	5517.27	2193.99	5147.73	2664.15	15607.02	3690.52	15285.81	3639.7	4639.29	2075.59	1340.84	15824.9	1208.34	2835.7	3081.75	10368.08	6652.97	1709.26	1447.15	1977.24	1508.65	2956.17	7857.29	14065.74	1359.57	12853.63
BTG3	412.0	688.78	633.73	460.44	555.41	525.39	1001.93	563.18	567.1	836.53	669.92	759.08	796.86	738.29	612.11	595.34	1651.0	1388.16	1745.2	1066.48	2163.77	1104.13	718.08	1457.23	842.36	1127.35	1508.65	1498.22	1151.06	1685.71	1313.23	1508.65	775.05	1096.5	743.43	896.64	802.41	1191.69	884.29	1151.06	748.61	1183.45	536.45	830.75	928.3	1477.58	651.58	1001.93	878.17	825.0	1081.39	743.43	1015.93	1819.35	1331.57	1508.65	928.3	995.0	967.76	633.73	1331.57	1583.71	1639.59	486.75	921.88
CCL2	154.42	96.68	198.47	84.63	212.78	155.5	47.5	187.71	55.89	267.73	341.51	112.77	327.56	112.77	156.59	82.29	5954.47	17681.08	10440.2	3103.19	830.75	409.15	423.61	2018.8	79.45	2061.24	198.47	6471.02	2075.59	10959.3	540.19	5403.7	307.69	466.88	189.02	503.95	1295.13	607.87	343.89	5403.7	432.53	1685.71	612.11	1561.89	2104.58	6887.62	536.45	6079.61	368.65	363.56	3742.05	264.03	318.57	358.54	2855.44	2468.49	132.44	1183.45	152.28	708.18	2255.7	11664.82	1023.0	281.09	2468.49
CCNL1	769.69	1175.27	909.17	718.08	420.68	878.17	1407.55	934.76	981.29	2163.77	775.05	607.87	1159.07	1044.52	785.88	954.43	3491.39	2875.3	3395.89	2133.97	5555.65	1883.54	1662.49	2777.33	3060.45	2047.0	3419.52	5479.15	2240.11	4298.64	2351.53	3212.66	1639.59	1388.16	1508.65	1583.71	1467.37	2018.8	1674.06	3716.2	1685.71	3515.68	1447.15	1427.22	1819.35	6164.49	1697.45	2816.11	1721.16	1044.52	3690.52	1378.57	1857.6	2163.77	3901.01	2400.97	1594.73	1388.16	1769.57	1806.78	2609.3	5995.9	2875.3	1427.22	1605.83
CLDND1	629.35	813.63	713.11	587.13	669.92	836.53	848.22	547.75	896.64	1044.52	454.09	780.44	866.07	934.76	559.28	974.5	2224.63	1832.01	2163.77	1628.26	1709.26	1175.27	1208.34	1733.13	1167.14	1417.35	1167.14	1540.37	1427.22	1674.06	1561.89	1745.2	1159.07	1088.92	1044.52	995.0	981.29	1340.84	1359.57	1870.53	1001.93	1313.23	1183.45	1199.98	1151.06	1909.85	842.36	1447.15	1167.14	1001.93	1832.01	896.64	1259.69	1233.75	1832.01	1417.35	1081.39	753.83	954.43	1225.22	1268.46	1639.59	1447.15	1111.82	1183.45
CSRNP1	241.19	256.78	483.38	275.28	221.86	373.81	384.34	486.75	332.14	246.28	285.03	232.94	480.04	381.68	325.29	348.71	2434.5	2682.69	3589.58	1066.48	2645.74	878.17	759.08	1268.46	1388.16	1044.52	684.02	5147.73	1268.46	2417.67	1685.71	1769.57	1059.11	1159.07	607.87	941.27	563.18	1216.75	934.76	1832.01	954.43	1127.35	463.65	1447.15	1322.37	4328.55	753.83	1936.53	813.63	791.35	2520.38	368.65	830.75	1199.98	2875.3	3467.27	612.11	981.29	595.34	759.08	866.07	1617.0	2434.5	199.85	1295.13
CXCL2	10.63	16.39	5.59	7.88	6.67	39.79	59.55	20.11	8.45	42.11	5.82	12.74	26.67	40.07	8.99	11.13	426.57	872.1	1066.48	105.89	432.53	120.94	15.11	195.72	117.6	463.65	162.14	791.35	802.41	10296.45	332.14	1923.14	12.93	89.51	67.12	68.55	79.45	177.53	115.97	132.44	53.19	540.19	32.59	343.89	185.11	521.76	234.57	543.96	90.14	58.71	599.49	105.15	10.79	271.48	400.71	187.71	16.15	155.5	38.12	183.82	52.45	1167.14	412.0	7.46	212.78
CXCL3	0.54	2.2	0.0	1.83	0.0	1.17	2.84	4.5	1.43	1.95	0.84	2.41	0.0	5.82	0.0	0.0	68.07	115.16	127.89	6.36	29.06	29.06	10.71	28.45	13.52	36.27	111.21	50.63	137.14	567.1	15.45	124.37	5.63	17.13	17.51	8.25	5.82	18.29	8.06	21.78	10.63	33.54	3.08	16.75	14.03	35.5	22.59	54.33	9.85	17.38	66.18	13.12	2.43	30.56	35.25	8.99	3.63	26.47	5.28	7.28	9.06	71.0	19.97	5.36	23.42
DDX3X	1286.18	974.5	2018.8	1369.04	1104.13	1286.18	1313.23	1674.06	1662.49	896.64	915.51	1457.23	1208.34	1167.14	1369.04	1295.13	3564.78	4123.49	4419.52	2287.2	4419.52	1883.54	2915.45	2609.3	1794.29	2303.12	1857.6	5112.16	1963.57	4388.98	3349.13	2400.97	1709.26	1819.35	2047.0	1519.15	1757.34	2701.35	2855.44	2555.58	2976.74	2032.85	2682.69	1639.59	3443.31	3372.43	1250.98	3257.52	2351.53	1540.37	4836.35	1508.65	2148.82	2627.46	3540.14	3280.18	2720.15	1417.35	2573.36	2537.92	2209.26	2502.97	3794.3	1529.73	2119.22
DUSP2	8.85	4.5	10.08	4.03	2.71	11.73	5.06	4.9	3.35	4.43	12.36	30.34	16.03	4.28	3.89	3.5	703.28	647.07	236.21	486.75	162.14	17.38	76.17	447.82	41.52	236.21	70.51	651.58	144.01	289.02	48.18	603.67	172.65	12.36	41.81	50.98	35.5	72.52	78.89	928.3	58.3	158.79	68.55	363.56	85.82	902.89	55.49	309.83	55.49	17.25	301.33	29.91	84.63	37.85	616.37	204.07	8.92	19.82	9.48	23.08	351.14	368.65	172.65	114.36	177.53
EGR3	8.85	10.16	31.45	3.89	1.55	4.21	3.08	61.25	0.66	3.29	2.29	10.63	42.71	6.46	21.78	10.63	409.15	941.27	420.68	1225.22	205.5	42.41	135.24	665.29	28.65	1143.1	52.45	1242.34	1081.39	366.09	85.22	854.13	52.08	31.45	17.0	50.98	131.51	64.8	56.28	1709.26	53.19	172.65	150.17	995.0	194.36	2193.99	19.39	2148.82	145.02	13.42	1268.46	42.71	34.26	33.06	583.07	356.05	10.96	50.98	34.51	86.43	163.28	358.54	248.0	26.86	2502.97
EIF1B	1331.57	1259.69	1407.55	1286.18	1183.45	1216.75	1340.84	1295.13	1167.14	1208.34	1225.22	1259.69	1427.22	1447.15	1277.29	1467.37	3212.66	2835.7	2664.15	2384.37	3168.41	2319.15	1407.55	2400.97	1340.84	2645.74	2047.0	2367.9	2796.65	2935.74	1963.57	2287.2	1794.29	1674.06	1304.15	1233.75	1594.73	1936.53	1733.13	2255.7	1583.71	2224.63	1508.65	1896.65	1909.85	2209.26	1127.35	2090.03	1857.6	1896.65	2537.92	1457.23	1977.24	1936.53	2319.15	2148.82	1397.83	1208.34	1378.57	1628.26	2075.59	2240.11	2701.35	1819.35	2451.44
ELL2	277.2	147.06	291.04	170.25	144.01	176.29	211.31	450.94	156.59	242.88	191.67	277.2	260.38	327.56	173.85	332.14	1551.09	1015.93	1350.18	363.56	1104.13	323.03	366.09	780.44	417.77	409.15	674.59	819.3	397.93	878.17	559.28	733.19	902.89	353.59	414.87	587.13	289.02	674.59	426.57	1073.91	713.11	483.38	314.17	253.23	738.29	813.63	237.86	476.71	718.08	323.03	620.67	287.01	514.56	463.65	909.17	1183.45	414.87	395.18	358.54	403.5	348.71	1331.57	791.35	214.27	339.14
ERF	503.95	860.08	825.0	616.37	718.08	703.28	921.88	733.19	780.44	890.44	921.88	387.02	915.51	441.64	909.17	941.27	2835.7	2682.69	2451.44	1059.11	2796.65	1088.92	947.83	1674.06	1008.9	791.35	1487.87	3716.2	1457.23	1437.15	1340.84	1617.0	1081.39	753.83	872.1	988.12	1073.91	1135.2	808.0	1991.0	866.07	974.5	733.19	825.0	872.1	2915.45	884.29	1923.14	1030.12	698.41	1709.26	723.08	1081.39	1059.11	2855.44	1277.29	825.0	708.18	830.75	854.13	941.27	2047.0	890.44	896.64	1159.07
ERRFI1	612.11	514.56	808.0	323.03	323.03	400.71	974.5	624.99	567.1	785.88	497.0	351.14	703.28	1175.27	591.22	753.83	10154.69	5594.3	9673.69	988.12	10296.45	1769.57	1119.56	7537.18	934.76	1733.13	7537.18	10084.54	8479.89	17558.94	2682.69	8247.98	1498.22	1225.22	1733.13	981.29	1104.13	3768.09	1896.65	4937.99	1529.73	3820.7	733.19	4869.99	1709.26	8718.32	1605.83	4575.41	2119.22	872.1	4903.87	928.3	2061.24	2434.5	7966.99	2664.15	1437.15	1286.18	1250.98	1350.18	1662.49	8305.36	5292.48	693.58	5479.15
FAM131A	173.85	177.53	195.72	218.79	229.72	198.47	209.84	190.34	198.47	236.21	149.12	142.01	237.86	154.42	226.54	171.45	688.78	571.05	587.13	248.0	1008.9	329.84	325.29	476.71	244.57	256.78	693.58	387.02	343.89	336.79	318.57	441.64	307.69	242.88	353.59	305.55	241.19	379.04	258.57	406.31	316.37	309.83	205.5	244.57	316.37	470.14	244.57	392.44	305.55	283.05	281.09	327.56	329.84	305.55	463.65	312.0	221.86	289.02	220.32	316.37	373.81	414.87	348.71	265.87	265.87
