	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.AR.A5QM.01A.11R.A27Q.07	TCGA.E2.A107.01A.11R.A10J.07	TCGA.A7.A425.01A.11R.A24H.07	TCGA.CC.A9FS.01A.11R.A37K.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.XR.A8TE.01A.11R.A36F.07	TCGA.MI.A75I.01A.11R.A32O.07	TCGA.UB.A7MA.01A.11R.A33R.07	TCGA.FV.A3R2.01A.11R.A22L.07	TCGA.CC.A9FV.01A.11R.A37K.07	TCGA.BC.A217.01A.11R.A155.07	TCGA.DD.AAD2.01A.11R.A41C.07	TCGA.EP.A3RK.01A.11R.A22L.07	TCGA.DD.A4NR.01A.11R.A311.07	TCGA.DD.AAE7.01A.11R.A41C.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.ED.A459.01A.11R.A266.07	TCGA.DD.AAVV.01A.11R.A41C.07	TCGA.MI.A75G.01A.11R.A32O.07	TCGA.FV.A3I1.01A.11R.A22L.07	TCGA.GJ.A9DB.01A.11R.A37K.07	GTEX.11GSP.0626.SM.5986T	GTEX.ZAB5.0426.SM.5CVMI	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.QESD.2026.SM.447BI	GTEX.12WSD.1426.SM.5GCN9	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.14753.1626.SM.5NQ9L	GTEX.REY6.1226.SM.48FDR	TCGA.MP.A4SW.01A.21R.A24X.07
ADAM15	5517.27	6381.92	6207.38	7280.4	1119.56	2537.92	1167.14	1286.18	2875.3	728.11	1844.76	3665.02	2032.85	3124.78	1651.0	1397.83	2178.83	909.17	1721.16	2758.13	4869.99	836.53	1977.24	1540.37	497.0	444.72	249.73	497.0	599.49	460.44	718.08	563.18	470.14	642.59	493.56	490.14	111.99	1037.29	4769.75
ALG1	1407.55	1369.04	1277.29	1159.07	327.56	1051.79	928.3	647.07	395.18	403.5	780.44	583.07	995.0	1151.06	1023.0	651.58	1191.69	571.05	785.88	1397.83	1081.39	559.28	884.29	808.0	229.72	503.95	417.77	473.41	358.54	303.44	379.04	507.46	486.75	547.75	450.94	305.55	348.71	529.06	1340.84
APOE	12676.65	15934.98	6983.79	17078.76	313910.86	229795.93	184082.4	524287.0	513497.31	212926.09	687022.54	164758.26	190574.09	139508.13	142439.51	311742.51	381149.17	231394.29	301123.38	123144.13	170568.48	462789.59	249727.34	431797.89	863596.77	520665.48	1078054.48	696613.03	1290947.48	783730.52	951601.81	828417.36	783730.52	2636147.11	964885.69	1442359.14	619179.28	517068.97	19618.49
ARHGAP17	974.5	1250.98	842.36	896.64	320.8	688.78	808.0	343.89	753.83	293.07	1594.73	450.94	638.15	830.75	848.22	486.75	748.61	647.07	417.77	941.27	988.12	361.04	679.29	743.43	769.69	406.31	476.71	232.94	409.15	591.22	457.25	329.84	493.56	293.07	412.0	397.93	262.2	395.18	1331.57
ATXN2L	2555.58	2720.15	3018.3	2701.35	1119.56	1806.78	2956.17	1259.69	2485.67	1059.11	1844.76	2075.59	1313.23	2047.0	2004.85	1111.82	2178.83	1233.75	1467.37	2835.7	2573.36	896.64	2224.63	2224.63	1059.11	607.87	698.41	684.02	1023.0	947.83	896.64	595.34	819.3	995.0	688.78	928.3	358.54	1073.91	3614.55
AXIN1	1331.57	703.28	988.12	860.08	92.05	341.51	262.2	180.02	368.65	55.89	334.46	334.46	239.52	332.14	414.87	241.19	318.57	187.71	312.0	579.04	246.28	52.08	389.72	312.0	140.04	112.77	108.9	111.21	175.07	173.85	76.17	121.79	120.94	102.97	92.05	121.79	115.16	275.28	1066.48
BOLA2	2133.97	583.07	775.05	1870.53	155.5	493.56	532.74	271.48	429.54	197.09	412.0	281.09	429.54	928.3	842.36	295.11	921.88	295.11	389.72	738.29	1350.18	500.46	287.01	332.14	123.5	236.21	223.41	148.09	158.79	205.5	132.44	121.79	115.97	281.09	141.02	145.02	127.89	400.71	1088.92
BOLA2B	9673.69	3257.52	5995.9	5872.48	1628.26	4512.4	2319.15	2104.58	2303.12	1467.37	2520.38	1794.29	2351.53	6471.02	6207.38	1259.69	4869.99	1594.73	1781.89	5831.91	6561.36	2627.46	1950.0	1674.06	1143.1	775.05	967.76	1498.22	1268.46	1605.83	718.08	791.35	629.35	2384.37	1508.65	896.64	728.11	1617.0	5672.41
C16orf91	1794.29	878.17	974.5	1498.22	248.0	599.49	409.15	271.48	343.89	185.11	325.29	713.11	361.04	642.59	583.07	454.09	525.39	463.65	842.36	629.35	1313.23	173.85	379.04	444.72	229.72	193.01	351.14	289.02	145.02	173.85	291.04	214.27	208.38	316.37	277.2	283.05	96.01	217.27	629.35
CD2BP2	3874.05	2997.45	2645.74	3982.99	457.25	981.29	669.92	651.58	1015.93	486.75	1437.15	954.43	896.64	1151.06	1066.48	854.13	988.12	642.59	1268.46	1023.0	1268.46	981.29	1295.13	1388.16	620.67	555.41	555.41	432.53	612.11	543.96	470.14	599.49	532.74	607.87	587.13	579.04	255.0	1073.91	2645.74
CLCN7	2075.59	1617.0	1991.0	4210.15	559.28	1540.37	1304.15	1417.35	1051.79	1088.92	4769.75	1159.07	1183.45	1781.89	2178.83	547.75	2645.74	703.28	1104.13	2255.7	3419.52	529.06	1844.76	2163.77	426.57	599.49	273.37	392.44	518.15	607.87	432.53	473.41	470.14	420.68	470.14	518.15	237.86	775.05	2502.97
CLEC16A	403.5	441.64	480.04	397.93	82.87	429.54	400.71	136.19	423.61	156.59	279.14	265.87	332.14	320.8	271.48	181.28	470.14	157.68	353.59	575.03	363.56	187.71	376.41	323.03	228.13	117.6	132.44	105.89	76.71	96.01	81.14	88.26	100.13	138.1	119.26	206.94	103.69	163.28	629.35
