	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.BH.A204.11A.53R.A157.07	TCGA.BH.A1FD.11B.21R.A13Q.07	TCGA.A7.A0CH.11A.32R.A089.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.E9.A1ND.11A.43R.A144.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11I78.2226.SM.5PNYA	GTEX.W5X1.2326.SM.3GIL6	GTEX.S32W.2026.SM.4AD6E	GTEX.ZF3C.2326.SM.5S2MZ	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13OVG.1426.SM.5K7VP	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.XYKS.0526.SM.4BRW2
ABCB8	603.67	264.03	248.0	480.04	403.5	511.0	186.4	236.21	353.59	242.88	291.04	318.57	178.77	249.73	155.5	417.77	253.23	457.25	145.02	493.56	126.12	108.14	281.09	389.72	536.45	309.83	351.14	0.0	0.36	1104.13
AC024592.12	55.49	27.44	29.7	44.89	93.35	37.85	27.64	15.11	25.35	21.01	35.0	18.29	17.9	18.03	11.47	17.51	40.07	43.63	15.45	37.85	18.84	20.56	20.56	52.45	29.7	35.25	49.21	0.0	0.0	34.75
AK1	2520.38	1977.24	1417.35	2855.44	3639.7	2434.5	1259.69	1295.13	2133.97	1073.91	2104.58	3060.45	1286.18	1685.71	435.55	2796.65	2163.77	3589.58	693.58	2468.49	1135.2	928.3	2701.35	2739.08	2271.4	1286.18	1806.78	1781.89	341.51	8134.41
B3GALT4	785.88	201.25	166.73	438.59	435.55	473.41	127.89	125.24	215.77	101.54	187.71	251.48	124.37	118.43	101.54	299.25	228.13	417.77	111.99	285.03	205.5	77.25	241.19	256.78	209.84	133.36	473.41	0.0	0.25	301.33
C19orf25	928.3	215.77	242.88	503.95	543.96	603.67	143.01	137.14	256.78	148.09	234.57	281.09	256.78	190.34	134.3	420.68	180.02	400.71	153.34	607.87	191.67	157.68	242.88	231.32	231.32	381.68	518.15	0.0	0.3	825.0
C19orf43	8421.31	3768.09	3257.52	4038.61	5517.27	4512.4	3081.75	3235.01	2956.17	2739.08	2816.11	3060.45	2976.74	2255.7	2915.45	3190.46	3081.75	4736.79	1662.49	3491.39	2351.53	1199.98	3103.19	3419.52	3614.55	3325.99	4239.45	0.0	1.0	4607.24
C1orf122	3280.18	813.63	995.0	1487.87	2520.38	1540.37	1044.52	934.76	988.12	954.43	909.17	1143.1	660.68	748.61	603.67	1159.07	1159.07	1721.16	287.01	1295.13	571.05	406.31	1359.57	1051.79	1427.22	836.53	1322.37	0.0	0.72	4450.27
C9orf16	6121.9	1059.11	1457.23	2816.11	3081.75	3614.55	878.17	842.36	1119.56	1322.37	1037.29	1233.75	830.75	842.36	785.88	791.35	1617.0	2485.67	571.05	1378.57	819.3	708.18	947.83	2133.97	2163.77	1127.35	2664.15	0.0	0.83	2335.28
C9orf69	1286.18	239.52	215.77	571.05	551.56	629.35	159.9	170.25	406.31	145.02	289.02	346.29	244.57	185.11	109.66	642.59	454.09	813.63	232.94	507.46	178.77	136.19	698.41	591.22	518.15	457.25	426.57	0.0	0.02	698.41
CCDC106	1073.91	202.66	242.88	400.71	503.95	466.88	198.47	181.28	406.31	161.02	283.05	307.69	232.94	218.79	117.6	543.96	571.05	1143.1	49.56	299.25	110.43	77.25	368.65	660.68	532.74	236.21	205.5	0.0	0.43	718.08
CCDC124	4450.27	928.3	603.67	2384.37	3794.3	2664.15	444.72	473.41	1331.57	400.71	1175.27	1369.04	674.59	518.15	206.94	1427.22	1407.55	3467.27	218.79	3081.75	748.61	287.01	2895.31	1417.35	2240.11	1883.54	2163.77	0.0	1.0	3280.18
CCM2	1651.0	808.0	651.58	1135.2	1551.09	1594.73	733.19	638.15	1208.34	543.96	967.76	1044.52	616.37	511.0	361.04	1119.56	1127.35	1909.85	414.87	1295.13	532.74	466.88	1733.13	1208.34	1242.34	884.29	759.08	0.0	0.95	1407.55
CENPB	3614.55	872.1	854.13	1388.16	1950.0	1561.89	780.44	629.35	1183.45	551.56	961.07	1159.07	733.19	775.05	447.82	1561.89	1340.84	2240.11	480.04	1508.65	708.18	412.0	1583.71	1572.76	1639.59	1167.14	890.44	836.53	1051.79	1508.65
CISD3	2209.26	684.02	708.18	1437.15	1605.83	1427.22	624.99	543.96	1015.93	480.04	718.08	813.63	612.11	753.83	316.37	1023.0	2032.85	2816.11	171.45	1936.53	435.55	281.09	2240.11	2591.27	1551.09	974.5	1259.69	0.0	0.38	2777.33
CRTC1	323.03	120.94	120.94	199.85	158.79	195.72	94.01	100.83	103.69	104.42	117.6	130.6	105.89	99.43	66.65	183.82	134.3	273.37	74.58	239.52	44.57	66.18	75.64	96.68	109.66	126.12	175.07	0.0	0.6	221.86
DEXI	1183.45	769.69	780.44	934.76	1111.82	1397.83	775.05	656.11	842.36	529.06	915.51	775.05	660.68	780.44	395.18	796.86	1225.22	2090.03	529.06	1104.13	559.28	525.39	1313.23	1417.35	1175.27	1030.12	708.18	0.0	0.71	1617.0
DHRS4	1551.09	819.3	642.59	1477.58	2061.24	1806.78	624.99	543.96	1295.13	647.07	995.0	981.29	708.18	629.35	397.93	1208.34	1350.18	1407.55	356.05	842.36	1023.0	532.74	1498.22	2485.67	921.88	1135.2	995.0	0.0	0.49	1008.9
