	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.G3.A5SI.01A.31R.A27V.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.05.4389.01A.01R.1206.07	TCGA.80.5611.01A.01R.1628.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.44.7670.01A.11R.2066.07	TCGA.60.2709.01A.21R.1820.07	TCGA.51.4081.01A.01R.1100.07	TCGA.J1.A4AH.01A.31R.A24H.07	TCGA.58.A46N.01A.11R.A24H.07	TCGA.21.1075.01A.01R.0692.07	TCGA.58.8392.01A.11R.2326.07	TCGA.66.2777.01A.01R.1201.07	TCGA.85.8052.01A.11R.2247.07
ABCA13	785.88	1487.87	4.9	0.72	3.99	0.0	3.66	3.11	5.36	0.0	0.14	178.77	123.5	291.04	231.32	493.56	769.69	674.59	255.0	339.14
ABCC1	599.49	423.61	8.45	38.95	10.55	47.5	26.47	808.0	426.57	0.0	0.99	642.59	2555.58	5403.7	3639.7	2956.17	3690.52	2627.46	1259.69	2682.69
ABCC5	961.07	928.3	93.35	97.36	108.14	108.9	34.02	587.13	176.29	0.0	1.0	848.22	2555.58	2875.3	13681.08	4481.23	3982.99	9151.82	1487.87	3639.7
AC006116.20	647.07	7280.4	2.18	2.16	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.0	101.54	356.05	470.14	305.55	361.04	218.79	100.13	303.44
ADAM23	100.13	283.05	17.25	0.72	23.93	1.95	0.67	24.63	2.14	0.0	0.53	301.33	1119.56	1059.11	1896.65	3614.55	2502.97	2047.0	941.27	1216.75
ADCY8	0.0	119.26	0.0	0.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	62.12	120.94	50.98	87.65	163.28	3.14	28.45	158.79
ADD2	0.0	0.0	0.0	1.71	3.0	3.69	0.0	19.25	2.86	0.0	0.25	285.03	159.9	291.04	423.61	599.49	202.66	125.24	429.54	376.41
AEBP2	616.37	438.59	198.47	111.99	92.05	107.38	69.03	373.81	178.77	312.0	775.05	457.25	660.68	1111.82	785.88	848.22	713.11	743.43	669.92	543.96
AMOTL1	1015.93	490.14	262.2	17.9	99.43	19.82	76.71	49.21	15.22	0.0	0.54	178.77	228.13	620.67	229.72	305.55	231.32	595.34	450.94	358.54
ARHGAP23	1088.92	563.18	33.3	29.91	30.12	31.0	53.19	132.44	120.1	0.0	0.65	371.22	693.58	1051.79	1191.69	1977.24	587.13	1286.18	842.36	842.36
ARL4A	1819.35	5954.47	633.73	115.97	82.29	106.63	151.22	1104.13	563.18	511.0	236.21	633.73	934.76	808.0	457.25	836.53	2193.99	1001.93	470.14	3491.39
ARTN	167.9	256.78	5.45	11.55	3.14	1.71	1.51	74.58	17.64	0.0	0.85	75.64	693.58	764.36	1437.15	1819.35	1175.27	753.83	595.34	2255.7
ATP2B1	309.83	642.59	149.12	37.32	57.08	83.45	50.27	124.37	253.23	713.11	693.58	289.02	688.78	1417.35	2451.44	1844.76	1183.45	1111.82	723.08	921.88
BLMH	679.29	872.1	104.42	93.35	139.07	253.23	202.66	633.73	511.0	0.0	0.95	884.29	1519.15	1674.06	1781.89	1844.76	1794.29	3665.02	928.3	1313.23
BMP7	23009.42	19214.73	0.0	0.0	0.58	0.0	2.46	8.45	56.28	0.0	0.54	995.0	738.29	1594.73	1059.11	358.54	473.41	1183.45	759.08	1806.78
BRD1	271.48	587.13	124.37	141.02	73.54	194.36	161.02	299.25	307.69	0.0	0.83	518.15	525.39	642.59	902.89	406.31	423.61	647.07	473.41	791.35
C3orf58	316.37	466.88	379.04	73.54	728.11	170.25	155.5	134.3	258.57	0.0	0.45	309.83	323.03	872.1	529.06	1457.23	802.41	1001.93	409.15	713.11
CD109	291.04	629.35	39.79	8.92	7.06	6.67	4.31	78.89	111.21	0.0	0.6	90.77	291.04	825.0	212.78	825.0	457.25	595.34	476.71	417.77
CD44	7911.95	9740.98	48.87	480.04	120.94	106.63	180.02	1923.14	2178.83	16269.83	4481.23	1066.48	6381.92	12589.08	6745.86	8479.89	11745.96	8479.89	12329.98	7966.99
CDC40	190.34	253.23	141.02	125.24	137.14	198.47	106.63	165.57	212.78	0.0	0.44	178.77	351.14	400.71	249.73	232.94	371.22	264.03	283.05	283.05
CHST7	37.05	356.05	148.09	49.56	281.09	28.24	209.84	60.82	25.35	0.0	0.39	29.48	314.17	320.8	748.61	463.65	432.53	738.29	358.54	503.95
CLASP1	497.0	314.17	109.66	105.15	107.38	127.0	146.03	223.41	221.86	454.09	571.05	316.37	329.84	753.83	1378.57	480.04	387.02	723.08	346.29	470.14
CLIP4	2997.45	1639.59	5.68	106.63	6.46	178.77	66.65	343.89	417.77	0.0	0.75	688.78	791.35	1111.82	2047.0	848.22	1457.23	1437.15	775.05	1977.24
COL4A5	10.71	40.36	5.68	2.14	5.59	5.73	23.93	31.9	1.55	0.0	0.66	31.22	299.25	860.08	511.0	974.5	1023.0	759.08	114.36	656.11
COL4A6	4.1	22.75	0.0	0.0	1.1	0.87	0.79	1.35	0.0	0.0	0.49	6.57	173.85	299.25	132.44	529.06	193.01	204.07	81.71	218.79
COL7A1	5479.15	16496.96	40.36	27.25	32.59	131.51	12.74	36.53	141.02	0.0	1.62	175.07	1923.14	6337.83	4010.71	6792.79	3349.13	4671.57	503.95	3372.43
CORO1C	928.3	785.88	447.82	356.05	190.34	295.11	429.54	1268.46	1519.15	2047.0	4736.79	1059.11	2178.83	3146.52	2895.31	2935.74	3280.18	2895.31	2287.2	2915.45
CORO2A	2004.85	669.92	1.46	28.04	85.82	49.21	22.43	224.97	130.6	62.56	64.34	108.14	301.33	438.59	323.03	698.41	334.46	253.23	395.18	444.72
COX19	132.44	211.31	83.45	182.55	95.34	101.54	47.5	119.26	159.9	176.29	116.78	239.52	177.53	178.77	217.27	239.52	251.48	309.83	144.01	218.79
DCC	0.0	4.9	0.0	0.0	3.86	1.11	0.54	0.38	1.3	0.0	0.0	2.29	53.57	182.55	74.06	108.14	318.57	55.1	13.62	22.75
DDR1	11504.21	10014.87	165.57	127.0	60.82	19.39	93.35	1721.16	1883.54	0.0	0.42	4481.23	3467.27	4419.52	4769.75	5791.62	4802.93	9151.82	6037.61	7749.1
