	GTEX.139TT.0726.SM.5K7XW	GTEX.13111.0426.SM.5DUXR	GTEX.YF7O.0626.SM.4W21R	GTEX.OOBK.0526.SM.2HMJJ	GTEX.13U4I.1426.SM.5J2M3	GTEX.11DXX.0626.SM.5Q5AG	GTEX.13O3O.0726.SM.5J1N7	GTEX.O5YW.0526.SM.2YUMX	GTEX.Y5V5.0826.SM.4VBQD	GTEX.131XF.1026.SM.5BC6A	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.13OVH.1026.SM.5J2NP	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.147F4.0926.SM.5Q5EO	GTEX.P4QT.0526.SM.2I3EX	GTEX.U8XE.1426.SM.3DB8Q	GTEX.WZTO.0426.SM.3NM99	GTEX.ZA64.0326.SM.5HL8T	GTEX.WFJO.0326.SM.3GIL3	GTEX.YB5E.0726.SM.4VDSH	GTEX.P4PQ.0526.SM.2HMKR	GTEX.111YS.0626.SM.5GZXV	GTEX.11I78.0126.SM.5HL6F	GTEX.RWSA.1126.SM.2XCAZ	GTEX.WOFM.0126.SM.3MJFE	GTEX.13113.0426.SM.5GCOD	GTEX.YEC3.0226.SM.5IFJO	GTEX.12BJ1.1026.SM.5EGJA	GTEX.11EMC.0126.SM.5EGKV	GTEX.WFON.0426.SM.3GIL4	GTEX.PX3G.0526.SM.2I3EM	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.13N1W.0726.SM.5MR57	GTEX.WRHU.0226.SM.3MJFV	GTEX.13VXU.2726.SM.5LU4N	GTEX.P78B.0926.SM.2I5FA	GTEX.Q2AH.0426.SM.2I3EP	GTEX.ZDTT.0926.SM.5J2MS	GTEX.OIZI.1026.SM.3NB1K	GTEX.1399S.1726.SM.5L3DI	GTEX.Y3IK.0626.SM.4WWE4	GTEX.UPIC.0826.SM.3GADQ	GTEX.XPVG.1026.SM.4B64Y	GTEX.UJHI.0726.SM.3DB92	GTEX.ZLWG.0626.SM.4WWFR	GTEX.X4LF.0526.SM.3NMB6	GTEX.W5X1.0526.SM.3GILH	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.PLZ6.0426.SM.5IFK2	GTEX.S7SF.0426.SM.3K2B7	GTEX.Q2AG.1026.SM.33HBW	GTEX.R55D.0926.SM.3GAEU	GTEX.XQ8I.1126.SM.4BOO2	GTEX.1399U.0826.SM.5KM1P	GTEX.OXRL.0526.SM.2I3EZ	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.OXRK.0926.SM.2HMKP	GTEX.OIZG.0526.SM.2HMLF	GTEX.SUCS.0626.SM.32PM5	GTEX.QCQG.0326.SM.2I3ES	GTEX.PW2O.0526.SM.2I3DX	GTEX.13G51.0426.SM.5K7Z5	GTEX.UJMC.0726.SM.3GADX	GTEX.NFK9.1026.SM.2HMK1	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.RM2N.0426.SM.2TF4T	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.144GO.0226.SM.5LUB1	GTEX.131XH.0426.SM.5DUWU
ABCB8	218.79	656.11	595.34	1059.11	633.73	587.13	173.85	647.07	490.14	397.93	251.48	503.95	409.15	251.48	547.75	575.03	503.95	165.57	733.19	438.59	392.44	457.25	612.11	470.14	688.78	341.51	718.08	258.57	500.46	642.59	769.69	356.05	224.97	624.99	890.44	703.28	353.59	305.55	334.46	185.11	660.68	921.88	559.28	497.0	688.78	684.02	775.05	595.34	713.11	633.73	579.04	305.55	698.41	540.19	599.49	934.76	190.34	543.96	679.29	500.46	860.08	486.75	514.56	759.08	769.69	934.76	802.41	303.44	684.02	532.74	125.24	194.36	525.39	295.11	173.85	194.36
ACOT7	353.59	981.29	1001.93	1519.15	718.08	454.09	199.85	796.86	559.28	473.41	603.67	674.59	406.31	457.25	1096.5	500.46	934.76	229.72	607.87	571.05	476.71	743.43	1051.79	830.75	934.76	447.82	860.08	373.81	909.17	995.0	633.73	450.94	543.96	802.41	1674.06	819.3	638.15	503.95	463.65	148.09	1183.45	438.59	406.31	1030.12	647.07	830.75	703.28	796.86	454.09	1183.45	647.07	514.56	679.29	1008.9	1277.29	1340.84	305.55	395.18	1001.93	656.11	928.3	738.29	647.07	819.3	974.5	808.0	693.58	353.59	669.92	612.11	301.33	341.51	555.41	591.22	217.27	674.59
ALDH16A1	194.36	629.35	638.15	669.92	629.35	547.75	145.02	463.65	547.75	392.44	283.05	595.34	620.67	255.0	529.06	547.75	738.29	146.03	579.04	387.02	224.97	381.68	301.33	902.89	417.77	327.56	759.08	115.97	283.05	718.08	547.75	316.37	217.27	361.04	1167.14	679.29	256.78	289.02	151.22	237.86	651.58	698.41	412.0	376.41	583.07	638.15	698.41	547.75	791.35	563.18	836.53	242.88	679.29	503.95	567.1	981.29	135.24	267.73	400.71	599.49	476.71	629.35	518.15	532.74	1044.52	503.95	633.73	127.0	802.41	660.68	122.64	346.29	366.09	171.45	89.51	194.36
APRT	1304.15	3018.3	4972.34	6607.01	3081.75	3716.2	1639.59	2018.8	2400.97	2434.5	2004.85	2468.49	4328.55	3018.3	2627.46	3212.66	4123.49	1216.75	3325.99	4607.24	2061.24	3039.3	2627.46	4450.27	3303.0	2178.83	5076.84	1583.71	2682.69	3716.2	4575.41	2555.58	2915.45	3212.66	5479.15	4010.71	2796.65	3039.3	1936.53	1806.78	2855.44	3955.48	3018.3	3039.3	3303.0	2573.36	3039.3	3395.89	2777.33	6337.83	3372.43	2193.99	3928.15	4543.8	6745.86	11267.44	1295.13	2915.45	3303.0	2935.74	2777.33	4298.64	1697.45	3146.52	4181.07	3901.01	2417.67	1378.57	3742.05	2335.28	988.12	2367.9	2032.85	2178.83	1151.06	1605.83
BCL7C	426.57	684.02	764.36	796.86	842.36	780.44	231.32	514.56	728.11	808.0	297.17	713.11	836.53	316.37	723.08	612.11	934.76	289.02	518.15	305.55	529.06	633.73	429.54	902.89	808.0	353.59	616.37	309.83	708.18	529.06	753.83	366.09	334.46	486.75	1769.57	753.83	361.04	414.87	368.65	251.48	780.44	579.04	476.71	780.44	507.46	796.86	656.11	595.34	878.17	842.36	738.29	493.56	718.08	708.18	1081.39	915.51	293.07	271.48	764.36	647.07	599.49	802.41	514.56	842.36	540.19	791.35	660.68	507.46	507.46	555.41	301.33	318.57	483.38	497.0	231.32	490.14
C12orf10	444.72	1008.9	1059.11	1437.15	967.76	884.29	447.82	819.3	928.3	748.61	738.29	974.5	1313.23	497.0	802.41	1259.69	1088.92	329.84	928.3	1199.98	567.1	802.41	928.3	1594.73	1457.23	500.46	1096.5	679.29	1159.07	1044.52	813.63	587.13	547.75	896.64	1617.0	1023.0	674.59	1208.34	718.08	480.04	1030.12	1447.15	825.0	1051.79	1119.56	791.35	1572.76	764.36	954.43	1127.35	1023.0	1023.0	1268.46	909.17	1540.37	2367.9	353.59	764.36	909.17	1037.29	1191.69	1350.18	896.64	1073.91	1008.9	921.88	723.08	400.71	1191.69	1023.0	356.05	753.83	567.1	583.07	536.45	547.75
C17orf59	141.02	231.32	236.21	154.42	327.56	279.14	73.54	242.88	221.86	275.28	42.41	165.57	314.17	79.45	293.07	287.01	309.83	63.45	277.2	74.06	237.86	178.77	223.41	351.14	273.37	161.02	353.59	61.68	215.77	231.32	220.32	147.06	87.65	189.02	387.02	281.09	214.27	111.21	158.79	82.87	267.73	291.04	305.55	218.79	309.83	212.78	470.14	251.48	201.25	229.72	327.56	248.0	303.44	231.32	246.28	366.09	74.58	163.28	214.27	231.32	281.09	199.85	242.88	202.66	287.01	215.77	256.78	77.79	193.01	186.4	120.1	126.12	180.02	108.9	98.73	76.71
C17orf70	142.01	277.2	277.2	591.22	511.0	376.41	161.02	301.33	273.37	239.52	118.43	267.73	241.19	224.97	346.29	283.05	343.89	111.99	361.04	395.18	163.28	241.19	241.19	395.18	397.93	177.53	447.82	332.14	327.56	318.57	351.14	260.38	178.77	262.2	642.59	376.41	229.72	253.23	134.3	193.01	536.45	647.07	251.48	343.89	271.48	463.65	902.89	289.02	493.56	267.73	470.14	339.14	414.87	301.33	246.28	511.0	153.34	206.94	379.04	332.14	353.59	307.69	171.45	536.45	423.61	368.65	579.04	177.53	521.76	395.18	69.52	178.77	281.09	228.13	73.03	143.01
C19orf48	93.35	423.61	438.59	1175.27	536.45	307.69	291.04	223.41	195.72	297.17	406.31	332.14	379.04	283.05	239.52	412.0	414.87	131.51	277.2	647.07	157.68	591.22	267.73	435.55	460.44	182.55	460.44	521.76	647.07	287.01	316.37	395.18	208.38	571.05	1457.23	373.81	218.79	435.55	157.68	206.94	309.83	414.87	327.56	490.14	389.72	591.22	579.04	547.75	521.76	551.56	379.04	438.59	426.57	483.38	642.59	1540.37	126.12	403.5	476.71	366.09	486.75	381.68	236.21	400.71	381.68	543.96	389.72	105.89	647.07	476.71	85.82	241.19	260.38	119.26	165.57	98.73
C19orf70	728.11	2133.97	2645.74	3168.41	1437.15	2434.5	738.29	1350.18	1233.75	1331.57	884.29	1605.83	2796.65	1313.23	1806.78	1540.37	2935.74	532.74	1447.15	1583.71	928.3	1487.87	1467.37	2178.83	1733.13	1015.93	2209.26	775.05	1359.57	1628.26	2224.63	1127.35	1037.29	1350.18	2835.7	2915.45	1159.07	1295.13	819.3	518.15	2119.22	1977.24	1674.06	1340.84	1857.6	2417.67	1662.49	1745.2	1745.2	3349.13	1794.29	1008.9	2075.59	2148.82	2777.33	3060.45	384.34	1175.27	1832.01	1781.89	1447.15	1417.35	961.07	1936.53	2061.24	2468.49	1437.15	909.17	1651.0	1135.2	493.56	909.17	1119.56	961.07	647.07	1015.93
