	TCGA.CU.A5W6.01A.11R.A28M.07	TCGA.BT.A0YX.01A.11R.A10U.07	TCGA.XF.A9T8.01A.11R.A39I.07	TCGA.FD.A5C1.01A.11R.A28M.07	TCGA.CU.A72E.01A.12R.A33J.07	TCGA.BT.A20U.11A.11R.A14Y.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.UC.A7PF.01A.11R.A352.07	TCGA.MA.AA42.01A.12R.A38B.07	TCGA.EK.A2RC.01A.11R.A18M.07	TCGA.Q1.A6DW.01A.11R.A32P.07	TCGA.JW.A5VL.01A.11R.A28H.07	TCGA.DS.A5RQ.01A.11R.A28H.07	TCGA.EK.A2RO.01A.11R.A18M.07	TCGA.EA.A3HU.01A.11R.A213.07	TCGA.DS.A1OB.01A.11R.A14Y.07	TCGA.C5.A1BQ.01C.11R.A213.07	TCGA.XP.A8T8.01A.11R.A36D.31	TCGA.LN.A49S.01A.11R.A24K.31	TCGA.IG.A8O2.01A.11R.A36D.31	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.Z6.A8JD.01A.11R.A36D.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.LN.A8I0.01A.11R.A36D.31	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.R6.A6L6.01B.11R.A336.31	TCGA.LN.A7HV.01A.21R.A354.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.LN.A49L.01A.11R.A24K.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.LN.A4MR.01A.11R.A28J.31	TCGA.XP.A8T6.01A.11R.A36D.31	TCGA.IG.A4P3.01A.11R.A260.31	TCGA.LN.A4A1.01A.21R.A260.31	TCGA.LN.A49R.01A.11R.A24K.31	TCGA.LN.A4A9.01A.11R.A28J.31	TCGA.V5.AASV.01A.11R.A38D.31	TCGA.LN.A8I1.01A.11R.A36D.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.L5.A4OM.01A.11R.A260.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.L5.A88Z.01A.11R.A36D.31	TCGA.IG.A3QL.01A.11R.A24K.31	TCGA.VR.A8EX.01A.11R.A36D.31	TCGA.VR.A8EW.01A.11R.A36D.31	TCGA.IG.A3YC.01A.11R.A24K.31	TCGA.IG.A6QS.01A.12R.A336.31	TCGA.L5.A43H.01A.11R.A24K.31	TCGA.LN.A9FO.01A.11R.A38D.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.ZTTD.1226.SM.51MS2	GTEX.145LV.1326.SM.5S2QI	GTEX.QVUS.0626.SM.447CC	GTEX.T5JC.1726.SM.4DM6U	GTEX.PLZ4.1626.SM.3P618	GTEX.RNOR.1226.SM.48FDQ	GTEX.UPK5.1226.SM.4IHL8	GTEX.XQ3S.1126.SM.4BOPK	GTEX.132AR.2226.SM.5J2NT	GTEX.132AR.2326.SM.5IJDY	TCGA.QK.A6VC.01A.23R.A34R.07	TCGA.CR.6472.01A.11R.1873.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CV.6955.01A.11R.2016.07	TCGA.CV.6935.01A.11R.1915.07	TCGA.CV.A45V.01A.21R.A24Z.07	TCGA.CV.7421.01A.11R.2081.07	TCGA.CV.7183.11A.01R.2016.07	GTEX.YFC4.1126.SM.5RQJN	GTEX.ZUA1.1026.SM.4YCEA	TCGA.85.A4JC.01A.11R.A24Z.07	TCGA.21.5784.01A.01R.1635.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.IN.7806.11A.01R.2055.13	GTEX.WWYW.2826.SM.4MVOQ	GTEX.PWN1.2026.SM.48TD9	GTEX.R55G.1626.SM.48FF4
AC137932.1	5.68	10.88	7.28	4.1	5.54	8.38	37.32	19.68	4.54	9.48	11.73	13.03	6.78	3.14	11.47	10.63	18.84	35.76	34.26	27.44	11.47	21.16	21.47	29.7	23.76	11.38	11.82	19.39	58.3	29.06	14.35	43.32	18.84	42.11	61.68	55.1	78.34	66.65	33.06	26.28	46.84	23.76	19.68	4.9	22.75	22.59	18.03	19.11	37.05	31.22	18.29	23.42	48.52	56.28	82.29	70.51	40.36	48.52	24.11	27.44	20.56	15.11	4.86	1.28	4.46	4.03	13.72	5.77	5.63	18.97	17.13	14.78	6.57	0.0	6.21	5.5	6.52	6.31	2.78	1.08	11.47	13.93	4.46	3.35
ACCS	103.69	72.52	80.57	65.72	532.74	124.37	206.94	111.99	87.65	189.02	85.82	65.26	111.21	94.67	73.54	145.02	129.69	176.29	381.68	356.05	140.04	366.09	256.78	665.29	124.37	84.04	228.13	334.46	684.02	139.07	218.79	595.34	209.84	511.0	490.14	325.29	536.45	183.82	166.73	159.9	521.76	94.67	218.79	152.28	143.01	146.03	297.17	135.24	305.55	264.03	287.01	236.21	571.05	669.92	507.46	291.04	483.38	255.0	139.07	117.6	273.37	208.38	52.08	25.35	28.65	162.14	91.41	49.91	66.65	293.07	316.37	158.79	92.05	25.35	39.79	31.0	104.42	59.97	49.56	30.34	96.68	166.73	271.48	159.9
ADAT2	54.72	93.35	75.11	94.01	120.1	108.14	105.15	101.54	46.18	48.18	159.9	107.38	66.65	61.25	78.34	191.67	150.17	149.12	283.05	157.68	110.43	205.5	255.0	132.44	148.09	173.85	130.6	139.07	346.29	228.13	242.88	460.44	123.5	153.34	187.71	186.4	351.14	141.02	215.77	154.42	215.77	145.02	136.19	117.6	185.11	98.73	287.01	389.72	112.77	255.0	108.9	281.09	336.79	460.44	332.14	194.36	384.34	279.14	228.13	110.43	93.35	145.02	81.14	29.27	47.5	31.0	76.71	45.85	63.0	51.35	127.89	120.1	42.71	38.67	84.63	125.24	89.51	94.01	71.0	53.19	158.79	57.89	51.35	124.37
AGAP5	56.28	26.86	33.78	42.71	45.21	55.89	64.8	93.35	27.84	49.56	55.1	60.82	37.59	35.76	19.82	31.67	32.59	58.3	108.14	85.82	80.01	92.7	81.14	57.08	46.18	36.53	81.14	77.25	154.42	91.41	100.13	146.03	51.35	74.58	98.04	105.15	220.32	135.24	64.34	76.71	183.82	66.18	72.01	50.27	59.97	61.68	146.03	84.04	53.57	105.15	69.03	281.09	180.02	185.11	201.25	169.07	217.27	175.07	154.42	124.37	148.09	87.65	23.76	4.94	15.8	16.03	55.49	25.35	18.29	51.35	35.0	52.08	28.24	5.54	12.83	15.8	25.35	15.0	18.29	6.84	58.71	88.26	26.86	41.81
AGAP6	167.9	90.14	119.26	108.14	128.79	105.15	49.21	301.33	63.45	191.67	189.02	231.32	80.01	126.12	68.55	159.9	105.89	167.9	332.14	363.56	267.73	262.2	239.52	303.44	246.28	187.71	329.84	320.8	738.29	536.45	236.21	503.95	162.14	221.86	318.57	314.17	802.41	563.18	273.37	239.52	551.56	251.48	346.29	157.68	226.54	172.65	275.28	303.44	260.38	329.84	215.77	961.07	543.96	476.71	341.51	341.51	536.45	438.59	351.14	231.32	470.14	260.38	66.18	21.94	31.9	52.82	99.43	60.39	18.7	120.94	43.32	217.27	86.43	7.46	20.11	53.19	38.4	31.67	31.67	27.84	89.51	264.03	120.1	117.6
AGAP8	57.08	42.11	17.64	107.38	67.12	12.55	37.32	78.89	8.58	57.89	46.84	54.72	5.59	18.16	29.06	22.26	51.35	127.89	212.78	154.42	70.51	81.71	87.65	92.7	100.13	74.58	93.35	81.14	195.72	107.38	98.73	198.47	80.57	56.28	120.94	76.71	295.11	167.9	44.57	87.65	217.27	101.54	108.9	44.57	63.0	48.18	206.94	70.01	72.52	173.85	110.43	262.2	182.55	403.5	175.07	273.37	169.07	518.15	44.89	67.12	80.01	82.29	13.03	16.27	24.11	19.68	49.56	31.0	18.56	42.41	29.91	37.59	29.48	2.97	14.45	39.79	22.26	12.64	22.75	3.2	66.18	130.6	31.67	82.87
AHSA2	728.11	275.28	400.71	417.77	764.36	253.23	262.2	995.0	363.56	825.0	420.68	486.75	275.28	267.73	204.07	414.87	603.67	1378.57	1388.16	2701.35	1119.56	1529.73	808.0	1896.65	791.35	679.29	1167.14	1015.93	2255.7	1427.22	1233.75	2520.38	2271.4	1551.09	2075.59	2739.08	2997.45	2351.53	2591.27	1008.9	2609.3	825.0	1051.79	575.03	1286.18	1127.35	1295.13	1233.75	2032.85	1135.2	629.35	1477.58	1199.98	2335.28	2417.67	2075.59	1651.0	1674.06	651.58	1059.11	1594.73	1023.0	202.66	43.02	43.63	121.79	356.05	156.59	60.82	616.37	1119.56	1407.55	144.01	4.94	83.45	20.11	61.25	50.27	35.76	27.84	406.31	1127.35	384.34	242.88
ANKZF1	351.14	356.05	371.22	540.19	457.25	412.0	791.35	733.19	587.13	878.17	872.1	1023.0	409.15	819.3	612.11	638.15	854.13	1096.5	1233.75	2090.03	848.22	1709.26	1104.13	854.13	1896.65	1331.57	1030.12	1135.2	1104.13	1081.39	1340.84	1540.37	1015.93	1073.91	890.44	1857.6	1923.14	2335.28	1561.89	1104.13	1909.85	1015.93	915.51	748.61	954.43	1151.06	1183.45	1617.0	1286.18	1119.56	1119.56	1295.13	1551.09	2148.82	2018.8	3168.41	1304.15	1870.53	1015.93	1023.0	1295.13	785.88	366.09	297.17	420.68	547.75	674.59	361.04	287.01	412.0	463.65	1001.93	466.88	83.45	208.38	214.27	312.0	218.79	206.94	180.02	808.0	878.17	246.28	237.86
AP003068.6	18.43	3.32	9.27	6.94	12.74	6.01	5.11	11.3	10.88	13.32	16.39	14.24	6.01	8.51	7.88	13.12	17.9	40.07	31.0	39.22	37.32	31.67	30.12	37.59	34.51	25.17	47.84	29.91	25.35	27.05	35.25	60.39	30.12	26.86	41.52	49.91	70.51	33.3	73.03	30.12	35.0	31.67	25.72	18.84	31.0	19.39	53.95	32.59	28.04	68.55	22.1	52.08	36.79	36.79	36.79	50.63	34.51	45.85	46.5	45.21	56.68	13.03	13.93	1.89	4.7	4.74	4.5	2.41	2.36	12.45	4.82	25.35	10.16	0.0	2.56	0.46	3.26	2.46	2.61	0.97	12.83	43.63	7.22	7.22
C6ORF50	16.39	2.94	6.31	4.13	16.15	9.2	6.46	9.48	5.92	12.64	8.85	13.03	4.74	2.66	7.34	15.8	6.41	59.13	70.51	40.36	20.41	12.36	20.71	19.39	4.24	15.45	40.07	25.35	77.25	15.91	23.25	70.01	5.54	44.89	39.22	67.59	99.43	30.78	114.36	27.84	46.18	13.83	27.64	22.59	24.63	11.91	39.22	22.75	31.67	34.51	24.99	135.24	37.59	73.54	18.7	43.94	91.41	51.35	26.1	26.67	36.79	11.73	6.16	0.0	0.95	1.91	1.83	2.94	0.88	5.19	7.06	12.18	1.17	0.0	0.39	0.0	2.2	0.56	0.91	2.05	15.22	40.36	4.5	9.48
