	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.KK.A7AV.01A.11R.A32O.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.A7NK.01A.12R.A352.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.VP.A879.01A.11R.A352.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.V1.A8MG.01A.11R.A36G.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.G9.6336.01A.11R.1789.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.KK.A7B3.01A.11R.A33R.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.FC.A8O0.01A.41R.A37L.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.ZVP2.0826.SM.59HJ6	GTEX.14E6E.1126.SM.5S2R4
ACAP3	314.17	273.37	381.68	201.25	669.92	497.0	791.35	205.5	511.0	147.06	656.11	297.17	368.65	444.72	289.02	403.5	228.13	753.83	400.71	1015.93	262.2	718.08	248.0	329.84	199.85	361.04	277.2	521.76	264.03	454.09	366.09	287.01	140.04	186.4	629.35	571.05	587.13	616.37	426.57	237.86	500.46	283.05	232.94	379.04	400.71	536.45	320.8	457.25	1001.93	277.2	246.28	249.73	212.78	318.57	656.11	223.41	414.87	642.59	176.29	165.57	163.28	463.65	532.74	325.29	182.55	217.27	262.2	669.92	224.97	507.46	708.18	155.5	587.13	191.67	220.32	457.25	583.07	974.5	748.61	356.05	511.0	129.69	463.65	262.2	231.32	336.79	128.79	236.21	176.29	159.9	195.72
ADCK5	118.43	146.03	246.28	125.24	291.04	170.25	256.78	145.02	182.55	80.01	215.77	171.45	151.22	159.9	150.17	255.0	115.97	283.05	173.85	190.34	153.34	256.78	127.0	173.85	113.56	156.59	201.25	244.57	131.51	178.77	165.57	57.89	70.01	95.34	177.53	540.19	476.71	444.72	239.52	120.94	248.0	273.37	215.77	255.0	190.34	305.55	177.53	199.85	336.79	181.28	100.13	181.28	107.38	186.4	255.0	122.64	215.77	163.28	130.6	75.64	88.88	244.57	289.02	193.01	84.04	136.19	134.3	281.09	175.07	256.78	420.68	111.99	249.73	143.01	112.77	287.01	205.5	312.0	395.18	198.47	186.4	126.12	265.87	143.01	137.14	199.85	108.9	108.14	67.59	80.01	67.59
AGAP6	102.25	214.27	161.02	69.52	346.29	201.25	329.84	92.7	269.6	63.89	277.2	143.01	106.63	189.02	105.15	208.38	45.85	281.09	170.25	305.55	103.69	291.04	44.25	161.02	50.63	187.71	183.82	275.28	61.25	146.03	197.09	149.12	40.36	109.66	242.88	334.46	258.57	309.83	144.01	90.77	249.73	127.89	127.0	178.77	161.02	316.37	182.55	273.37	358.54	98.73	52.08	74.58	61.25	161.02	363.56	105.89	181.28	226.54	92.05	68.07	102.25	361.04	267.73	206.94	116.78	102.25	155.5	387.02	81.14	301.33	358.54	65.72	318.57	80.57	84.04	376.41	265.87	633.73	373.81	249.73	239.52	74.06	155.5	101.54	69.03	159.9	51.71	71.0	77.25	49.91	42.71
AHSA2	381.68	620.67	738.29	199.85	1498.22	769.69	1685.71	242.88	934.76	244.57	1225.22	532.74	447.82	947.83	441.64	651.58	104.42	1540.37	961.07	1127.35	348.71	1242.34	169.07	947.83	98.04	497.0	500.46	1350.18	212.78	429.54	595.34	473.41	143.01	211.31	1001.93	1498.22	1794.29	1447.15	376.41	206.94	967.76	309.83	420.68	713.11	660.68	1233.75	551.56	1001.93	1467.37	209.84	264.03	241.19	176.29	486.75	1143.1	387.02	679.29	934.76	269.6	249.73	500.46	1561.89	591.22	540.19	503.95	255.0	403.5	1073.91	161.02	1208.34	769.69	158.79	1378.57	215.77	224.97	1529.73	1487.87	3847.29	1605.83	902.89	1498.22	195.72	665.29	201.25	205.5	620.67	156.59	195.72	208.38	205.5	86.43
AKAP17A	258.57	447.82	181.28	264.03	529.06	312.0	543.96	218.79	384.34	162.14	532.74	361.04	346.29	409.15	255.0	423.61	228.13	518.15	559.28	264.03	239.52	547.75	356.05	511.0	253.23	389.72	287.01	423.61	211.31	466.88	327.56	256.78	182.55	197.09	420.68	555.41	318.57	373.81	343.89	255.0	441.64	450.94	267.73	356.05	392.44	457.25	381.68	466.88	595.34	236.21	307.69	234.57	229.72	343.89	587.13	339.14	373.81	463.65	161.02	211.31	214.27	595.34	392.44	356.05	224.97	241.19	312.0	412.0	206.94	457.25	420.68	295.11	511.0	246.28	164.42	414.87	432.53	595.34	532.74	450.94	460.44	231.32	366.09	231.32	253.23	329.84	221.86	267.73	260.38	178.77	167.9
AKAP8L	813.63	1183.45	1508.65	921.88	2255.7	954.43	2090.03	1001.93	1487.87	559.28	1883.54	1216.75	1216.75	1159.07	995.0	1437.15	896.64	2133.97	1857.6	1757.34	1096.5	2224.63	1175.27	1572.76	753.83	981.29	1175.27	1651.0	665.29	1277.29	1208.34	884.29	665.29	785.88	1605.83	2468.49	1540.37	1769.57	1508.65	1001.93	1551.09	1250.98	759.08	1295.13	1225.22	1685.71	1183.45	1806.78	2537.92	769.69	1111.82	836.53	941.27	1051.79	1950.0	995.0	1561.89	1745.2	525.39	802.41	769.69	2018.8	1806.78	1304.15	743.43	954.43	1044.52	1936.53	813.63	1605.83	1662.49	1037.29	1844.76	872.1	819.3	2119.22	2018.8	2090.03	2664.15	1340.84	1467.37	878.17	1721.16	1008.9	854.13	1628.26	825.0	961.07	902.89	698.41	447.82
ALKBH6	279.14	366.09	620.67	395.18	551.56	540.19	638.15	525.39	441.64	248.0	486.75	532.74	389.72	336.79	353.59	669.92	409.15	665.29	379.04	480.04	444.72	629.35	389.72	591.22	262.2	406.31	476.71	493.56	281.09	395.18	346.29	287.01	271.48	309.83	638.15	579.04	417.77	389.72	587.13	450.94	629.35	599.49	473.41	447.82	579.04	567.1	426.57	476.71	759.08	264.03	346.29	231.32	376.41	463.65	444.72	267.73	497.0	493.56	373.81	237.86	332.14	656.11	688.78	414.87	239.52	291.04	379.04	890.44	299.25	624.99	511.0	281.09	521.76	299.25	447.82	759.08	660.68	703.28	830.75	497.0	587.13	373.81	559.28	476.71	348.71	529.06	444.72	318.57	327.56	248.0	211.31
ANAPC2	571.05	1044.52	1096.5	733.19	1268.46	947.83	1447.15	921.88	1008.9	450.94	1295.13	1030.12	878.17	1096.5	674.59	1030.12	884.29	1295.13	1008.9	1870.53	988.12	1250.98	808.0	941.27	647.07	988.12	995.0	1066.48	733.19	1030.12	738.29	656.11	441.64	647.07	1259.69	1447.15	1617.0	1159.07	1183.45	796.86	1111.82	1037.29	1081.39	1030.12	1030.12	1467.37	967.76	1051.79	1397.83	738.29	791.35	688.78	688.78	1015.93	1340.84	708.18	1059.11	1023.0	638.15	463.65	579.04	1295.13	1286.18	1015.93	575.03	769.69	934.76	1369.04	728.11	1183.45	1250.98	884.29	1950.0	669.92	902.89	1225.22	1250.98	1628.26	1709.26	1119.56	1104.13	693.58	1059.11	813.63	791.35	842.36	743.43	674.59	591.22	450.94	353.59
ANKS3	285.03	351.14	603.67	332.14	718.08	470.14	684.02	395.18	480.04	156.59	808.0	480.04	490.14	575.03	356.05	525.39	318.57	607.87	728.11	769.69	392.44	775.05	329.84	466.88	346.29	435.55	457.25	679.29	309.83	480.04	480.04	316.37	212.78	295.11	583.07	854.13	599.49	988.12	567.1	332.14	521.76	743.43	314.17	532.74	679.29	764.36	575.03	620.67	866.07	384.34	275.28	341.51	343.89	679.29	656.11	392.44	525.39	612.11	371.22	256.78	237.86	708.18	713.11	460.44	291.04	518.15	466.88	764.36	251.48	656.11	607.87	309.83	733.19	363.56	320.8	961.07	669.92	1059.11	775.05	511.0	607.87	339.14	583.07	387.02	358.54	457.25	277.2	269.6	206.94	197.09	198.47
ANKZF1	591.22	753.83	1030.12	441.64	1378.57	967.76	1540.37	486.75	1088.92	450.94	1225.22	708.18	563.18	961.07	599.49	902.89	674.59	1551.09	738.29	2555.58	785.88	1081.39	457.25	819.3	500.46	665.29	988.12	1529.73	423.61	759.08	860.08	656.11	438.59	571.05	1487.87	1819.35	2018.8	1437.15	961.07	447.82	1183.45	728.11	723.08	1044.52	536.45	1378.57	723.08	1023.0	1651.0	575.03	521.76	521.76	432.53	1208.34	1883.54	647.07	1167.14	1369.04	457.25	551.56	607.87	1088.92	1111.82	819.3	612.11	607.87	785.88	1313.23	447.82	995.0	915.51	470.14	1059.11	603.67	476.71	1233.75	1733.13	2627.46	1991.0	1167.14	1529.73	540.19	909.17	426.57	529.06	872.1	417.77	312.0	559.28	397.93	277.2
