	TCGA.E2.A1AZ.01A.11R.A12P.07	TCGA.A2.A0SX.01A.12R.A084.07	TCGA.D8.A147.01A.11R.A115.07	TCGA.KN.8427.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KN.8433.11A.01R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.ZYFG.1626.SM.5GZYY	GTEX.13112.2126.SM.5GCO4	GTEX.UPIC.1126.SM.4IHLO	GTEX.11GS4.2326.SM.5A5KS	GTEX.13OVL.1826.SM.5KLZR	GTEX.13RTJ.2226.SM.5S2Q1	GTEX.Y5V6.2026.SM.5IFHO	TCGA.AK.3447.01A.01R.1766.07	TCGA.CW.6087.11A.01R.1672.07	TCGA.CW.5580.11A.02R.1672.07	TCGA.CZ.5463.11A.01R.1503.07	TCGA.B0.5706.11A.01R.1541.07	TCGA.CZ.5454.11A.01R.1503.07	TCGA.CJ.6033.11A.01R.1858.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.7055.11A.01R.1965.07	TCGA.DZ.6131.11A.01R.1965.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.BR.8590.01A.11R.2402.13	TCGA.BR.8485.01A.11R.2402.13	TCGA.BR.8678.01A.11R.2402.13	TCGA.IP.7968.01A.11R.2203.13	TCGA.D7.A4YU.01A.21R.A251.31	TCGA.BR.8592.01A.11R.2402.13	TCGA.BR.8484.01A.11R.2402.13	TCGA.FP.A9TM.01A.11R.A39E.31	TCGA.ZA.A8F6.01A.23R.A36D.31	TCGA.BR.8683.01A.11R.2402.13
PARP12	1277.29	961.07	1594.73	493.56	197.09	312.0	400.71	371.22	432.53	397.93	381.68	368.65	309.83	194.36	135.24	397.93	376.41	500.46	366.09	536.45	423.61	312.0	258.57	348.71	348.71	256.78	1277.29	995.0	1151.06	1135.2	1594.73	665.29	890.44	1225.22	1127.35	2061.24
PHF20L1	909.17	429.54	825.0	236.21	167.9	236.21	209.84	253.23	314.17	285.03	363.56	323.03	197.09	191.67	103.69	273.37	279.14	363.56	267.73	303.44	172.65	178.77	183.82	277.2	224.97	34.26	454.09	629.35	660.68	532.74	518.15	490.14	532.74	775.05	490.14	647.07
PIAS3	1896.65	825.0	587.13	435.55	182.55	403.5	423.61	532.74	660.68	444.72	397.93	563.18	429.54	239.52	34.02	348.71	540.19	426.57	450.94	563.18	323.03	316.37	299.25	457.25	414.87	86.43	967.76	860.08	1151.06	647.07	1159.07	1183.45	921.88	651.58	748.61	780.44
PLXNA1	583.07	555.41	518.15	111.99	36.01	88.88	130.6	153.34	249.73	220.32	125.24	148.09	94.01	80.57	16.51	137.14	144.01	104.42	116.78	144.01	127.0	63.89	105.89	183.82	124.37	19.97	490.14	624.99	708.18	595.34	825.0	463.65	454.09	420.68	511.0	928.3
PNPT1	583.07	389.72	848.22	221.86	251.48	211.31	239.52	256.78	262.2	201.25	237.86	273.37	175.07	169.07	59.55	303.44	232.94	253.23	229.72	253.23	182.55	205.5	178.77	226.54	180.02	63.45	403.5	769.69	703.28	525.39	660.68	279.14	376.41	511.0	339.14	633.73
PPRC1	1225.22	915.51	1030.12	563.18	103.69	406.31	224.97	289.02	244.57	327.56	343.89	197.09	242.88	158.79	30.78	231.32	275.28	220.32	323.03	346.29	234.57	208.38	214.27	392.44	271.48	130.6	738.29	836.53	848.22	866.07	1143.1	603.67	490.14	854.13	432.53	567.1
PRDM15	175.07	112.77	142.01	28.65	12.64	28.86	25.35	41.22	35.25	49.56	35.5	31.9	25.91	24.11	4.66	40.36	48.52	40.07	32.82	35.25	36.79	22.43	28.04	42.71	53.19	16.15	111.99	96.01	113.56	87.65	128.79	115.97	97.36	183.82	85.82	110.43
PRPF3	1909.85	1250.98	2739.08	575.03	295.11	454.09	633.73	320.8	842.36	473.41	457.25	679.29	371.22	172.65	59.97	409.15	521.76	412.0	571.05	521.76	423.61	376.41	231.32	616.37	403.5	146.03	703.28	1295.13	1529.73	974.5	884.29	1023.0	796.86	1208.34	866.07	1191.69
PRPF40A	2434.5	1950.0	3491.39	723.08	559.28	688.78	660.68	780.44	599.49	521.76	759.08	389.72	713.11	571.05	277.2	669.92	656.11	860.08	642.59	785.88	432.53	607.87	642.59	718.08	713.11	119.26	1340.84	2133.97	1721.16	1709.26	1977.24	1233.75	1259.69	2367.9	1540.37	2004.85
PUS7	616.37	403.5	368.65	104.42	54.33	67.12	89.51	129.69	90.77	66.65	88.88	74.58	79.45	34.26	15.11	90.77	107.38	100.83	92.7	120.94	85.82	80.01	66.65	64.34	84.63	34.26	368.65	559.28	591.22	651.58	563.18	204.07	395.18	466.88	273.37	470.14
R3HDM1	995.0	529.06	759.08	217.27	124.37	221.86	236.21	242.88	287.01	217.27	295.11	301.33	147.06	166.73	61.25	244.57	283.05	242.88	246.28	251.48	191.67	139.07	199.85	217.27	231.32	50.63	529.06	599.49	651.58	543.96	848.22	486.75	358.54	764.36	547.75	559.28
RAB3GAP2	454.09	620.67	409.15	205.5	181.28	239.52	256.78	329.84	201.25	301.33	334.46	301.33	211.31	246.28	136.19	309.83	301.33	363.56	253.23	287.01	239.52	175.07	232.94	281.09	246.28	35.5	473.41	423.61	316.37	309.83	500.46	346.29	435.55	470.14	314.17	454.09
RBM41	356.05	180.02	143.01	77.79	140.04	131.51	118.43	142.01	175.07	87.03	205.5	182.55	101.54	78.89	48.52	140.04	137.14	151.22	133.36	111.99	91.41	90.77	103.69	157.68	127.0	36.79	228.13	271.48	202.66	253.23	400.71	332.14	339.14	239.52	351.14	387.02
RIF1	665.29	417.77	743.43	113.56	41.22	123.5	136.19	165.57	157.68	134.3	152.28	175.07	98.73	80.01	17.77	141.02	158.79	175.07	121.79	167.9	87.65	59.97	80.57	136.19	126.12	14.03	323.03	397.93	435.55	429.54	583.07	264.03	297.17	384.34	287.01	497.0
RRP12	981.29	642.59	733.19	361.04	107.38	209.84	139.07	289.02	154.42	224.97	232.94	140.04	189.02	197.09	67.12	166.73	215.77	181.28	189.02	228.13	301.33	228.13	239.52	237.86	221.86	176.29	612.11	420.68	500.46	551.56	884.29	332.14	339.14	466.88	303.44	318.57
SENP1	305.55	318.57	555.41	116.78	67.12	108.14	103.69	150.17	133.36	136.19	142.01	143.01	78.34	74.58	41.81	97.36	126.12	161.02	117.6	139.07	73.03	74.58	84.63	102.25	94.01	22.59	226.54	255.0	429.54	295.11	361.04	271.48	312.0	329.84	198.47	258.57
SETD5	1757.34	947.83	1216.75	514.56	242.88	470.14	277.2	540.19	392.44	503.95	642.59	395.18	316.37	332.14	55.49	486.75	591.22	579.04	493.56	579.04	318.57	199.85	351.14	532.74	540.19	135.24	1233.75	1508.65	1286.18	1721.16	1628.26	1295.13	961.07	1757.34	1208.34	1259.69
SMC3	1639.59	1467.37	1059.11	400.71	187.71	376.41	536.45	733.19	543.96	514.56	480.04	595.34	327.56	426.57	74.58	543.96	587.13	575.03	563.18	540.19	412.0	351.14	361.04	420.68	417.77	73.54	743.43	1096.5	1519.15	928.3	1806.78	738.29	748.61	796.86	669.92	1340.84
SMC6	579.04	463.65	848.22	141.02	70.51	123.5	164.42	158.79	297.17	153.34	178.77	156.59	96.68	145.02	7.82	173.85	193.01	180.02	167.9	171.45	124.37	117.6	108.14	140.04	110.43	49.56	262.2	460.44	343.89	348.71	698.41	277.2	318.57	511.0	265.87	438.59
SMG5	1819.35	1844.76	2796.65	1037.29	521.76	728.11	808.0	896.64	1030.12	896.64	679.29	830.75	1015.93	981.29	178.77	1088.92	902.89	825.0	738.29	836.53	1088.92	679.29	988.12	967.76	1044.52	507.46	1208.34	2178.83	1685.71	1250.98	1295.13	1073.91	1561.89	1359.57	1066.48	1594.73
SPAST	343.89	341.51	248.0	74.06	72.01	85.82	132.44	107.38	144.01	83.45	119.26	177.53	60.82	91.41	18.84	105.89	101.54	121.79	82.87	97.36	80.57	89.51	72.01	78.34	88.26	52.45	208.38	343.89	303.44	226.54	258.57	190.34	273.37	229.72	212.78	258.57
SPHK1	693.58	684.02	318.57	293.07	31.67	70.01	16.51	34.02	11.47	74.06	59.97	19.68	67.59	11.3	18.29	20.26	33.78	29.06	32.82	55.1	60.39	43.94	20.71	71.5	27.05	37.85	389.72	209.84	329.84	218.79	267.73	169.07	150.17	81.14	178.77	212.78
TGIF2	1015.93	753.83	967.76	249.73	125.24	334.46	373.81	242.88	376.41	283.05	532.74	329.84	170.25	191.67	61.68	253.23	281.09	249.73	281.09	260.38	264.03	289.02	262.2	420.68	384.34	111.99	406.31	587.13	660.68	813.63	642.59	329.84	547.75	423.61	301.33	356.05
TNKS2	934.76	660.68	660.68	279.14	186.4	329.84	289.02	426.57	346.29	403.5	457.25	381.68	248.0	260.38	77.79	336.79	371.22	376.41	303.44	353.59	215.77	199.85	242.88	307.69	291.04	111.99	493.56	406.31	629.35	486.75	775.05	529.06	480.04	497.0	392.44	536.45
TOPBP1	836.53	660.68	947.83	125.24	75.11	115.16	124.37	197.09	194.36	140.04	158.79	187.71	102.97	104.42	53.19	159.9	159.9	167.9	126.12	136.19	116.78	91.41	108.9	152.28	110.43	41.22	647.07	688.78	988.12	928.3	934.76	460.44	872.1	915.51	450.94	748.61
TOR1AIP2	620.67	466.88	420.68	454.09	183.82	241.19	392.44	476.71	334.46	511.0	503.95	376.41	366.09	463.65	169.07	497.0	490.14	403.5	438.59	423.61	361.04	264.03	341.51	447.82	389.72	307.69	718.08	684.02	642.59	733.19	713.11	579.04	733.19	579.04	507.46	1135.2
TSR1	718.08	543.96	518.15	295.11	173.85	242.88	181.28	389.72	256.78	529.06	334.46	277.2	169.07	241.19	43.02	301.33	314.17	358.54	267.73	325.29	281.09	189.02	248.0	277.2	271.48	104.42	559.28	647.07	591.22	356.05	429.54	497.0	336.79	368.65	348.71	373.81
