	TCGA.E2.A1AZ.01A.11R.A12P.07	TCGA.A2.A0SX.01A.12R.A084.07	TCGA.D8.A147.01A.11R.A115.07	TCGA.KN.8427.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KN.8433.11A.01R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.ZYFG.1626.SM.5GZYY	GTEX.13112.2126.SM.5GCO4	GTEX.UPIC.1126.SM.4IHLO	GTEX.11GS4.2326.SM.5A5KS	GTEX.13OVL.1826.SM.5KLZR	GTEX.13RTJ.2226.SM.5S2Q1	GTEX.Y5V6.2026.SM.5IFHO	TCGA.AK.3447.01A.01R.1766.07	TCGA.CW.6087.11A.01R.1672.07	TCGA.CW.5580.11A.02R.1672.07	TCGA.CZ.5463.11A.01R.1503.07	TCGA.B0.5706.11A.01R.1541.07	TCGA.CZ.5454.11A.01R.1503.07	TCGA.CJ.6033.11A.01R.1858.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.7055.11A.01R.1965.07	TCGA.DZ.6131.11A.01R.1965.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.BR.8590.01A.11R.2402.13	TCGA.BR.8485.01A.11R.2402.13	TCGA.BR.8678.01A.11R.2402.13	TCGA.IP.7968.01A.11R.2203.13	TCGA.D7.A4YU.01A.21R.A251.31	TCGA.BR.8592.01A.11R.2402.13	TCGA.BR.8484.01A.11R.2402.13	TCGA.FP.A9TM.01A.11R.A39E.31	TCGA.ZA.A8F6.01A.23R.A36D.31	TCGA.BR.8683.01A.11R.2402.13
ADNP	1143.1	1857.6	2090.03	647.07	281.09	595.34	603.67	759.08	708.18	693.58	665.29	748.61	450.94	575.03	341.51	698.41	785.88	698.41	587.13	748.61	555.41	366.09	497.0	674.59	603.67	163.28	988.12	1950.0	1540.37	1268.46	1697.45	802.41	1143.1	1159.07	902.89	1477.58
ALDH18A1	3124.78	1359.57	1923.14	836.53	309.83	507.46	444.72	1295.13	525.39	854.13	698.41	457.25	642.59	796.86	193.01	733.19	660.68	728.11	525.39	842.36	624.99	486.75	583.07	551.56	543.96	480.04	1674.06	1250.98	1487.87	2148.82	1794.29	1037.29	1313.23	1295.13	1191.69	1208.34
ANKRD26	283.05	72.52	161.02	42.41	22.92	46.5	50.27	64.8	90.14	73.03	63.0	127.0	37.85	49.56	11.64	74.58	75.11	60.82	62.56	58.3	46.5	36.79	24.63	61.68	45.53	3.26	78.34	129.69	136.19	155.5	223.41	124.37	113.56	162.14	106.63	135.24
ANKRD49	808.0	603.67	507.46	206.94	287.01	197.09	163.28	218.79	285.03	204.07	194.36	269.6	190.34	156.59	215.77	211.31	267.73	214.27	301.33	217.27	187.71	189.02	148.09	236.21	169.07	15.22	384.34	497.0	555.41	642.59	403.5	429.54	476.71	723.08	384.34	503.95
ARNTL2	1081.39	169.07	260.38	34.02	3.89	7.51	6.31	18.7	6.62	40.07	40.64	10.55	15.8	6.11	2.68	23.25	24.81	23.76	30.56	31.22	21.01	11.47	7.06	9.27	11.82	8.78	371.22	279.14	490.14	961.07	915.51	167.9	575.03	450.94	163.28	309.83
ASCC3	529.06	490.14	656.11	144.01	82.29	123.5	190.34	211.31	140.04	162.14	190.34	193.01	178.77	202.66	52.82	221.86	173.85	244.57	248.0	214.27	242.88	147.06	138.1	177.53	147.06	142.01	397.93	616.37	463.65	412.0	514.56	287.01	470.14	612.11	255.0	507.46
ATAD2B	293.07	185.11	153.34	62.56	24.46	68.07	72.52	90.14	66.65	74.06	96.01	74.06	42.11	35.5	2.39	73.03	90.77	78.34	78.89	77.25	62.12	37.05	44.57	64.8	67.12	14.89	173.85	244.57	202.66	162.14	189.02	204.07	191.67	277.2	164.42	237.86
ATAD5	165.57	72.01	62.56	4.66	4.7	5.5	5.82	8.32	9.63	6.31	8.58	13.52	4.94	2.84	0.8	7.22	10.39	9.56	7.06	6.21	6.36	4.35	3.99	9.78	9.06	0.0	78.89	92.7	140.04	106.63	136.19	43.63	70.51	138.1	40.07	78.89
ATP6V0A2	358.54	301.33	341.51	180.02	120.1	102.97	108.9	185.11	123.5	126.12	152.28	116.78	113.56	109.66	127.0	143.01	177.53	178.77	123.5	152.28	78.34	75.11	136.19	126.12	126.12	52.82	525.39	429.54	480.04	412.0	353.59	368.65	432.53	536.45	303.44	476.71
B3GNT5	397.93	759.08	435.55	150.17	70.01	122.64	105.15	84.63	129.69	94.01	279.14	114.36	158.79	40.07	113.56	76.17	145.02	133.36	118.43	151.22	75.11	113.56	66.18	112.77	81.71	3.99	325.29	406.31	575.03	376.41	88.26	287.01	521.76	460.44	363.56	599.49
BAZ1B	1447.15	1175.27	1427.22	476.71	182.55	409.15	450.94	620.67	529.06	483.38	460.44	540.19	329.84	395.18	50.63	480.04	525.39	486.75	466.88	518.15	406.31	244.57	373.81	429.54	438.59	139.07	830.75	934.76	1073.91	915.51	1111.82	995.0	769.69	896.64	819.3	1388.16
BIRC6	928.3	808.0	934.76	447.82	194.36	480.04	551.56	669.92	708.18	476.71	521.76	738.29	332.14	521.76	75.64	616.37	624.99	607.87	525.39	583.07	490.14	327.56	392.44	551.56	490.14	212.78	854.13	1037.29	848.22	1044.52	988.12	878.17	796.86	1407.55	995.0	1359.57
BMS1	718.08	356.05	595.34	201.25	79.45	187.71	181.28	241.19	198.47	187.71	195.72	197.09	163.28	181.28	34.75	228.13	251.48	201.25	191.67	215.77	171.45	142.01	163.28	193.01	172.65	66.18	353.59	358.54	356.05	358.54	441.64	303.44	264.03	299.25	221.86	395.18
BORA	397.93	232.94	163.28	31.0	22.1	32.36	35.0	37.32	42.41	38.67	31.0	57.49	22.92	26.1	14.35	42.11	44.57	47.84	35.5	34.75	23.25	30.34	31.67	34.51	23.08	8.85	148.09	318.57	325.29	185.11	173.85	93.35	178.77	202.66	102.97	163.28
BRIP1	129.69	94.01	199.85	3.92	3.2	2.16	2.07	8.92	2.66	4.06	4.35	3.23	1.31	1.89	0.78	2.51	1.48	2.46	1.46	1.71	1.17	4.28	3.14	2.97	2.86	5.77	36.01	49.91	215.77	103.69	75.11	21.47	50.98	120.1	27.05	42.11
BROX	848.22	1909.85	1199.98	447.82	341.51	397.93	555.41	595.34	532.74	555.41	460.44	633.73	571.05	466.88	237.86	638.15	642.59	780.44	599.49	665.29	514.56	444.72	285.03	521.76	463.65	104.42	1369.04	860.08	808.0	624.99	1023.0	599.49	1127.35	665.29	708.18	1286.18
C10orf12	136.19	67.59	85.22	31.0	14.78	31.67	29.27	22.1	39.79	17.38	68.07	33.3	48.52	33.54	3.06	41.81	32.13	52.08	34.75	56.28	18.7	11.82	27.64	21.32	36.79	9.06	78.34	84.63	79.45	84.04	128.79	58.71	70.01	88.26	68.07	146.03
CASP2	921.88	571.05	1119.56	191.67	74.06	152.28	229.72	260.38	293.07	287.01	218.79	258.57	158.79	158.79	28.04	262.2	305.55	242.88	295.11	291.04	232.94	127.89	172.65	191.67	246.28	57.49	497.0	447.82	529.06	579.04	738.29	406.31	500.46	616.37	470.14	775.05
CASP3	934.76	575.03	595.34	249.73	147.06	133.36	133.36	220.32	147.06	194.36	348.71	199.85	161.02	116.78	106.63	165.57	201.25	177.53	151.22	176.29	150.17	185.11	119.26	182.55	131.51	116.78	669.92	813.63	1143.1	738.29	473.41	389.72	587.13	884.29	591.22	438.59
CCAR1	2209.26	1304.15	2209.26	642.59	406.31	476.71	432.53	669.92	629.35	733.19	698.41	902.89	450.94	395.18	148.09	813.63	633.73	703.28	796.86	599.49	890.44	591.22	400.71	616.37	521.76	52.45	1073.91	1350.18	1127.35	1127.35	954.43	1191.69	1216.75	2004.85	981.29	1208.34
CCDC138	190.34	169.07	201.25	28.45	41.52	46.84	39.79	30.78	55.1	41.81	50.63	41.52	17.51	27.05	1.55	32.13	39.22	46.18	31.45	26.86	33.78	32.59	33.78	42.71	33.54	2.92	91.41	275.28	297.17	158.79	193.01	52.08	136.19	166.73	88.88	84.63
CCDC14	947.83	1051.79	1540.37	135.24	129.69	183.82	309.83	226.54	483.38	301.33	264.03	444.72	139.07	109.66	15.68	178.77	273.37	158.79	287.01	226.54	190.34	204.07	81.71	353.59	198.47	48.52	466.88	802.41	791.35	854.13	878.17	723.08	1259.69	1199.98	620.67	1073.91
CCDC6	1388.16	1159.07	1304.15	325.29	258.57	366.09	275.28	379.04	267.73	307.69	325.29	447.82	291.04	412.0	159.9	454.09	376.41	336.79	309.83	277.2	397.93	376.41	532.74	426.57	381.68	96.68	967.76	728.11	348.71	796.86	1437.15	723.08	802.41	713.11	813.63	1369.04
CDC7	511.0	221.86	866.07	23.93	11.55	11.73	19.39	37.85	34.02	26.47	30.56	29.27	28.65	9.7	6.62	35.25	38.4	29.27	33.78	31.9	25.17	14.03	16.03	18.43	14.14	6.01	144.01	132.44	353.59	236.21	301.33	62.12	189.02	253.23	50.63	135.24
CENPO	389.72	343.89	493.56	55.89	64.34	50.63	88.26	129.69	180.02	105.15	111.99	156.59	96.68	64.34	15.8	110.43	109.66	115.97	71.5	114.36	109.66	45.85	102.97	79.45	114.36	55.1	218.79	463.65	603.67	307.69	426.57	107.38	215.77	356.05	138.1	312.0
CEP128	191.67	111.21	77.25	27.44	7.82	29.27	32.82	24.99	43.02	27.05	30.12	49.21	27.64	9.7	10.31	23.42	36.27	29.48	43.94	43.32	17.64	22.26	18.43	19.25	31.45	4.7	115.97	91.41	38.95	61.68	147.06	59.55	65.72	74.58	40.64	43.63
CEP164	902.89	229.72	583.07	221.86	81.14	176.29	166.73	150.17	269.6	239.52	181.28	248.0	128.79	96.01	6.06	123.5	195.72	159.9	180.02	189.02	154.42	105.89	137.14	264.03	186.4	60.82	389.72	457.25	441.64	299.25	457.25	493.56	441.64	476.71	409.15	483.38
CEP57	1127.35	497.0	1111.82	343.89	387.02	470.14	400.71	397.93	397.93	373.81	540.19	559.28	389.72	260.38	177.53	426.57	441.64	454.09	463.65	387.02	356.05	341.51	293.07	441.64	318.57	125.24	647.07	708.18	1127.35	1250.98	860.08	616.37	583.07	842.36	563.18	780.44
COLGALT1	1685.71	2104.58	1857.6	406.31	150.17	299.25	325.29	432.53	529.06	341.51	409.15	325.29	348.71	236.21	96.68	400.71	406.31	389.72	395.18	412.0	466.88	291.04	309.83	346.29	373.81	518.15	1216.75	1191.69	1104.13	2400.97	1519.15	1199.98	1242.34	1119.56	1498.22	1369.04
CREBZF	954.43	660.68	718.08	400.71	336.79	543.96	441.64	438.59	423.61	507.46	457.25	470.14	351.14	295.11	121.79	376.41	540.19	543.96	454.09	529.06	309.83	432.53	244.57	559.28	473.41	148.09	679.29	1044.52	1498.22	1583.71	713.11	915.51	1819.35	1233.75	733.19	872.1
DBF4	860.08	366.09	358.54	48.52	33.54	73.03	29.91	45.85	75.11	29.7	64.34	76.71	48.18	30.12	67.59	56.28	45.53	43.32	54.33	56.68	34.02	57.89	26.1	69.52	18.56	5.96	336.79	486.75	486.75	435.55	575.03	163.28	329.84	536.45	293.07	480.04
DDX60L	651.58	417.77	366.09	92.7	46.18	60.82	91.41	76.71	96.01	82.29	109.66	108.14	74.58	48.18	41.81	107.38	60.82	87.03	94.67	131.51	61.25	70.01	58.71	73.54	99.43	42.71	450.94	226.54	190.34	236.21	579.04	232.94	325.29	660.68	426.57	1199.98
DIEXF	194.36	334.46	206.94	71.5	40.93	70.01	54.72	111.21	71.0	111.99	59.55	76.17	59.55	57.08	25.35	88.88	88.26	96.01	61.68	91.41	66.18	53.57	64.8	71.0	80.01	47.5	231.32	190.34	180.02	167.9	217.27	130.6	206.94	190.34	130.6	212.78
DNMT3B	212.78	50.27	80.01	15.34	11.55	27.05	15.22	22.59	29.48	31.9	25.72	17.25	11.55	16.63	0.82	18.29	35.0	17.9	20.41	21.47	18.7	21.32	17.13	31.9	27.84	4.5	123.5	529.06	236.21	76.17	26.1	35.5	42.11	57.89	37.05	48.52
DSN1	616.37	713.11	961.07	135.24	134.3	159.9	175.07	187.71	224.97	155.5	135.24	191.67	124.37	123.5	88.88	151.22	212.78	135.24	172.65	131.51	142.01	147.06	111.21	134.3	145.02	98.73	358.54	532.74	543.96	620.67	612.11	201.25	616.37	536.45	211.31	435.55
EED	728.11	454.09	579.04	228.13	176.29	221.86	277.2	202.66	329.84	212.78	269.6	316.37	146.03	167.9	165.57	327.56	299.25	187.71	267.73	229.72	244.57	186.4	140.04	246.28	180.02	95.34	432.53	450.94	743.43	819.3	438.59	420.68	454.09	642.59	384.34	466.88
EIF2AK2	1216.75	718.08	1883.54	189.02	120.1	206.94	187.71	293.07	295.11	186.4	283.05	249.73	154.42	137.14	55.1	287.01	301.33	295.11	195.72	299.25	182.55	137.14	201.25	236.21	209.84	50.63	674.59	674.59	769.69	638.15	1304.15	490.14	476.71	629.35	518.15	1225.22
ELF4	785.88	713.11	603.67	305.55	69.03	198.47	99.43	195.72	102.25	215.77	341.51	78.89	218.79	98.73	46.18	110.43	173.85	208.38	132.44	221.86	132.44	100.83	133.36	218.79	110.43	20.56	536.45	759.08	387.02	684.02	633.73	348.71	1088.92	748.61	674.59	1143.1
ENTPD7	403.5	167.9	307.69	104.42	41.22	77.25	52.82	153.34	50.98	108.9	125.24	69.52	39.22	117.6	3.86	106.63	103.69	100.83	59.55	120.94	59.13	38.12	58.3	67.12	78.34	27.05	244.57	414.87	181.28	241.19	148.09	161.02	161.02	191.67	104.42	152.28
EPSTI1	1259.69	1208.34	603.67	205.5	293.07	236.21	117.6	135.24	93.35	199.85	83.45	71.0	105.15	323.03	21.01	123.5	211.31	277.2	164.42	275.28	143.01	204.07	180.02	125.24	139.07	52.08	503.95	693.58	348.71	753.83	988.12	262.2	343.89	285.03	329.84	511.0
FAM208A	780.44	764.36	890.44	555.41	353.59	579.04	733.19	642.59	759.08	547.75	603.67	796.86	483.38	429.54	438.59	688.78	642.59	703.28	656.11	616.37	579.04	460.44	414.87	547.75	595.34	75.11	825.0	981.29	802.41	1059.11	1037.29	836.53	808.0	1037.29	693.58	1023.0
FAM76B	507.46	353.59	559.28	140.04	101.54	172.65	183.82	171.45	171.45	149.12	217.27	173.85	140.04	83.45	30.12	109.66	185.11	124.37	194.36	178.77	127.89	127.89	64.34	199.85	130.6	46.84	323.03	371.22	928.3	848.22	521.76	429.54	486.75	679.29	329.84	473.41
FANCG	1277.29	830.75	429.54	177.53	186.4	198.47	281.09	217.27	366.09	256.78	177.53	253.23	149.12	135.24	150.17	223.41	269.6	147.06	232.94	191.67	273.37	194.36	161.02	194.36	166.73	99.43	299.25	366.09	785.88	500.46	329.84	218.79	320.8	414.87	258.57	397.93
GID8	1572.76	1923.14	2163.77	848.22	674.59	848.22	860.08	753.83	1066.48	743.43	866.07	902.89	967.76	723.08	642.59	860.08	890.44	884.29	759.08	878.17	878.17	759.08	769.69	802.41	934.76	748.61	1378.57	1883.54	1870.53	1467.37	1378.57	842.36	1498.22	1119.56	890.44	1936.53
GTF3C2	1350.18	1359.57	1529.73	679.29	476.71	607.87	629.35	624.99	769.69	842.36	575.03	679.29	444.72	603.67	251.48	688.78	791.35	713.11	802.41	665.29	775.05	669.92	607.87	759.08	723.08	346.29	954.43	1250.98	1388.16	1322.37	1477.58	854.13	1111.82	1794.29	1304.15	1037.29
HAUS6	728.11	341.51	269.6	60.39	45.85	62.56	62.12	76.71	92.05	92.7	65.26	92.05	61.25	42.41	34.26	77.79	89.51	84.63	75.64	76.71	53.95	52.08	38.95	70.51	59.55	15.91	166.73	202.66	500.46	271.48	205.5	164.42	161.02	236.21	151.22	127.89
IPMK	226.54	129.69	123.5	36.79	32.59	55.1	34.51	58.3	28.65	33.06	143.01	49.56	63.45	47.84	14.24	58.3	48.18	70.01	45.53	44.57	41.22	43.63	45.21	46.5	41.52	16.51	137.14	208.38	68.55	123.5	166.73	112.77	112.77	154.42	87.65	195.72
JRKL	463.65	204.07	447.82	143.01	46.84	130.6	131.51	171.45	180.02	103.69	134.3	195.72	133.36	98.73	25.91	170.25	180.02	169.07	180.02	181.28	136.19	90.14	82.87	138.1	122.64	23.42	182.55	269.6	297.17	406.31	234.57	173.85	241.19	264.03	158.79	320.8
KIAA1551	1883.54	860.08	660.68	283.05	159.9	253.23	395.18	189.02	460.44	231.32	283.05	507.46	366.09	127.89	148.09	343.89	358.54	291.04	356.05	220.32	314.17	291.04	164.42	325.29	197.09	197.09	902.89	1331.57	830.75	1457.23	1378.57	1111.82	1388.16	1697.45	1015.93	1119.56
KIAA1731	406.31	346.29	258.57	54.72	43.32	90.77	92.7	85.82	150.17	54.72	81.14	183.82	75.11	28.45	17.64	99.43	105.15	104.42	96.01	77.25	84.63	71.0	41.52	104.42	77.25	5.02	289.02	258.57	435.55	551.56	318.57	253.23	279.14	339.14	201.25	303.44
KIF15	325.29	182.55	190.34	5.59	4.28	6.52	2.89	14.35	6.41	10.96	3.56	12.55	9.48	6.57	0.0	7.17	8.13	6.36	6.62	9.56	4.74	5.28	4.74	9.7	3.72	0.58	129.69	231.32	348.71	218.79	156.59	53.95	115.97	170.25	68.07	120.94
