	TCGA.FJ.A3ZF.01A.11R.A23N.07	TCGA.ZF.A9RN.01A.11R.A42T.07	TCGA.DD.AAD0.01A.11R.A41C.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.CC.A7IH.01A.11R.A33J.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.MI.A75G.01A.11R.A32O.07	TCGA.CC.A9FU.01A.11R.A37K.07	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.Z9EW.0426.SM.5CVM9	GTEX.144GM.1326.SM.5LU5E	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.ZF29.2026.SM.4WWB7	GTEX.13PVR.0126.SM.5S2PY	GTEX.WFON.1726.SM.4LVMQ	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
ACTR3C	52.45	134.3	277.2	41.52	82.29	49.21	209.84	323.03	59.97	624.99	400.71	525.39	620.67	703.28	409.15	314.17	483.38	493.56	343.89	228.13	387.02	376.41	620.67	361.04	0.0	0.01
ATP5A1	3820.7	8134.41	6652.97	7081.29	5954.47	6164.49	6516.03	5672.41	5329.3	10512.82	12676.65	11909.94	13123.73	9540.5	9409.14	10084.54	12415.75	12329.98	11424.74	12160.22	12764.83	12943.04	14461.21	8538.88	0.0	0.89
ATP8B4	7.75	15.45	7.94	10.08	7.46	28.86	16.88	27.84	5.59	27.64	139.07	91.41	69.03	39.22	118.43	28.65	49.21	53.95	81.71	43.63	69.52	69.52	53.19	75.11	0.0	0.41
BMPER	1.27	3.38	1.5	0.34	5.63	7.63	0.32	2.81	1.48	172.65	102.25	152.28	211.31	56.68	63.45	28.24	211.31	170.25	22.92	133.36	147.06	236.21	85.22	99.43	0.0	0.39
CCDC149	84.04	75.64	9.27	40.64	50.63	12.83	39.22	19.11	31.45	414.87	62.12	149.12	170.25	651.58	117.6	202.66	77.25	100.83	236.21	109.66	85.82	135.24	92.7	264.03	0.0	0.77
CCL14	36.53	0.61	55.49	90.14	46.84	567.1	158.79	189.02	49.91	6121.9	2255.7	5633.22	6935.54	1769.57	3235.01	3443.31	5711.87	8538.88	2701.35	5555.65	3081.75	11664.82	6745.86	3901.01	0.0	0.04
CCL23	2.2	18.43	2.61	2.25	0.0	8.38	0.0	4.78	1.06	220.32	121.79	314.17	220.32	97.36	208.38	185.11	460.44	612.11	218.79	195.72	212.78	536.45	470.14	208.38	0.0	0.21
CD59	2555.58	3325.99	4066.71	2224.63	1250.98	3395.89	2835.7	3614.55	1477.58	6250.56	7966.99	7382.04	5954.47	9215.48	5183.54	5672.41	5791.62	5441.3	10368.08	6079.61	4836.35	8778.97	7485.11	7911.95	0.0	1.0
CDC37L1	149.12	389.72	476.71	379.04	127.0	389.72	209.84	387.02	65.72	890.44	1340.84	2400.97	2351.53	1119.56	1225.22	490.14	775.05	780.44	921.88	2163.77	2075.59	2104.58	1175.27	656.11	0.0	0.33
CEACAM1	463.65	575.03	665.29	775.05	1397.83	595.34	199.85	1175.27	521.76	1572.76	1407.55	2133.97	2133.97	921.88	802.41	775.05	974.5	438.59	1322.37	2018.8	1159.07	1685.71	1963.57	1216.75	0.0	0.46
CFD	101.54	61.68	105.89	28.04	54.72	23.25	14.14	67.59	100.13	397.93	267.73	748.61	540.19	234.57	190.34	121.79	267.73	1073.91	135.24	529.06	260.38	312.0	314.17	373.81	0.0	0.68
CFL2	125.24	224.97	947.83	1044.52	928.3	1639.59	1037.29	2319.15	486.75	5791.62	3081.75	6037.61	5147.73	3349.13	4419.52	2351.53	2895.31	4607.24	2400.97	4066.71	3874.05	3491.39	3146.52	5292.48	0.0	0.52
CLPX	483.38	389.72	607.87	454.09	507.46	909.17	483.38	679.29	389.72	967.76	1331.57	1936.53	1733.13	1769.57	1037.29	836.53	1662.49	1119.56	1096.5	2271.4	1388.16	1277.29	1519.15	1066.48	0.0	0.65
CPM	555.41	18.84	46.18	129.69	42.11	157.68	275.28	265.87	397.93	265.87	651.58	1119.56	785.88	819.3	532.74	205.5	525.39	780.44	366.09	1119.56	540.19	1135.2	688.78	133.36	226.54	191.67
CREB3L3	4.58	0.57	2645.74	7180.15	954.43	2104.58	583.07	1135.2	1651.0	23820.89	18819.27	18560.17	14561.8	36357.37	22225.61	4903.87	8191.0	5219.6	32092.64	5292.48	7331.05	12329.98	9279.58	44145.15	0.0	0.0
CTSL	848.22	656.11	1417.35	4607.24	1030.12	2163.77	1127.35	2351.53	1191.69	7180.15	4972.34	7749.1	9409.14	8718.32	6561.36	5112.16	6561.36	8421.31	6426.31	8191.0	6745.86	7966.99	6516.03	7749.1	0.0	0.37
DHRS9	1.28	0.89	15.68	12.55	5.54	10.71	14.45	13.72	4.7	18.29	48.87	27.25	23.08	57.08	18.03	17.38	18.16	104.42	24.46	58.71	19.11	13.83	16.27	8.51	0.0	0.3
FGA	0.0	6.78	72213.45	92040.7	46339.95	133825.1	29943.43	80683.28	60304.42	3134925.09	1345768.59	1318073.06	3200796.55	2748093.15	2011721.67	581732.96	1026995.62	1763486.6	2511293.86	1545882.32	1970321.01	1825675.85	2375828.71	3245478.02	0.0	0.0
FGB	0.0	0.0	58655.36	64186.29	34396.12	94628.34	23009.42	87075.75	70727.3	4165330.83	1545882.32	1535204.12	4342214.81	5235876.81	2528761.3	716197.51	1611529.43	3313672.43	3290783.22	1929772.37	2564061.5	2845004.48	3070409.25	3383299.76	0.0	0.37
FGG	0.0	0.6	55107.99	59474.18	35363.15	101420.22	24490.61	51775.15	49322.93	2636147.11	851707.37	945028.61	2476720.12	2408994.05	1290947.48	466008.55	822695.06	1503610.06	1763486.6	1026995.62	1432396.03	1514068.5	1751305.3	2546350.23	0.0	0.0
FOXO1	108.14	60.39	145.02	110.43	47.84	114.36	82.29	115.16	45.21	223.41	518.15	1135.2	679.29	384.34	450.94	151.22	224.97	406.31	318.57	518.15	780.44	638.15	325.29	265.87	0.0	0.44
FSTL3	50.63	32.82	82.29	96.01	108.9	47.17	46.18	73.54	99.43	90.14	435.55	218.79	133.36	205.5	397.93	92.7	80.01	253.23	59.13	95.34	110.43	177.53	115.16	145.02	0.0	0.99
GABARAPL1	728.11	358.54	1350.18	1059.11	271.48	2855.44	612.11	1685.71	341.51	1051.79	3847.29	3768.09	4010.71	4095.0	2090.03	1733.13	2018.8	2075.59	5219.6	4066.71	2537.92	7081.29	4123.49	2271.4	0.0	0.51
GLRX	166.73	232.94	988.12	1745.2	974.5	1617.0	764.36	2104.58	532.74	5403.7	3614.55	9088.59	3982.99	6516.03	3349.13	3349.13	3325.99	5006.93	9215.48	6607.01	7857.29	3467.27	5791.62	5479.15	1268.46	329.84
GPC1	713.11	140.04	9.93	14.03	105.89	20.56	616.37	273.37	24.99	183.82	1313.23	1745.2	547.75	872.1	9808.75	748.61	1709.26	698.41	1870.53	1781.89	1111.82	2090.03	1977.24	665.29	0.0	1.16
GRPEL1	624.99	406.31	1051.79	480.04	769.69	1540.37	738.29	1216.75	356.05	1697.45	1936.53	2682.69	2209.26	2682.69	2468.49	1605.83	2104.58	1819.35	2485.67	2895.31	2384.37	1295.13	2163.77	1832.01	0.0	0.11
HAMP	3.44	3.41	7.69	1896.65	543.96	1781.89	0.0	16.39	55.49	149521.18	78476.96	209994.66	61999.83	156954.93	69271.73	19214.73	58250.19	459592.86	106462.55	20451.65	128373.58	77396.54	55491.3	249727.34	0.0	0.0
