	TCGA.BT.A2LD.01A.12R.A20F.07	TCGA.XF.A9T2.01A.11R.A42T.07	TCGA.XF.A8HH.01A.11R.A38B.07	TCGA.DK.A1A3.01A.11R.A13Y.07	TCGA.2F.A9KW.01A.11R.A38B.07	TCGA.H4.A2HO.01A.11R.A180.07	TCGA.XF.AAN2.01A.11R.A42T.07	TCGA.4Z.AA87.01A.11R.A39I.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.A8.A07L.01A.11R.A00Z.07	TCGA.C8.A12W.01A.11R.A115.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.W5.AA38.01A.11R.A41I.07	TCGA.W5.AA2X.01A.11R.A41I.07	TCGA.YR.A95A.01A.12R.A41I.07	TCGA.W5.AA2R.11A.11R.A41I.07	TCGA.AD.6889.01A.11R.1928.07	TCGA.AM.5821.01A.01R.1653.07	TCGA.AD.5900.01A.11R.1653.07	TCGA.A6.5662.01A.01R.1653.07	TCGA.AD.6895.01A.11R.1928.07	GTEX.1399R.2226.SM.5P9JB	GTEX.11TT1.1026.SM.5PNW7	TCGA.B0.5098.01A.01R.1420.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.FV.A3I0.01A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.BC.A10U.11A.11R.A131.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.FV.A2QR.11A.11R.A213.07	TCGA.BD.A3EP.11A.12R.A22L.07	TCGA.BC.A10W.11A.11R.A131.07	GTEX.ZTPG.1426.SM.51MT3	GTEX.13FTW.1126.SM.5J2NV	GTEX.REY6.1226.SM.48FDR	TCGA.50.5936.01A.11R.1628.07	TCGA.44.7669.01A.21R.2066.07	TCGA.53.7624.01A.11R.2066.07	TCGA.05.4415.01A.22R.1858.07	TCGA.21.1083.01A.01R.0692.07	TCGA.58.8388.01A.11R.2326.07	TCGA.85.6560.01A.11R.1820.07	TCGA.39.5040.01A.21R.2125.07	TCGA.34.5927.01A.11R.1820.07	TCGA.AF.5654.01A.01R.1660.07	TCGA.AF.2693.01A.02R.1736.07	TCGA.AG.3731.01A.11R.1736.07	TCGA.EI.6507.01A.11R.1736.07	TCGA.G5.6233.01A.11R.1736.07	TCGA.CD.5799.01A.11R.1602.13	TCGA.BR.6852.01A.11R.1884.13	TCGA.CG.5720.01A.11R.1602.13	TCGA.HU.A4GN.01A.11R.A251.31	TCGA.BR.8678.01A.11R.2402.13	TCGA.D7.5578.01A.01R.1602.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.B7.A5TK.01A.12R.A36D.31	TCGA.VQ.A8P3.01A.11R.A36D.31	TCGA.BR.7707.01A.11R.2055.13	TCGA.VQ.AA69.01A.11R.A414.31	TCGA.EY.A1GL.01A.11R.A13S.07
ACYP1	265.87	547.75	497.0	91.41	490.14	351.14	480.04	1159.07	718.08	249.73	187.71	305.55	314.17	796.86	371.22	74.06	616.37	854.13	532.74	373.81	392.44	500.46	395.18	503.95	122.64	117.6	183.82	101.54	262.2	211.31	171.45	47.84	79.45	25.17	63.89	113.56	52.82	90.77	139.07	48.18	61.68	221.86	791.35	384.34	265.87	547.75	299.25	551.56	348.71	336.79	547.75	703.28	351.14	575.03	802.41	426.57	447.82	248.0	547.75	591.22	273.37	265.87	400.71	785.88	348.71	366.09	271.48
AGO1	144.01	202.66	121.79	94.01	156.59	51.71	76.17	53.95	83.45	109.66	185.11	149.12	77.79	140.04	52.45	59.97	101.54	77.25	137.14	56.28	80.01	59.97	48.87	87.03	32.13	47.17	55.49	37.59	34.51	55.89	96.68	41.52	43.94	32.13	25.17	51.71	76.71	34.51	51.35	62.12	25.91	145.02	414.87	181.28	186.4	248.0	309.83	336.79	269.6	438.59	96.01	66.18	135.24	163.28	61.25	171.45	202.66	237.86	221.86	323.03	189.02	194.36	120.1	125.24	115.16	511.0	125.24
ANAPC1	323.03	327.56	163.28	204.07	212.78	162.14	297.17	299.25	115.97	366.09	269.6	283.05	164.42	327.56	169.07	99.43	269.6	249.73	269.6	426.57	260.38	129.69	301.33	395.18	91.41	148.09	77.25	107.38	84.04	81.14	137.14	78.34	101.54	89.51	74.58	86.43	113.56	96.68	152.28	91.41	103.69	285.03	392.44	409.15	521.76	543.96	341.51	497.0	438.59	579.04	497.0	329.84	514.56	371.22	423.61	267.73	295.11	267.73	454.09	620.67	305.55	241.19	237.86	307.69	256.78	543.96	148.09
ARHGAP11B	126.12	155.5	75.11	32.13	108.9	34.75	201.25	105.15	24.46	72.01	123.5	172.65	13.72	217.27	67.59	9.34	85.22	87.03	99.43	49.91	137.14	96.01	105.15	116.78	21.16	5.92	6.11	8.92	15.0	16.39	17.9	5.87	4.54	2.43	1.03	15.34	13.62	17.25	3.26	16.39	7.34	98.73	269.6	175.07	201.25	135.24	264.03	131.51	134.3	144.01	111.99	73.54	166.73	224.97	205.5	193.01	146.03	84.04	287.01	297.17	64.8	89.51	126.12	237.86	44.89	356.05	12.0
ARHGAP19	49.56	104.42	69.52	74.58	208.38	139.07	66.18	105.15	82.87	156.59	120.94	182.55	45.53	171.45	82.29	38.12	69.03	126.12	125.24	76.17	104.42	72.01	69.03	107.38	32.59	51.35	33.78	41.81	38.12	56.28	69.52	40.07	24.81	19.97	22.59	49.56	71.0	24.11	113.56	37.85	77.25	136.19	116.78	206.94	214.27	133.36	106.63	403.5	84.04	128.79	51.35	94.67	82.87	177.53	96.01	47.5	105.15	77.25	92.05	264.03	71.5	100.83	69.52	64.8	70.01	224.97	38.12
ARID1B	212.78	329.84	251.48	258.57	170.25	264.03	403.5	234.57	212.78	441.64	346.29	325.29	76.17	426.57	150.17	143.01	248.0	139.07	289.02	395.18	255.0	112.77	198.47	476.71	85.22	66.18	88.26	75.11	61.68	73.54	181.28	64.8	135.24	106.63	92.7	178.77	149.12	118.43	167.9	100.83	68.07	497.0	567.1	341.51	532.74	447.82	529.06	555.41	400.71	629.35	256.78	217.27	454.09	460.44	209.84	275.28	400.71	318.57	403.5	620.67	387.02	403.5	314.17	279.14	217.27	842.36	251.48
ARL14EP	126.12	267.73	220.32	281.09	193.01	220.32	260.38	145.02	217.27	500.46	262.2	379.04	59.55	327.56	163.28	226.54	119.26	400.71	339.14	301.33	193.01	137.14	223.41	332.14	218.79	218.79	182.55	164.42	202.66	176.29	265.87	104.42	267.73	193.01	204.07	301.33	264.03	199.85	287.01	189.02	151.22	334.46	400.71	165.57	511.0	339.14	567.1	454.09	273.37	486.75	309.83	356.05	595.34	397.93	325.29	123.5	241.19	262.2	320.8	332.14	198.47	267.73	381.68	301.33	224.97	409.15	273.37
ASXL2	136.19	90.77	109.66	83.45	156.59	70.51	125.24	40.64	44.89	169.07	156.59	175.07	59.13	135.24	72.52	37.85	51.71	61.68	101.54	121.79	110.43	38.4	134.3	139.07	23.08	37.05	20.41	35.5	26.28	20.86	87.65	23.25	39.22	21.78	24.81	48.18	57.49	25.91	53.95	57.49	18.16	206.94	220.32	162.14	201.25	194.36	178.77	291.04	221.86	209.84	163.28	166.73	256.78	248.0	142.01	111.99	194.36	145.02	193.01	273.37	157.68	173.85	138.1	122.64	97.36	395.18	65.72
ATAD2B	128.79	149.12	193.01	55.89	123.5	83.45	124.37	84.04	35.25	122.64	78.34	147.06	43.32	152.28	76.17	63.89	72.52	42.11	47.5	90.77	80.57	53.57	102.25	95.34	40.64	36.79	47.17	34.02	38.4	33.3	66.18	14.89	64.8	45.53	63.0	76.71	68.55	52.45	50.27	43.63	38.4	117.6	158.79	135.24	137.14	136.19	186.4	194.36	159.9	172.65	123.5	120.1	125.24	138.1	127.0	75.11	100.13	80.57	108.14	202.66	78.89	119.26	97.36	100.83	42.11	241.19	70.51
ATF7IP	187.71	176.29	215.77	373.81	202.66	148.09	271.48	131.51	72.01	470.14	503.95	444.72	224.97	176.29	171.45	86.43	167.9	212.78	251.48	194.36	239.52	94.67	158.79	309.83	51.35	31.45	74.06	85.82	68.07	108.14	220.32	98.04	72.01	85.82	47.5	151.22	120.1	79.45	116.78	136.19	70.51	392.44	412.0	339.14	341.51	361.04	624.99	454.09	466.88	878.17	189.02	226.54	327.56	351.14	376.41	195.72	316.37	231.32	265.87	275.28	343.89	258.57	441.64	208.38	201.25	723.08	144.01
B3GALNT2	74.06	182.55	100.13	190.34	125.24	36.53	139.07	58.71	53.95	83.45	283.05	122.64	74.06	258.57	114.36	91.41	167.9	271.48	186.4	205.5	234.57	35.76	134.3	226.54	38.67	55.1	24.81	44.57	20.11	23.08	29.7	31.67	60.39	45.53	43.63	57.49	65.72	46.18	61.68	78.34	13.72	218.79	400.71	156.59	379.04	536.45	500.46	277.2	201.25	423.61	217.27	173.85	291.04	518.15	162.14	142.01	249.73	181.28	361.04	1051.79	166.73	177.53	167.9	194.36	133.36	490.14	88.26
B3GAT2	1.99	5.82	10.0	1.69	3.92	6.26	4.35	2.51	0.77	1.11	1.22	4.74	1.22	14.03	2.86	3.89	7.11	3.03	2.66	3.06	6.78	4.46	11.3	13.62	1.08	1.0	2.89	2.03	1.53	0.0	6.67	1.75	5.41	1.85	5.32	4.1	2.56	4.94	4.5	1.75	5.59	4.9	10.31	7.17	6.57	17.0	10.39	2.89	8.65	19.39	7.17	2.76	9.34	35.5	8.38	2.86	4.03	1.87	14.45	10.47	4.62	5.68	2.51	10.88	1.19	9.85	3.69
