	TCGA.W5.AA2U.11A.11R.A41I.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.KR.A7K0.01A.12R.A33R.07	TCGA.CC.5262.01A.01R.A131.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.MI.A75E.01A.11R.A32O.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.G3.A3CH.11A.11R.A22L.07	TCGA.DD.A3A2.11A.11R.A213.07	TCGA.FV.A3R2.11A.11R.A22L.07	TCGA.DD.A116.11A.12R.A26B.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.EP.A3RK.11A.11R.A22L.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.FV.A3I1.11A.11R.A22L.07	GTEX.XBEC.1526.SM.4AT68	GTEX.RN64.1826.SM.48FDV	GTEX.139TT.0726.SM.5K7XW	GTEX.14ABY.1126.SM.5Q5F8	GTEX.13O3O.0726.SM.5J1N7	GTEX.O5YW.0526.SM.2YUMX	GTEX.Y5V5.0826.SM.4VBQD	GTEX.11EQ9.0226.SM.5A5JX	GTEX.T5JC.0826.SM.32PMC	GTEX.PVOW.1026.SM.2XCF9	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.YFC4.1126.SM.5RQJN	GTEX.XBEC.1026.SM.4QASM	GTEX.OOBJ.0526.SM.48TDK	GTEX.11P7K.0326.SM.59871	GTEX.OXRN.0526.SM.2I5EN	GTEX.147F4.0926.SM.5Q5EO	GTEX.P4QT.0526.SM.2I3EX	GTEX.WZTO.0426.SM.3NM99	GTEX.X585.1026.SM.46MW6	GTEX.11PRG.0926.SM.5EGI8	GTEX.11WQC.0626.SM.5EQMF	GTEX.13O61.0726.SM.5J2MD	GTEX.TML8.0326.SM.4GICN	GTEX.P4PQ.0526.SM.2HMKR	GTEX.11EI6.0826.SM.5985V	GTEX.14E7W.1326.SM.5RQIV	GTEX.RWSA.1126.SM.2XCAZ	GTEX.131YS.0926.SM.5IJB9	GTEX.117YX.1326.SM.5H125	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.13FTY.0126.SM.5J2NZ	GTEX.ZZPT.1326.SM.5E43H	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FHP.0726.SM.5K7YI	GTEX.WYJK.0826.SM.3NM8Y	GTEX.13O21.3026.SM.5J2NI	GTEX.1122O.0126.SM.5GICA	GTEX.13QJ3.1026.SM.5QGQU	GTEX.13VXT.1426.SM.5LU4B	GTEX.13N1W.0726.SM.5MR57	GTEX.T6MN.0826.SM.32PM4	GTEX.WRHU.0226.SM.3MJFV	GTEX.ZE7O.0826.SM.57WCP	GTEX.13VXU.2726.SM.5LU4N	GTEX.ZTPG.0926.SM.5O99H	GTEX.ZDTT.0926.SM.5J2MS	GTEX.11NUK.0826.SM.5HL4U	GTEX.13OW6.0826.SM.5L3GA	GTEX.N7MS.0926.SM.2HMIZ	GTEX.ZVZQ.1526.SM.5N9G6	GTEX.11O72.1326.SM.5BC5A	GTEX.14DAR.0226.SM.5S2PR	GTEX.ZYT6.0526.SM.5GIEA	GTEX.Q2AG.1026.SM.33HBW	GTEX.139UW.0226.SM.5K7WU	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.VJYA.0326.SM.3GAEX	GTEX.QEG4.0526.SM.48TZD	GTEX.QCQG.0326.SM.2I3ES	GTEX.12WSA.1026.SM.5EGHN	GTEX.13G51.0426.SM.5K7Z5	GTEX.UJMC.0726.SM.3GADX	GTEX.13NYB.0626.SM.5MR47	GTEX.11OF3.1126.SM.5986C	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.144GO.0226.SM.5LUB1	GTEX.OHPM.0526.SM.2YUMJ
ABHD17C	37.85	106.63	208.38	124.37	134.3	130.6	99.43	74.58	55.1	86.43	62.56	74.06	114.36	66.18	61.25	63.89	85.22	118.43	132.44	89.51	25.35	59.13	2915.45	896.64	1572.76	507.46	532.74	842.36	1674.06	2209.26	559.28	571.05	237.86	567.1	384.34	753.83	232.94	1721.16	563.18	1561.89	334.46	954.43	1295.13	988.12	543.96	368.65	332.14	1135.2	444.72	595.34	665.29	503.95	532.74	571.05	669.92	974.5	320.8	379.04	620.67	497.0	381.68	441.64	409.15	262.2	571.05	1909.85	1037.29	1143.1	208.38	1295.13	1639.59	493.56	921.88	368.65	698.41	412.0	1208.34	209.84	713.11	1457.23	759.08	307.69	511.0	1977.24	543.96	209.84	2664.15	417.77	204.07	1304.15	1051.79
ABHD5	193.01	271.48	246.28	139.07	147.06	460.44	255.0	269.6	283.05	258.57	253.23	156.59	759.08	253.23	165.57	239.52	193.01	379.04	307.69	194.36	212.78	102.25	1359.57	764.36	1437.15	669.92	651.58	713.11	1183.45	698.41	518.15	733.19	1088.92	470.14	343.89	454.09	633.73	1268.46	500.46	688.78	1277.29	406.31	583.07	603.67	432.53	483.38	490.14	507.46	1088.92	400.71	759.08	409.15	753.83	1268.46	1135.2	483.38	764.36	547.75	536.45	543.96	583.07	567.1	406.31	543.96	309.83	412.0	759.08	543.96	656.11	802.41	698.41	400.71	1159.07	532.74	470.14	521.76	1199.98	1051.79	1111.82	633.73	392.44	429.54	738.29	819.3	432.53	339.14	1870.53	629.35	1066.48	2163.77	848.22
AC132872.2	1.87	2.16	0.0	1.51	3.17	0.88	0.0	2.76	0.0	1.03	0.0	2.71	0.0	0.0	0.0	0.0	0.0	1.14	1.11	1.93	3.11	1.46	19.11	6.57	31.0	21.94	6.16	9.34	6.94	12.27	1.73	6.89	38.4	4.46	0.0	4.39	12.27	28.24	27.44	21.78	5.68	4.9	17.0	5.45	16.15	7.4	11.21	43.32	45.21	5.19	3.72	7.34	21.32	4.94	6.67	5.32	53.95	2.92	8.13	3.5	8.45	15.11	3.17	23.59	1.27	18.43	20.41	5.92	32.59	19.68	21.47	8.58	21.63	12.09	1.27	18.03	10.79	80.57	8.13	2.03	13.62	24.11	17.51	19.68	15.45	6.06	15.45	11.55	31.9	45.53	6.21
AGER	60.39	38.4	31.0	66.65	74.06	33.06	46.84	46.5	37.59	86.43	84.04	83.45	80.57	66.18	88.88	81.14	18.03	47.17	107.38	100.83	183.82	167.9	110216.97	459592.86	38697.77	502929.67	267651.2	175363.84	355624.68	163620.18	145432.49	182810.84	122293.5	131071.0	147462.67	198667.0	336441.4	119776.72	181548.07	237899.7	370726.6	191899.64	13306.94	171754.88	124000.67	181548.07	200048.85	139508.13	282912.21	394590.4	187950.38	313910.86	100719.65	144427.91	242898.5	577714.63	269512.87	146444.06	236256.4	220434.95	135693.24	286861.53	170568.48	209994.66	152662.96	92040.7	279017.26	249727.34	143430.26	290865.98	209994.66	239554.43	25530.66	253213.41	383800.28	138544.47	212926.09	363097.14	236256.4	143430.26	373305.21	273275.14	482442.34	496005.67	151608.43	180294.02	170568.48	419990.32	107948.72	155870.75	191899.64
AHCYL1	825.0	688.78	796.86	476.71	934.76	860.08	638.15	866.07	490.14	808.0	884.29	684.02	796.86	656.11	703.28	848.22	603.67	890.44	854.13	860.08	595.34	629.35	1819.35	1225.22	1685.71	1467.37	961.07	2303.12	1104.13	1081.39	1572.76	1159.07	1896.65	1030.12	981.29	1127.35	1963.57	2720.15	1487.87	1605.83	1295.13	1135.2	2163.77	1561.89	1051.79	1304.15	1697.45	1583.71	1008.9	947.83	1745.2	854.13	2104.58	934.76	1427.22	1457.23	1304.15	1167.14	961.07	1208.34	1487.87	1250.98	1369.04	2451.44	718.08	2047.0	1037.29	1250.98	1594.73	1857.6	1721.16	1685.71	1806.78	1519.15	1008.9	2485.67	1183.45	1143.1	1104.13	1487.87	1051.79	1540.37	1183.45	2148.82	1639.59	2351.53	2417.67	1733.13	2047.0	2451.44	1909.85
AHR	414.87	320.8	291.04	232.94	476.71	277.2	190.34	194.36	183.82	150.17	212.78	444.72	406.31	603.67	441.64	301.33	82.29	299.25	432.53	591.22	144.01	551.56	4095.0	1806.78	3564.78	1583.71	775.05	830.75	698.41	2400.97	567.1	1037.29	3372.43	511.0	934.76	303.44	902.89	4239.45	1081.39	4038.61	974.5	1015.93	1963.57	518.15	1417.35	988.12	1081.39	1639.59	2855.44	1313.23	1135.2	1561.89	1583.71	624.99	1331.57	1350.18	813.63	656.11	551.56	967.76	3820.7	915.51	1519.15	1745.2	708.18	813.63	884.29	921.88	1417.35	2224.63	1617.0	1104.13	1037.29	947.83	616.37	1991.0	1073.91	406.31	1540.37	974.5	1340.84	1119.56	1015.93	4704.07	1467.37	791.35	3349.13	1477.58	2090.03	1322.37	1883.54
AKAP2	371.22	351.14	215.77	169.07	228.13	275.28	186.4	123.5	84.04	135.24	262.2	273.37	463.65	312.0	249.73	253.23	241.19	379.04	361.04	397.93	244.57	140.04	11664.82	3742.05	12244.81	4298.64	3212.66	2303.12	5594.3	6840.04	1001.93	3103.19	4671.57	1268.46	2451.44	1340.84	6250.56	15824.9	3018.3	3257.52	3589.58	3235.01	5711.87	2537.92	1870.53	1583.71	2468.49	14971.21	11827.67	4736.79	2591.27	4152.18	5255.91	2935.74	9673.69	4802.93	2777.33	1313.23	2018.8	2520.38	2148.82	4268.94	3639.7	2976.74	1923.14	8718.32	7280.4	3901.01	1857.6	16727.26	5147.73	3820.7	6164.49	3146.52	3901.01	3325.99	6983.79	1111.82	2255.7	3060.45	3039.3	1896.65	2796.65	10883.59	2367.9	5183.54	25179.16	7695.57	4937.99	11992.79	14561.8
AMD1	507.46	351.14	384.34	379.04	435.55	463.65	529.06	199.85	176.29	343.89	287.01	314.17	409.15	366.09	397.93	256.78	201.25	336.79	432.53	356.05	264.03	217.27	1617.0	1001.93	1757.34	1119.56	1183.45	1233.75	866.07	1191.69	1088.92	988.12	1096.5	813.63	674.59	961.07	1605.83	1286.18	921.88	1561.89	941.27	825.0	1350.18	854.13	890.44	890.44	1096.5	1096.5	1662.49	624.99	1529.73	563.18	1199.98	848.22	1151.06	890.44	728.11	808.0	693.58	785.88	1242.34	1259.69	934.76	1096.5	583.07	1216.75	1529.73	1023.0	775.05	3081.75	1008.9	1066.48	1127.35	1304.15	743.43	1529.73	1651.0	909.17	764.36	1250.98	878.17	981.29	642.59	1487.87	1250.98	884.29	1870.53	1216.75	1151.06	1963.57	2090.03
AMOTL1	157.68	139.07	47.17	35.25	39.79	59.97	17.9	29.06	99.43	74.58	138.1	63.89	109.66	73.03	95.34	75.11	76.71	66.65	57.49	176.29	92.05	264.03	3325.99	1135.2	981.29	1183.45	896.64	435.55	1135.2	1044.52	221.86	633.73	775.05	728.11	595.34	297.17	1721.16	3443.31	511.0	1322.37	642.59	1242.34	3982.99	454.09	616.37	397.93	1572.76	2555.58	1685.71	1151.06	525.39	878.17	1551.09	426.57	1378.57	1304.15	301.33	265.87	543.96	708.18	409.15	909.17	1896.65	1870.53	438.59	1991.0	738.29	708.18	825.0	1447.15	1277.29	1350.18	1233.75	457.25	928.3	2591.27	928.3	209.84	890.44	339.14	1096.5	444.72	473.41	1467.37	988.12	1378.57	4328.55	974.5	1304.15	1175.27	2384.37
ARID5B	82.29	53.19	55.89	38.95	106.63	70.01	27.84	28.04	22.75	47.17	34.75	31.67	46.18	42.41	63.45	40.64	25.91	41.81	48.52	38.67	39.22	28.04	1051.79	441.64	599.49	457.25	400.71	154.42	624.99	379.04	143.01	173.85	1127.35	339.14	201.25	120.94	567.1	1051.79	305.55	796.86	307.69	500.46	1104.13	299.25	231.32	295.11	738.29	802.41	723.08	314.17	211.31	314.17	915.51	314.17	928.3	595.34	444.72	253.23	167.9	291.04	277.2	514.56	693.58	624.99	234.57	595.34	384.34	180.02	493.56	395.18	1044.52	872.1	860.08	125.24	153.34	536.45	703.28	246.28	287.01	223.41	409.15	327.56	323.03	1073.91	348.71	426.57	825.0	547.75	1151.06	764.36	563.18
ARL13B	55.1	52.45	38.95	31.67	32.59	47.5	26.67	29.7	36.53	34.26	33.54	28.65	63.89	35.5	43.63	53.19	8.71	45.85	41.22	53.19	16.63	25.72	769.69	571.05	890.44	373.81	323.03	320.8	295.11	603.67	211.31	209.84	454.09	190.34	157.68	258.57	224.97	1051.79	140.04	376.41	291.04	195.72	450.94	236.21	237.86	197.09	209.84	334.46	423.61	389.72	376.41	366.09	255.0	194.36	339.14	392.44	115.16	241.19	237.86	334.46	301.33	262.2	226.54	412.0	281.09	381.68	287.01	341.51	155.5	703.28	334.46	361.04	432.53	242.88	384.34	267.73	507.46	117.6	195.72	318.57	208.38	264.03	173.85	684.02	336.79	256.78	961.07	409.15	218.79	599.49	878.17
