	TCGA.BH.A1EU.01A.11R.A137.07	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.AN.A049.01A.21R.A00Z.07	TCGA.GM.A3NW.01A.21R.A22K.07	TCGA.BH.A0E7.01A.11R.A034.07	TCGA.AC.A2FB.01A.11R.A17B.07	TCGA.BH.AB28.01A.31R.A41B.07	TCGA.AC.A3OD.01A.11R.A21T.07.1	TCGA.D8.A4Z1.01A.21R.A266.07	TCGA.A8.A083.01A.21R.A00Z.07	TCGA.AR.A1AX.01A.11R.A12P.07	TCGA.AR.A0TP.01A.11R.A084.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.EW.A1J1.01A.11R.A13Q.07	TCGA.A7.A4SC.01A.12R.A266.07	TCGA.A7.A13D.01A.13R.A12P.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.A8.A0AB.01A.11R.A034.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.LL.A7T0.01A.31R.A352.07	TCGA.A7.A4SA.01A.11R.A266.07	TCGA.A2.A0YK.01A.22R.A109.07	TCGA.A2.A04Q.01A.21R.A034.07	TCGA.D8.A3Z5.01A.41R.A24H.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.E2.A14U.01A.11R.A22K.07	TCGA.A7.A5ZX.01A.12R.A29R.07	TCGA.A7.A5ZW.01A.12R.A29R.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.E9.A1RC.01A.11R.A157.07	TCGA.B6.A3ZX.01A.11R.A239.07	TCGA.AR.A0U3.01A.11R.A109.07	TCGA.D8.A27I.01A.11R.A16F.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.EW.A1P7.01A.21R.A144.07	TCGA.A8.A079.01A.21R.A00Z.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.E2.A10E.01A.21R.A10J.07	TCGA.E2.A15T.01A.11R.A115.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.B6.A0RE.01A.11R.A056.07	TCGA.A2.A0T2.01A.11R.A084.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.A2.A0YI.01A.31R.A10J.07	TCGA.BH.A0BR.01A.21R.A115.07	TCGA.AR.A1AP.01A.11R.A12P.07	TCGA.MS.A51U.01A.31R.A266.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.AO.A0JC.01A.11R.A056.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.BH.A8G0.01A.11R.A352.07	TCGA.BH.A18J.01A.11R.A12D.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.BH.A0W4.01A.11R.A109.07	TCGA.BH.A0EB.01A.11R.A034.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.AC.A2FO.01A.11R.A180.07	TCGA.AN.A0AR.01A.11R.A00Z.07	TCGA.EW.A1PE.01A.11R.A144.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.C8.A26V.01A.11R.A16F.07	TCGA.D8.A1Y2.01A.11R.A157.07	TCGA.E2.A150.01A.11R.A12D.07	TCGA.A2.A1G6.01A.11R.A13Q.07	TCGA.BH.A0W5.01A.11R.A109.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RS.01A.11R.A084.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.LL.A73Z.01A.11R.A32P.07	TCGA.BH.A1F5.01A.12R.A13Q.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.AC.A2BK.01A.11R.A21T.07	TCGA.AQ.A04J.01A.02R.A034.07	TCGA.BH.A1FB.01A.11R.A13Q.07	TCGA.BH.A0RX.01A.21R.A084.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.E9.A1N8.01A.11R.A144.07	TCGA.B6.A0WZ.01A.11R.A109.07	TCGA.AR.A5QN.01A.12R.A28M.07	TCGA.BH.A1EY.01A.11R.A13Q.07	TCGA.EW.A1P8.01A.11R.A144.07	TCGA.AC.A62X.01A.11R.A29R.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.AO.A0J7.01A.11R.A034.07	TCGA.A7.A0CG.01A.12R.A056.07	TCGA.B6.A0IO.01A.11R.A034.07	TCGA.A2.A0EU.01A.22R.A056.07	TCGA.A1.A0SB.01A.11R.A144.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A0BW.11A.12R.A115.07	TCGA.BH.A0HK.11A.11R.A089.07	TCGA.BH.A1F8.11B.21R.A13Q.07	TCGA.BH.A0DT.11A.12R.A12D.07	TCGA.BH.A1FR.11B.42R.A13Q.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0DP.11A.12R.A089.07	TCGA.BH.A0BC.11A.22R.A089.07	TCGA.E2.A1LH.11A.22R.A14D.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.A7.A0CE.11A.21R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.ZVZQ.0826.SM.51MRF	GTEX.1269C.2426.SM.5FQSN	GTEX.131YS.0626.SM.5EGKL	GTEX.S341.1526.SM.4AD6K	GTEX.T2IS.1526.SM.32QPR	GTEX.Y5LM.1726.SM.4VDSX	GTEX.ZF29.1926.SM.5S2P1	GTEX.1313W.0826.SM.5EQ4T	GTEX.Q2AG.0326.SM.48U1O	GTEX.X15G.1626.SM.3NMB3	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13NZ8.0126.SM.5IJCT	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.XUW1.2326.SM.4BOO5	GTEX.TML8.1226.SM.32QON	GTEX.13QIC.2326.SM.5LU5N	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.117YW.0526.SM.5H11C
TESPA1	143.01	9.27	12.64	28.24	40.07	12.09	271.48	68.55	121.79	69.03	15.45	389.72	2.58	24.81	31.9	45.85	3.92	25.91	108.9	34.51	10.24	68.55	22.92	110.43	249.73	155.5	16.15	13.62	13.93	18.97	51.71	47.17	1.36	379.04	35.5	106.63	149.12	237.86	18.7	6.84	122.64	28.65	10.88	16.51	5.73	9.7	26.67	6.73	102.25	59.55	33.54	50.63	5.54	1151.06	3.99	84.04	106.63	5.45	61.25	33.3	47.17	14.35	111.99	5.06	41.81	3.0	10.31	69.03	37.32	53.19	339.14	15.22	59.55	32.36	5.59	50.27	24.46	49.91	2.53	175.07	171.45	85.82	44.57	7.94	9.85	31.45	90.77	36.53	1.48	2.61	14.56	17.9	132.44	15.56	48.18	5.77	30.12	348.71	22.92	23.76	16.27	37.85	50.27	20.11	39.22	30.34	27.44	15.8	33.06	26.1	37.32	15.34	124.37	16.27	94.01	103.69	35.0	87.65	21.94	46.84	91.41	21.01	170.25	39.79	28.24	11.04	22.75	8.92	7.69	14.45	20.56	41.52	78.89	27.84	63.45	173.85
TIFAB	38.12	1.2	2.27	3.0	2.01	0.0	47.17	7.69	29.91	3.86	0.27	43.32	0.33	1.27	5.87	6.94	0.65	2.32	15.68	2.36	0.58	7.17	4.5	8.65	38.12	29.48	1.79	1.19	0.58	0.91	7.51	7.0	0.0	43.94	6.41	18.03	17.25	42.71	1.25	0.3	9.7	4.66	1.5	1.11	0.28	0.62	3.59	0.32	12.74	3.72	3.99	5.73	0.0	94.67	0.52	9.06	15.0	0.31	23.25	2.56	5.87	1.23	16.88	0.62	5.96	0.0	1.41	4.54	10.16	3.53	40.93	1.87	7.28	5.54	0.0	8.38	1.57	4.06	0.57	18.7	40.64	14.35	3.29	1.85	0.29	1.48	23.59	6.67	0.0	0.58	0.88	0.92	15.91	3.38	1.45	0.0	1.73	66.18	1.99	0.69	0.31	9.63	2.34	2.63	1.28	1.77	4.1	1.93	1.68	2.58	6.78	0.0	57.49	20.56	21.78	7.69	12.27	1.55	6.52	0.0	4.86	7.57	49.21	3.06	1.58	0.0	0.0	4.54	0.0	16.51	3.0	7.28	36.79	15.8	11.13	16.39
TIGIT	204.07	4.24	36.79	45.85	26.67	6.67	387.02	85.22	173.85	37.05	6.84	403.5	1.87	8.58	115.97	40.64	7.4	38.12	256.78	127.0	2.61	128.79	59.97	167.9	318.57	503.95	13.42	8.06	11.21	5.92	40.64	37.85	1.36	555.41	55.1	88.26	228.13	341.51	16.51	4.31	59.97	40.64	12.74	34.26	21.63	47.17	22.1	2.56	121.79	76.17	44.57	60.39	1.38	1819.35	2.34	191.67	70.01	19.25	126.12	5.23	100.83	21.94	145.02	16.88	70.01	0.73	45.21	113.56	114.36	28.45	395.18	32.59	60.82	100.13	5.63	93.35	11.38	37.05	14.89	435.55	236.21	279.14	41.22	21.47	4.24	36.79	190.34	65.72	16.27	8.51	9.13	7.88	90.14	21.78	22.26	0.84	16.51	373.81	5.02	16.51	2.51	23.08	12.36	26.67	19.53	15.34	35.5	7.57	28.86	27.05	33.54	6.78	53.57	8.58	78.89	50.98	48.87	18.56	65.72	19.53	260.38	28.45	24.63	27.25	20.26	15.45	9.63	10.24	2.58	18.03	16.88	115.16	38.4	15.91	139.07	98.73
TMC8	329.84	58.3	154.42	102.25	86.43	22.59	417.77	218.79	384.34	231.32	29.27	629.35	20.71	46.5	116.78	232.94	44.89	50.63	232.94	90.77	18.56	264.03	154.42	460.44	591.22	341.51	106.63	33.78	65.26	60.82	102.25	132.44	20.86	1733.13	53.95	232.94	336.79	1051.79	67.12	83.45	400.71	67.59	49.21	62.56	59.13	39.79	116.78	24.81	256.78	69.03	123.5	190.34	20.26	2758.13	16.75	521.76	521.76	62.12	275.28	42.11	151.22	62.56	316.37	40.93	176.29	20.26	46.5	241.19	103.69	97.36	819.3	49.56	217.27	113.56	37.59	126.12	35.25	90.14	36.79	334.46	348.71	193.01	195.72	29.7	30.12	131.51	231.32	120.94	17.0	18.7	42.11	29.06	167.9	70.51	41.52	24.46	141.02	836.53	45.85	147.06	52.82	211.31	83.45	171.45	73.54	77.79	141.02	77.79	73.54	126.12	201.25	98.73	189.02	156.59	241.19	258.57	387.02	100.13	96.68	63.0	214.27	38.95	289.02	185.11	93.35	42.11	64.8	43.32	76.17	169.07	60.39	684.02	348.71	47.17	395.18	599.49
TRAF3IP3	603.67	134.3	189.02	190.34	130.6	74.58	559.28	346.29	620.67	271.48	90.14	941.27	890.44	93.35	264.03	353.59	73.03	142.01	412.0	258.57	181.28	273.37	190.34	497.0	718.08	928.3	167.9	115.16	154.42	162.14	279.14	269.6	96.68	2061.24	149.12	397.93	486.75	1447.15	120.94	123.5	403.5	151.22	73.03	205.5	208.38	76.71	221.86	81.71	423.61	161.02	237.86	231.32	88.88	5292.48	87.03	547.75	563.18	198.47	303.44	66.65	299.25	185.11	503.95	112.77	281.09	86.43	98.73	493.56	273.37	208.38	1135.2	220.32	1437.15	185.11	111.21	343.89	119.26	194.36	139.07	633.73	525.39	366.09	231.32	532.74	97.36	125.24	312.0	316.37	97.36	98.04	81.71	155.5	444.72	146.03	127.89	490.14	198.47	1519.15	132.44	167.9	128.79	314.17	149.12	316.37	291.04	185.11	291.04	167.9	215.77	175.07	293.07	80.01	476.71	249.73	297.17	406.31	297.17	336.79	231.32	273.37	514.56	20.41	212.78	341.51	173.85	74.58	246.28	132.44	94.01	150.17	178.77	518.15	591.22	99.43	248.0	444.72
TRAT1	128.79	1.99	6.78	11.3	15.68	1.01	249.73	23.59	103.69	16.51	2.73	148.09	1.14	10.24	47.84	21.63	0.77	11.3	91.41	29.06	1.64	30.12	18.16	107.38	164.42	119.26	5.54	3.59	5.06	6.84	15.91	29.27	0.0	204.07	22.59	47.17	104.42	171.45	3.76	33.3	43.32	18.03	5.19	6.41	3.86	3.44	12.55	2.53	69.03	23.59	8.38	42.11	1.04	808.0	0.34	58.3	45.85	2.1	75.64	2.84	29.06	11.55	105.89	2.76	34.26	0.0	3.72	50.63	17.0	17.51	214.27	6.11	24.28	35.5	1.11	39.79	8.06	38.67	5.28	86.43	110.43	73.03	8.65	4.03	0.71	27.84	53.95	12.09	0.34	0.69	7.28	3.03	99.43	10.88	9.93	1.6	19.53	231.32	8.71	14.67	7.46	35.0	15.11	22.43	17.9	5.45	25.35	3.89	14.56	7.82	32.36	29.27	29.06	15.8	81.14	99.43	28.24	21.16	48.52	6.89	46.5	36.53	60.39	7.51	62.12	7.0	44.25	23.25	36.53	14.89	2.32	28.24	114.36	77.25	113.56	152.28
UBASH3A	69.52	9.27	13.83	13.32	12.18	1.27	112.77	30.34	74.06	28.04	2.05	121.79	0.73	6.62	21.16	29.48	2.1	6.89	54.33	21.16	0.34	25.17	22.75	85.82	132.44	97.36	12.09	3.14	9.06	4.13	17.0	23.42	0.96	228.13	17.0	42.11	77.25	170.25	7.46	0.99	35.76	13.52	3.79	7.0	15.11	7.82	17.25	3.11	54.33	18.29	17.25	30.78	0.66	409.15	0.3	53.19	47.5	24.81	41.52	3.72	24.28	8.65	78.34	6.52	32.13	1.62	9.7	48.52	14.56	29.48	158.79	4.94	24.63	18.84	1.39	38.95	3.63	18.29	5.36	51.35	76.17	75.64	23.25	7.4	1.28	6.16	41.81	20.26	1.68	0.96	5.19	3.23	68.07	11.13	7.22	0.4	17.77	172.65	11.21	13.12	8.92	26.67	11.47	17.9	18.03	17.38	35.5	13.72	7.82	19.53	23.25	13.03	58.71	12.55	14.78	29.27	39.79	37.59	33.3	11.04	40.36	15.56	39.22	35.0	9.41	4.31	26.28	3.63	12.0	14.03	5.32	61.25	63.45	13.32	32.82	96.01
VAV1	289.02	89.51	201.25	102.97	63.45	43.02	287.01	140.04	260.38	166.73	32.13	371.22	19.82	90.77	123.5	127.89	120.94	141.02	199.85	100.13	35.0	423.61	103.69	197.09	297.17	346.29	54.72	31.0	109.66	87.03	110.43	169.07	23.59	567.1	92.05	186.4	267.73	567.1	73.03	155.5	197.09	53.57	38.67	111.99	75.11	126.12	96.68	30.34	249.73	138.1	460.44	215.77	29.06	1286.18	56.28	204.07	346.29	89.51	334.46	49.21	258.57	87.03	242.88	47.84	186.4	258.57	62.56	406.31	116.78	113.56	323.03	77.79	118.43	133.36	71.5	368.65	19.25	96.01	18.56	228.13	262.2	195.72	305.55	73.03	23.76	62.12	163.28	242.88	14.56	35.0	39.5	37.59	164.42	46.18	45.53	41.22	125.24	555.41	120.1	101.54	64.34	177.53	84.63	112.77	95.34	106.63	135.24	54.33	66.65	162.14	145.02	65.72	291.04	137.14	441.64	361.04	102.25	154.42	73.03	116.78	198.47	50.98	106.63	177.53	85.82	52.08	279.14	119.26	36.53	96.01	172.65	221.86	226.54	83.45	329.84	246.28
WAS	389.72	126.12	144.01	164.42	150.17	61.25	551.56	236.21	412.0	182.55	61.25	595.34	70.01	94.67	169.07	241.19	85.22	76.17	348.71	136.19	36.79	241.19	202.66	392.44	551.56	836.53	132.44	58.3	145.02	119.26	124.37	208.38	34.26	1066.48	102.25	269.6	595.34	961.07	155.5	260.38	285.03	118.43	65.26	159.9	81.14	145.02	141.02	46.5	409.15	202.66	151.22	217.27	28.04	2384.37	56.28	400.71	454.09	107.38	320.8	77.79	376.41	140.04	371.22	90.77	271.48	32.13	105.89	486.75	214.27	145.02	603.67	138.1	265.87	177.53	82.29	275.28	61.25	169.07	27.25	521.76	373.81	409.15	575.03	48.87	58.3	176.29	289.02	392.44	46.84	46.84	81.14	52.08	285.03	84.04	71.0	55.89	124.37	796.86	123.5	159.9	75.11	309.83	100.13	169.07	90.14	165.57	185.11	90.77	85.82	273.37	114.36	112.77	220.32	108.9	325.29	202.66	124.37	122.64	63.0	146.03	291.04	40.64	147.06	177.53	55.1	175.07	55.1	95.34	42.11	91.41	161.02	371.22	283.05	202.66	909.17	438.59
WDFY4	291.04	32.36	61.68	75.64	67.12	22.59	343.89	162.14	186.4	98.04	20.26	400.71	15.56	29.48	82.29	135.24	13.32	35.76	162.14	63.89	21.01	106.63	74.06	164.42	314.17	279.14	29.06	23.42	55.1	59.55	34.51	105.89	23.08	599.49	74.58	182.55	209.84	633.73	71.0	107.38	142.01	40.36	36.79	90.77	21.78	18.29	49.91	16.03	214.27	104.42	92.7	85.22	22.59	1378.57	10.16	211.31	291.04	42.11	208.38	50.98	130.6	73.03	166.73	26.67	134.3	13.03	22.75	231.32	105.89	64.8	334.46	41.52	111.99	82.87	31.0	132.44	20.86	87.65	10.71	271.48	256.78	183.82	191.67	18.03	27.84	61.68	133.36	120.94	16.15	22.92	28.86	21.63	183.82	43.94	21.16	19.25	54.72	647.07	45.85	59.55	25.54	199.85	51.71	60.39	32.82	62.12	102.25	31.22	65.72	74.58	132.44	22.1	260.38	44.57	283.05	170.25	127.0	39.5	155.5	18.97	165.57	31.0	146.03	57.08	18.97	60.82	47.84	21.63	20.41	68.55	54.33	201.25	167.9	123.5	595.34	242.88
XCR1	47.17	0.28	1.69	12.55	7.88	0.27	66.18	9.41	18.16	7.0	0.0	38.67	0.32	2.2	9.78	12.09	1.62	5.87	9.7	9.93	1.16	4.43	9.2	12.36	33.78	38.95	1.79	0.88	2.61	0.59	3.76	9.13	0.58	57.08	8.13	28.86	21.78	67.59	2.78	1.79	14.35	3.08	7.34	3.32	0.57	2.78	9.7	0.64	23.42	5.23	7.0	6.62	0.28	58.3	0.25	12.64	17.25	0.3	36.01	1.27	5.54	6.94	20.41	1.55	21.16	1.2	0.56	15.45	14.56	8.85	47.17	2.48	9.48	5.19	0.31	4.7	0.29	15.22	0.27	35.76	57.08	18.16	8.58	1.53	0.88	2.92	16.15	2.53	1.28	0.57	1.16	1.51	43.32	3.66	2.58	1.06	5.59	88.26	2.36	2.46	3.92	18.84	7.4	6.94	4.17	4.28	5.41	3.86	10.71	11.55	34.02	0.88	110.43	40.93	13.62	30.34	8.38	18.84	2.68	9.56	27.25	4.35	17.13	6.73	1.77	66.18	1.83	6.26	1.71	1.66	2.78	5.59	4.13	8.65	2.12	1.99
ZAP70	122.64	48.52	57.08	63.45	64.8	11.64	228.13	134.3	305.55	181.28	18.84	395.18	2.14	8.65	60.82	126.12	4.78	19.82	111.99	46.18	7.63	251.48	239.52	420.68	323.03	387.02	80.57	11.55	41.81	20.86	73.54	45.53	2.27	1175.27	33.06	131.51	191.67	551.56	26.1	8.25	223.41	39.5	9.93	21.47	16.03	27.84	80.57	21.78	88.88	46.5	63.45	172.65	0.53	2104.58	5.06	361.04	226.54	13.62	149.12	21.47	57.08	28.86	195.72	27.84	75.11	5.82	18.97	120.94	103.69	46.84	392.44	11.73	202.66	67.59	11.38	149.12	3.47	45.85	13.32	214.27	166.73	165.57	103.69	15.45	11.13	67.12	135.24	59.97	11.91	2.25	12.0	10.71	116.78	39.5	21.32	10.0	41.22	624.99	22.92	42.41	35.5	100.13	22.75	80.01	53.57	60.39	81.14	37.32	27.05	95.34	79.45	91.41	144.01	62.56	150.17	206.94	176.29	111.99	102.25	26.67	100.13	36.27	159.9	71.0	98.04	24.63	48.87	19.39	50.63	105.89	21.47	178.77	226.54	50.98	232.94	483.38
