	TCGA.E9.A243.01A.21R.A169.07	TCGA.AO.A1KS.01A.11R.A13Q.07	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.W5.AA2U.11A.11R.A41I.07	TCGA.CV.7238.11A.01R.2016.07	TCGA.CV.6955.11A.01R.2016.07	TCGA.G3.A3CI.01A.11R.A213.07	TCGA.DD.A11C.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.BC.A10Y.11A.11R.A131.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EB.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.FV.A23B.11A.11R.A16W.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.DD.A114.11A.12R.A131.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.PX3G.0826.SM.48TZS	GTEX.145MF.0826.SM.5QGQA	GTEX.P78B.1326.SM.3P611	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	TCGA.78.7536.01A.11R.2066.07	TCGA.05.4420.01A.01R.1206.07	TCGA.55.7815.01A.11R.2170.07	TCGA.78.7161.01A.11R.2039.07	TCGA.78.7159.01A.11R.2039.07	TCGA.55.8203.01A.11R.2241.07	TCGA.55.6642.01A.11R.1858.07	TCGA.55.6971.01A.11R.1949.07	TCGA.86.8359.01A.11R.2326.07	TCGA.55.8615.01A.11R.2403.07	TCGA.86.8076.01A.31R.2241.07	TCGA.80.5608.01A.31R.1949.07	TCGA.05.4396.01A.21R.1858.07	TCGA.44.3918.01A.01R.A278.07	TCGA.99.8032.01A.11R.2241.07	TCGA.55.7724.01A.11R.2170.07	TCGA.64.5774.01A.01R.1628.07	TCGA.73.4659.01A.01R.1206.07	TCGA.05.4384.01A.01R.1755.07	TCGA.44.8119.01A.11R.2241.07	TCGA.55.8508.01A.11R.2403.07	TCGA.05.4390.01A.02R.1755.07	GTEX.144GN.0426.SM.5O9AP	GTEX.WWYW.0926.SM.3NB2Z	GTEX.145MF.0726.SM.5Q5BT	GTEX.13FH7.1726.SM.5IJE7
ADAM12	775.05	341.51	5.11	14.24	11.13	37.32	8.13	2.61	4.43	0.56	1.46	4.58	2.1	0.0	1.03	0.61	3.99	2.05	3.38	2.68	2.76	7.46	1.19	0.13	0.23	74.06	65.72	543.96	111.99	166.73	127.89	769.69	177.53	123.5	58.71	144.01	39.79	13.12	318.57	190.34	116.78	205.5	199.85	16.39	583.07	154.42	202.66	9.78	29.91	28.65	21.16
ANAPC1	312.0	325.29	80.01	99.43	199.85	212.78	109.66	112.77	117.6	67.12	78.34	127.89	94.01	84.04	107.38	92.05	126.12	84.04	123.5	89.51	77.79	88.88	94.01	116.78	59.97	417.77	329.84	283.05	206.94	412.0	241.19	339.14	293.07	251.48	182.55	277.2	255.0	305.55	607.87	253.23	358.54	356.05	215.77	211.31	309.83	198.47	256.78	182.55	220.32	249.73	201.25
AP3M2	224.97	775.05	49.56	45.21	121.79	153.34	51.35	63.0	55.49	36.53	34.26	72.01	36.27	38.67	41.22	40.07	84.63	33.78	81.71	35.76	42.71	33.3	81.14	19.82	17.13	660.68	262.2	412.0	231.32	476.71	351.14	447.82	379.04	164.42	121.79	262.2	150.17	202.66	395.18	511.0	358.54	309.83	381.68	223.41	575.03	167.9	260.38	209.84	158.79	234.57	194.36
ARMC1	896.64	1044.52	260.38	264.03	379.04	483.38	241.19	303.44	277.2	217.27	90.14	314.17	239.52	226.54	348.71	249.73	299.25	249.73	301.33	283.05	164.42	176.29	151.22	239.52	197.09	1322.37	896.64	629.35	327.56	884.29	514.56	713.11	397.93	813.63	336.79	392.44	559.28	450.94	1407.55	551.56	529.06	463.65	486.75	361.04	733.19	327.56	780.44	395.18	197.09	262.2	432.53
ATP6V1C1	1583.71	2209.26	420.68	341.51	403.5	511.0	246.28	397.93	473.41	318.57	279.14	518.15	339.14	334.46	373.81	289.02	409.15	267.73	503.95	303.44	231.32	318.57	381.68	172.65	320.8	1023.0	616.37	2178.83	688.78	1605.83	723.08	1081.39	713.11	1242.34	463.65	642.59	1015.93	808.0	1457.23	769.69	1191.69	842.36	1030.12	780.44	878.17	540.19	1639.59	1030.12	529.06	466.88	624.99
AZIN1	2255.7	5329.3	1051.79	1081.39	1259.69	1378.57	358.54	728.11	1250.98	748.61	514.56	1001.93	1051.79	830.75	954.43	848.22	860.08	723.08	748.61	836.53	713.11	995.0	836.53	642.59	1268.46	3103.19	1286.18	2351.53	878.17	2537.92	1561.89	2287.2	1457.23	1806.78	941.27	1540.37	1540.37	1183.45	3060.45	1447.15	1832.01	1594.73	1991.0	921.88	2664.15	947.83	3212.66	2255.7	1583.71	2178.83	1295.13
BPIFA1	94628.34	5.15	0.0	0.0	431797.89	204252.32	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.89	0.0	0.0	229.72	0.0	0.0	0.0	233003.78	141455.6	150561.19	184082.4	154794.07	103551.29	98646.85	139508.13	353168.2	103551.29	47642.77	301123.38	122293.5	59.97	65990.84	117311.73	348306.01	201440.3	102125.66	127486.83	129266.49	211455.3	123144.13	125731.67	659036.03	136637.07
CALU	3716.2	3820.7	785.88	591.22	1709.26	1540.37	607.87	688.78	872.1	444.72	525.39	802.41	460.44	684.02	684.02	684.02	830.75	551.56	825.0	587.13	412.0	454.09	599.49	718.08	460.44	2451.44	4937.99	4512.4	1977.24	3018.3	2400.97	5147.73	4358.66	3325.99	1628.26	2119.22	2032.85	3820.7	6983.79	2935.74	3235.01	2664.15	4802.93	1457.23	3901.01	2209.26	3349.13	2609.3	1388.16	1242.34	3280.18
CEP41	291.04	423.61	54.72	36.79	111.99	232.94	45.85	55.49	63.0	40.07	48.87	94.01	52.82	67.12	59.13	54.72	67.12	51.35	106.63	63.89	68.55	58.3	45.21	63.45	30.78	587.13	236.21	460.44	279.14	332.14	221.86	155.5	223.41	128.79	127.89	205.5	224.97	172.65	406.31	151.22	318.57	309.83	361.04	212.78	327.56	204.07	381.68	483.38	395.18	392.44	242.88
CHSY1	642.59	928.3	124.37	125.24	366.09	420.68	90.77	113.56	129.69	72.01	67.12	166.73	59.13	129.69	91.41	103.69	151.22	63.45	138.1	74.58	65.72	53.95	53.19	57.08	63.89	236.21	423.61	579.04	836.53	808.0	229.72	723.08	693.58	493.56	218.79	358.54	226.54	316.37	547.75	547.75	884.29	426.57	441.64	258.57	791.35	241.19	327.56	301.33	612.11	796.86	902.89
