	GTEX.132AR.0826.SM.5EGK6	GTEX.13OVI.1126.SM.5KLZF	TCGA.B2.4098.01A.02R.1325.07	TCGA.A3.3317.01A.02R.1325.07	TCGA.PJ.A5Z9.01A.11R.A28H.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.EV.5902.01A.11R.1592.07	TCGA.UN.AAZ9.01A.11R.A38C.07	TCGA.B3.3926.01A.02R.1351.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.A4.8098.01A.11R.2404.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.B9.4117.01A.02R.1351.07	TCGA.GL.8500.01A.11R.2404.07	TCGA.A4.8630.01A.11R.2404.07	TCGA.A4.8310.01A.11R.2404.07	TCGA.A4.7996.01A.11R.2204.07	TCGA.F9.A7Q0.01A.11R.A36F.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.B9.A5W8.01A.11R.A28H.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.KV.A74V.01A.11R.A33Z.07	TCGA.GL.A59T.01A.21R.A28H.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.Y8.A895.01A.11R.A36F.07	TCGA.DD.A3A8.11A.11R.A22L.07
AHCYL2	175.07	525.39	368.65	483.38	191.67	305.55	269.6	551.56	674.59	208.38	209.84	255.0	348.71	454.09	406.31	320.8	248.0	358.54	493.56	201.25	341.51	197.09	241.19	165.57	164.42	152.28	199.85	78.89
ALDH1A3	1127.35	529.06	571.05	1277.29	143.01	435.55	591.22	555.41	665.29	65.72	11.55	441.64	414.87	1051.79	339.14	490.14	361.04	460.44	202.66	193.01	171.45	69.03	438.59	52.82	87.65	223.41	113.56	25.54
ANKHD1	759.08	2434.5	1268.46	2178.83	366.09	470.14	1628.26	1081.39	1529.73	536.45	466.88	1806.78	529.06	1806.78	679.29	947.83	698.41	1096.5	1008.9	791.35	612.11	289.02	620.67	571.05	323.03	423.61	819.3	426.57
APC	242.88	332.14	132.44	273.37	41.52	66.65	177.53	190.34	320.8	70.51	40.07	241.19	55.1	229.72	129.69	140.04	95.34	165.57	125.24	68.07	85.82	15.8	57.49	41.52	42.71	31.22	52.08	21.01
ARHGAP26	73.03	229.72	281.09	486.75	88.26	137.14	358.54	285.03	423.61	100.83	133.36	420.68	106.63	327.56	215.77	146.03	121.79	351.14	154.42	108.9	167.9	80.01	78.89	63.0	151.22	98.73	177.53	51.71
ATL1	108.14	371.22	217.27	117.6	185.11	89.51	262.2	381.68	376.41	50.98	76.71	182.55	133.36	262.2	173.85	183.82	135.24	165.57	209.84	83.45	170.25	67.59	98.73	163.28	105.15	42.71	125.24	7.75
ATM	444.72	878.17	563.18	642.59	102.25	127.0	336.79	490.14	764.36	110.43	92.7	366.09	131.51	775.05	237.86	363.56	231.32	514.56	329.84	195.72	159.9	26.28	97.36	86.43	119.26	70.51	232.94	66.18
BHLHE41	346.29	1529.73	1304.15	1529.73	277.2	447.82	1030.12	1605.83	1066.48	514.56	503.95	1151.06	289.02	629.35	532.74	808.0	785.88	616.37	171.45	301.33	988.12	255.0	373.81	151.22	647.07	884.29	387.02	28.24
BTBD18	0.56	1.64	0.87	2.53	0.0	0.83	0.92	1.27	2.94	0.51	0.0	0.4	0.0	3.76	0.65	0.35	0.61	0.99	1.57	0.0	1.95	0.0	0.4	0.31	0.0	0.0	1.58	0.0
C21orf62	1.53	191.67	53.95	860.08	60.39	49.56	118.43	567.1	447.82	170.25	183.82	130.6	22.43	82.29	289.02	201.25	518.15	638.15	221.86	36.53	126.12	54.33	110.43	35.5	102.25	56.28	65.26	3.26
