	TCGA.B8.A54K.01A.11R.A33J.07	TCGA.BP.4760.01A.02R.1420.07	TCGA.B4.5378.01A.01R.1503.07	TCGA.DV.5567.01A.01R.1541.07	TCGA.BP.4177.01A.02R.1420.07	TCGA.2Z.A9J9.01A.11R.A42S.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZAB5.0426.SM.5CVMI	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QV44.0326.SM.4R1KD	GTEX.QESD.2026.SM.447BI	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.14753.1626.SM.5NQ9L	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EL.A3CX.01A.11R.A19O.07	TCGA.ET.A39J.01A.11R.A19O.07	TCGA.DJ.A2PU.01A.12R.A19O.07	TCGA.L6.A4EQ.01A.11R.A250.07	TCGA.ET.A3BW.01A.11R.A19O.07	TCGA.DJ.A3UU.01A.11R.A22L.07	GTEX.13YAN.0926.SM.5O9C3
ABHD4	1467.37	967.76	941.27	1127.35	967.76	854.13	236.21	395.18	339.14	223.41	480.04	373.81	483.38	351.14	346.29	480.04	299.25	463.65	341.51	341.51	275.28	234.57	0.0	0.89	1135.2	1268.46	967.76	1304.15	665.29	909.17	529.06
AC011897.1	120.94	30.78	89.51	70.01	64.34	137.14	3.08	3.99	3.66	6.11	0.52	4.43	2.63	4.98	3.35	2.97	16.51	2.66	3.03	5.92	0.09	0.88	0.0	0.41	241.19	84.04	75.64	70.51	124.37	76.71	38.95
AGPAT1	1477.58	1674.06	1662.49	2004.85	1794.29	1639.59	830.75	836.53	514.56	1037.29	915.51	780.44	860.08	738.29	583.07	1322.37	896.64	1950.0	738.29	743.43	1051.79	500.46	1991.0	466.88	2240.11	1662.49	1963.57	1896.65	1685.71	1617.0	1378.57
ANKRD11	1119.56	802.41	1143.1	1159.07	1088.92	1030.12	348.71	363.56	291.04	307.69	441.64	379.04	466.88	309.83	358.54	358.54	366.09	384.34	239.52	483.38	346.29	470.14	0.0	0.93	1066.48	947.83	1066.48	988.12	1073.91	988.12	947.83
APBB1	909.17	830.75	860.08	1030.12	780.44	872.1	101.54	163.28	107.38	89.51	163.28	75.11	100.13	50.27	146.03	85.22	111.21	155.5	81.71	211.31	96.01	80.01	0.0	0.72	708.18	866.07	825.0	860.08	896.64	890.44	961.07
ARL3	371.22	363.56	323.03	363.56	423.61	429.54	175.07	133.36	128.79	182.55	163.28	180.02	193.01	170.25	67.12	169.07	134.3	96.01	77.25	77.25	108.9	77.79	167.9	103.69	587.13	327.56	283.05	343.89	346.29	363.56	273.37
ASB12	10.63	6.46	5.73	4.98	9.34	5.32	0.0	2.43	3.63	2.51	4.21	0.0	5.28	1.64	0.0	3.2	3.35	0.0	0.0	0.0	0.0	4.31	0.0	0.0	17.9	7.82	11.73	15.11	0.0	9.85	0.0
C17orf100	59.97	27.84	59.55	45.53	50.98	42.41	16.27	0.0	19.11	5.15	27.64	18.84	13.83	8.32	8.71	10.08	0.0	6.78	12.0	39.5	42.41	19.11	0.0	0.0	61.68	53.57	47.84	67.12	45.53	51.71	37.59
C17orf107	199.85	121.79	194.36	208.38	111.21	173.85	31.45	55.1	66.65	54.33	44.25	96.01	28.86	47.84	76.17	60.82	34.02	14.24	55.89	80.57	45.21	29.27	0.0	0.23	215.77	147.06	190.34	136.19	147.06	153.34	28.86
C5AR2	72.01	40.93	102.97	137.14	30.78	106.63	47.84	26.47	24.46	6.62	55.89	29.7	45.53	11.91	27.05	37.85	63.89	14.56	16.63	32.13	4.62	25.72	0.0	0.53	258.57	66.18	18.56	6.89	37.85	115.97	20.11
C5orf54	181.28	66.18	105.89	64.8	126.12	155.5	20.11	18.7	23.08	19.25	16.63	19.68	12.18	13.32	8.0	14.89	12.74	13.03	11.82	5.41	34.26	2.78	0.0	0.0	167.9	97.36	96.01	113.56	151.22	118.43	127.89
CCDC115	1936.53	1583.71	1769.57	1857.6	2032.85	2271.4	406.31	842.36	307.69	603.67	620.67	429.54	603.67	435.55	521.76	536.45	587.13	555.41	432.53	281.09	660.68	275.28	0.0	0.07	1781.89	954.43	1088.92	1143.1	1167.14	921.88	854.13
COX6B2	68.07	4.46	19.11	1.13	15.8	31.45	0.0	0.35	0.0	0.0	0.09	0.0	0.09	6.26	0.29	0.08	0.0	3.32	0.0	0.31	1.0	0.0	0.0	0.56	119.26	3.5	2.51	52.45	1.97	5.19	3.53
CTD-2260A17.2	36.01	20.71	19.97	34.26	35.0	36.79	25.35	21.47	10.55	11.04	14.89	22.92	11.55	24.99	13.72	12.0	9.27	29.7	5.06	5.06	18.29	8.99	0.0	0.1	43.32	31.0	36.01	43.63	40.93	34.75	34.26
CTD-2600O9.1	177.53	71.5	102.25	127.0	65.72	99.43	19.53	15.11	6.41	18.56	8.19	4.13	2.43	5.11	16.39	13.42	48.18	56.68	20.26	7.4	0.99	3.17	0.0	0.0	82.87	55.1	94.67	137.14	64.34	80.01	8.92
DNASE1L1	1030.12	785.88	753.83	967.76	819.3	981.29	229.72	536.45	348.71	186.4	231.32	202.66	493.56	343.89	120.1	246.28	470.14	175.07	177.53	209.84	327.56	229.72	0.0	0.47	1037.29	981.29	1023.0	988.12	860.08	878.17	830.75
DSTYK	229.72	218.79	265.87	285.03	223.41	214.27	23.59	28.86	32.82	32.82	43.32	26.1	21.32	36.53	20.56	23.42	27.25	10.24	11.73	10.24	37.05	1.89	85.82	105.89	583.07	178.77	193.01	145.02	241.19	215.77	163.28
