	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.K4.A54R.01A.11R.A26T.07	TCGA.DK.A3IQ.01A.31R.A32Y.07	TCGA.GU.A42Q.01A.11R.A23W.07	TCGA.ZF.AA4R.01A.11R.A38B.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.A1.A0SI.01A.11R.A144.07	TCGA.LL.A440.01A.11R.A24H.07	TCGA.AC.A23G.01A.11R.A213.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.AR.A2LQ.01A.22R.A18M.07	TCGA.BH.A0H7.01A.13R.A056.07	GTEX.TML8.0726.SM.4DXTT	TCGA.WS.AB45.01A.11R.A41B.07	TCGA.A6.5665.01A.01R.1653.07	TCGA.CV.7435.01A.11R.2132.07	TCGA.CN.6016.01A.11R.1686.07	TCGA.BB.A5HU.01A.11R.A28V.07	TCGA.CR.7376.01A.11R.2132.07	TCGA.IQ.A61O.01A.11R.A30B.07	TCGA.CR.7367.01A.11R.2016.07	TCGA.HD.7831.01A.11R.2132.07	TCGA.CN.6019.01A.11R.1686.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CR.7397.01A.11R.2016.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.85.6175.01A.11R.1820.07	TCGA.77.8008.01A.21R.2187.07	TCGA.BR.A4IZ.01A.32R.A251.31	GTEX.12WSB.0726.SM.5N9GD
ABI3BP	1572.76	41.52	447.82	26.86	59.55	878.17	460.44	1963.57	447.82	429.54	1183.45	173.85	10440.2	358.54	31.45	221.86	194.36	32.13	1963.57	1857.6	348.71	127.0	669.92	14.24	466.88	0.0	0.61	723.08	279.14	4481.23	4639.29
ACVRL1	1369.04	183.82	669.92	29.27	162.14	563.18	271.48	728.11	836.53	226.54	529.06	269.6	679.29	890.44	156.59	271.48	429.54	108.9	543.96	318.57	323.03	457.25	493.56	63.89	444.72	0.0	0.65	454.09	493.56	842.36	698.41
ADAM33	733.19	30.56	460.44	18.16	77.79	145.02	82.29	941.27	102.25	99.43	182.55	59.13	1331.57	220.32	18.16	28.65	84.63	63.45	127.89	59.97	75.11	50.27	119.26	17.0	74.58	0.0	0.84	107.38	90.77	802.41	299.25
ADCY4	493.56	26.28	137.14	26.28	64.8	171.45	75.64	813.63	228.13	57.89	381.68	55.89	470.14	1104.13	83.45	42.71	73.03	35.5	115.16	134.3	105.15	67.59	148.09	24.46	115.16	0.0	0.82	76.71	100.83	441.64	1397.83
ANK2	1757.34	14.24	138.1	10.0	27.84	275.28	156.59	718.08	183.82	112.77	607.87	77.79	7966.99	113.56	10.31	68.07	211.31	7.82	426.57	43.32	64.34	53.95	191.67	7.46	180.02	0.0	0.2	101.54	30.56	325.29	320.8
APLNR	511.0	63.45	239.52	24.11	59.55	329.84	283.05	392.44	848.22	258.57	473.41	205.5	220.32	2240.11	10.16	123.5	161.02	26.47	441.64	195.72	186.4	187.71	339.14	4.86	384.34	0.0	0.0	202.66	97.36	1167.14	303.44
ARHGEF15	796.86	23.59	178.77	9.48	27.84	346.29	100.83	575.03	483.38	108.14	536.45	86.43	400.71	872.1	37.59	68.55	111.21	17.38	234.57	108.14	86.43	106.63	178.77	4.35	170.25	0.0	0.29	94.67	71.0	624.99	417.77
ARHGEF40	802.41	420.68	928.3	77.79	432.53	665.29	540.19	1008.9	748.61	633.73	808.0	450.94	2090.03	780.44	303.44	376.41	954.43	521.76	629.35	1111.82	312.0	1135.2	587.13	178.77	384.34	0.0	0.8	961.07	563.18	988.12	866.07
BCL6B	642.59	50.98	191.67	11.64	80.57	417.77	175.07	447.82	423.61	118.43	395.18	109.66	387.02	733.19	16.03	112.77	177.53	37.32	264.03	339.14	105.15	182.55	237.86	10.39	293.07	0.0	0.06	119.26	149.12	547.75	242.88
C1orf54	2645.74	389.72	612.11	80.57	327.56	1159.07	389.72	743.43	764.36	314.17	679.29	454.09	1127.35	1104.13	166.73	435.55	656.11	265.87	607.87	967.76	202.66	612.11	1191.69	133.36	503.95	0.0	0.2	642.59	511.0	928.3	1397.83
