	TCGA.AR.A2LH.01A.31R.A18M.07	TCGA.BH.A1EV.01A.11R.A137.07	TCGA.A7.A2KD.01A.31R.A21T.07	TCGA.D8.A27T.01A.11R.A16F.07	GTEX.S341.1326.SM.4AD72	TCGA.CV.6938.01A.11R.1915.07	TCGA.CV.7434.01A.11R.2132.07	TCGA.38.4625.01A.01R.1206.07
AC018755.1	10.71	15.45	26.28	21.32	31.0	1.64	1.3	0.0
ADAMTS19	0.0	14.24	67.59	2.16	291.04	0.0	0.0	0.0
AGAP5	56.28	105.89	126.12	82.87	195.72	17.38	15.45	0.0
AL589739.1	2.71	36.79	39.79	14.78	100.13	0.0	0.0	0.0
AQP8	2.53	2.97	6.62	2.71	27.44	1.16	0.43	0.0
ARMC12	6.84	13.42	20.86	8.06	17.25	1.33	2.14	0.0
ARMC3	26.1	127.89	244.57	36.53	220434.95	0.0	0.0	0.0
ATP7A	123.5	146.03	189.02	151.22	154.42	47.17	32.13	42.71
BBS5	88.26	161.02	262.2	161.02	281.09	35.76	21.16	0.0
C19orf44	67.59	128.79	221.86	146.03	291.04	52.08	35.76	0.0
C1orf194	7.75	36.27	52.45	15.8	3134925.09	0.0	0.0	0.0
C20orf85	1.35	27.05	20.26	10.31	4223476.69	0.0	0.49	0.0
C5orf49	57.49	177.53	297.17	148.09	139508.13	1.45	1.13	0.0
C9orf117	38.67	113.56	102.25	108.9	59474.18	20.26	31.67	0.0
C9orf163	9.78	15.34	49.56	7.94	24.63	2.01	2.41	0.0
CAPSL	3.63	46.18	102.97	9.34	677564.08	0.0	0.45	0.0
CASC1	18.16	106.63	146.03	54.72	1617.0	15.0	0.0	0.0
CCDC103	67.12	186.4	289.02	153.34	616.37	47.17	27.84	0.0
CCDC114	2.18	50.27	44.89	15.45	20030.74	0.83	0.48	0.0
CCDC157	58.3	133.36	180.02	100.13	1066.48	15.11	22.75	0.0
CCDC180	45.21	49.91	75.11	41.81	511.0	3.11	7.17	0.0
CHIC1	48.52	96.01	145.02	97.36	258.57	5.73	34.02	59.55
CYBRD1	1639.59	3257.52	5517.27	4769.75	5711.87	104.42	212.78	0.0
DHX40	460.44	1242.34	1151.06	571.05	1151.06	251.48	232.94	0.0
DNAAF1	17.77	84.04	92.05	58.3	72213.45	4.82	3.47	0.0
