	TCGA.GU.A766.01A.11R.A32O.07	TCGA.AO.A128.01A.11R.A10J.07	TCGA.BH.A0B9.01A.11R.A056.07	TCGA.AR.A0U4.01A.11R.A109.07	TCGA.BH.A18V.01A.11R.A12D.07	TCGA.E9.A3QA.01A.61R.A22K.07	TCGA.C8.A12K.01A.21R.A115.07	TCGA.EW.A1PB.01A.11R.A144.07	TCGA.E2.A1II.01A.11R.A144.07	TCGA.3X.AAVE.01A.11R.A41I.07	TCGA.W5.AA38.01A.11R.A41I.07	TCGA.W5.AA30.01A.31R.A41I.07	TCGA.ZH.A8Y1.01A.11R.A41I.07	TCGA.W5.AA2U.01A.11R.A41I.07	TCGA.B8.5164.01A.01R.1420.07	TCGA.BP.4346.01A.01R.1289.07	TCGA.B8.A54G.01A.11R.A266.07	TCGA.CJ.4888.01A.01R.1305.07	TCGA.BP.4173.01A.02R.1289.07	TCGA.B0.5709.01A.11R.1541.07	TCGA.AK.3455.01A.01R.0864.07	TCGA.CZ.5452.01A.01R.1503.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.CZ.4864.01A.01R.1503.07	TCGA.CJ.4640.01A.02R.1325.07	TCGA.AL.3473.01A.01R.1193.07	TCGA.DD.AAVY.01A.11R.A41C.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.BC.A10W.01A.11R.A131.07	TCGA.FV.A23B.01A.11R.A16W.07	TCGA.ED.A8O6.01A.11R.A36F.07	TCGA.DD.AAVS.01A.11R.A41C.07	TCGA.BW.A5NQ.01A.11R.A27V.07	TCGA.2Y.A9H8.01A.11R.A39D.07	TCGA.DD.A4NG.01A.11R.A27V.07	TCGA.RG.A7D4.01A.12R.A33R.07	TCGA.DD.AAVR.01A.11R.A41C.07	TCGA.EP.A3RK.01A.11R.A22L.07	TCGA.DD.A4NR.01A.11R.A311.07	TCGA.DD.A11A.01A.11R.A131.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.DD.AAVQ.01A.11R.A41C.07	TCGA.G3.A25Y.01A.11R.A16W.07	TCGA.DD.A114.01A.11R.A131.07	TCGA.2Y.A9H2.01A.12R.A38B.07	TCGA.BC.A112.01A.11R.A131.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.ZP.A9D1.01A.11R.A38B.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.G3.A3CH.01A.11R.A22L.07	TCGA.2V.A95S.01A.11R.A37K.07	TCGA.ED.A459.01A.11R.A266.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.UB.A7MF.01A.11R.A33J.07	TCGA.G3.A3CG.01A.11R.A213.07	TCGA.2Y.A9H5.01A.11R.A38B.07	TCGA.XR.A8TC.01A.11R.A36F.07	TCGA.DD.AAVV.01A.11R.A41C.07	TCGA.DD.AACV.01A.11R.A41C.07	TCGA.DD.AACU.01A.11R.A41C.07	TCGA.CC.A1HT.01A.11R.A131.07	TCGA.EP.A2KA.01A.11R.A180.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.DD.AACF.01A.11R.A41C.07	TCGA.ZS.A9CE.01A.11R.A37K.07	TCGA.BC.A8YO.01A.11R.A37K.07	TCGA.FV.A3I0.01A.11R.A22L.07	GTEX.13SLX.1226.SM.5S2Q6	GTEX.Q734.0326.SM.48U15	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.50.6592.01A.11R.1755.07	TCGA.77.A5GH.01A.11R.A27Q.07	TCGA.37.4130.01A.01R.1100.07	TCGA.56.8307.01A.11R.2296.07	TCGA.HC.7079.01A.11R.1965.07	TCGA.B7.A5TK.01A.12R.A36D.31	GTEX.WHPG.0426.SM.4M1XW
AFAP1	260.38	299.25	223.41	186.4	285.03	172.65	297.17	111.21	249.73	303.44	29.91	229.72	325.29	125.24	197.09	212.78	84.63	325.29	348.71	507.46	93.35	144.01	111.21	189.02	145.02	48.87	9.13	47.17	36.79	63.89	28.04	31.67	82.87	19.39	21.01	20.11	29.27	53.95	22.1	69.52	15.68	45.85	49.91	39.5	84.63	111.99	169.07	65.72	39.22	2.97	75.11	12.64	33.54	27.84	34.75	32.13	24.11	23.25	105.15	64.34	61.25	9.2	43.63	166.73	29.7	12.74	24.46	7.69	33.54	209.84	24.46	90.77	0.0	0.43	389.72	532.74	45.53	264.03	239.52	426.57	251.48
AKT3	142.01	87.03	217.27	2224.63	1023.0	616.37	796.86	688.78	412.0	293.07	50.27	208.38	102.97	92.7	656.11	417.77	197.09	466.88	500.46	708.18	242.88	414.87	403.5	848.22	836.53	143.01	20.26	76.17	34.02	106.63	71.5	23.42	30.34	20.41	17.9	47.17	19.25	48.87	24.99	43.63	39.79	36.53	42.11	32.59	52.08	295.11	236.21	177.53	22.75	7.82	141.02	27.84	41.81	19.53	52.08	45.21	11.82	52.82	65.26	29.48	54.33	9.48	20.86	69.03	17.77	17.13	13.03	16.03	143.01	58.3	46.84	111.21	0.0	0.59	149.12	825.0	55.89	591.22	316.37	412.0	115.97
ALDH1L2	65.72	29.27	81.14	116.78	688.78	85.22	57.49	76.71	170.25	12.45	1.45	20.26	23.93	21.94	11.73	21.78	3.89	185.11	22.1	50.27	11.55	6.67	23.76	20.86	11.47	2.23	0.0	8.06	5.92	5.45	2.56	3.29	4.1	5.28	2.48	4.7	7.28	8.13	4.58	15.68	3.59	5.5	7.46	4.94	7.28	25.54	5.68	15.91	3.26	0.6	10.0	0.6	5.59	3.0	4.24	6.78	1.46	4.5	7.57	5.36	6.01	1.04	3.96	10.71	1.55	3.38	0.62	0.67	3.32	11.04	1.48	14.56	0.0	0.57	158.79	133.36	21.32	16.03	51.35	79.45	26.28
ARHGAP31	60.39	316.37	82.87	518.15	202.66	255.0	234.57	148.09	217.27	60.82	10.31	58.71	59.55	49.91	329.84	191.67	99.43	182.55	323.03	336.79	91.41	125.24	178.77	237.86	289.02	59.55	17.64	41.22	36.01	37.85	36.53	11.21	19.82	21.01	8.65	19.82	13.62	46.5	28.45	39.22	32.36	21.47	19.11	34.02	29.7	127.0	27.44	41.22	24.99	5.5	49.21	10.96	38.12	20.11	11.73	33.54	17.64	22.43	33.54	28.45	48.52	10.79	24.63	68.55	11.21	11.04	12.83	9.48	32.59	13.83	17.51	69.03	0.0	0.32	90.14	293.07	25.54	202.66	197.09	92.7	105.15
ARHGEF10	92.05	194.36	241.19	713.11	211.31	279.14	376.41	137.14	94.67	444.72	127.89	180.02	325.29	231.32	236.21	460.44	381.68	195.72	476.71	555.41	191.67	271.48	100.83	567.1	191.67	258.57	20.26	48.18	39.22	35.5	41.22	24.81	31.67	25.72	34.26	36.01	20.56	67.12	31.9	47.17	36.01	34.02	43.32	39.22	84.63	85.22	148.09	46.84	24.63	10.0	57.49	27.05	119.26	17.13	23.59	46.5	20.71	25.91	63.45	30.34	48.87	12.45	29.91	27.84	26.67	19.53	15.91	32.59	27.64	75.11	36.01	100.13	0.0	0.73	323.03	273.37	86.43	305.55	267.73	248.0	26.67
BBS5	63.0	95.34	39.22	108.9	60.82	57.89	67.59	49.56	67.59	117.6	22.59	190.34	92.7	21.16	123.5	104.42	66.18	78.89	90.14	58.71	90.77	115.16	143.01	131.51	92.05	72.01	13.42	18.03	14.56	29.7	84.04	16.39	74.06	55.49	9.06	8.32	61.68	30.34	16.27	46.5	12.18	25.17	27.25	55.1	53.95	46.84	128.79	41.81	24.11	22.43	54.72	10.16	11.13	11.55	15.68	26.28	18.43	20.11	26.1	27.25	46.5	7.4	18.43	68.07	8.32	8.85	29.27	6.11	31.45	53.57	12.64	21.01	0.0	0.43	62.56	72.01	18.7	96.68	144.01	44.89	72.01
C11orf63	80.01	28.04	27.84	15.56	59.97	75.64	22.59	69.52	22.59	65.72	3.23	16.88	34.26	30.56	44.89	113.56	51.71	67.59	75.64	96.01	76.71	38.4	78.89	141.02	149.12	45.53	2.78	8.65	7.57	4.9	5.92	3.11	4.39	5.28	2.43	4.35	4.78	13.42	10.79	8.13	2.29	2.92	5.92	9.93	15.11	19.25	12.0	9.56	6.94	0.42	7.28	3.44	6.16	8.58	3.89	9.06	3.92	4.46	9.7	4.86	8.06	1.17	3.0	9.27	3.47	1.64	2.94	0.0	5.59	21.01	10.24	21.01	0.0	0.27	87.65	38.67	10.08	7.63	82.29	27.44	25.54
C2orf73	0.3	0.27	1.87	8.99	2.86	0.89	6.62	1.07	0.0	0.35	0.0	10.63	9.7	7.28	17.77	30.78	21.63	4.82	16.75	11.64	57.08	1.73	16.03	20.86	33.78	22.75	0.0	0.85	0.0	1.35	0.84	0.0	0.0	0.0	0.0	0.0	1.51	2.39	2.12	0.38	0.0	1.83	0.0	0.0	0.0	2.61	1.64	7.57	0.0	0.0	0.42	0.0	1.62	0.0	0.0	0.43	1.1	0.0	0.0	0.4	2.58	0.0	0.0	0.6	0.0	0.95	0.0	0.0	1.04	5.19	0.0	2.73	0.0	0.0	8.06	2.58	0.14	1.11	3.56	5.15	0.0
CBL	71.5	135.24	107.38	140.04	151.22	93.35	65.26	58.71	104.42	86.43	42.71	74.58	124.37	86.43	275.28	148.09	126.12	129.69	249.73	211.31	62.12	124.37	96.01	172.65	116.78	47.84	15.8	34.51	38.12	85.22	64.8	36.01	38.12	56.28	20.71	36.01	33.06	24.63	38.95	55.89	21.94	26.1	37.32	39.22	64.34	82.29	53.19	75.11	20.71	10.47	53.57	14.24	36.79	40.36	40.36	30.78	24.99	35.25	67.12	41.81	37.85	11.13	26.47	79.45	24.63	42.11	16.63	16.88	75.11	57.08	17.51	66.18	0.0	0.46	137.14	147.06	52.82	114.36	194.36	104.42	80.01
CEP135	36.53	142.01	70.51	131.51	82.87	107.38	218.79	50.63	142.01	55.49	13.12	63.89	98.73	64.8	62.12	115.16	69.03	90.77	99.43	92.7	85.22	77.79	57.08	81.71	52.08	38.4	7.69	25.91	19.25	38.4	28.04	16.15	18.7	31.0	12.93	25.54	26.28	23.08	22.59	48.87	16.39	13.93	12.55	16.75	24.11	43.63	35.25	50.27	11.64	5.59	29.06	15.22	17.13	23.93	15.45	17.9	18.43	15.0	29.91	27.84	15.11	20.26	13.52	47.84	33.54	29.91	9.85	8.92	48.87	21.32	20.71	25.72	0.0	0.51	90.77	303.44	64.34	332.14	113.56	68.07	52.45
