	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.A3.A6NL.01A.11R.A33J.07	TCGA.B4.5836.01A.11R.1672.07	TCGA.BP.5186.01A.01R.1426.07	TCGA.CJ.4644.01A.02R.1325.07	TCGA.DV.5569.01A.01R.1541.07	TCGA.B0.5694.01A.11R.1541.07	TCGA.CW.5588.01A.01R.1541.07	TCGA.CZ.5987.01A.11R.1672.07	TCGA.BP.5177.01A.01R.1426.07	TCGA.CJ.5684.01A.11R.1541.07	TCGA.B0.4818.01A.01R.1503.07	TCGA.BP.4988.01A.01R.1334.07	TCGA.CZ.5458.01A.01R.1503.07	TCGA.BP.5174.01A.01R.1426.07	TCGA.CJ.4874.01A.01R.1305.07	TCGA.BP.5199.01A.01R.1426.07	TCGA.BP.4762.01A.02R.1289.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.BP.4341.01A.01R.1289.07	TCGA.BP.5194.01A.02R.1426.07	TCGA.B8.4154.01A.01R.1188.07	TCGA.B0.4827.01A.02R.1420.07	TCGA.BP.4338.01A.01R.1289.07	TCGA.BP.4343.01A.02R.1289.07	TCGA.CJ.5679.01A.11R.1541.07	TCGA.CJ.4870.01A.01R.1305.07	TCGA.AK.3444.01A.02R.1325.07	TCGA.B2.5635.01A.01R.1541.07	TCGA.CJ.5677.01A.11R.1541.07	TCGA.3Z.A93Z.01A.11R.A37O.07	TCGA.B8.A7U6.01A.12R.A37O.07	TCGA.BP.4355.01A.01R.1289.07	TCGA.A3.A8OU.01A.11R.A37O.07	TCGA.AK.3434.01A.02R.1277.07	TCGA.CJ.4892.01A.01R.1305.07	TCGA.A3.A8OW.01A.11R.A37O.07	TCGA.BP.5184.01A.01R.1426.07	TCGA.BP.5201.01A.01R.1426.07	TCGA.BP.4335.01A.01R.1289.07	TCGA.BP.4327.01A.01R.1289.07	TCGA.B0.5696.01A.11R.1541.07	TCGA.B0.4828.01A.01R.1277.07	TCGA.B8.A54I.01A.21R.A33J.07	TCGA.B0.4823.01A.02R.1420.07	TCGA.AK.3428.01A.02R.1277.07	TCGA.B8.A54F.01A.11R.A266.07	TCGA.CZ.5468.01A.01R.1503.07	TCGA.BP.4807.01A.01R.1305.07	TCGA.BP.4804.01A.02R.1305.07	TCGA.BP.4349.01A.01R.1289.07	TCGA.B0.5092.01A.01R.1420.07	TCGA.BP.5007.01A.01R.1334.07	TCGA.A3.A6NI.01A.11R.A33J.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.B4.5838.01A.11R.1672.07	TCGA.CJ.6033.01A.11R.1672.07	TCGA.BP.5181.01A.01R.1426.07	TCGA.B0.4691.01A.01R.1277.07	TCGA.B0.5116.01A.02R.1420.07	TCGA.BP.4165.01A.02R.1289.07	TCGA.BP.4351.01A.01R.1289.07	TCGA.B0.4714.01A.01R.1277.07	TCGA.CJ.5683.01A.11R.1541.07	TCGA.BP.5183.01A.01R.1426.07	TCGA.B0.5095.01A.01R.1420.07	TCGA.BP.4985.01A.01R.1334.07	TCGA.B0.5096.01A.01R.1420.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.CZ.4856.01A.02R.1426.07	TCGA.MM.A563.01A.11R.A266.07	TCGA.CZ.5466.01A.01R.1503.07	TCGA.B0.4706.01A.01R.1503.07	TCGA.B8.5549.01A.01R.1541.07	TCGA.BP.5192.01A.01R.1426.07	TCGA.CJ.4923.01A.01R.1426.07	TCGA.AK.3436.01A.02R.1325.07	TCGA.B0.4810.01A.01R.1503.07	TCGA.CJ.4912.01A.01R.1426.07	TCGA.CJ.4871.01A.01R.1305.07	TCGA.B0.4707.01A.01R.1277.07	TCGA.EU.5904.01A.11R.1672.07	TCGA.BP.5196.01A.01R.1426.07	GTEX.ZQG8.2126.SM.4YCF1
ACD	314.17	476.71	305.55	435.55	297.17	379.04	412.0	432.53	409.15	457.25	447.82	412.0	688.78	429.54	371.22	320.8	665.29	392.44	525.39	743.43	343.89	325.29	323.03	271.48	285.03	403.5	417.77	341.51	493.56	420.68	514.56	603.67	638.15	503.95	567.1	507.46	454.09	412.0	551.56	540.19	718.08	447.82	693.58	536.45	348.71	420.68	579.04	363.56	339.14	583.07	579.04	624.99	551.56	536.45	450.94	346.29	423.61	441.64	599.49	368.65	698.41	660.68	571.05	514.56	493.56	438.59	249.73	234.57	575.03	316.37	651.58	397.93	764.36	371.22	400.71	547.75	540.19	579.04	525.39	409.15	802.41	480.04	493.56	158.79
ADCK5	190.34	143.01	63.89	67.12	63.45	76.71	84.63	71.5	84.63	131.51	74.58	120.1	281.09	63.0	99.43	53.57	159.9	72.52	145.02	198.47	53.57	110.43	69.52	153.34	44.89	90.14	73.54	82.29	108.9	98.04	151.22	137.14	177.53	189.02	111.99	149.12	154.42	67.59	94.01	147.06	185.11	78.89	214.27	215.77	63.0	39.22	198.47	275.28	63.0	115.16	171.45	217.27	122.64	120.94	90.14	32.13	88.88	71.5	148.09	59.55	148.09	193.01	215.77	87.03	115.97	164.42	63.45	43.94	141.02	74.58	166.73	151.22	218.79	46.84	57.08	189.02	110.43	169.07	241.19	49.21	182.55	88.26	126.12	146.03
AGAP6	49.21	191.67	30.34	72.52	11.64	40.07	66.18	16.75	71.0	81.71	37.05	190.34	825.0	41.22	110.43	21.16	255.0	21.16	121.79	389.72	47.17	62.56	20.11	40.07	29.06	68.07	29.48	67.12	125.24	90.14	111.21	152.28	480.04	163.28	92.7	253.23	176.29	45.21	138.1	423.61	299.25	21.63	275.28	265.87	19.39	31.67	185.11	138.1	28.65	146.03	379.04	392.44	164.42	162.14	96.01	14.14	65.72	26.86	194.36	37.32	215.77	500.46	480.04	63.0	125.24	267.73	55.89	49.56	379.04	20.71	309.83	40.36	260.38	16.63	34.02	275.28	46.5	181.28	358.54	26.86	271.48	51.35	112.77	7.46
AKAP17A	187.71	356.05	114.36	178.77	122.64	152.28	134.3	62.12	186.4	202.66	142.01	320.8	878.17	131.51	152.28	92.7	348.71	62.56	115.16	329.84	111.21	109.66	119.26	77.79	43.32	101.54	106.63	123.5	191.67	189.02	226.54	356.05	497.0	409.15	151.22	309.83	420.68	127.0	307.69	460.44	392.44	106.63	236.21	339.14	74.58	100.13	463.65	164.42	99.43	237.86	379.04	454.09	327.56	358.54	180.02	68.07	159.9	119.26	273.37	87.03	314.17	616.37	480.04	117.6	244.57	363.56	140.04	127.89	329.84	84.04	376.41	178.77	409.15	84.63	166.73	444.72	96.68	307.69	371.22	105.89	299.25	212.78	180.02	49.56
ALKBH6	287.01	438.59	217.27	260.38	181.28	204.07	307.69	135.24	234.57	307.69	193.01	406.31	866.07	316.37	237.86	201.25	447.82	186.4	454.09	551.56	239.52	287.01	150.17	149.12	124.37	285.03	241.19	151.22	303.44	277.2	371.22	417.77	497.0	511.0	325.29	466.88	341.51	236.21	368.65	543.96	463.65	214.27	490.14	356.05	161.02	211.31	381.68	204.07	189.02	332.14	466.88	500.46	514.56	373.81	271.48	147.06	293.07	265.87	334.46	193.01	450.94	656.11	624.99	309.83	293.07	281.09	163.28	164.42	547.75	241.19	642.59	215.77	575.03	156.59	260.38	371.22	212.78	567.1	493.56	177.53	406.31	209.84	341.51	136.19
ANAPC2	381.68	808.0	339.14	620.67	348.71	414.87	303.44	336.79	239.52	521.76	438.59	703.28	1437.15	555.41	507.46	403.5	775.05	409.15	575.03	1111.82	420.68	281.09	466.88	339.14	206.94	303.44	579.04	426.57	669.92	244.57	647.07	819.3	890.44	1008.9	575.03	802.41	890.44	460.44	483.38	928.3	961.07	279.14	915.51	620.67	348.71	334.46	825.0	529.06	379.04	599.49	842.36	896.64	713.11	791.35	476.71	231.32	295.11	521.76	361.04	325.29	825.0	872.1	1051.79	540.19	376.41	551.56	262.2	171.45	967.76	486.75	575.03	353.59	1073.91	289.02	536.45	743.43	301.33	775.05	525.39	301.33	518.15	507.46	460.44	147.06
APBB3	189.02	708.18	161.02	305.55	134.3	236.21	376.41	170.25	277.2	327.56	221.86	647.07	2417.67	301.33	158.79	182.55	551.56	182.55	836.53	1199.98	178.77	444.72	118.43	195.72	172.65	307.69	142.01	223.41	559.28	92.05	438.59	583.07	1167.14	1037.29	293.07	713.11	934.76	277.2	476.71	1322.37	759.08	163.28	967.76	718.08	277.2	269.6	866.07	267.73	193.01	547.75	743.43	1359.57	775.05	543.96	346.29	88.88	236.21	154.42	555.41	137.14	525.39	1397.83	1819.35	412.0	497.0	583.07	253.23	153.34	1437.15	234.57	738.29	295.11	808.0	94.01	265.87	890.44	426.57	743.43	995.0	236.21	660.68	339.14	334.46	29.7
ARHGAP33	100.83	205.5	63.89	88.26	14.35	66.18	109.66	27.84	143.01	170.25	42.41	295.11	647.07	52.08	55.1	37.32	267.73	14.03	279.14	743.43	22.43	157.68	25.72	19.25	9.2	67.12	36.53	78.89	163.28	28.24	111.99	283.05	500.46	332.14	157.68	297.17	460.44	34.02	193.01	441.64	497.0	21.94	679.29	173.85	27.64	56.28	314.17	75.64	27.05	142.01	358.54	334.46	260.38	165.57	27.84	35.0	105.15	38.95	154.42	92.7	438.59	642.59	587.13	53.95	217.27	217.27	57.49	21.01	361.04	24.81	320.8	45.85	595.34	30.34	63.45	269.6	92.7	214.27	234.57	29.48	214.27	146.03	110.43	6.41
ATAD3B	75.11	177.53	43.94	64.8	41.81	98.73	178.77	46.5	95.34	115.97	55.89	215.77	642.59	54.33	71.0	31.0	187.71	38.4	146.03	346.29	38.95	50.98	51.35	36.01	17.13	44.89	66.18	74.58	145.02	102.25	178.77	318.57	454.09	264.03	81.14	206.94	199.85	45.85	156.59	267.73	307.69	58.3	265.87	212.78	35.5	55.1	190.34	107.38	32.13	115.97	387.02	376.41	171.45	185.11	108.9	32.13	83.45	41.22	260.38	71.0	228.13	341.51	441.64	122.64	101.54	283.05	63.0	41.52	297.17	22.26	251.48	115.16	312.0	24.99	39.79	279.14	43.02	223.41	285.03	46.5	329.84	86.43	135.24	46.18
ATG16L2	624.99	860.08	199.85	332.14	91.41	220.32	277.2	95.34	309.83	301.33	173.85	909.17	2682.69	220.32	214.27	128.79	713.11	126.12	414.87	1551.09	158.79	289.02	113.56	68.07	100.83	134.3	176.29	171.45	476.71	142.01	603.67	753.83	1498.22	1127.35	412.0	775.05	723.08	201.25	397.93	1135.2	1059.11	114.36	878.17	432.53	118.43	148.09	941.27	267.73	126.12	555.41	1023.0	1096.5	780.44	480.04	212.78	62.12	198.47	150.17	423.61	131.51	872.1	1350.18	2004.85	281.09	463.65	620.67	144.01	92.7	1135.2	81.71	848.22	271.48	1059.11	155.5	167.9	656.11	113.56	656.11	902.89	112.77	234.57	301.33	435.55	182.55
