	TCGA.FD.A3SM.01A.11R.A22U.07	TCGA.GU.AATQ.01A.11R.A39I.07	GTEX.14C38.2626.SM.5RQI4	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A4NR.01A.11R.A311.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.YFC4.1526.SM.5IFJS	GTEX.11ZTS.1426.SM.5EQMM	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.1399R.1226.SM.5P9GF	GTEX.Q734.0326.SM.48U15	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC	TCGA.55.6968.01A.11R.1949.07	TCGA.38.4631.01A.01R.1755.07	TCGA.44.7660.01A.11R.2066.07	TCGA.95.7043.01A.11R.1949.07	TCGA.86.8358.01A.11R.2326.07	TCGA.38.4632.11A.01R.1755.07	GTEX.QV44.0926.SM.2S1RH	GTEX.YB5E.0726.SM.4VDSH	GTEX.ZAB4.0626.SM.5CVN3	GTEX.PWOO.0726.SM.2I3EB	GTEX.13OW8.1726.SM.5L3GO	GTEX.14A6H.0526.SM.5NQAZ	TCGA.43.6143.01A.11R.1820.07	TCGA.22.4591.01A.01R.1201.07	TCGA.66.2727.01A.01R.0980.07	TCGA.94.A5I6.01A.21R.A27Q.07	TCGA.66.2754.01A.01R.0980.07	TCGA.22.4599.01A.01R.1443.07	TCGA.77.8007.11A.01R.2187.07
ANAPC7	1216.75	1397.83	218.79	1088.92	1191.69	791.35	536.45	915.51	521.76	616.37	791.35	532.74	1051.79	551.56	660.68	1963.57	902.89	728.11	1286.18	878.17	830.75	1277.29	679.29	679.29	733.19	1001.93	703.28	866.07	1001.93	934.76	262.2	295.11	314.17	256.78	633.73	368.65	400.71	429.54	878.17	209.84	265.87	384.34	249.73	353.59	260.38	255.0	1540.37	1508.65	2591.27	1369.04	1447.15	616.37	1745.2	802.41	796.86	684.02	384.34	1066.48	4298.64	1175.27	1721.16	1175.27	2335.28	1225.22	854.13
ANLN	379.04	842.36	94.01	35.5	19.53	33.06	15.11	11.38	5.54	8.13	76.17	91.41	587.13	81.14	99.43	232.94	59.97	38.95	161.02	88.26	71.5	297.17	201.25	109.66	15.56	521.76	28.86	275.28	175.07	116.78	1.46	13.52	4.98	4.21	0.99	5.15	9.34	0.62	81.71	4.35	2.36	79.45	57.49	30.34	5.63	28.45	325.29	890.44	1051.79	309.83	1388.16	42.11	209.84	32.82	202.66	187.71	18.43	169.07	1225.22	848.22	974.5	825.0	497.0	974.5	119.26
BBS7	191.67	231.32	120.1	167.9	167.9	164.42	142.01	177.53	87.03	205.5	20.86	55.49	77.25	81.14	15.0	112.77	42.11	92.05	134.3	99.43	94.67	84.63	76.17	37.32	71.5	111.21	67.59	75.11	109.66	88.26	31.67	22.26	48.87	79.45	63.45	20.11	36.27	32.13	289.02	82.87	68.07	61.25	40.36	84.04	74.58	57.08	202.66	371.22	147.06	139.07	395.18	170.25	228.13	154.42	234.57	102.25	86.43	256.78	244.57	209.84	406.31	241.19	307.69	182.55	205.5
BRCC3	432.53	525.39	93.35	251.48	223.41	229.72	181.28	172.65	59.13	156.59	223.41	221.86	218.79	137.14	140.04	115.97	178.77	143.01	198.47	285.03	127.0	262.2	271.48	105.89	208.38	271.48	128.79	172.65	117.6	260.38	52.82	167.9	149.12	130.6	131.51	156.59	231.32	129.69	214.27	152.28	181.28	180.02	271.48	145.02	146.03	403.5	358.54	785.88	323.03	329.84	426.57	262.2	267.73	258.57	283.05	332.14	205.5	291.04	305.55	432.53	309.83	403.5	420.68	209.84	264.03
BUB1	202.66	457.25	45.85	33.78	8.92	49.91	10.47	18.56	22.1	27.25	47.17	85.22	208.38	84.04	90.14	183.82	41.22	45.21	149.12	229.72	35.0	170.25	133.36	104.42	9.13	231.32	37.05	283.05	119.26	109.66	3.86	3.26	1.13	4.17	0.44	3.08	4.13	1.04	66.65	6.26	2.27	59.97	49.91	21.94	4.03	15.68	909.17	466.88	226.54	165.57	796.86	54.72	194.36	56.28	260.38	140.04	47.17	134.3	536.45	669.92	642.59	693.58	995.0	759.08	107.38
BUB1B	143.01	332.14	35.5	28.24	11.91	25.35	8.45	15.34	19.82	16.75	37.59	67.12	128.79	80.01	79.45	176.29	46.5	38.95	149.12	133.36	39.5	228.13	115.16	65.26	9.7	363.56	29.06	130.6	92.05	61.25	8.13	2.89	1.2	4.7	7.82	9.48	15.91	0.89	75.11	2.03	0.39	43.02	24.11	20.86	4.03	8.71	633.73	206.94	414.87	307.69	1044.52	30.56	90.14	17.51	130.6	127.89	45.53	98.04	860.08	283.05	571.05	688.78	728.11	441.64	76.17
C17orf80	182.55	314.17	85.22	197.09	197.09	171.45	111.99	164.42	46.84	114.36	115.97	111.21	117.6	89.51	107.38	143.01	127.0	94.01	124.37	224.97	181.28	177.53	171.45	191.67	108.9	195.72	164.42	215.77	154.42	156.59	44.57	101.54	112.77	99.43	111.99	102.97	45.53	96.68	142.01	119.26	99.43	115.97	126.12	146.03	72.52	152.28	366.09	346.29	253.23	514.56	595.34	175.07	273.37	223.41	186.4	144.01	119.26	239.52	318.57	376.41	273.37	182.55	571.05	279.14	242.88
CCNB2	500.46	1242.34	141.02	57.49	20.56	71.5	15.8	21.78	16.88	24.28	114.36	167.9	204.07	190.34	303.44	426.57	118.43	143.01	368.65	309.83	130.6	423.61	246.28	305.55	24.11	1183.45	112.77	258.57	368.65	255.0	4.35	11.21	4.43	3.66	4.9	4.7	2.27	3.14	149.12	15.45	8.38	172.65	145.02	41.52	2.84	26.28	1447.15	688.78	1104.13	679.29	1870.53	70.51	269.6	95.34	353.59	332.14	42.41	267.73	1350.18	1127.35	1870.53	1208.34	1617.0	1674.06	205.5
CCNF	125.24	244.57	56.68	30.12	15.8	45.53	8.92	23.59	21.78	30.56	40.93	71.0	109.66	60.39	87.65	135.24	49.21	39.22	186.4	127.89	74.06	117.6	147.06	74.06	13.03	199.85	35.0	183.82	89.51	60.82	8.92	15.11	12.45	17.25	10.79	13.12	3.2	9.13	91.41	5.82	10.88	67.59	37.85	20.86	14.67	15.56	463.65	209.84	157.68	264.03	559.28	49.91	99.43	55.1	110.43	190.34	22.43	91.41	595.34	255.0	267.73	381.68	368.65	181.28	55.89
CDC25C	31.9	119.26	26.86	5.5	4.1	8.78	6.16	5.87	60.82	7.34	33.78	93.35	65.72	60.82	97.36	143.01	55.49	32.13	150.17	138.1	48.87	121.79	124.37	169.07	8.13	264.03	52.45	82.29	187.71	64.8	3.29	3.69	0.0	4.46	1.0	1.69	0.0	2.25	51.71	2.1	1.03	45.21	53.57	2.66	0.92	5.36	211.31	142.01	79.45	67.59	384.34	8.78	49.56	12.55	45.53	45.21	7.11	36.01	718.08	154.42	193.01	220.32	466.88	152.28	27.25
