	TCGA.BT.A20X.01A.11R.A16R.07	TCGA.ZF.AA4W.01A.12R.A38B.07	TCGA.C4.A0F1.01A.11R.A034.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T6MO.1426.SM.4DM73	TCGA.C5.A1M5.01A.11R.A13Y.07	TCGA.C5.A1ML.01A.11R.A14Y.07	TCGA.C5.A902.01A.11R.A37O.07	TCGA.LP.A4AU.01A.32R.A32Y.07	TCGA.VS.A9V3.01A.11R.A42T.07	TCGA.C5.A7CL.01A.11R.A32P.07	TCGA.C5.A7CJ.01A.11R.A32P.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.C5.A1BJ.01A.11R.A13Y.07	TCGA.UC.A7PG.01A.11R.A42S.07	TCGA.C5.A907.01A.11R.A37O.07	TCGA.VS.A950.01A.11R.A42T.07	TCGA.EK.A2H0.01A.11R.A180.07	TCGA.IG.A5S3.01A.11R.A28J.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.LN.A7HV.01A.21R.A354.31	TCGA.LN.A49U.01A.31R.A260.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.LN.A4MR.01A.11R.A28J.31	TCGA.LN.A4A9.01A.11R.A28J.31	TCGA.L5.A4OM.01A.11R.A260.31	TCGA.IG.A3QL.01A.11R.A24K.31	TCGA.LN.A9FO.01A.11R.A38D.31	TCGA.CN.4726.01A.01R.1436.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.7434.01A.11R.2132.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.IQ.A61J.01A.11R.A30B.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.RS.A6TO.01A.32R.A34R.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.6003.01A.11R.1686.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7425.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.90.A4ED.01A.31R.A24Z.07	GTEX.XV7Q.2426.SM.4BRV8	GTEX.11WQK.2926.SM.5EQKT
ADAD2	6.01	3.38	1.95	62.56	78.89	90.77	71.0	27.44	11.38	85.82	40.93	39.5	6.67	92.05	105.15	4.82	55.1	15.68	204.07	4.58	71.5	119.26	23.08	49.21	67.12	180.02	101.54	163.28	5.92	9.93	8.13	4.43	6.31	11.55	8.92	46.84	20.26	21.32	0.0	3.17	28.86	6.11	3.44	8.19	4.58	15.0	20.56	20.71	17.64	2.97	10.55	11.47	11.55	37.32	10.88	0.0	6.84	54.72	13.42	7.34	21.32	10.08	22.1	28.45	555.41	22.26	13.93
AGAP5	19.82	27.25	17.77	64.8	119.26	79.45	60.82	87.03	201.25	108.14	218.79	81.71	78.89	82.87	90.77	139.07	54.33	102.97	185.11	53.19	81.14	106.63	91.41	146.03	220.32	183.82	50.27	105.15	6.41	8.58	62.56	15.0	32.59	4.94	20.71	84.63	18.03	53.19	57.89	31.9	25.17	40.93	29.91	21.78	15.45	21.63	62.12	23.08	28.24	11.04	14.03	40.36	18.84	32.59	11.91	13.12	39.79	74.58	22.26	12.45	16.75	23.76	25.17	13.72	323.03	15.8	34.51
AHSA2	113.56	343.89	239.52	262.2	1088.92	603.67	967.76	753.83	764.36	1594.73	2163.77	866.07	995.0	738.29	738.29	1023.0	703.28	921.88	2591.27	403.5	1167.14	1183.45	1427.22	2520.38	2997.45	2609.3	575.03	1135.2	48.52	17.38	376.41	115.97	202.66	43.02	114.36	660.68	58.71	255.0	420.68	438.59	115.16	154.42	164.42	85.22	40.07	124.37	376.41	89.51	256.78	73.03	39.22	575.03	149.12	104.42	44.57	70.01	514.56	361.04	143.01	86.43	153.34	164.42	102.97	34.75	2956.17	20.11	37.05
ANKMY1	80.57	90.14	166.73	146.03	559.28	271.48	166.73	172.65	214.27	126.12	144.01	178.77	59.97	145.02	121.79	92.05	108.9	44.57	295.11	102.25	99.43	271.48	147.06	214.27	231.32	209.84	166.73	187.71	44.25	43.63	92.05	52.82	63.45	49.56	83.45	170.25	78.34	58.71	100.83	87.65	117.6	60.39	94.67	71.0	69.03	127.0	102.97	130.6	99.43	99.43	80.57	140.04	68.55	65.72	93.35	29.06	54.72	34.75	43.32	73.54	109.66	87.03	100.13	74.06	334.46	99.43	70.51
ANKRA2	183.82	149.12	180.02	262.2	651.58	435.55	733.19	309.83	309.83	420.68	543.96	493.56	209.84	271.48	356.05	249.73	258.57	218.79	633.73	215.77	255.0	285.03	356.05	470.14	583.07	432.53	389.72	400.71	140.04	107.38	226.54	151.22	217.27	112.77	82.87	189.02	157.68	182.55	226.54	332.14	175.07	161.02	206.94	110.43	120.94	221.86	215.77	163.28	143.01	122.64	96.01	249.73	208.38	90.14	145.02	182.55	220.32	262.2	110.43	159.9	202.66	153.34	132.44	190.34	395.18	63.45	117.6
APBB3	191.67	312.0	182.55	189.02	836.53	312.0	785.88	591.22	339.14	420.68	836.53	575.03	395.18	297.17	543.96	381.68	318.57	379.04	660.68	463.65	348.71	241.19	497.0	941.27	1233.75	447.82	158.79	366.09	90.77	101.54	356.05	234.57	202.66	81.14	68.55	226.54	144.01	220.32	743.43	363.56	129.69	223.41	164.42	161.02	120.94	175.07	262.2	130.6	180.02	87.65	132.44	336.79	111.21	109.66	92.7	110.43	189.02	265.87	62.56	146.03	167.9	166.73	214.27	75.11	1427.22	86.43	39.79
ARHGAP33	118.43	82.29	35.76	100.83	156.59	595.34	361.04	279.14	127.0	409.15	253.23	379.04	102.25	348.71	551.56	127.89	159.9	112.77	819.3	115.97	178.77	511.0	201.25	336.79	595.34	703.28	409.15	490.14	19.68	28.04	30.78	18.56	70.01	27.84	38.12	138.1	36.27	59.13	60.39	51.71	27.05	33.06	37.59	50.27	82.29	18.7	37.32	32.13	49.56	16.88	116.78	64.34	46.5	46.84	87.03	51.35	147.06	135.24	27.05	38.67	20.41	29.7	61.68	13.72	3901.01	40.64	0.97
ARIH2OS	14.78	7.06	23.25	16.15	70.01	49.21	14.14	8.25	32.36	22.1	8.92	14.56	25.91	21.63	9.13	23.08	16.51	33.06	45.21	18.16	25.72	11.47	20.11	23.76	19.25	17.38	31.67	67.59	4.28	5.5	29.27	14.56	7.51	8.58	5.32	20.71	13.83	7.88	15.22	7.94	12.18	6.52	8.58	4.9	6.31	9.85	4.31	21.01	7.28	4.7	3.06	16.15	4.9	2.36	8.13	4.39	30.34	12.0	12.55	8.25	8.25	6.21	15.34	12.09	87.65	5.23	7.28
C1orf131	435.55	244.57	450.94	246.28	371.22	547.75	579.04	348.71	412.0	493.56	825.0	547.75	559.28	540.19	603.67	312.0	473.41	624.99	521.76	438.59	529.06	629.35	426.57	842.36	497.0	665.29	728.11	503.95	180.02	232.94	438.59	366.09	403.5	152.28	265.87	521.76	256.78	346.29	150.17	368.65	255.0	356.05	332.14	435.55	314.17	316.37	351.14	406.31	218.79	273.37	305.55	463.65	224.97	273.37	224.97	325.29	341.51	318.57	327.56	186.4	395.18	312.0	356.05	332.14	366.09	172.65	154.42
C1orf63	511.0	674.59	743.43	607.87	3303.0	1936.53	3419.52	2119.22	1167.14	1208.34	2555.58	2627.46	1001.93	1051.79	2351.53	1628.26	1008.9	1233.75	2682.69	1447.15	988.12	1477.58	2384.37	2997.45	2855.44	2434.5	915.51	2451.44	256.78	148.09	1175.27	231.32	470.14	147.06	137.14	1447.15	118.43	1051.79	915.51	1044.52	316.37	332.14	400.71	373.81	229.72	353.59	915.51	277.2	529.06	246.28	348.71	1250.98	389.72	336.79	307.69	220.32	607.87	674.59	291.04	146.03	389.72	571.05	500.46	164.42	1685.71	159.9	150.17
