	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A893.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.QLQW.0526.SM.4R1KS	GTEX.P4PP.0626.SM.3NM9X	GTEX.ZPU1.1426.SM.4WWFU	GTEX.X585.1226.SM.46MW7	GTEX.146FH.1726.SM.5QGQ2	GTEX.P4QS.0626.SM.3NMD1	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.DQ.7588.01A.11R.2081.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.55.6980.11A.01R.1949.07	GTEX.S7SE.0926.SM.2XCD6	GTEX.13N11.0326.SM.5LUA3	GTEX.X3Y1.0626.SM.3P5YS	GTEX.U3ZH.0526.SM.3DB75	GTEX.ZE7O.0826.SM.57WCP	GTEX.Q734.0626.SM.2I3EF	TCGA.85.7710.11A.01R.2125.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.BJ.A28X.11A.11R.A22L.07	GTEX.111VG.0526.SM.5N9BW
ABCB1	30.12	54.72	59.97	50.63	51.71	53.57	61.68	64.34	217.27	129.69	356.05	52.08	237.86	19.82	3.69	2.18	11.47	224.97	1427.22	1023.0	316.37	525.39	145.02	92.05	182.55	19.25	59.55	53.57	55.49	16.27	12.36	26.86	281.09	234.57
ACADS	220.32	256.78	567.1	167.9	163.28	460.44	309.83	457.25	447.82	518.15	483.38	409.15	447.82	81.71	117.6	256.78	221.86	633.73	638.15	651.58	753.83	759.08	733.19	540.19	450.94	435.55	204.07	303.44	368.65	336.79	271.48	228.13	559.28	450.94
ACAP1	151.22	182.55	309.83	237.86	147.06	129.69	293.07	551.56	567.1	466.88	1331.57	559.28	808.0	67.12	115.16	124.37	61.25	607.87	1819.35	674.59	1583.71	476.71	780.44	909.17	2796.65	63.45	108.9	269.6	85.22	178.77	58.71	19.68	2193.99	1388.16
ACSM5	6.46	13.93	5.23	11.91	2.41	2.68	3.38	16.03	114.36	27.64	52.08	6.94	22.43	1.79	0.0	0.0	3.14	68.55	43.94	178.77	117.6	96.01	55.1	94.67	56.68	8.0	6.84	1.55	4.35	9.2	12.93	3.66	111.21	65.26
AK9	59.55	46.84	80.57	47.17	49.91	41.81	69.03	105.89	125.24	89.51	155.5	125.24	125.24	43.32	41.52	16.15	23.93	127.0	297.17	140.04	224.97	173.85	738.29	178.77	132.44	48.87	48.18	21.16	98.04	53.57	45.53	28.65	126.12	171.45
ALOX5	16.03	583.07	543.96	389.72	363.56	435.55	583.07	583.07	579.04	878.17	988.12	348.71	842.36	34.51	35.5	3.06	76.71	2915.45	3540.14	7280.4	995.0	4869.99	1605.83	1427.22	4388.98	166.73	102.97	153.34	209.84	115.97	139.07	62.12	890.44	1963.57
ARHGAP9	98.04	191.67	493.56	242.88	189.02	201.25	320.8	441.64	351.14	414.87	1081.39	693.58	866.07	53.95	35.76	12.74	81.14	703.28	1781.89	967.76	1159.07	1191.69	476.71	3081.75	2739.08	249.73	63.45	142.01	191.67	158.79	44.89	61.25	2287.2	2240.11
ARHGEF15	66.65	114.36	120.94	90.14	89.51	194.36	100.83	152.28	242.88	136.19	490.14	133.36	248.0	14.67	19.68	18.56	42.11	1081.39	1135.2	1977.24	511.0	1561.89	842.36	1250.98	466.88	13.03	72.01	80.57	43.02	33.3	40.36	31.22	358.54	480.04
ARHGEF9	46.5	113.56	126.12	105.15	100.13	101.54	153.34	171.45	223.41	197.09	226.54	123.5	236.21	54.72	5.41	28.24	67.12	206.94	275.28	293.07	228.13	218.79	239.52	237.86	193.01	49.56	115.16	44.89	80.57	85.22	96.01	53.57	187.71	283.05
ATP7B	0.0	50.27	98.73	11.21	12.27	44.57	19.11	51.35	55.89	24.46	64.8	15.91	30.78	5.41	6.46	4.39	6.41	76.71	82.29	327.56	109.66	94.67	218.79	88.88	35.76	10.96	7.4	11.21	28.65	4.66	22.92	5.87	44.25	48.87
