	TCGA.D8.A1J8.01A.11R.A13Q.07	TCGA.D8.A1JP.01A.11R.A13Q.07	TCGA.BH.A1EV.11A.24R.A137.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.VJWN.0726.SM.3GIJ8	TCGA.W5.AA2X.11A.11R.A41I.07	TCGA.W5.AA34.11A.11R.A41I.07	TCGA.B8.A54E.01A.11R.A266.07	TCGA.CZ.5463.01A.01R.1503.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.DZ.6131.01A.11R.1965.07	TCGA.G7.7501.01A.11R.2204.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.DD.AAEE.01A.11R.A41C.07	TCGA.DD.AAVY.01A.11R.A41C.07	TCGA.CC.A9FS.01A.11R.A37K.07	TCGA.ZP.A9D0.01A.11R.A37K.07	TCGA.BC.A10X.01A.11R.A131.07	TCGA.DD.A1EB.01A.11R.A131.07	TCGA.G3.AAV2.01A.11R.A37K.07	TCGA.DD.AAD0.01A.11R.A41C.07	TCGA.ZP.A9CZ.01A.11R.A38B.07	TCGA.DD.AAW2.01A.11R.A41C.07	TCGA.DD.A4NO.01A.11R.A28V.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.2Y.A9H8.01A.11R.A39D.07	TCGA.MI.A75I.01A.11R.A32O.07	TCGA.UB.A7MA.01A.11R.A33R.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.FV.A3R2.01A.11R.A22L.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.CC.A9FV.01A.11R.A37K.07	TCGA.K7.A5RF.01A.11R.A28V.07	TCGA.ZP.A9D2.01A.11R.A38B.07	TCGA.FV.A496.01A.11R.A266.07	TCGA.FV.A2QR.01A.11R.A213.07	TCGA.DD.A4NK.01A.11R.A28V.07	TCGA.RC.A7SK.01A.11R.A352.07	TCGA.HP.A5N0.01A.11R.A28V.07	TCGA.DD.A11A.01A.11R.A131.07	TCGA.DD.A73B.01A.12R.A32O.07	TCGA.2Y.A9H9.01A.21R.A39D.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.2Y.A9HA.01A.11R.A39D.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.2Y.A9HB.01A.11R.A39D.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.BC.A3KG.01A.11R.A213.07	TCGA.ZP.A9CY.01A.11R.A38B.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.2Y.A9H0.01A.11R.A38B.07	TCGA.DD.AADV.01A.11R.A39D.07	TCGA.DD.AADB.01A.11R.A41C.07	TCGA.DD.AAEH.01A.11R.A41C.07	TCGA.DD.A11B.01A.11R.A131.07	TCGA.DD.A4NB.01A.12R.A266.07	TCGA.ED.A7XO.01A.11R.A352.07	TCGA.DD.AAEG.01A.11R.A39D.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.DD.A1EK.01A.11R.A213.07	TCGA.MI.A75G.01A.11R.A32O.07	TCGA.DD.A73C.01A.12R.A33J.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.2Y.A9H7.01A.11R.A39D.07	TCGA.CC.A9FU.01A.11R.A37K.07	TCGA.GJ.A9DB.01A.11R.A37K.07	TCGA.DD.A115.01A.11R.A131.07	TCGA.DD.AAW3.01A.11R.A41C.07	TCGA.DD.A4ND.01A.11R.A266.07	TCGA.5R.AA1D.01A.11R.A38B.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.RC.A7SB.01A.21R.A352.07	TCGA.DD.AACY.01A.11R.A41C.07	TCGA.UB.AA0V.01A.11R.A38B.07	TCGA.ZS.A9CE.01A.11R.A37K.07	TCGA.G3.A6UC.01A.21R.A33J.07	TCGA.2Y.A9GU.01A.11R.A38B.07	TCGA.MI.A75E.01A.11R.A32O.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.G3.A3CH.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A1EI.11A.11R.A131.07	TCGA.DD.A1EL.11A.11R.A155.07	TCGA.DD.A114.11A.12R.A131.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZUS.2526.SM.59872	GTEX.11GSP.0626.SM.5986T	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.ZAB5.0426.SM.5CVMI	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.139TU.0826.SM.5IJFG	GTEX.12WSD.1426.SM.5GCN9	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.ZVT3.1626.SM.5GU66	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.Q734.0326.SM.48U15	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC	TCGA.BK.A139.01A.11R.A277.07
AK9	291.04	320.8	170.25	236.21	177.53	48.18	51.35	153.34	187.71	101.54	176.29	127.89	77.79	124.37	94.67	43.94	17.25	10.0	16.51	33.78	34.26	20.71	46.18	43.02	31.22	58.71	14.67	12.83	17.64	50.63	33.3	36.53	10.16	59.13	23.08	122.64	34.51	27.25	33.3	26.47	18.97	28.24	99.43	49.56	25.91	120.94	22.26	33.78	10.31	70.01	60.82	162.14	47.17	15.0	19.25	42.41	32.82	15.0	39.5	77.25	55.49	15.34	46.84	21.94	23.93	22.43	66.65	22.43	28.04	97.36	49.56	36.53	32.36	89.51	58.3	10.96	26.86	30.56	58.71	49.56	28.65	21.47	20.26	36.27	37.32	15.56	36.79	39.5	39.22	36.53	41.81	34.75	59.13	28.24	111.99	76.71	52.08	28.04	34.51	31.45	66.65	27.44	88.26	52.82	50.27	32.59	57.49	36.01	27.44	24.99	27.84	17.64	57.08	21.16	15.45	36.79	226.54
APOE	1183.45	6250.56	1639.59	1143.1	1551.09	194578.47	236256.4	237899.7	11909.94	53601.03	249.73	46986.85	244588.0	78476.96	57847.82	338781.54	205673.01	313910.86	290865.98	177811.84	324980.94	378516.38	260332.24	292889.12	169390.27	267651.2	187950.38	370726.6	524287.0	513497.31	269512.87	212926.09	309589.14	687022.54	256748.15	145432.49	593956.43	153724.82	260332.24	345900.08	215898.44	265802.39	450134.56	296977.71	405683.88	316094.29	402881.61	307450.64	138544.47	236256.4	200048.85	193234.41	223512.12	231394.29	419990.32	358098.26	301123.38	187950.38	93974.69	156954.93	447025.24	214407.12	345900.08	170568.48	320506.81	462789.59	373305.21	215898.44	386469.83	378516.38	431797.89	292889.12	172949.54	233003.78	211455.3	292889.12	378516.38	341137.96	153724.82	502929.67	154794.07	307450.64	179048.63	220434.95	225066.78	273275.14	215898.44	220434.95	193234.41	290865.98	513497.31	466008.55	863596.77	440870.9	443937.41	520665.48	1078054.48	696613.03	726195.27	341137.96	731246.37	1290947.48	589853.66	783730.52	951601.81	828417.36	288856.81	783730.52	2636147.11	417089.23	964885.69	1442359.14	405683.88	619179.28	517068.97	450134.56	2645.74
ARID1B	406.31	563.18	607.87	679.29	603.67	171.45	137.14	231.32	307.69	285.03	476.71	486.75	356.05	215.77	392.44	76.71	88.26	91.41	172.65	209.84	206.94	126.12	88.26	140.04	106.63	178.77	97.36	105.89	64.34	223.41	159.9	104.42	43.02	248.0	163.28	265.87	155.5	113.56	82.87	118.43	107.38	126.12	195.72	106.63	80.01	162.14	86.43	146.03	48.18	194.36	73.54	339.14	164.42	53.19	61.68	157.68	215.77	59.55	175.07	201.25	127.0	67.59	104.42	88.88	132.44	77.25	253.23	63.45	92.05	212.78	244.57	100.83	83.45	197.09	209.84	109.66	142.01	61.68	197.09	84.63	129.69	175.07	82.29	94.01	129.69	64.8	171.45	144.01	159.9	228.13	164.42	94.01	327.56	107.38	224.97	178.77	195.72	115.16	189.02	108.14	265.87	120.1	217.27	283.05	145.02	161.02	239.52	171.45	84.04	232.94	145.02	111.99	190.34	78.89	68.07	137.14	551.56
ATG5	961.07	1073.91	638.15	1259.69	1322.37	307.69	341.51	511.0	423.61	381.68	629.35	366.09	334.46	457.25	320.8	155.5	124.37	172.65	334.46	323.03	241.19	239.52	159.9	236.21	132.44	265.87	162.14	189.02	127.0	297.17	248.0	119.26	124.37	255.0	293.07	432.53	339.14	212.78	148.09	191.67	195.72	356.05	511.0	214.27	142.01	463.65	156.59	256.78	116.78	316.37	157.68	358.54	334.46	122.64	169.07	253.23	301.33	141.02	463.65	356.05	256.78	112.77	287.01	147.06	133.36	173.85	303.44	68.55	164.42	309.83	281.09	173.85	135.24	299.25	366.09	146.03	384.34	157.68	343.89	204.07	132.44	305.55	158.79	273.37	305.55	122.64	287.01	309.83	307.69	237.86	318.57	182.55	351.14	267.73	279.14	323.03	438.59	185.11	417.77	229.72	281.09	214.27	273.37	249.73	244.57	371.22	299.25	275.28	285.03	293.07	277.2	211.31	251.48	234.57	209.84	555.41	1135.2
BAZ2B	518.15	237.86	878.17	647.07	961.07	178.77	189.02	299.25	612.11	305.55	536.45	301.33	454.09	373.81	361.04	48.87	69.03	38.12	165.57	199.85	218.79	103.69	71.5	72.52	80.01	115.16	95.34	34.02	97.36	232.94	43.02	98.04	40.36	145.02	130.6	297.17	157.68	100.13	193.01	142.01	92.05	181.28	84.63	91.41	30.78	84.63	111.21	143.01	27.64	170.25	52.45	205.5	151.22	42.41	76.17	110.43	148.09	68.55	161.02	211.31	34.75	78.89	161.02	69.52	127.89	62.56	325.29	59.55	76.71	73.03	163.28	74.06	80.57	208.38	212.78	74.06	126.12	101.54	246.28	58.71	116.78	140.04	85.82	106.63	199.85	22.92	169.07	153.34	211.31	351.14	127.0	87.03	265.87	69.52	177.53	325.29	115.16	117.6	316.37	96.68	175.07	131.51	187.71	244.57	191.67	189.02	264.03	287.01	80.57	325.29	161.02	138.1	159.9	63.0	105.15	176.29	1030.12
BCLAF1	2682.69	1208.34	2537.92	4239.45	1963.57	532.74	563.18	854.13	1651.0	890.44	2956.17	1143.1	1030.12	947.83	974.5	289.02	368.65	325.29	693.58	759.08	575.03	271.48	371.22	547.75	295.11	579.04	289.02	231.32	285.03	470.14	329.84	332.14	241.19	651.58	441.64	1096.5	400.71	297.17	381.68	189.02	327.56	423.61	616.37	366.09	198.47	381.68	312.0	591.22	130.6	698.41	255.0	1081.39	521.76	218.79	271.48	486.75	698.41	236.21	728.11	591.22	327.56	334.46	256.78	242.88	217.27	221.86	733.19	256.78	334.46	426.57	629.35	368.65	325.29	674.59	674.59	224.97	299.25	309.83	651.58	301.33	371.22	698.41	260.38	363.56	395.18	140.04	591.22	575.03	738.29	536.45	325.29	226.54	1051.79	241.19	438.59	603.67	429.54	356.05	575.03	260.38	511.0	201.25	435.55	669.92	351.14	244.57	642.59	473.41	325.29	381.68	435.55	591.22	775.05	226.54	341.51	334.46	2645.74
BMPR2	780.44	376.41	819.3	1313.23	490.14	142.01	155.5	361.04	591.22	403.5	1583.71	447.82	301.33	287.01	392.44	98.73	55.49	153.34	92.05	229.72	132.44	83.45	78.34	96.68	81.14	110.43	81.71	54.33	104.42	170.25	98.73	89.51	61.25	262.2	120.1	279.14	123.5	140.04	58.71	107.38	152.28	122.64	88.26	73.54	64.34	113.56	67.59	85.82	38.95	141.02	35.76	193.01	186.4	78.89	89.51	140.04	106.63	111.21	229.72	267.73	69.03	54.33	79.45	53.95	178.77	77.79	173.85	90.77	96.68	132.44	137.14	103.69	72.01	228.13	348.71	77.79	112.77	55.89	242.88	81.14	119.26	73.54	75.64	102.97	165.57	52.08	173.85	140.04	182.55	327.56	171.45	72.52	239.52	96.68	256.78	185.11	209.84	84.63	234.57	123.5	162.14	114.36	115.97	248.0	164.42	180.02	217.27	187.71	144.01	221.86	108.14	80.01	140.04	90.14	60.39	178.77	567.1
C6orf120	583.07	674.59	547.75	713.11	444.72	320.8	371.22	651.58	463.65	444.72	808.0	438.59	551.56	616.37	412.0	212.78	206.94	142.01	363.56	361.04	400.71	285.03	221.86	279.14	18.29	392.44	223.41	244.57	201.25	251.48	384.34	249.73	152.28	293.07	348.71	316.37	159.9	201.25	228.13	212.78	237.86	269.6	454.09	368.65	131.51	363.56	139.07	293.07	157.68	473.41	251.48	559.28	417.77	117.6	120.1	343.89	543.96	166.73	444.72	423.61	267.73	118.43	215.77	167.9	228.13	239.52	341.51	137.14	186.4	525.39	358.54	209.84	172.65	353.59	361.04	283.05	403.5	116.78	429.54	248.0	229.72	343.89	182.55	265.87	293.07	187.71	381.68	307.69	346.29	265.87	279.14	244.57	122.64	305.55	258.57	432.53	432.53	307.69	684.02	316.37	409.15	242.88	285.03	224.97	346.29	532.74	368.65	309.83	231.32	353.59	291.04	164.42	299.25	206.94	232.94	802.41	438.59
C6orf203	669.92	896.64	633.73	961.07	441.64	669.92	693.58	1870.53	656.11	660.68	638.15	830.75	438.59	791.35	775.05	312.0	249.73	327.56	764.36	555.41	748.61	603.67	309.83	500.46	281.09	607.87	348.71	514.56	341.51	563.18	647.07	384.34	387.02	842.36	728.11	493.56	587.13	320.8	387.02	543.96	353.59	525.39	1191.69	312.0	444.72	1001.93	384.34	909.17	325.29	791.35	297.17	688.78	836.53	356.05	186.4	435.55	642.59	429.54	743.43	769.69	521.76	866.07	974.5	287.01	343.89	480.04	713.11	414.87	563.18	555.41	665.29	236.21	327.56	493.56	1199.98	638.15	521.76	244.57	785.88	591.22	256.78	1508.65	381.68	470.14	575.03	447.82	518.15	599.49	890.44	511.0	708.18	543.96	567.1	583.07	457.25	642.59	607.87	591.22	559.28	447.82	651.58	395.18	414.87	660.68	642.59	785.88	688.78	417.77	1088.92	665.29	503.95	647.07	693.58	256.78	457.25	890.44	353.59
C6orf211	3589.58	1583.71	743.43	1950.0	5183.54	429.54	525.39	1397.83	1008.9	825.0	1030.12	624.99	1051.79	1685.71	796.86	379.04	234.57	256.78	483.38	432.53	423.61	633.73	444.72	420.68	249.73	351.14	764.36	209.84	223.41	361.04	392.44	297.17	108.9	353.59	332.14	503.95	221.86	283.05	209.84	287.01	267.73	327.56	1199.98	241.19	130.6	400.71	199.85	543.96	205.5	599.49	198.47	753.83	575.03	155.5	239.52	346.29	381.68	161.02	1088.92	896.64	318.57	236.21	400.71	234.57	271.48	293.07	540.19	297.17	185.11	291.04	603.67	198.47	341.51	476.71	575.03	169.07	381.68	165.57	540.19	392.44	183.82	591.22	180.02	341.51	511.0	229.72	435.55	525.39	507.46	320.8	314.17	256.78	226.54	543.96	457.25	417.77	536.45	403.5	642.59	289.02	414.87	289.02	406.31	273.37	429.54	348.71	575.03	441.64	507.46	305.55	258.57	167.9	325.29	327.56	256.78	514.56	909.17
