	TCGA.GI.A2C8.11A.22R.A16F.07	GTEX.132AR.0826.SM.5EGK6	GTEX.XV7Q.2326.SM.4BRVZ	TCGA.CV.7406.11A.01R.2081.07	TCGA.H7.A6C4.11A.21R.A466.07	TCGA.CV.7091.11A.01R.2016.07	TCGA.CV.6939.11A.01R.1915.07	GTEX.QDVN.1626.SM.48TZC	GTEX.P4QS.1126.SM.3NMD5	TCGA.B2.5639.01A.01R.1541.07	TCGA.CZ.5470.01A.01R.1503.07	TCGA.B8.A54E.01A.11R.A266.07	TCGA.CJ.5677.01A.11R.1541.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.B4.5835.01A.11R.1672.07	TCGA.B0.5701.01A.11R.1541.07	TCGA.CZ.4859.01A.02R.1426.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.UZ.A9PZ.01A.11R.A42S.07	TCGA.P4.A5EB.01A.11R.A28H.07	TCGA.DW.7841.01A.11R.A32Z.07	TCGA.HE.A5NF.01A.11R.A26U.07	TCGA.B9.4617.01A.01R.1193.07	TCGA.A4.A57E.01A.11R.A26U.07	TCGA.PJ.A5Z9.01A.11R.A28H.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.P4.A5E8.01A.11R.A28H.07	TCGA.A4.7732.01A.11R.2139.07	TCGA.SX.A7SO.01A.11R.A355.07	TCGA.BQ.7062.01A.11R.1965.07	TCGA.UZ.A9PV.01A.11R.A42S.07	TCGA.BQ.5893.01A.11R.1592.07	TCGA.SX.A7SR.01A.12R.A36F.07	TCGA.IA.A83W.01A.11R.A355.07	TCGA.UZ.A9PU.01A.11R.A42S.07	TCGA.EV.5902.01A.11R.1592.07	TCGA.2Z.A9JR.01A.12R.A42S.07	TCGA.2Z.A9J1.01A.11R.A38C.07	TCGA.BQ.5890.01A.11R.1592.07	TCGA.UN.AAZ9.01A.11R.A38C.07	TCGA.Y8.A897.01A.11R.A36F.07	TCGA.SX.A7SN.01A.11R.A355.07	TCGA.AL.3471.01A.02R.1351.07	TCGA.DW.5561.01A.01R.1592.07	TCGA.5P.A9K3.01A.11R.A42S.07	TCGA.A4.8311.01A.11R.2404.07	TCGA.BQ.7045.01A.31R.1965.07	TCGA.F9.A8NY.01A.11R.A36F.07	TCGA.B3.A6W5.01A.12R.A33Z.07	TCGA.UZ.A9PP.01A.11R.A42S.07	TCGA.UZ.A9PJ.01A.11R.A38C.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.5P.A9K0.01A.11R.A42S.07	TCGA.5P.A9KA.01A.11R.A42S.07	TCGA.A4.8098.01A.11R.2404.07	TCGA.A4.7584.01A.11R.2139.07	TCGA.SX.A71V.01A.11R.A33Z.07	TCGA.2Z.A9JL.01A.11R.A42S.07	TCGA.BQ.7046.01A.11R.1965.07	TCGA.HE.A5NL.01A.11R.A26U.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.A4.8516.01A.11R.2404.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.AL.3466.01A.02R.1351.07	TCGA.GL.8500.01A.11R.2404.07	TCGA.B1.A655.01A.11R.A31O.07	TCGA.A4.8630.01A.11R.2404.07	TCGA.P4.A5E7.01A.31R.A28H.07	TCGA.B3.4103.01A.02R.1351.07	TCGA.A4.8310.01A.11R.2404.07	TCGA.F9.A7Q0.01A.11R.A36F.07	TCGA.2Z.A9J6.01A.11R.A38C.07	TCGA.SX.A7SU.01A.11R.A36F.07	TCGA.G7.7502.01A.11R.2204.07	TCGA.A4.7585.01A.11R.2139.07	TCGA.AL.3468.01A.02R.1351.07	TCGA.AT.A5NU.01A.11R.A28H.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.A4.A5DU.01A.11R.A28H.07	TCGA.Y8.A8RY.01A.11R.A37K.07	TCGA.B9.A8YI.01A.21R.A37K.07	TCGA.BQ.7060.01A.11R.1965.07	TCGA.GL.A9DC.01A.11R.A37K.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.G7.6790.01A.11R.1965.07	TCGA.5P.A9KF.01A.11R.A42S.07	TCGA.HE.A5NK.01A.11R.A26U.07	TCGA.A4.7583.01A.11R.A32Z.07	TCGA.A4.8515.01A.11R.2404.07	TCGA.SX.A71W.01A.12R.A355.07	TCGA.B9.A5W8.01A.11R.A28H.07	TCGA.MH.A55W.01A.11R.A26U.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.A4.A772.01A.11R.A33Z.07	TCGA.J7.8537.01A.11R.2404.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.F9.A97G.01A.11R.A38C.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.IA.A40X.01A.11R.A24Z.07	TCGA.A4.7286.01A.11R.A32Z.07	TCGA.A4.A5XZ.01A.11R.A31O.07	TCGA.G7.A8LE.01A.11R.A36F.07	TCGA.UZ.A9PX.01A.11R.A42S.07	TCGA.BQ.7050.01A.11R.1965.07	TCGA.B9.A8YH.01A.11R.A37K.07	TCGA.SX.A71U.01A.12R.A33Z.07	TCGA.B9.4113.01A.01R.1193.07	TCGA.B9.4116.01A.02R.1351.07	TCGA.SX.A7SP.01A.11R.A355.07	TCGA.UZ.A9PS.01A.11R.A42S.07	TCGA.SX.A7SL.01A.11R.A355.07	TCGA.IA.A83S.01A.11R.A355.07	TCGA.BQ.5887.01A.11R.1965.07	TCGA.DZ.6134.01A.11R.1965.07	TCGA.B1.A657.01A.11R.A31O.07	TCGA.BQ.5884.01A.11R.1592.07	TCGA.2Z.A9JM.01A.12R.A42S.07	TCGA.UZ.A9Q1.01A.11R.A42S.07	TCGA.DW.7838.01A.11R.2139.07	TCGA.Y8.A8RZ.01A.11R.A37K.07	TCGA.A4.8517.01A.11R.2404.07	TCGA.O9.A75Z.01A.11R.A33Z.07	TCGA.A4.A4ZT.01A.11R.A26U.07	TCGA.5P.A9K6.01A.11R.A42S.07	TCGA.GL.A59T.01A.21R.A28H.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.Y8.A895.01A.11R.A36F.07	TCGA.BQ.7048.01A.11R.1965.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.Y8.A8S0.01A.11R.A37K.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.13NYC.2626.SM.5K7VN	GTEX.131XF.2826.SM.5EGKH	GTEX.ZC5H.2726.SM.5KLZW	GTEX.13CF2.2426.SM.5LZYL	GTEX.1399T.0126.SM.5KM15	GTEX.OXRO.1226.SM.48TDL	GTEX.132AR.1526.SM.5KM1L
AC005841.1	0.66	3.76	0.42	1.45	3.92	2.2	0.0	1.73	4.62	5.68	4.82	1.1	1.93	10.55	0.0	3.63	0.66	0.0	22.75	0.65	46.18	6.89	6.46	2.56	7.28	2.51	4.06	19.97	17.64	17.25	35.0	1.48	29.7	32.59	20.41	9.34	25.91	5.32	2.36	13.72	9.2	14.78	44.25	33.54	5.54	13.72	2.2	7.4	27.44	22.92	19.97	5.11	0.83	1.08	28.45	37.85	35.25	11.21	23.76	74.06	7.46	18.56	2.36	18.56	0.0	0.0	10.39	0.74	24.11	6.89	16.03	3.11	39.22	34.26	21.32	12.18	1.51	21.94	9.34	4.62	1.89	18.84	18.03	3.41	3.17	22.92	1.75	2.36	25.54	7.69	27.25	3.86	22.26	5.92	12.74	0.0	0.0	20.71	3.14	3.26	0.0	0.71	0.77	7.94	22.26	10.08	10.24	28.45	6.73	39.5	25.35	16.15	6.31	15.22	25.91	7.94	0.0	0.77	2.84	9.06	0.37	22.26	7.82	1.77	8.51	7.28	21.63	19.11	12.45	0.96	0.0	17.0	0.0	0.0	8.06	0.0	0.85	0.82	1.58	0.29	12.36	6.36	4.98
AC020922.1	0.72	6.67	7.82	2.61	5.11	2.84	1.71	1.16	0.77	5.06	6.78	10.96	3.89	26.67	0.74	5.19	0.69	0.4	37.85	3.56	29.91	7.4	14.67	19.68	13.62	3.0	6.52	41.22	16.03	9.34	42.71	2.27	30.56	25.72	43.32	11.64	30.56	21.16	9.56	15.8	26.47	33.54	32.36	48.87	26.28	22.59	5.36	13.42	12.45	45.85	27.05	10.88	11.91	2.94	45.85	37.59	14.67	30.56	25.17	45.53	9.06	28.86	0.0	10.0	5.32	31.22	8.92	1.53	24.46	6.36	15.91	15.91	24.99	29.91	34.26	10.24	5.68	32.82	20.56	1.45	5.41	25.91	26.67	3.06	4.86	29.27	12.18	1.41	37.59	14.45	22.43	9.06	25.17	15.34	18.29	1.95	4.58	21.78	3.56	16.75	1.91	3.53	1.95	16.75	10.39	13.42	39.5	34.02	13.62	36.27	33.78	34.51	59.97	19.11	17.25	24.28	5.54	2.29	2.1	17.38	1.43	17.64	9.93	2.89	18.43	5.87	32.36	15.68	17.77	3.23	3.89	28.45	3.53	10.39	27.84	0.0	3.26	0.04	1.71	3.11	5.68	8.38	21.16
AC021860.1	0.69	4.24	1.28	0.89	0.92	0.0	1.75	1.23	0.13	0.0	3.38	0.4	1.57	14.67	0.73	0.77	0.68	0.74	24.28	2.58	29.7	1.58	14.14	4.78	5.63	1.71	0.0	54.72	18.84	8.92	27.64	1.51	21.01	20.26	59.13	6.89	36.27	4.39	2.07	3.26	12.36	27.84	65.26	134.3	1.23	30.34	5.77	0.35	17.64	11.04	47.5	7.69	4.5	2.56	6.89	18.16	4.9	5.15	10.24	46.84	5.41	31.45	0.0	21.01	0.0	0.0	2.66	1.14	23.59	30.12	36.53	0.97	15.0	21.78	74.58	34.75	3.03	64.34	16.27	0.0	3.82	98.73	40.64	0.46	2.81	16.51	6.52	0.72	74.58	0.0	12.27	13.83	16.03	4.03	6.11	0.0	0.79	11.21	0.0	4.94	0.97	0.39	0.79	2.39	1.95	18.56	73.03	60.39	10.16	96.68	51.35	37.05	8.0	12.45	17.9	4.7	0.83	0.0	2.48	11.82	0.39	27.05	1.62	2.84	4.13	6.62	59.13	39.79	14.03	0.99	0.0	7.82	4.24	2.51	11.3	0.0	3.82	2.94	6.26	4.78	68.07	23.25	32.13
AC024580.1	0.0	2.81	6.52	0.0	10.71	0.0	0.0	5.32	13.83	6.16	4.13	9.13	5.82	54.72	3.14	5.19	1.33	3.56	52.82	26.1	42.71	10.47	50.63	13.93	14.24	3.41	15.68	24.11	12.09	37.59	36.79	6.31	56.68	57.89	47.5	43.32	36.79	17.25	7.51	32.82	23.42	28.86	43.02	32.13	5.28	45.21	22.1	2.23	39.22	34.51	18.29	1.08	4.94	19.82	27.84	57.89	25.72	34.02	40.93	94.01	15.91	42.71	4.82	44.89	7.94	16.39	13.83	8.85	42.11	32.59	48.18	6.31	70.51	60.39	18.97	7.75	4.58	69.03	12.64	4.7	22.92	48.87	77.79	7.75	18.03	40.07	15.22	13.52	55.89	5.63	28.24	34.51	40.64	19.68	47.84	4.58	10.96	40.07	3.56	18.03	5.63	7.0	12.55	7.75	19.53	22.26	36.01	54.33	13.62	40.93	60.39	36.53	82.87	24.99	37.05	59.55	5.15	1.91	21.63	26.47	4.17	31.45	9.93	24.99	27.64	9.34	32.36	36.01	7.88	10.79	0.0	34.75	13.52	21.32	26.47	0.0	1.68	4.24	5.5	3.08	22.59	33.06	36.01
AC135178.1	38.12	68.55	67.12	30.78	48.87	58.3	46.18	21.47	13.72	10.39	43.32	69.03	9.27	65.26	14.45	21.47	7.46	7.75	236.21	19.11	69.52	37.59	134.3	43.02	64.34	15.91	42.41	137.14	68.07	48.87	351.14	27.84	201.25	66.65	152.28	129.69	140.04	98.04	47.5	98.73	90.14	157.68	348.71	162.14	43.94	193.01	34.75	102.25	83.45	41.81	126.12	13.42	17.9	16.88	76.71	64.34	69.03	84.63	94.67	73.03	60.82	197.09	16.63	61.68	76.71	332.14	90.14	12.45	105.89	90.77	127.89	37.85	145.02	119.26	208.38	151.22	5.32	127.89	221.86	20.86	36.27	115.16	231.32	19.68	45.53	60.39	39.5	33.3	102.25	57.08	85.22	48.52	151.22	56.28	98.73	9.85	10.24	64.34	21.63	76.17	13.03	11.82	7.22	63.45	29.27	47.17	125.24	84.04	53.95	89.51	100.13	318.57	61.25	113.56	167.9	182.55	13.32	11.91	16.27	108.9	13.03	80.01	25.54	18.29	46.18	31.22	120.1	54.72	89.51	115.16	15.0	267.73	26.47	38.67	114.36	2.18	55.1	21.16	18.84	68.07	64.8	133.36	189.02
AC174470.1	4.9	0.0	0.0	0.0	3.99	2.86	3.14	24.11	8.0	0.0	10.24	6.36	12.09	107.38	10.16	8.92	2.34	2.56	142.01	4.58	59.97	23.42	54.72	35.25	63.45	7.28	16.88	105.15	20.71	35.76	0.0	6.78	158.79	77.25	151.22	48.87	161.02	27.25	15.11	38.67	0.0	98.73	137.14	82.29	31.45	172.65	22.92	46.18	55.89	49.56	89.51	34.75	12.83	7.0	51.35	94.01	74.06	85.22	72.52	93.35	37.59	153.34	2.48	31.45	9.85	198.47	17.0	0.0	40.07	68.55	89.51	27.84	155.5	102.97	102.25	20.56	8.06	122.64	74.58	2.89	17.25	144.01	135.24	13.52	21.32	47.17	14.56	10.31	205.5	12.83	29.91	27.64	67.59	29.27	32.59	0.0	6.21	115.97	6.46	40.93	4.28	0.0	0.0	29.7	18.97	27.05	131.51	54.72	26.67	108.14	111.21	165.57	116.78	72.52	0.0	119.26	4.82	1.58	4.62	59.55	5.96	72.52	5.28	6.84	9.93	9.48	0.0	55.1	53.19	19.82	9.78	178.77	8.25	25.91	67.12	0.0	5.19	3.89	6.11	3.47	11.55	45.85	65.72
ADAMTS13	27.05	59.55	16.03	34.26	55.89	41.81	43.02	104.42	43.32	20.71	27.84	119.26	10.08	153.34	19.25	13.22	6.84	23.76	624.99	41.81	209.84	64.34	134.3	74.06	206.94	44.57	108.9	217.27	64.8	118.43	438.59	33.3	172.65	141.02	318.57	190.34	299.25	154.42	53.57	57.49	123.5	209.84	205.5	178.77	95.34	679.29	99.43	68.07	187.71	66.18	102.25	67.12	120.1	66.65	201.25	152.28	151.22	164.42	201.25	190.34	127.0	215.77	44.89	126.12	88.26	241.19	129.69	10.31	287.01	204.07	187.71	140.04	119.26	206.94	483.38	126.12	23.59	155.5	353.59	58.3	138.1	318.57	178.77	47.5	67.12	116.78	75.64	84.63	379.04	102.25	142.01	148.09	209.84	98.04	144.01	21.94	50.98	195.72	11.21	138.1	23.59	13.93	15.45	63.89	76.17	82.29	139.07	212.78	41.52	279.14	224.97	198.47	309.83	246.28	150.17	318.57	78.34	29.27	35.76	265.87	65.72	194.36	69.52	40.36	43.94	113.56	248.0	139.07	171.45	104.42	137.14	466.88	25.35	124.37	177.53	6.36	79.45	49.56	35.25	88.26	190.34	177.53	279.14
AGAP10	16.63	61.25	82.87	12.83	31.67	17.77	14.14	27.64	16.15	6.26	15.11	17.0	71.5	187.71	12.18	38.95	25.54	69.03	323.03	25.91	163.28	133.36	281.09	147.06	88.26	12.36	83.45	271.48	94.01	105.15	241.19	28.86	307.69	511.0	432.53	90.77	463.65	71.0	46.84	190.34	181.28	226.54	457.25	323.03	44.89	260.38	35.25	84.63	54.33	217.27	211.31	38.95	99.43	36.79	185.11	343.89	289.02	204.07	295.11	470.14	131.51	406.31	14.45	155.5	31.67	181.28	76.71	19.53	178.77	131.51	314.17	71.0	251.48	295.11	656.11	85.82	36.53	595.34	271.48	27.64	72.01	414.87	426.57	82.87	29.27	163.28	50.98	56.28	141.02	148.09	163.28	115.16	215.77	116.78	115.97	3.53	28.86	237.86	15.56	171.45	14.03	17.13	11.13	83.45	99.43	181.28	271.48	392.44	241.19	241.19	241.19	406.31	540.19	68.55	114.36	170.25	16.63	27.05	50.27	29.91	5.63	127.0	47.84	80.57	59.13	141.02	229.72	260.38	232.94	175.07	48.18	256.78	57.49	74.06	214.27	9.7	1.87	28.04	41.52	48.18	236.21	50.98	98.04
AGAP5	100.83	74.06	59.13	37.05	45.53	23.25	36.27	17.13	19.39	21.32	27.64	34.26	34.75	190.34	29.91	48.87	11.04	66.18	181.28	19.53	109.66	56.28	152.28	89.51	37.32	7.28	45.21	140.04	62.56	72.52	187.71	46.5	182.55	181.28	176.29	78.34	154.42	72.01	40.93	97.36	111.21	119.26	299.25	156.59	78.34	234.57	43.94	109.66	87.03	81.14	90.14	33.54	40.36	24.63	106.63	167.9	171.45	107.38	120.94	173.85	64.34	116.78	14.78	90.77	18.16	148.09	67.12	23.25	101.54	82.29	162.14	53.95	368.65	116.78	262.2	86.43	31.22	249.73	205.5	13.12	49.56	104.42	162.14	34.26	39.22	124.37	43.63	19.68	157.68	76.17	88.26	64.34	121.79	49.21	81.71	10.31	38.12	100.13	29.48	67.59	13.12	52.82	19.39	79.45	50.98	82.87	117.6	151.22	94.67	127.89	145.02	221.86	318.57	108.9	103.69	149.12	29.48	22.1	18.03	102.25	20.71	100.83	18.29	45.21	64.34	61.68	87.65	120.1	105.15	74.06	20.11	127.0	39.79	72.01	113.56	5.54	32.13	38.12	35.0	21.78	113.56	119.26	73.54
AGAP6	59.55	130.6	267.73	69.52	123.5	40.36	32.13	42.41	34.26	18.84	56.28	96.68	90.14	269.6	47.84	44.89	18.16	67.12	450.94	39.79	234.57	59.55	283.05	166.73	99.43	21.94	96.68	336.79	164.42	120.94	381.68	67.12	253.23	379.04	361.04	122.64	314.17	170.25	66.65	122.64	258.57	325.29	507.46	460.44	170.25	457.25	63.45	164.42	231.32	164.42	147.06	61.25	69.03	28.65	269.6	299.25	241.19	154.42	191.67	403.5	101.54	307.69	21.94	147.06	33.54	301.33	112.77	39.5	120.94	155.5	236.21	64.34	521.76	226.54	743.43	140.04	51.71	438.59	353.59	24.28	55.89	273.37	426.57	58.3	53.57	187.71	66.18	17.38	441.64	221.86	220.32	73.03	258.57	88.88	186.4	12.83	50.27	236.21	67.59	106.63	33.06	49.56	15.56	208.38	44.25	87.65	281.09	281.09	133.36	244.57	198.47	417.77	753.83	312.0	178.77	348.71	48.52	29.27	27.84	154.42	42.71	275.28	63.45	75.64	145.02	73.03	287.01	195.72	190.34	100.83	70.51	334.46	50.63	82.87	275.28	7.46	155.5	59.55	60.82	52.82	185.11	358.54	239.52
