	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.L5.A4OJ.11A.12R.A260.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.11ZTS.2726.SM.5EQLU	GTEX.11UD2.1526.SM.5EQLQ	GTEX.11O72.2026.SM.5N9G8	GTEX.WH7G.0926.SM.4LVMJ	GTEX.14DAQ.1426.SM.5RQJD	GTEX.XQ8I.1526.SM.4BOOH	GTEX.XBEW.1326.SM.4AT63	GTEX.11GSP.1726.SM.5A5LI	GTEX.13YAN.2026.SM.5Q5EY	GTEX.11ONC.1426.SM.5N9F4	GTEX.13PVQ.1826.SM.5L3GU	GTEX.13OW6.1426.SM.5L3EU	GTEX.113JC.0926.SM.5H114	TCGA.CV.7103.11A.01R.2016.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
COG4	1617.0	1268.46	1111.82	1561.89	836.53	1216.75	669.92	423.61	791.35	1143.1	1030.12	1199.98	1159.07	624.99	507.46	688.78	305.55	791.35	412.0	1551.09	1487.87	1583.71	1417.35	1437.15	1233.75	1407.55	1295.13
COMMD8	612.11	454.09	791.35	603.67	336.79	466.88	271.48	156.59	281.09	507.46	414.87	463.65	444.72	231.32	256.78	262.2	107.38	248.0	108.9	620.67	1605.83	934.76	587.13	583.07	825.0	830.75	1015.93
COPE	4181.07	4239.45	2915.45	4328.55	3491.39	4210.15	3124.78	3081.75	3190.46	4450.27	4268.94	4298.64	4328.55	2956.17	2739.08	2875.3	3742.05	2796.65	2758.13	4972.34	5872.48	5517.27	3540.14	4543.8	4328.55	4736.79	4607.24
DCTN2	5041.77	5441.3	4575.41	4869.99	4010.71	6935.54	3325.99	2335.28	3103.19	5791.62	4181.07	4937.99	6207.38	3540.14	2796.65	2875.3	3280.18	3614.55	2875.3	7695.57	10296.45	10959.3	5076.84	6745.86	6652.97	8718.32	8305.36
DCTN3	2148.82	2451.44	2335.28	2555.58	2104.58	2935.74	1572.76	1044.52	1662.49	2573.36	2271.4	2047.0	2148.82	1745.2	1322.37	1733.13	1697.45	2209.26	1662.49	2997.45	7382.04	6079.61	2061.24	2895.31	4769.75	3690.52	4543.8
DERA	967.76	728.11	819.3	791.35	587.13	698.41	529.06	629.35	368.65	775.05	587.13	872.1	884.29	341.51	525.39	480.04	507.46	514.56	514.56	890.44	2178.83	1183.45	896.64	1151.06	872.1	1088.92	1233.75
DGAT2	503.95	612.11	376.41	591.22	80.01	1350.18	32.36	33.3	24.28	246.28	371.22	403.5	660.68	38.12	48.87	19.53	19.25	139.07	15.0	1023.0	2148.82	1819.35	647.07	563.18	1216.75	1225.22	2351.53
DLEU1	255.0	389.72	493.56	358.54	190.34	473.41	81.71	122.64	116.78	275.28	186.4	211.31	212.78	118.43	73.03	95.34	72.01	94.67	157.68	323.03	571.05	616.37	363.56	409.15	406.31	525.39	587.13
DUS2	521.76	339.14	389.72	314.17	249.73	329.84	185.11	190.34	191.67	277.2	301.33	309.83	316.37	134.3	429.54	204.07	199.85	232.94	128.79	348.71	591.22	500.46	320.8	444.72	536.45	460.44	536.45
EBPL	3794.3	3103.19	1721.16	2255.7	647.07	2956.17	583.07	460.44	723.08	2178.83	1457.23	2502.97	2287.2	559.28	647.07	532.74	412.0	525.39	493.56	2148.82	4181.07	3419.52	2915.45	2664.15	3081.75	3614.55	5913.33
EFTUD1	395.18	249.73	271.48	217.27	149.12	277.2	90.14	59.97	105.89	256.78	199.85	194.36	234.57	108.9	88.26	105.89	78.89	107.38	64.34	329.84	460.44	409.15	460.44	351.14	567.1	414.87	397.93
EIF3I	4123.49	3982.99	4181.07	3690.52	2935.74	4239.45	2148.82	2104.58	2351.53	3491.39	2351.53	2895.31	3349.13	2451.44	2209.26	2255.7	2816.11	2468.49	2335.28	5292.48	10368.08	7032.37	6887.62	5594.3	5292.48	5633.22	5954.47
EIF4A3	4481.23	2255.7	3325.99	1936.53	974.5	2627.46	954.43	961.07	802.41	1819.35	1583.71	1745.2	2119.22	1183.45	785.88	1769.57	1023.0	1143.1	1001.93	2537.92	3742.05	4543.8	4268.94	2956.17	5441.3	3928.15	4123.49
EIF4E2	1662.49	1685.71	1208.34	1313.23	1051.79	1457.23	723.08	921.88	921.88	1529.73	1066.48	1313.23	1561.89	785.88	921.88	780.44	941.27	1096.5	629.35	1870.53	2739.08	2816.11	1340.84	1923.14	1594.73	1662.49	1950.0
EIF5A	23492.92	14971.21	14561.8	15392.14	5076.84	16383.0	4836.35	5672.41	4671.57	10440.2	8778.97	9606.86	12676.65	4836.35	3901.01	4388.98	6607.01	4671.57	6471.02	16269.83	30572.63	39785.74	31650.8	19482.97	23986.58	22535.88	26614.89
ENDOD1	1066.48	836.53	791.35	872.1	289.02	802.41	529.06	325.29	336.79	848.22	633.73	567.1	460.44	669.92	412.0	420.68	214.27	595.34	285.03	934.76	896.64	1745.2	954.43	1175.27	1508.65	909.17	1304.15
FAM103A1	1023.0	511.0	575.03	579.04	403.5	612.11	150.17	236.21	182.55	543.96	540.19	521.76	567.1	162.14	217.27	161.02	267.73	218.79	258.57	660.68	1350.18	934.76	836.53	764.36	1119.56	1037.29	1096.5
FAM212A	1208.34	866.07	599.49	718.08	67.59	769.69	36.01	45.85	38.4	376.41	271.48	291.04	438.59	49.91	39.22	45.53	8.51	49.56	17.77	674.59	567.1	934.76	518.15	518.15	921.88	684.02	981.29
FAM32A	2303.12	1721.16	1447.15	1745.2	1639.59	1605.83	902.89	1001.93	1111.82	1662.49	1447.15	1594.73	1651.0	1015.93	1183.45	915.51	1119.56	1286.18	1044.52	1923.14	2956.17	1733.13	1340.84	2004.85	2627.46	1991.0	2573.36
FAM96B	2367.9	4639.29	3847.29	4181.07	2255.7	4671.57	1936.53	1639.59	2303.12	3103.19	2875.3	4328.55	4328.55	2255.7	1745.2	2090.03	1572.76	2047.0	1745.2	4181.07	7642.41	7537.18	8363.13	5672.41	5479.15	5831.91	6426.31
GLRX3	2119.22	1950.0	2032.85	1963.57	848.22	1896.65	638.15	540.19	633.73	1417.35	1143.1	1216.75	1498.22	825.0	669.92	775.05	967.76	759.08	1001.93	1991.0	4575.41	2997.45	3235.01	2271.4	2367.9	2400.97	3303.0
GNG12	2133.97	1322.37	1709.26	1709.26	1001.93	1639.59	1081.39	934.76	1081.39	1322.37	1844.76	1159.07	1066.48	934.76	693.58	884.29	995.0	941.27	934.76	1721.16	3639.7	2520.38	2075.59	1909.85	2645.74	1870.53	2956.17
GPX1	8363.13	6516.03	5147.73	5479.15	2997.45	5112.16	3325.99	2855.44	3372.43	5711.87	4066.71	4268.94	4836.35	3081.75	3467.27	3589.58	2855.44	2895.31	2591.27	4836.35	24321.43	6381.92	5147.73	10154.69	7589.61	8598.28	9279.58
GSTP1	150561.19	102836.01	81244.48	95286.54	9808.75	128373.58	9673.69	8134.41	10585.95	61999.83	40621.74	74760.09	67846.12	9740.98	8134.41	9279.58	7382.04	8963.45	8538.88	57847.82	121448.75	132900.7	91404.92	101420.22	124000.67	108699.57	159145.95
HRAS	5791.62	4358.66	2777.33	3716.2	1769.57	3081.75	1685.71	1427.22	1551.09	2417.67	2591.27	2555.58	2537.92	1697.45	1540.37	1883.54	1135.2	1437.15	1594.73	3419.52	3847.29	8305.36	4836.35	3280.18	7433.4	5006.93	6792.79
