	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.L5.A4OJ.11A.12R.A260.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.11ZTS.2726.SM.5EQLU	GTEX.11UD2.1526.SM.5EQLQ	GTEX.11O72.2026.SM.5N9G8	GTEX.WH7G.0926.SM.4LVMJ	GTEX.14DAQ.1426.SM.5RQJD	GTEX.XQ8I.1526.SM.4BOOH	GTEX.XBEW.1326.SM.4AT63	GTEX.11GSP.1726.SM.5A5LI	GTEX.13YAN.2026.SM.5Q5EY	GTEX.11ONC.1426.SM.5N9F4	GTEX.13PVQ.1826.SM.5L3GU	GTEX.13OW6.1426.SM.5L3EU	GTEX.113JC.0926.SM.5H114	TCGA.CV.7103.11A.01R.2016.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
NUDT21	2255.7	988.12	1242.34	1073.91	825.0	1286.18	457.25	463.65	555.41	1199.98	825.0	941.27	1059.11	490.14	567.1	466.88	579.04	587.13	473.41	1340.84	2163.77	1697.45	1015.93	1175.27	3060.45	2104.58	1883.54
ORMDL2	3018.3	2855.44	2148.82	2701.35	583.07	2777.33	358.54	454.09	591.22	1540.37	1286.18	1757.34	1896.65	432.53	497.0	368.65	395.18	629.35	447.82	2555.58	3103.19	3103.19	2319.15	2796.65	3794.3	3491.39	3467.27
OTUB1	3982.99	3190.46	3039.3	3325.99	1883.54	2875.3	1388.16	1540.37	1467.37	2537.92	2209.26	2075.59	2502.97	1594.73	1268.46	1427.22	1583.71	1628.26	1359.57	2855.44	4038.61	5751.61	3589.58	2875.3	3443.31	3589.58	4038.61
OVCA2	1304.15	1175.27	802.41	954.43	647.07	1225.22	532.74	679.29	381.68	1104.13	674.59	708.18	1167.14	387.02	656.11	450.94	738.29	429.54	563.18	1427.22	2148.82	1447.15	1437.15	1437.15	2178.83	1883.54	2720.15
P2RY1	587.13	642.59	420.68	563.18	21.01	733.19	15.11	7.88	38.67	255.0	183.82	217.27	244.57	20.11	16.15	17.13	3.08	24.99	6.67	318.57	2061.24	4903.87	1233.75	1467.37	1662.49	1359.57	1467.37
PA2G4	4802.93	4268.94	4152.18	3257.52	1572.76	3564.78	1001.93	1233.75	1216.75	2627.46	2163.77	2271.4	3124.78	1151.06	1199.98	902.89	1685.71	1111.82	1508.65	4543.8	5995.9	6607.01	5672.41	4639.29	5076.84	5147.73	5555.65
PBDC1	896.64	775.05	638.15	693.58	616.37	698.41	457.25	329.84	353.59	866.07	669.92	684.02	961.07	555.41	551.56	400.71	529.06	423.61	271.48	825.0	1936.53	1662.49	1175.27	1216.75	1313.23	947.83	1304.15
PDSS1	150.17	239.52	220.32	144.01	143.01	181.28	140.04	167.9	47.84	127.0	129.69	167.9	231.32	81.14	85.82	128.79	120.1	127.0	98.04	191.67	353.59	267.73	356.05	187.71	267.73	291.04	301.33
PDZD11	1936.53	1199.98	1088.92	1286.18	808.0	1295.13	660.68	366.09	551.56	1183.45	1015.93	1199.98	1304.15	555.41	567.1	603.67	441.64	769.69	406.31	1508.65	2485.67	2090.03	1583.71	1605.83	1617.0	1572.76	1806.78
PEPD	884.29	1977.24	1216.75	1417.35	1008.9	1794.29	896.64	660.68	1208.34	1745.2	1277.29	607.87	1331.57	679.29	890.44	836.53	866.07	848.22	1030.12	2287.2	3212.66	2555.58	1757.34	2335.28	2875.3	2163.77	2502.97
PGK1	29531.18	17197.56	12853.63	18052.61	5913.33	16960.78	5366.37	4607.24	5995.9	10225.32	7230.1	8305.36	11424.74	5913.33	3716.2	5831.91	7382.04	5479.15	8078.22	13492.72	28723.62	21768.19	20170.07	17804.06	37121.34	21768.19	19482.97
PITX2	1806.78	764.36	995.0	339.14	332.14	343.89	251.48	126.12	53.19	23.42	64.34	42.11	12.45	226.54	281.09	323.03	123.5	133.36	104.42	1304.15	4639.29	5006.93	412.0	2468.49	13968.57	5479.15	9740.98
PLGRKT	1259.69	480.04	525.39	387.02	466.88	450.94	336.79	204.07	285.03	647.07	409.15	373.81	473.41	217.27	271.48	312.0	241.19	368.65	171.45	693.58	2758.13	1572.76	1313.23	1208.34	909.17	1037.29	941.27
PLP2	15075.35	17317.18	12415.75	12502.12	2502.97	15934.98	3081.75	1745.2	4671.57	8778.97	8479.89	8778.97	9344.14	3690.52	2720.15	3467.27	2591.27	2609.3	2855.44	10512.82	19754.96	29736.59	15392.14	14262.1	16611.71	13872.08	20030.74
POLR2L	3491.39	4543.8	3639.7	5041.77	3257.52	5112.16	2451.44	1605.83	3467.27	3639.7	3146.52	3690.52	4239.45	2591.27	1551.09	2520.38	1628.26	3146.52	1794.29	5872.48	8778.97	8421.31	5403.7	4769.75	5366.37	5517.27	6887.62
PPIC	1096.5	1605.83	1529.73	1242.34	688.78	1369.04	813.63	299.25	1059.11	1286.18	791.35	825.0	995.0	698.41	395.18	612.11	417.77	698.41	420.68	1540.37	2335.28	2502.97	1651.0	1870.53	1477.58	2271.4	1073.91
PPP1CA	4450.27	4607.24	4607.24	4607.24	2119.22	6471.02	1175.27	1119.56	1111.82	3928.15	3768.09	4038.61	4328.55	1437.15	1295.13	1295.13	848.22	1242.34	866.07	5403.7	9740.98	9606.86	5831.91	6294.04	7857.29	8134.41	8305.36
PPP1R7	2956.17	2434.5	2061.24	2502.97	1733.13	2627.46	1250.98	967.76	1104.13	2018.8	2104.58	1909.85	1923.14	1119.56	1037.29	1242.34	1167.14	1286.18	1023.0	2319.15	3212.66	4038.61	2193.99	2855.44	2502.97	3395.89	3349.13
PPP2R1A	7857.29	7537.18	6250.56	6840.04	4328.55	7230.1	4512.4	4607.24	4450.27	4152.18	5366.37	6250.56	5555.65	4095.0	3564.78	5041.77	4972.34	4736.79	4358.66	6652.97	7537.18	10368.08	6935.54	6983.79	8778.97	8840.04	8421.31
PRDX1	40062.48	22072.07	20737.16	29124.6	8479.89	27553.49	5366.37	4152.18	5147.73	18819.27	12160.22	17804.06	21919.61	5366.37	4268.94	5147.73	5831.91	6121.9	5441.3	22535.88	43840.21	45072.75	35363.15	29124.6	47642.77	42937.97	45386.27
