	GTEX.RWS6.1926.SM.47JXY	GTEX.RM2N.0526.SM.2TF4N	GTEX.WH7G.0526.SM.3NMBI	GTEX.QV31.0726.SM.3GAEG	GTEX.OIZI.0726.SM.2XCEI	GTEX.Y5LM.0626.SM.4V6G4	GTEX.OHPM.2626.SM.33HC5	GTEX.13O61.0226.SM.5KM52	GTEX.132QS.0326.SM.5IJFN	GTEX.XUZC.0126.SM.4BOO6	GTEX.ZTSS.0226.SM.59877	GTEX.WFJO.0226.SM.3GIKW	GTEX.146FR.0326.SM.5SI8U	GTEX.ZV7C.0126.SM.57WDE	GTEX.X4LF.0426.SM.3NMB5	GTEX.YEC3.0826.SM.4WWFP	GTEX.YF7O.0726.SM.4W213	GTEX.YB5E.0626.SM.4VDSE	GTEX.12WSJ.0326.SM.5GCMT	GTEX.117YX.1226.SM.5H11S	GTEX.T8EM.0226.SM.3DB7C
ABI1	1199.98	802.41	665.29	743.43	961.07	830.75	1151.06	511.0	518.15	624.99	624.99	775.05	703.28	555.41	647.07	420.68	595.34	423.61	435.55	693.58	500.46
AHR	551.56	954.43	303.44	307.69	595.34	432.53	642.59	115.16	60.82	237.86	297.17	361.04	353.59	309.83	124.37	221.86	151.22	144.01	195.72	356.05	303.44
AKAP6	67.59	90.14	82.87	81.14	197.09	99.43	81.71	40.93	48.52	61.25	61.68	80.01	95.34	44.89	46.18	74.58	47.17	42.41	48.18	80.01	55.1
AKT3	915.51	708.18	507.46	329.84	1001.93	633.73	713.11	215.77	176.29	198.47	336.79	915.51	473.41	264.03	356.05	223.41	224.97	215.77	194.36	624.99	291.04
ALDH6A1	1191.69	647.07	514.56	521.76	1199.98	642.59	854.13	212.78	145.02	334.46	444.72	872.1	642.59	231.32	529.06	212.78	371.22	231.32	194.36	723.08	239.52
ANKRD31	7.51	4.43	1.6	5.11	8.51	4.74	2.34	1.16	0.74	2.32	2.29	4.58	4.78	2.27	3.23	0.82	2.66	1.89	1.17	3.08	1.87
ANTXR2	1733.13	555.41	291.04	281.09	638.15	420.68	329.84	228.13	226.54	148.09	277.2	521.76	291.04	323.03	460.44	78.34	256.78	104.42	90.77	327.56	136.19
APP	16727.26	15715.58	14262.1	13872.08	15934.98	13399.51	16496.96	9474.59	8658.09	13968.57	13681.08	19482.97	14765.09	8778.97	13215.02	10225.32	11424.74	11827.67	8247.98	16727.26	10368.08
APPL1	733.19	497.0	406.31	500.46	665.29	379.04	684.02	258.57	248.0	323.03	332.14	507.46	441.64	277.2	373.81	283.05	234.57	229.72	251.48	435.55	397.93
BCAS3	444.72	400.71	303.44	332.14	336.79	269.6	412.0	242.88	135.24	289.02	275.28	441.64	358.54	269.6	325.29	224.97	285.03	195.72	211.31	368.65	212.78
BCL2L13	1127.35	764.36	743.43	808.0	860.08	796.86	890.44	679.29	559.28	791.35	669.92	753.83	808.0	521.76	612.11	629.35	595.34	591.22	599.49	733.19	642.59
BRAP	353.59	312.0	242.88	260.38	323.03	289.02	256.78	212.78	180.02	248.0	231.32	285.03	215.77	273.37	232.94	224.97	201.25	208.38	228.13	299.25	221.86
BRCA1	126.12	307.69	307.69	119.26	397.93	295.11	397.93	113.56	42.71	166.73	242.88	358.54	358.54	85.82	108.14	112.77	150.17	201.25	51.35	239.52	172.65
BTC	61.68	204.07	123.5	102.25	218.79	111.21	232.94	77.79	43.63	55.1	86.43	170.25	109.66	50.27	101.54	81.71	82.87	70.51	70.51	110.43	74.06
C21orf91	135.24	171.45	84.04	150.17	195.72	161.02	180.02	60.39	72.52	84.04	100.13	131.51	95.34	77.79	72.52	82.87	93.35	51.35	58.71	121.79	65.26
C5	228.13	47.5	28.24	69.52	94.01	40.64	51.35	28.86	17.0	26.1	45.53	65.26	50.98	41.22	47.5	24.99	35.5	19.11	24.81	72.01	35.0
C7orf41	1628.26	703.28	381.68	287.01	780.44	651.58	791.35	189.02	159.9	226.54	336.79	753.83	358.54	353.59	318.57	256.78	234.57	201.25	193.01	603.67	273.37
CAMK2D	872.1	684.02	551.56	409.15	974.5	607.87	819.3	305.55	226.54	224.97	358.54	583.07	403.5	251.48	289.02	191.67	273.37	256.78	224.97	473.41	409.15
CCDC77	366.09	189.02	152.28	217.27	241.19	208.38	142.01	146.03	98.73	164.42	186.4	249.73	201.25	167.9	173.85	92.7	126.12	148.09	102.25	218.79	156.59
CCNDBP1	2855.44	1781.89	1674.06	1651.0	2178.83	2133.97	2351.53	1313.23	878.17	1151.06	1457.23	2018.8	1781.89	1519.15	1709.26	947.83	1572.76	1709.26	1037.29	1909.85	1242.34
CCNI	11424.74	6607.01	6294.04	4704.07	7589.61	5366.37	8538.88	3589.58	3419.52	4298.64	5913.33	6699.25	6652.97	3564.78	4419.52	3639.7	5255.91	4671.57	3639.7	7966.99	5995.9
CFLAR	1769.57	2384.37	2209.26	1030.12	2875.3	2133.97	1794.29	1119.56	902.89	1081.39	2178.83	2956.17	1844.76	1286.18	1487.87	1583.71	928.3	1023.0	961.07	2178.83	1896.65
CNOT4	483.38	384.34	356.05	381.68	587.13	351.14	497.0	211.31	236.21	269.6	384.34	387.02	376.41	285.03	334.46	214.27	301.33	234.57	214.27	395.18	293.07
CNOT6L	435.55	381.68	217.27	182.55	325.29	199.85	301.33	158.79	157.68	169.07	201.25	293.07	223.41	151.22	175.07	127.0	162.14	135.24	155.5	193.01	195.72
COPS2	2004.85	1119.56	921.88	928.3	1477.58	1023.0	1529.73	693.58	591.22	743.43	738.29	1135.2	884.29	785.88	769.69	669.92	775.05	629.35	651.58	1191.69	796.86
CPE	8778.97	6164.49	4937.99	5076.84	12329.98	4802.93	6164.49	3190.46	2193.99	4481.23	3955.48	9088.59	4268.94	2400.97	5995.9	1617.0	4210.15	3103.19	2835.7	6652.97	2351.53
CRBN	1044.52	1001.93	796.86	848.22	1191.69	909.17	1001.93	547.75	438.59	616.37	775.05	995.0	866.07	656.11	785.88	575.03	599.49	603.67	521.76	961.07	738.29
CREBRF	420.68	703.28	493.56	341.51	854.13	417.77	764.36	264.03	178.77	297.17	309.83	490.14	460.44	223.41	332.14	275.28	287.01	281.09	258.57	397.93	271.48
CSDE1	9876.98	6983.79	6250.56	5751.61	8538.88	5633.22	7130.55	4210.15	4152.18	4671.57	5076.84	6935.54	5594.3	3955.48	4704.07	3742.05	4328.55	3955.48	3614.55	6652.97	4903.87
CSNK2A2	1397.83	780.44	665.29	723.08	848.22	759.08	848.22	521.76	525.39	559.28	647.07	825.0	688.78	624.99	607.87	511.0	563.18	571.05	575.03	802.41	555.41
CWF19L2	460.44	373.81	228.13	246.28	353.59	229.72	279.14	134.3	137.14	218.79	211.31	234.57	267.73	218.79	199.85	177.53	182.55	151.22	162.14	264.03	159.9
