	TCGA.A7.A26I.01A.11R.A169.07.1	TCGA.B8.5552.11A.01R.1672.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.CH.5739.01A.11R.1580.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.CH.5765.01A.11R.1580.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.XK.AAJ3.01A.11R.A41O.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.KK.A7AV.01A.11R.A32O.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.TP.A8TV.01A.11R.A41O.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.KK.A8I7.01A.21R.A36G.07	TCGA.EJ.A65E.01A.11R.A29R.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.CH.5750.01A.11R.1580.07	TCGA.HC.7212.01A.11R.2118.07	TCGA.YL.A9WI.01A.11R.A37L.07	TCGA.EJ.A46I.01A.12R.A26U.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.YL.A8SO.01B.31R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.YL.A8SH.01B.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.EJ.A6RC.01A.11R.A32O.07	TCGA.CH.5763.01A.11R.1580.07	TCGA.HC.7738.01A.11R.2118.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.5512.01A.01R.1580.07	TCGA.YL.A9WK.01A.11R.A37L.07	TCGA.V1.A9OF.01A.11R.A41O.07	TCGA.CH.5768.01A.11R.1580.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.V1.A8MG.01A.11R.A36G.07	TCGA.EJ.A8FU.01A.11R.A36G.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.HC.7080.01A.11R.1965.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A8FS.01A.11R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.HC.8261.01A.11R.2263.07	TCGA.J4.8198.01A.11R.2263.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.KK.A59X.01A.11R.A29R.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.CH.5790.01A.11R.1580.07	TCGA.CH.5772.01A.11R.1580.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.J4.A83K.01A.11R.A352.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.HC.8262.01A.11R.2263.07	TCGA.EJ.7789.01A.11R.2118.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.EJ.7792.01A.11R.2118.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.5498.01A.01R.1580.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.CH.5762.01A.11R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.KK.A8I6.01A.11R.A36G.07	TCGA.EJ.7125.01A.11R.1965.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.EJ.5502.01A.01R.1580.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.EJ.7321.01A.31R.2263.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.EJ.7786.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7792.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07	TCGA.BK.A26L.01A.11R.A277.07
ABHD11	540.19	395.18	0.0	0.47	1151.06	2133.97	967.76	2319.15	5403.7	1437.15	890.44	1909.85	1359.57	2287.2	1350.18	4239.45	6607.01	1378.57	1733.13	1096.5	2835.7	2119.22	1709.26	1508.65	2720.15	1119.56	1242.34	5219.6	1651.0	1233.75	1909.85	2075.59	1572.76	2682.69	7642.41	2451.44	5329.3	1151.06	2018.8	1551.09	2303.12	1081.39	1617.0	2224.63	1733.13	2119.22	2485.67	1313.23	1331.57	1583.71	3372.43	1923.14	1191.69	2537.92	1268.46	1199.98	1119.56	1277.29	2319.15	1477.58	2384.37	1844.76	2075.59	5403.7	3589.58	2061.24	2609.3	3395.89	2895.31	988.12	981.29	1397.83	2758.13	1498.22	1250.98	3639.7	6652.97	2271.4	1561.89	1023.0	2255.7	1183.45	974.5	1651.0	2209.26	1378.57	1561.89	1322.37	1794.29	2119.22	3690.52	2209.26	1572.76	2502.97	669.92	2682.69	1806.78	2855.44	1175.27	866.07	1268.46	1159.07	1096.5	2895.31	1407.55	1143.1	2367.9	1477.58	1096.5	3742.05	995.0	1540.37	1295.13	4038.61	1963.57	2520.38	4639.29	1529.73	2555.58	1286.18	2193.99	1277.29	1304.15	1721.16	2835.7	2163.77	1313.23	1781.89	1769.57	1757.34	1023.0	878.17	1151.06	1159.07	1781.89	1359.57	1359.57	1757.34	1757.34	1487.87	1081.39	1369.04	1697.45	1350.18	1119.56	921.88
AC027763.2	50.27	45.85	0.0	0.52	204.07	166.73	214.27	211.31	256.78	137.14	162.14	271.48	187.71	236.21	105.15	260.38	195.72	211.31	202.66	105.15	215.77	283.05	221.86	157.68	214.27	131.51	97.36	218.79	206.94	156.59	172.65	231.32	232.94	283.05	376.41	273.37	258.57	175.07	209.84	239.52	291.04	149.12	232.94	186.4	217.27	135.24	212.78	145.02	239.52	260.38	253.23	175.07	220.32	165.57	277.2	166.73	169.07	208.38	208.38	159.9	226.54	289.02	198.47	224.97	208.38	197.09	323.03	183.82	224.97	212.78	173.85	236.21	309.83	199.85	244.57	236.21	353.59	208.38	214.27	173.85	236.21	122.64	202.66	137.14	166.73	161.02	172.65	264.03	146.03	190.34	239.52	291.04	158.79	241.19	158.79	223.41	148.09	224.97	195.72	139.07	162.14	167.9	172.65	234.57	193.01	148.09	206.94	241.19	206.94	144.01	131.51	223.41	102.97	251.48	239.52	114.36	256.78	113.56	195.72	237.86	162.14	194.36	170.25	237.86	267.73	221.86	170.25	220.32	214.27	281.09	195.72	129.69	141.02	176.29	190.34	164.42	242.88	153.34	164.42	185.11	115.16	234.57	151.22	171.45	190.34	102.97
AC062017.1	4.21	2.92	0.0	0.16	22.1	85.22	24.99	197.09	75.11	40.64	17.0	70.01	16.75	155.5	7.0	242.88	242.88	67.12	45.85	12.27	72.01	121.79	59.55	36.79	131.51	24.63	28.45	183.82	94.67	18.03	120.1	67.59	53.95	111.99	255.0	80.01	63.89	52.08	50.98	166.73	127.89	72.01	50.27	25.91	66.18	15.8	112.77	31.0	55.49	151.22	123.5	166.73	20.41	95.34	158.79	45.85	10.96	38.4	139.07	43.63	115.97	104.42	36.01	39.5	277.2	71.0	145.02	169.07	95.34	37.32	35.76	80.01	172.65	56.28	108.14	27.44	343.89	128.79	59.97	118.43	71.0	37.32	41.22	102.25	75.64	23.25	70.51	91.41	19.82	21.16	125.24	33.78	81.14	70.51	36.79	108.14	146.03	100.13	79.45	8.19	14.45	16.88	61.68	119.26	91.41	76.71	197.09	105.15	43.02	56.68	16.88	122.64	8.51	177.53	87.65	137.14	293.07	28.04	122.64	118.43	43.94	120.94	84.04	94.67	87.65	71.0	8.32	108.9	77.79	56.28	40.64	25.54	67.12	30.56	68.55	78.89	36.01	68.07	70.51	92.7	24.28	30.56	67.12	34.26	52.82	6.06
AC110771.1	2.29	3.17	0.0	0.0	4.74	5.59	4.82	6.31	9.78	3.08	5.23	10.24	3.41	16.15	5.54	7.63	32.59	5.23	2.58	2.41	9.85	11.82	12.0	5.5	12.36	3.38	0.96	21.47	5.5	7.88	5.28	6.06	11.82	4.9	17.25	11.38	6.84	4.9	12.36	14.14	14.45	12.83	12.0	5.45	11.55	3.72	5.23	2.63	14.78	6.11	15.45	7.46	9.93	13.72	14.14	4.82	1.75	5.11	17.13	10.08	16.88	15.91	7.94	9.7	32.82	15.45	10.79	20.56	13.93	4.46	4.74	9.78	21.16	13.72	6.67	17.25	28.24	2.34	7.63	9.2	11.55	4.46	2.07	9.06	5.23	8.32	6.26	12.83	2.66	8.32	10.88	9.48	9.13	8.78	1.64	13.52	18.29	4.31	1.28	1.97	5.23	20.41	4.94	7.34	10.47	11.38	4.94	12.27	2.43	23.08	4.98	13.12	1.36	23.25	13.32	4.98	10.55	0.0	8.25	8.25	7.0	8.32	11.21	8.51	19.68	13.03	2.46	20.71	3.72	3.53	2.86	8.45	13.83	9.34	5.82	21.01	11.13	3.69	11.82	14.78	10.0	16.51	6.89	7.46	7.28	0.0
ACYP1	96.01	343.89	0.0	0.69	220.32	183.82	303.44	271.48	295.11	202.66	327.56	366.09	181.28	215.77	217.27	384.34	361.04	217.27	178.77	181.28	251.48	480.04	258.57	172.65	197.09	211.31	110.43	303.44	283.05	269.6	162.14	351.14	295.11	368.65	607.87	325.29	444.72	255.0	215.77	366.09	473.41	205.5	293.07	246.28	164.42	316.37	262.2	119.26	420.68	351.14	186.4	334.46	265.87	277.2	368.65	197.09	255.0	236.21	400.71	493.56	511.0	323.03	323.03	429.54	376.41	178.77	297.17	221.86	327.56	236.21	301.33	339.14	256.78	323.03	229.72	346.29	995.0	384.34	307.69	246.28	438.59	348.71	262.2	159.9	379.04	186.4	253.23	366.09	173.85	320.8	327.56	373.81	114.36	237.86	189.02	221.86	463.65	358.54	178.77	159.9	201.25	138.1	204.07	363.56	171.45	178.77	389.72	279.14	166.73	228.13	181.28	314.17	237.86	351.14	299.25	371.22	460.44	260.38	234.57	381.68	158.79	307.69	178.77	395.18	669.92	320.8	273.37	389.72	348.71	426.57	148.09	258.57	138.1	269.6	217.27	249.73	253.23	177.53	201.25	260.38	215.77	325.29	217.27	293.07	195.72	183.82
ANKRD9	64.8	43.02	0.0	0.52	223.41	122.64	185.11	441.64	403.5	100.13	140.04	312.0	98.04	373.81	122.64	460.44	420.68	103.69	246.28	66.18	295.11	255.0	264.03	176.29	208.38	145.02	100.13	260.38	242.88	80.57	150.17	289.02	180.02	269.6	476.71	262.2	432.53	194.36	150.17	339.14	303.44	153.34	215.77	128.79	195.72	265.87	309.83	80.01	147.06	161.02	373.81	295.11	96.68	299.25	237.86	138.1	80.01	127.89	400.71	275.28	291.04	332.14	215.77	198.47	961.07	384.34	381.68	183.82	170.25	146.03	108.14	178.77	220.32	206.94	158.79	297.17	587.13	293.07	236.21	291.04	236.21	214.27	91.41	159.9	142.01	120.94	121.79	339.14	81.71	166.73	98.04	224.97	97.36	318.57	147.06	293.07	356.05	463.65	120.94	69.52	105.15	281.09	140.04	518.15	153.34	218.79	500.46	149.12	118.43	343.89	80.57	320.8	97.36	536.45	228.13	217.27	497.0	94.67	291.04	318.57	195.72	429.54	234.57	264.03	713.11	241.19	91.41	457.25	273.37	193.01	56.28	128.79	154.42	171.45	91.41	182.55	101.54	111.99	215.77	339.14	127.89	137.14	114.36	166.73	55.49	26.86
AP1G2	397.93	555.41	0.0	1.33	1977.24	1769.57	1331.57	2133.97	3716.2	2090.03	1674.06	3540.14	1286.18	3039.3	974.5	3901.01	3690.52	2104.58	2555.58	1159.07	2004.85	3395.89	1832.01	1832.01	2609.3	2485.67	1277.29	1794.29	3372.43	1369.04	1923.14	2627.46	3146.52	1870.53	3955.48	3742.05	4512.4	2090.03	2417.67	2739.08	4450.27	1340.84	2090.03	1447.15	2075.59	2287.2	3124.78	1685.71	2485.67	2104.58	1745.2	3540.14	1378.57	3060.45	4937.99	1781.89	884.29	1286.18	4181.07	2835.7	3742.05	1857.6	3325.99	4358.66	3901.01	2178.83	3060.45	2032.85	3982.99	2193.99	1388.16	2384.37	2739.08	1909.85	1806.78	1963.57	3168.41	1936.53	3325.99	1733.13	2520.38	1991.0	2555.58	2148.82	1844.76	1498.22	2032.85	2434.5	1498.22	2240.11	1417.35	1369.04	1697.45	2935.74	1870.53	2701.35	2645.74	4239.45	1991.0	1111.82	1059.11	1295.13	1268.46	2209.26	1561.89	2520.38	3614.55	2895.31	1427.22	3768.09	1088.92	2451.44	961.07	4450.27	2645.74	2537.92	2178.83	2004.85	3280.18	2701.35	1733.13	2468.49	2434.5	3955.48	4419.52	2816.11	1508.65	3901.01	2367.9	3212.66	1331.57	1030.12	1427.22	1551.09	1583.71	2075.59	1268.46	1331.57	1081.39	2018.8	1088.92	2240.11	1594.73	1427.22	1081.39	848.22
ARHGEF16	218.79	211.31	0.0	0.4	316.37	279.14	307.69	583.07	1051.79	438.59	267.73	703.28	248.0	493.56	198.47	819.3	713.11	303.44	507.46	153.34	356.05	934.76	397.93	384.34	638.15	301.33	293.07	444.72	819.3	237.86	525.39	620.67	559.28	420.68	629.35	612.11	981.29	403.5	503.95	454.09	988.12	190.34	457.25	255.0	406.31	361.04	620.67	285.03	503.95	559.28	579.04	483.38	195.72	361.04	432.53	435.55	249.73	400.71	902.89	796.86	595.34	414.87	555.41	551.56	595.34	728.11	785.88	241.19	842.36	316.37	283.05	361.04	693.58	343.89	236.21	450.94	633.73	387.02	503.95	361.04	412.0	409.15	460.44	476.71	400.71	236.21	361.04	466.88	387.02	518.15	575.03	267.73	277.2	507.46	334.46	656.11	447.82	748.61	323.03	211.31	175.07	267.73	297.17	547.75	384.34	514.56	591.22	429.54	267.73	341.51	182.55	361.04	214.27	669.92	529.06	532.74	529.06	341.51	629.35	529.06	521.76	395.18	435.55	571.05	583.07	633.73	400.71	500.46	460.44	387.02	327.56	185.11	412.0	351.14	366.09	532.74	289.02	299.25	260.38	346.29	273.37	329.84	361.04	265.87	214.27	112.77
ARRDC1	384.34	503.95	1051.79	162.14	1259.69	1551.09	988.12	1350.18	3124.78	2119.22	1794.29	2875.3	1023.0	1529.73	941.27	2240.11	2384.37	1923.14	2090.03	802.41	1936.53	1870.53	1991.0	1617.0	2485.67	1030.12	1073.91	3901.01	2816.11	1008.9	1304.15	2537.92	2609.3	2032.85	4972.34	2209.26	3039.3	1583.71	1844.76	1794.29	2758.13	1950.0	2004.85	902.89	1757.34	1819.35	1651.0	1159.07	1617.0	1909.85	2255.7	2178.83	1359.57	1781.89	2047.0	1447.15	825.0	1208.34	2148.82	2555.58	2384.37	1936.53	2451.44	2240.11	2119.22	2777.33	2739.08	2032.85	1963.57	1896.65	1331.57	2434.5	2319.15	1487.87	2075.59	1745.2	5329.3	1572.76	3103.19	1857.6	2895.31	1572.76	1388.16	1857.6	2148.82	1617.0	1407.55	2537.92	1519.15	2224.63	2047.0	1662.49	2018.8	2351.53	1044.52	2148.82	3146.52	2796.65	1639.59	1111.82	1023.0	1447.15	1561.89	2335.28	1651.0	2664.15	2627.46	2287.2	1397.83	2224.63	1167.14	2119.22	1088.92	3190.46	2400.97	2119.22	2255.7	1437.15	2682.69	2520.38	1561.89	2075.59	1950.0	2701.35	4038.61	2193.99	1498.22	2573.36	1721.16	1977.24	1605.83	1359.57	1794.29	1572.76	1605.83	2555.58	1674.06	1508.65	1794.29	2335.28	1191.69	1498.22	1662.49	1508.65	1295.13	236.21
ASPSCR1	202.66	173.85	0.0	0.84	543.96	612.11	674.59	1111.82	1008.9	1015.93	435.55	1127.35	417.77	819.3	493.56	1208.34	1233.75	860.08	928.3	384.34	791.35	909.17	688.78	620.67	1088.92	543.96	595.34	896.64	934.76	547.75	928.3	1030.12	825.0	860.08	1477.58	842.36	1561.89	656.11	902.89	967.76	1208.34	723.08	1008.9	392.44	759.08	536.45	961.07	802.41	665.29	860.08	1001.93	1059.11	547.75	967.76	928.3	679.29	373.81	571.05	1073.91	915.51	866.07	808.0	902.89	1191.69	1088.92	1295.13	791.35	1199.98	1008.9	551.56	463.65	921.88	1183.45	842.36	825.0	796.86	1216.75	866.07	1159.07	733.19	921.88	684.02	490.14	896.64	941.27	551.56	769.69	928.3	629.35	1561.89	813.63	743.43	785.88	1081.39	571.05	1104.13	902.89	967.76	796.86	397.93	420.68	514.56	647.07	1268.46	660.68	1037.29	1225.22	854.13	420.68	629.35	429.54	854.13	476.71	1167.14	1001.93	1096.5	1044.52	575.03	1037.29	1259.69	723.08	961.07	769.69	1427.22	1143.1	1304.15	718.08	1159.07	947.83	1167.14	591.22	486.75	775.05	555.41	775.05	830.75	688.78	860.08	624.99	703.28	521.76	866.07	775.05	543.96	521.76	175.07
