	TCGA.CF.A47V.01A.11R.A23W.07	TCGA.FD.A43X.01A.11R.A23W.07	TCGA.CF.A5U8.01A.11R.A28M.07	TCGA.4Z.AA83.01A.11R.A39I.07	TCGA.E7.A3Y1.01A.11R.A22U.07	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.PL.A8LX.01A.11R.A41B.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.G4.6298.01A.11R.1723.07	TCGA.L5.A88T.01A.11R.A354.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.S7SF.0926.SM.4AD4M	GTEX.OXRL.0626.SM.3NM9C	TCGA.CV.7103.11A.01R.2016.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.M7.A71Z.01A.12R.A32O.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.EY.A1GX.01A.12R.A13S.07
AADAC	0.0	12.36	2.84	9.7	15.11	4.54	0.0	12.55	1.27	0.72	6.46	3.32	67.59	16.03	567.1	0.0	0.0	0.0	2816.11	8598.28	438.59	371.22	981.29	1991.0	1008.9	341.51
ABHD5	289.02	392.44	591.22	392.44	275.28	460.44	353.59	1487.87	102.25	1159.07	2351.53	2609.3	679.29	579.04	693.58	476.71	229.72	95.34	1104.13	679.29	620.67	872.1	703.28	1175.27	1304.15	514.56
ACAT2	438.59	392.44	323.03	325.29	529.06	1051.79	336.79	4481.23	301.33	1119.56	1572.76	813.63	1088.92	785.88	791.35	0.0	0.0	507.46	3515.68	4607.24	3820.7	1457.23	934.76	2367.9	1909.85	267.73
ACER3	95.34	63.45	83.45	125.24	92.7	64.34	53.19	106.63	47.17	301.33	368.65	242.88	226.54	314.17	199.85	124.37	105.15	161.02	890.44	316.37	392.44	195.72	260.38	269.6	775.05	130.6
AHCYL2	75.64	110.43	102.97	115.97	125.24	107.38	329.84	76.71	56.28	107.38	112.77	193.01	295.11	329.84	283.05	0.0	0.2	159.9	336.79	395.18	525.39	303.44	547.75	371.22	417.77	183.82
C11orf80	248.0	417.77	392.44	426.57	178.77	363.56	65.26	796.86	218.79	967.76	1216.75	1378.57	813.63	583.07	514.56	303.44	267.73	536.45	339.14	703.28	251.48	441.64	559.28	595.34	693.58	392.44
C12orf29	107.38	137.14	165.57	262.2	170.25	226.54	221.86	836.53	237.86	872.1	1191.69	1498.22	842.36	813.63	708.18	0.0	0.51	136.19	1498.22	1183.45	1225.22	1015.93	1175.27	1259.69	1819.35	267.73
CAPZA1	1963.57	1757.34	1977.24	1870.53	1950.0	1923.14	1242.34	5872.48	669.92	3039.3	2682.69	4328.55	2434.5	2075.59	1870.53	2032.85	4328.55	769.69	3768.09	4123.49	3257.52	2627.46	3081.75	2682.69	3467.27	1340.84
CCDC152	4.1	19.39	6.21	18.84	40.36	14.03	11.3	25.91	12.45	27.44	15.34	22.92	48.18	52.08	28.65	0.0	0.27	12.0	234.57	5.87	21.94	19.39	76.17	21.16	35.5	20.26
CCL24	0.0	0.0	5.23	2.27	0.0	2.58	0.0	22.59	85.82	70.51	10.24	13.83	17.64	12.83	115.97	0.0	0.0	0.0	156.59	149.12	94.67	40.93	0.0	20.11	21.32	2.36
