	TCGA.D8.A4Z1.01A.21R.A266.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.D8.A3Z5.01A.41R.A24H.07	TCGA.E2.A14U.01A.11R.A22K.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.BH.A0HK.11A.11R.A089.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.A7.A0CE.11A.21R.A089.07	GTEX.WYBS.0926.SM.3NM94	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13QIC.2326.SM.5LU5N	TCGA.2Y.A9H8.01A.11R.A39D.07	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.XBEC.1526.SM.4AT68	TCGA.38.4625.01A.01R.1206.07
ALDH9A1	1437.15	1561.89	1437.15	2004.85	1277.29	2855.44	1605.83	3540.14	2400.97	2520.38	1594.73	2209.26	2133.97	2018.8	2451.44	2520.38	2240.11	2720.15	3303.0	1781.89	1617.0	3190.46	1467.37	1191.69
AP5M1	470.14	358.54	444.72	258.57	387.02	698.41	409.15	647.07	460.44	612.11	406.31	490.14	571.05	406.31	500.46	624.99	796.86	769.69	656.11	253.23	181.28	185.11	158.79	0.0
ARL6	102.25	111.21	105.89	53.95	100.83	78.34	86.43	167.9	153.34	116.78	132.44	147.06	144.01	88.88	151.22	128.79	171.45	182.55	181.28	11.3	51.35	18.97	77.25	0.0
ARV1	507.46	733.19	414.87	603.67	483.38	1051.79	583.07	1331.57	791.35	988.12	559.28	595.34	629.35	616.37	575.03	796.86	785.88	780.44	759.08	656.11	343.89	221.86	314.17	0.0
ASAP3	718.08	723.08	591.22	460.44	466.88	540.19	295.11	339.14	733.19	995.0	785.88	718.08	759.08	684.02	1001.93	514.56	928.3	896.64	397.93	358.54	217.27	95.34	241.19	0.0
ASF1A	262.2	220.32	387.02	223.41	267.73	435.55	255.0	463.65	320.8	447.82	279.14	358.54	426.57	279.14	297.17	414.87	507.46	403.5	414.87	169.07	119.26	46.18	144.01	0.0
ATF7	620.67	813.63	323.03	454.09	476.71	620.67	441.64	830.75	642.59	1242.34	511.0	764.36	669.92	466.88	1143.1	819.3	1015.93	1498.22	1135.2	246.28	143.01	155.5	291.04	0.0
ATG12	679.29	825.0	444.72	463.65	483.38	878.17	521.76	656.11	688.78	961.07	444.72	769.69	629.35	660.68	848.22	860.08	796.86	1477.58	941.27	356.05	406.31	221.86	392.44	466.88
ATP6V1B1	277.2	426.57	141.02	1127.35	301.33	511.0	486.75	444.72	718.08	1191.69	417.77	866.07	476.71	947.83	860.08	403.5	1331.57	866.07	866.07	43.94	2.92	0.0	4.24	0.0
BBS12	69.52	76.71	62.12	35.25	63.0	138.1	53.57	119.26	117.6	111.21	91.41	111.21	123.5	90.14	175.07	136.19	202.66	281.09	182.55	2.76	11.04	4.54	16.03	0.0
BBX	371.22	813.63	450.94	289.02	323.03	1037.29	356.05	567.1	470.14	480.04	450.94	679.29	656.11	389.72	1066.48	995.0	902.89	571.05	669.92	38.12	66.65	25.17	77.79	180.02
BCL2L15	9.06	4.39	1.68	1.71	8.85	5.63	4.98	6.31	3.23	22.1	24.63	6.21	8.78	8.19	8.51	15.8	17.0	9.48	1.75	6.11	0.0	0.0	5.15	0.0
BLZF1	351.14	684.02	518.15	426.57	262.2	728.11	371.22	723.08	447.82	802.41	336.79	532.74	470.14	412.0	432.53	486.75	684.02	647.07	660.68	175.07	134.3	55.1	121.79	0.0
C12orf29	299.25	325.29	198.47	236.21	248.0	429.54	249.73	450.94	348.71	480.04	307.69	438.59	409.15	361.04	514.56	343.89	532.74	872.1	555.41	107.38	273.37	97.36	177.53	0.0
C1orf27	387.02	599.49	307.69	454.09	312.0	921.88	368.65	1135.2	392.44	571.05	332.14	432.53	379.04	412.0	463.65	525.39	775.05	603.67	486.75	363.56	181.28	122.64	248.0	0.0
C1orf74	88.88	151.22	123.5	105.89	98.73	156.59	74.06	217.27	108.9	142.01	78.34	170.25	157.68	94.67	113.56	142.01	186.4	189.02	131.51	64.34	22.92	46.18	42.11	0.0
CACNA1C	100.83	62.12	77.79	104.42	115.16	99.43	38.12	60.82	88.88	152.28	77.25	139.07	85.22	87.65	176.29	114.36	74.58	180.02	121.79	6.01	2.12	2.68	21.47	0.0
CAPSL	13.52	37.05	5.68	3.11	5.68	44.89	8.0	127.89	1.03	120.1	9.48	1.99	9.78	6.78	40.93	11.91	161.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CASP8	480.04	441.64	283.05	271.48	381.68	660.68	208.38	480.04	414.87	525.39	255.0	426.57	432.53	316.37	379.04	529.06	854.13	1073.91	426.57	202.66	155.5	186.4	198.47	412.0
CBWD1	884.29	1208.34	995.0	967.76	1268.46	1819.35	723.08	1073.91	1477.58	1135.2	1277.29	1225.22	1143.1	1111.82	1295.13	961.07	1685.71	1963.57	1135.2	69.03	397.93	224.97	348.71	0.0
CCDC58	500.46	743.43	563.18	591.22	743.43	1059.11	551.56	1208.34	928.3	860.08	656.11	660.68	748.61	791.35	624.99	748.61	1242.34	1467.37	651.58	624.99	825.0	599.49	612.11	1350.18
CDC42BPA	241.19	314.17	246.28	229.72	190.34	291.04	102.25	473.41	271.48	381.68	327.56	414.87	314.17	265.87	463.65	327.56	267.73	511.0	514.56	105.89	105.15	52.45	191.67	223.41
CDC42SE2	603.67	684.02	497.0	301.33	490.14	493.56	373.81	559.28	660.68	507.46	651.58	890.44	872.1	529.06	890.44	854.13	819.3	1030.12	1037.29	285.03	273.37	162.14	334.46	392.44
CDK7	633.73	909.17	414.87	567.1	616.37	902.89	633.73	1199.98	764.36	796.86	575.03	698.41	703.28	769.69	563.18	796.86	902.89	796.86	825.0	327.56	205.5	142.01	175.07	0.0
CHM	236.21	320.8	204.07	164.42	224.97	470.14	220.32	248.0	218.79	343.89	199.85	236.21	329.84	221.86	363.56	307.69	279.14	470.14	490.14	90.14	127.0	42.71	77.25	0.0
CHURC1	947.83	995.0	836.53	802.41	854.13	1350.18	842.36	1457.23	1008.9	1551.09	1175.27	1304.15	1340.84	1378.57	1369.04	1015.93	1508.65	1883.54	1651.0	540.19	1242.34	860.08	432.53	842.36
CLINT1	848.22	1519.15	909.17	785.88	612.11	1242.34	764.36	1111.82	1096.5	884.29	854.13	1208.34	1008.9	718.08	1477.58	1135.2	2075.59	1407.55	1369.04	728.11	743.43	647.07	708.18	0.0
COMMD10	551.56	819.3	334.46	384.34	525.39	1059.11	466.88	915.51	567.1	961.07	525.39	547.75	718.08	571.05	1143.1	733.19	896.64	1259.69	981.29	329.84	316.37	242.88	265.87	0.0
