	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.JY.A93F.01A.21R.A37I.31	TCGA.R6.A6L6.01B.11R.A336.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.VR.A8EX.01A.11R.A36D.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.VR.A8EU.01A.11R.A36D.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.R55G.1026.SM.48FDI	GTEX.ZLV1.0526.SM.4WWD4	GTEX.ZVP2.1326.SM.57WCE	GTEX.T6MO.0526.SM.4DM6R	GTEX.ZC5H.1326.SM.5HL7E	GTEX.13FTX.0526.SM.5IFGS	GTEX.11P7K.1326.SM.5BC5G	GTEX.14H4A.1626.SM.5SI69	GTEX.131XE.1426.SM.5HL7V	GTEX.1399R.0826.SM.5IJEL	GTEX.W5WG.1626.SM.4LMKG	GTEX.ZT9W.1326.SM.51MTB	GTEX.TML8.1526.SM.4DXUX	GTEX.ZG7Y.1126.SM.4WWEZ	GTEX.ZVT2.1326.SM.5E45H	GTEX.12BJ1.1626.SM.5HL8Y	GTEX.1122O.1726.SM.5GICM	GTEX.QV44.1126.SM.4R1KO	GTEX.11DXY.1426.SM.5N9CN	GTEX.PWCY.0726.SM.48TCS	GTEX.OXRN.1726.SM.3NM9B	GTEX.ZPCL.1426.SM.57WEC	GTEX.14AS3.0626.SM.5QGQD	TCGA.CV.7252.11A.01R.2016.07	TCGA.CV.6943.11A.01R.1915.07	TCGA.CV.7177.11A.01R.2016.07	TCGA.CV.7437.11A.01R.2132.07	GTEX.11WQC.0626.SM.5EQMF	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
ACOT7	1991.0	1936.53	1437.15	3820.7	2796.65	2090.03	1286.18	2178.83	1427.22	1757.34	974.5	1259.69	2119.22	988.12	3039.3	1572.76	830.75	780.44	429.54	1051.79	669.92	316.37	579.04	540.19	497.0	532.74	775.05	785.88	1008.9	500.46	808.0	928.3	497.0	669.92	559.28	674.59	743.43	511.0	473.41	599.49	884.29	934.76	780.44	1437.15	217.27	1819.35	2777.33	2609.3	1417.35	1794.29	1388.16	2520.38
ADRM1	2997.45	4671.57	4358.66	5479.15	3982.99	9151.82	3874.05	6250.56	3901.01	4419.52	3874.05	6935.54	5995.9	4268.94	5112.16	3665.02	3257.52	2335.28	2148.82	2720.15	2555.58	1819.35	2351.53	1923.14	2555.58	1963.57	2351.53	2664.15	2915.45	2351.53	2351.53	2739.08	2400.97	2758.13	2209.26	2193.99	2573.36	1769.57	2400.97	2303.12	2915.45	3257.52	2701.35	3874.05	1427.22	4268.94	4358.66	4802.93	3443.31	4481.23	3955.48	4298.64
ANXA1	1970321.01	447025.24	721179.07	573724.06	345900.08	234624.45	509950.32	682276.92	517068.97	614902.29	1355129.16	711250.37	316094.29	453265.5	365622.68	329517.51	1364554.84	208544.12	162489.97	217400.14	233003.78	184082.4	211455.3	244588.0	277089.94	124863.17	246289.25	217400.14	200048.85	190574.09	269512.87	211455.3	159145.95	189257.69	279017.26	244588.0	207103.59	198667.0	163620.18	294926.33	324980.94	313910.86	301123.38	303217.87	24153.43	573724.06	958220.73	834179.46	422911.59	863596.77	554180.87	789181.81
AP2S1	8479.89	7537.18	6079.61	7331.05	4671.57	16383.0	5076.84	10512.82	6652.97	4575.41	7180.15	6250.56	6607.01	4704.07	4298.64	5183.54	8078.22	4066.71	3372.43	4328.55	4512.4	3146.52	3690.52	4210.15	3168.41	3639.7	3395.89	4328.55	5041.77	3794.3	4210.15	4066.71	3491.39	4239.45	3212.66	3820.7	3847.29	3820.7	3124.78	3794.3	3794.3	4543.8	3540.14	4639.29	2061.24	8479.89	7130.55	5147.73	3639.7	7331.05	6426.31	8078.22
APOA1BP	1331.57	1991.0	2133.97	2335.28	2178.83	4038.61	1605.83	2367.9	1605.83	1870.53	1498.22	2224.63	3443.31	1685.71	1819.35	1806.78	1477.58	1111.82	947.83	1508.65	1397.83	860.08	1295.13	941.27	796.86	1023.0	1073.91	1286.18	1250.98	941.27	1286.18	1081.39	1208.34	1037.29	995.0	902.89	1259.69	872.1	902.89	1313.23	1583.71	1605.83	1427.22	2119.22	432.53	2796.65	1697.45	1896.65	1819.35	1870.53	2520.38	2148.82
C11orf48	3491.39	2075.59	2090.03	2451.44	2271.4	4937.99	2224.63	3257.52	2400.97	1685.71	1991.0	2935.74	3060.45	2104.58	2061.24	2104.58	1781.89	1508.65	1487.87	1617.0	2018.8	1151.06	1721.16	1295.13	1295.13	1250.98	1551.09	1950.0	1721.16	1477.58	1781.89	1417.35	1583.71	1529.73	1832.01	1605.83	1896.65	1313.23	1322.37	2104.58	1551.09	2240.11	1870.53	2855.44	802.41	3982.99	3235.01	2451.44	1870.53	2758.13	3103.19	3614.55
C17orf53	90.14	81.71	178.77	314.17	201.25	150.17	194.36	154.42	258.57	171.45	90.14	153.34	1819.35	56.28	514.56	113.56	126.12	36.79	34.75	47.84	69.03	30.56	38.12	23.25	23.25	40.93	27.05	67.12	62.12	13.62	53.95	39.5	36.79	44.89	46.18	53.19	31.0	51.71	17.77	30.56	62.12	43.94	57.49	91.41	6.52	64.8	80.01	145.02	67.12	68.55	100.13	120.1
CDC123	1369.04	1674.06	2018.8	2287.2	2075.59	2148.82	1745.2	2133.97	1923.14	1583.71	1572.76	1674.06	2090.03	1447.15	2502.97	1844.76	1437.15	1051.79	896.64	1151.06	1191.69	836.53	1233.75	1111.82	1073.91	915.51	1167.14	1427.22	1191.69	890.44	1143.1	1143.1	1159.07	1175.27	1242.34	769.69	1081.39	638.15	1073.91	1369.04	1662.49	1457.23	1259.69	1757.34	457.25	2875.3	2335.28	2287.2	1467.37	1832.01	1909.85	2591.27
CDK4	1977.24	2255.7	2976.74	3614.55	3820.7	6037.61	3235.01	3564.78	3716.2	4038.61	2018.8	2502.97	4450.27	2485.67	3982.99	2682.69	1417.35	1225.22	708.18	1322.37	1697.45	1001.93	1143.1	775.05	988.12	1030.12	1350.18	1331.57	1175.27	1081.39	1540.37	1127.35	1088.92	1151.06	1457.23	1001.93	1191.69	1096.5	902.89	1051.79	2178.83	1991.0	1745.2	2739.08	974.5	6207.38	2816.11	3515.68	1794.29	2555.58	2400.97	2303.12
DCTPP1	1437.15	825.0	819.3	995.0	808.0	2701.35	674.59	1340.84	967.76	1008.9	551.56	934.76	1870.53	1001.93	1073.91	802.41	540.19	603.67	529.06	708.18	693.58	406.31	503.95	373.81	457.25	540.19	483.38	748.61	633.73	470.14	638.15	551.56	483.38	497.0	620.67	387.02	607.87	438.59	432.53	466.88	854.13	967.76	684.02	1191.69	140.04	1721.16	571.05	1651.0	967.76	642.59	961.07	738.29
