	TCGA.BH.A1FM.01A.11R.A13Q.07	TCGA.A2.A1G1.01A.21R.A13Q.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.55.7726.01A.11R.2170.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.O5YW.0526.SM.2YUMX	GTEX.11NSD.0326.SM.5A5LS	GTEX.P4QT.0526.SM.2I3EX	GTEX.13O61.0726.SM.5J2MD	GTEX.TML8.0326.SM.4GICN	GTEX.P4PQ.0526.SM.2HMKR	GTEX.117YX.1326.SM.5H125	GTEX.U3ZN.0626.SM.3DB7U	GTEX.145MN.0926.SM.5NQBT	GTEX.13VXT.1426.SM.5LU4B	GTEX.XBEW.0226.SM.4AT6A	GTEX.13PL7.1726.SM.5J2NX	GTEX.XGQ4.0826.SM.4AT4T	GTEX.13OW6.0826.SM.5L3GA	GTEX.WH7G.0726.SM.3NMBM	GTEX.T8EM.0326.SM.3DB7F	GTEX.OHPM.0526.SM.2YUMJ
ABTB1	117.6	120.94	173.85	305.55	0.0	0.48	848.22	1001.93	1037.29	896.64	1639.59	1277.29	1104.13	1757.34	1191.69	423.61	1745.2	1417.35	1757.34	1378.57	1709.26	277.2	1111.82	486.75	674.59
ACD	305.55	339.14	170.25	249.73	0.0	0.61	253.23	262.2	277.2	371.22	287.01	429.54	444.72	420.68	299.25	295.11	381.68	307.69	358.54	480.04	559.28	127.0	291.04	189.02	267.73
ADRA2C	7.82	4.94	363.56	20.86	0.0	0.48	78.89	161.02	85.82	35.5	175.07	120.1	24.11	123.5	95.34	10.63	193.01	143.01	295.11	320.8	208.38	4.17	50.27	7.75	169.07
ALDH1L1	1.39	0.72	320.8	7.51	0.0	0.45	77.79	58.3	295.11	37.32	130.6	149.12	13.32	307.69	128.79	17.77	228.13	397.93	480.04	269.6	281.09	1.93	73.03	65.26	100.13
ANKRD53	1.85	3.99	10.08	4.58	0.0	0.33	56.28	26.67	22.92	30.56	26.86	50.27	35.0	21.94	39.22	16.63	34.75	36.27	108.9	75.64	47.84	14.56	17.0	16.75	37.85
ANKRD62	0.0	0.0	0.0	0.0	0.0	0.0	3.08	0.0	4.74	0.73	0.92	2.53	2.03	0.3	0.28	0.08	4.9	1.87	0.0	2.63	3.66	0.85	1.33	0.09	0.88
AOC3	147.06	167.9	563.18	543.96	303.44	180.02	3665.02	11267.44	12160.22	2956.17	9673.69	3491.39	3419.52	8901.53	4066.71	1437.15	4543.8	13215.02	5112.16	9344.14	1508.65	2400.97	2758.13	2956.17	11504.21
APBB3	86.43	122.64	169.07	209.84	0.0	1.14	118.43	249.73	139.07	277.2	218.79	320.8	409.15	543.96	136.19	147.06	532.74	351.14	470.14	363.56	234.57	66.65	166.73	100.13	64.8
ARAF	1051.79	1159.07	928.3	665.29	1259.69	412.0	1883.54	1733.13	1977.24	1844.76	2835.7	2119.22	2178.83	2537.92	1733.13	1639.59	2148.82	1857.6	1896.65	2627.46	2255.7	1529.73	1540.37	1208.34	1605.83
ASIC3	11.47	44.89	3.79	23.59	0.0	0.96	36.53	12.36	13.52	29.7	57.49	33.3	68.55	90.77	12.09	23.93	132.44	117.6	176.29	123.5	55.49	22.1	28.04	9.34	6.01
