	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.FV.A3R2.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.EJ.7783.01A.11R.2118.07	TCGA.CH.5764.01A.21R.1580.07	TCGA.EJ.7330.01A.11R.2118.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.TP.A8TV.01A.11R.A41O.07	TCGA.HC.A48F.01A.11R.A250.07	TCGA.VN.A88K.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.7327.01A.11R.2118.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.CH.5750.01A.11R.1580.07	TCGA.HC.7212.01A.11R.2118.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.YL.A8SC.01A.11R.A37L.07	TCGA.EJ.7784.01A.11R.2118.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.G9.7525.01A.31R.2263.07	TCGA.EJ.A6RC.01A.11R.A32O.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.ZG.A9L1.01A.11R.A41O.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.7788.01A.11R.2118.07	TCGA.V1.A9OF.01A.11R.A41O.07	TCGA.VP.A87E.01A.31R.A352.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.EJ.5495.01A.01R.1580.07	TCGA.EJ.A8FS.01A.11R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.EJ.5506.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.2A.A8VT.01A.11R.A37L.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.A65F.01A.21R.A311.07	TCGA.EJ.5511.01A.01R.1580.07	TCGA.CH.5762.01A.11R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.V1.A9ZK.01A.11R.A41O.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.HC.8259.11A.01R.2263.07
ADNP	183.82	158.79	175.07	201.25	183.82	199.85	163.28	420.68	1183.45	1088.92	988.12	1159.07	559.28	563.18	1037.29	612.11	674.59	1059.11	1242.34	665.29	559.28	796.86	1066.48	1268.46	607.87	780.44	1081.39	665.29	559.28	698.41	633.73	500.46	679.29	616.37	954.43	995.0	412.0	718.08	708.18	624.99	518.15	878.17	909.17	529.06	633.73	1135.2	934.76	417.77	403.5	1143.1	1081.39	660.68	454.09	1225.22	669.92	638.15	674.59	708.18	629.35	525.39	743.43	1044.52	764.36	743.43	616.37	802.41	1295.13	902.89	1023.0	595.34	679.29	642.59	1183.45	547.75	753.83	718.08	476.71	693.58	974.5	733.19	830.75	1304.15	497.0	638.15	503.95	543.96	624.99	575.03	769.69	688.78	480.04	575.03	591.22	743.43	435.55	567.1	599.49
AFTPH	211.31	215.77	211.31	215.77	177.53	285.03	170.25	547.75	902.89	579.04	902.89	1066.48	836.53	507.46	825.0	872.1	656.11	988.12	1044.52	921.88	896.64	884.29	1023.0	1001.93	1044.52	525.39	1104.13	656.11	529.06	909.17	753.83	547.75	708.18	693.58	660.68	1008.9	684.02	947.83	830.75	995.0	728.11	1023.0	718.08	679.29	656.11	967.76	878.17	426.57	551.56	1119.56	896.64	909.17	616.37	1151.06	669.92	426.57	759.08	1268.46	909.17	579.04	802.41	1529.73	819.3	802.41	490.14	633.73	967.76	1769.57	854.13	669.92	674.59	802.41	1081.39	651.58	1104.13	802.41	651.58	813.63	738.29	1001.93	878.17	1008.9	543.96	921.88	825.0	629.35	872.1	775.05	693.58	703.28	718.08	764.36	567.1	854.13	780.44	759.08	764.36
ANK3	19.97	10.39	26.28	13.52	19.82	96.68	70.51	346.29	808.0	825.0	669.92	921.88	480.04	381.68	1909.85	420.68	470.14	2555.58	3564.78	454.09	551.56	414.87	1844.76	3039.3	241.19	2018.8	967.76	438.59	454.09	483.38	356.05	123.5	438.59	2682.69	551.56	2835.7	480.04	1030.12	454.09	543.96	444.72	3665.02	529.06	708.18	486.75	713.11	318.57	209.84	387.02	915.51	1709.26	412.0	406.31	995.0	595.34	332.14	555.41	575.03	414.87	291.04	470.14	665.29	1697.45	559.28	551.56	1685.71	1023.0	860.08	728.11	457.25	525.39	607.87	2018.8	248.0	1447.15	1685.71	409.15	825.0	872.1	629.35	1857.6	1199.98	336.79	490.14	353.59	327.56	346.29	351.14	669.92	395.18	389.72	961.07	536.45	409.15	211.31	353.59	429.54
ASAP2	2.81	14.35	8.45	16.63	16.63	15.0	10.39	20.26	327.56	172.65	173.85	309.83	52.45	70.01	246.28	100.83	61.25	221.86	262.2	71.0	45.53	126.12	137.14	279.14	77.25	224.97	212.78	48.18	57.89	46.5	57.89	44.25	72.52	167.9	229.72	194.36	39.22	77.79	63.89	80.01	36.79	166.73	67.59	75.64	47.5	66.65	107.38	22.1	18.56	110.43	241.19	60.39	35.76	209.84	84.04	22.43	130.6	141.02	102.25	53.57	137.14	120.1	167.9	134.3	65.72	76.71	291.04	148.09	309.83	52.08	77.79	84.63	224.97	28.86	87.03	104.42	27.25	79.45	151.22	146.03	146.03	127.89	50.63	69.03	47.84	59.97	109.66	60.39	124.37	133.36	56.68	36.27	83.45	135.24	40.07	54.72	82.87
ASH1L	39.5	36.79	54.33	64.8	68.07	58.71	24.11	106.63	638.15	559.28	483.38	507.46	120.94	103.69	329.84	303.44	244.57	463.65	587.13	277.2	212.78	318.57	389.72	543.96	173.85	358.54	511.0	228.13	189.02	307.69	264.03	143.01	258.57	297.17	253.23	583.07	139.07	209.84	312.0	241.19	201.25	583.07	289.02	275.28	206.94	336.79	265.87	120.1	110.43	616.37	529.06	193.01	140.04	521.76	241.19	132.44	297.17	236.21	177.53	173.85	325.29	521.76	381.68	264.03	198.47	295.11	518.15	457.25	412.0	234.57	258.57	239.52	518.15	182.55	287.01	343.89	136.19	291.04	314.17	267.73	559.28	497.0	161.02	262.2	142.01	214.27	253.23	191.67	291.04	309.83	204.07	198.47	209.84	314.17	127.89	253.23	255.0
ATG16L1	305.55	368.65	226.54	237.86	251.48	262.2	199.85	389.72	669.92	503.95	480.04	476.71	403.5	341.51	693.58	444.72	480.04	454.09	563.18	540.19	450.94	507.46	403.5	647.07	366.09	486.75	521.76	480.04	371.22	444.72	417.77	303.44	460.44	460.44	346.29	591.22	204.07	397.93	447.82	420.68	392.44	532.74	384.34	441.64	403.5	361.04	514.56	395.18	503.95	532.74	363.56	409.15	373.81	518.15	395.18	366.09	525.39	447.82	400.71	480.04	454.09	547.75	480.04	371.22	429.54	603.67	718.08	571.05	536.45	438.59	547.75	316.37	500.46	460.44	665.29	480.04	476.71	518.15	441.64	486.75	708.18	656.11	447.82	490.14	376.41	432.53	525.39	525.39	567.1	466.88	420.68	514.56	460.44	583.07	532.74	426.57	473.41
ATP8A1	25.35	6.06	12.0	8.65	9.06	17.25	5.23	346.29	1088.92	1023.0	624.99	1059.11	860.08	624.99	995.0	808.0	466.88	1073.91	470.14	318.57	379.04	356.05	669.92	1015.93	547.75	775.05	848.22	532.74	624.99	518.15	351.14	316.37	318.57	1066.48	647.07	947.83	441.64	361.04	583.07	529.06	612.11	743.43	836.53	258.57	656.11	1023.0	656.11	301.33	163.28	961.07	587.13	500.46	483.38	633.73	329.84	217.27	753.83	896.64	392.44	409.15	387.02	775.05	607.87	1088.92	595.34	638.15	1417.35	872.1	1313.23	426.57	890.44	647.07	532.74	327.56	2224.63	540.19	503.95	563.18	1427.22	988.12	909.17	629.35	387.02	381.68	166.73	454.09	775.05	624.99	532.74	423.61	518.15	303.44	460.44	379.04	191.67	283.05	346.29
BAZ2A	199.85	208.38	155.5	228.13	155.5	209.84	95.34	208.38	1477.58	1199.98	1397.83	1081.39	435.55	460.44	890.44	647.07	551.56	808.0	1208.34	518.15	353.59	638.15	902.89	1191.69	346.29	796.86	1151.06	470.14	571.05	629.35	518.15	265.87	587.13	854.13	629.35	1340.84	327.56	447.82	571.05	507.46	307.69	941.27	514.56	624.99	429.54	753.83	909.17	293.07	301.33	1175.27	1096.5	555.41	289.02	1030.12	460.44	406.31	860.08	575.03	299.25	366.09	684.02	830.75	872.1	595.34	490.14	693.58	1277.29	1051.79	961.07	463.65	521.76	363.56	909.17	353.59	802.41	753.83	273.37	684.02	988.12	660.68	1135.2	1250.98	356.05	571.05	353.59	460.44	624.99	387.02	656.11	591.22	447.82	466.88	518.15	547.75	191.67	420.68	486.75
BCL2L11	198.47	70.51	81.71	251.48	275.28	177.53	193.01	193.01	406.31	392.44	387.02	438.59	249.73	186.4	470.14	329.84	180.02	371.22	346.29	221.86	190.34	220.32	327.56	400.71	215.77	293.07	40.93	198.47	212.78	176.29	182.55	178.77	201.25	214.27	444.72	336.79	162.14	204.07	191.67	189.02	178.77	264.03	191.67	193.01	244.57	289.02	325.29	175.07	149.12	307.69	358.54	178.77	143.01	376.41	163.28	173.85	249.73	271.48	197.09	220.32	273.37	409.15	249.73	277.2	226.54	244.57	529.06	336.79	395.18	223.41	253.23	221.86	228.13	251.48	215.77	232.94	141.02	260.38	256.78	363.56	269.6	312.0	153.34	267.73	140.04	169.07	231.32	165.57	239.52	327.56	262.2	195.72	232.94	260.38	173.85	156.59	211.31
BCOR	256.78	111.99	153.34	122.64	176.29	173.85	147.06	309.83	896.64	909.17	796.86	1295.13	301.33	363.56	1135.2	1119.56	336.79	909.17	967.76	490.14	595.34	642.59	928.3	1477.58	525.39	698.41	1008.9	387.02	414.87	400.71	291.04	403.5	329.84	785.88	1081.39	1540.37	361.04	624.99	500.46	379.04	332.14	674.59	320.8	392.44	358.54	967.76	679.29	647.07	417.77	603.67	718.08	633.73	223.41	1008.9	511.0	642.59	728.11	591.22	435.55	536.45	567.1	825.0	660.68	559.28	312.0	674.59	884.29	563.18	1286.18	312.0	532.74	466.88	748.61	414.87	665.29	454.09	447.82	603.67	1313.23	909.17	921.88	872.1	395.18	395.18	412.0	384.34	642.59	441.64	514.56	476.71	587.13	688.78	559.28	444.72	190.34	483.38	389.72
