	TCGA.B2.5641.01A.01R.1541.07	TCGA.AK.3429.01A.02R.1325.07	TCGA.B2.3924.01A.02R.1325.07	TCGA.CJ.5672.01A.11R.1541.07	TCGA.BP.4346.01A.01R.1289.07	TCGA.A3.3347.01A.02R.1325.07	TCGA.CJ.4903.01A.01R.1426.07	TCGA.B0.4690.01A.01R.1277.07	TCGA.B0.4848.01A.01R.1277.07	TCGA.B0.5081.01A.01R.1334.07	TCGA.BP.5180.01A.01R.1426.07	TCGA.CZ.5464.01A.01R.1503.07	TCGA.CJ.5675.01A.11R.1541.07	TCGA.B8.A54G.01A.11R.A266.07	TCGA.BP.4173.01A.02R.1289.07	TCGA.CJ.6030.01A.11R.1672.07	TCGA.CJ.4890.01A.01R.1305.07	TCGA.BP.5173.01A.01R.1426.07	TCGA.CJ.4916.01A.01R.1426.07	TCGA.BP.5201.01A.01R.1426.07	TCGA.B8.5551.01A.01R.1541.07	TCGA.DV.5573.01A.01R.1541.07	TCGA.CW.6087.01A.11R.1672.07	TCGA.B8.5163.01A.01R.1420.07	TCGA.BP.4804.01A.02R.1305.07	TCGA.B0.5092.01A.01R.1420.07	TCGA.BP.4798.01A.01R.1305.07	TCGA.CJ.4887.01A.01R.1305.07	TCGA.CJ.4637.01A.02R.1325.07	TCGA.CJ.4869.01A.02R.1426.07	TCGA.B0.5692.01A.11R.1541.07	TCGA.CZ.4864.01A.01R.1503.07	TCGA.CJ.4871.01A.01R.1305.07	GTEX.132NY.1226.SM.5PNVF	GTEX.139TT.0726.SM.5K7XW	GTEX.YF7O.0626.SM.4W21R	GTEX.14ABY.1126.SM.5Q5F8	GTEX.13U4I.1426.SM.5J2M3	GTEX.12WSI.0826.SM.5EGKD	GTEX.13O3O.0726.SM.5J1N7	GTEX.1313W.0926.SM.5EQ56	GTEX.Y5V5.0826.SM.4VBQD	GTEX.12WSD.0826.SM.5GCNE	GTEX.12584.1426.SM.5EGJ9	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.QXCU.0626.SM.2TC69	GTEX.13OVH.1026.SM.5J2NP	GTEX.S7SE.0926.SM.2XCD6	GTEX.Y111.1026.SM.4TT22	GTEX.P4QT.0526.SM.2I3EX	GTEX.U8XE.1426.SM.3DB8Q	GTEX.WZTO.0426.SM.3NM99	GTEX.147JS.1226.SM.5RQK4	GTEX.V1D1.0826.SM.3P5ZA	GTEX.11EI6.0826.SM.5985V	GTEX.X3Y1.0626.SM.3P5YS	GTEX.14E7W.1326.SM.5RQIV	GTEX.13PVQ.0926.SM.5IJFD	GTEX.RWSA.1126.SM.2XCAZ	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11GSP.0726.SM.5986L	GTEX.12696.1026.SM.5FQUV	GTEX.ZDXO.1326.SM.57WBS	GTEX.117YW.0526.SM.5H11C	GTEX.11NV4.1126.SM.5HL6J	GTEX.11EMC.0126.SM.5EGKV	GTEX.PX3G.0526.SM.2I3EM	GTEX.OHPL.0526.SM.3NM8U	GTEX.X4EO.0926.SM.3P5Z2	GTEX.13QJC.0526.SM.5RQKB	GTEX.13FLV.0426.SM.5KLZA	GTEX.13N2G.0826.SM.5IJE6	GTEX.13N1W.0726.SM.5MR57	GTEX.T6MN.0826.SM.32PM4	GTEX.WRHU.0226.SM.3MJFV	GTEX.13VXU.2726.SM.5LU4N	GTEX.P78B.0926.SM.2I5FA	GTEX.11NUK.0826.SM.5HL4U	GTEX.Q734.0626.SM.2I3EF	GTEX.13OW6.0826.SM.5L3GA	GTEX.Y3IK.0626.SM.4WWE4	GTEX.145MF.0726.SM.5Q5BT	GTEX.W5X1.0526.SM.3GILH	GTEX.SIU8.0926.SM.5SI87	GTEX.ZYT6.0526.SM.5GIEA	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.OXRL.0526.SM.2I3EZ	GTEX.VJYA.0326.SM.3GAEX	GTEX.T2IS.0526.SM.32QP9	GTEX.OIZG.0526.SM.2HMLF	GTEX.SUCS.0626.SM.32PM5	GTEX.QEG4.0526.SM.48TZD	GTEX.XOT4.1426.SM.4B65T	GTEX.13G51.0426.SM.5K7Z5	GTEX.13NYB.0626.SM.5MR47	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.131XH.0426.SM.5DUWU
ABCA12	52.45	2.39	16.63	12.93	13.12	108.14	34.26	28.65	118.43	35.0	70.51	88.88	36.53	3.2	20.41	44.89	17.25	1.83	7.28	26.1	30.12	34.51	57.08	32.36	16.27	6.11	5.63	24.46	9.2	20.56	12.74	7.4	92.05	0.55	0.56	0.0	0.0	0.62	0.62	7.34	0.61	0.0	0.0	0.74	0.71	0.0	0.0	0.0	0.0	0.0	2.12	0.61	0.53	0.65	0.0	2.23	0.0	0.57	0.64	0.0	0.62	0.65	0.0	2.03	0.59	0.0	0.0	2.07	0.0	0.0	0.71	0.68	0.0	0.0	0.0	0.6	0.66	2.29	0.69	0.56	0.65	11.64	2.1	0.0	0.58	0.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.59	0.0	0.0	0.0	0.0
ABCC3	2193.99	1127.35	629.35	1467.37	1208.34	3018.3	2468.49	1936.53	1896.65	1540.37	3280.18	1977.24	1407.55	551.56	1159.07	1977.24	1135.2	540.19	1819.35	1369.04	3212.66	1030.12	884.29	1857.6	2209.26	1151.06	1295.13	2004.85	1277.29	872.1	928.3	921.88	1183.45	246.28	146.03	277.2	988.12	4671.57	836.53	258.57	1883.54	218.79	1001.93	52.82	616.37	32.13	435.55	1977.24	624.99	1437.15	656.11	98.04	878.17	1857.6	532.74	854.13	323.03	1781.89	65.26	511.0	460.44	457.25	212.78	928.3	66.18	47.5	733.19	332.14	764.36	1697.45	262.2	934.76	187.71	423.61	66.18	70.51	4481.23	802.41	1191.69	547.75	1832.01	1143.1	2573.36	4268.94	1183.45	1628.26	327.56	356.05	470.14	476.71	5995.9	85.82	2777.33	27.84	63.45	34.26	457.25	98.04	312.0	167.9
ABHD12	1277.29	1322.37	1540.37	1208.34	1268.46	1216.75	1977.24	1183.45	2178.83	1331.57	2796.65	2434.5	1617.0	1936.53	1757.34	1674.06	1769.57	1167.14	1447.15	1417.35	2133.97	1397.83	1628.26	1498.22	1806.78	1225.22	1662.49	2335.28	1216.75	1540.37	1457.23	1519.15	2061.24	1167.14	638.15	1709.26	1378.57	1175.27	1639.59	476.71	1685.71	902.89	954.43	679.29	1242.34	718.08	1066.48	1037.29	1001.93	1350.18	679.29	723.08	1757.34	1769.57	896.64	1225.22	669.92	1127.35	616.37	607.87	775.05	1781.89	616.37	808.0	463.65	1175.27	1447.15	1242.34	854.13	1295.13	1350.18	1674.06	1250.98	872.1	995.0	466.88	1529.73	1794.29	934.76	872.1	1233.75	1359.57	1008.9	1519.15	1397.83	896.64	1427.22	1551.09	1447.15	909.17	1991.0	764.36	769.69	547.75	1088.92	366.09	2255.7	866.07	1088.92	866.07
AIFM1	1883.54	1407.55	1023.0	3039.3	1662.49	1044.52	2384.37	961.07	1529.73	1407.55	1059.11	2104.58	2835.7	1781.89	1151.06	1467.37	961.07	1119.56	1628.26	2209.26	995.0	2434.5	825.0	769.69	1015.93	2573.36	921.88	2609.3	808.0	2739.08	2090.03	1540.37	1697.45	409.15	267.73	733.19	361.04	503.95	376.41	232.94	392.44	414.87	429.54	211.31	450.94	215.77	323.03	368.65	403.5	571.05	656.11	314.17	454.09	591.22	277.2	532.74	228.13	381.68	260.38	232.94	376.41	503.95	220.32	346.29	182.55	366.09	921.88	748.61	414.87	348.71	212.78	503.95	392.44	329.84	314.17	269.6	559.28	420.68	551.56	339.14	738.29	490.14	514.56	277.2	444.72	480.04	624.99	748.61	366.09	603.67	547.75	366.09	264.03	229.72	295.11	218.79	486.75	307.69	289.02	277.2
ANKEF1	154.42	105.15	96.68	51.35	69.03	93.35	87.03	131.51	138.1	63.89	85.22	89.51	89.51	39.79	79.45	102.25	50.63	77.79	77.25	60.82	104.42	63.0	93.35	108.9	48.18	47.17	62.56	48.52	93.35	50.98	71.5	78.89	92.05	27.64	20.11	76.71	45.21	59.13	45.53	72.52	38.95	51.71	48.18	16.39	33.3	55.1	36.79	66.18	43.32	69.03	108.9	27.64	22.59	65.26	17.0	87.65	26.86	17.9	76.71	25.54	24.81	49.91	17.9	18.16	8.25	48.52	71.5	85.82	24.11	35.0	32.36	38.12	43.94	20.56	40.64	27.44	50.98	38.4	117.6	85.82	77.25	115.97	68.55	18.97	59.13	75.64	96.01	63.45	40.64	50.98	59.97	23.76	13.32	20.56	30.56	10.88	25.72	33.06	20.26	54.72
ASUN	406.31	476.71	587.13	435.55	429.54	612.11	703.28	638.15	559.28	403.5	591.22	460.44	444.72	514.56	358.54	466.88	559.28	669.92	514.56	579.04	414.87	559.28	599.49	866.07	429.54	460.44	444.72	532.74	543.96	525.39	423.61	371.22	551.56	205.5	237.86	218.79	334.46	287.01	136.19	285.03	358.54	193.01	285.03	178.77	511.0	147.06	244.57	332.14	297.17	100.83	221.86	169.07	423.61	346.29	100.83	236.21	107.38	187.71	193.01	89.51	173.85	242.88	206.94	293.07	165.57	67.59	185.11	327.56	403.5	139.07	167.9	78.89	134.3	163.28	92.05	169.07	307.69	94.01	420.68	226.54	241.19	267.73	423.61	218.79	334.46	244.57	143.01	432.53	251.48	182.55	224.97	146.03	131.51	142.01	141.02	358.54	141.02	163.28	131.51	69.03
ATP8B3	397.93	13.62	36.79	58.3	123.5	165.57	42.11	198.47	34.02	133.36	743.43	148.09	41.52	89.51	78.34	53.95	82.29	21.94	58.71	41.81	246.28	67.12	116.78	68.07	253.23	147.06	94.67	59.55	253.23	118.43	305.55	56.68	198.47	15.34	19.39	15.22	17.51	72.01	30.56	2.41	30.12	30.56	46.18	10.47	25.91	47.5	12.55	98.04	47.17	15.11	3.89	6.21	32.59	54.72	38.67	85.82	3.72	11.82	5.06	18.16	18.16	27.84	21.94	36.27	14.35	8.0	127.0	42.11	123.5	24.81	8.06	10.79	3.47	17.77	5.87	8.92	24.81	38.67	96.01	3.59	35.5	3.79	69.03	42.41	43.63	159.9	41.81	16.15	30.56	34.51	52.08	21.47	28.65	10.63	8.71	3.72	17.38	19.68	16.39	3.59
BLOC1S5	674.59	395.18	543.96	346.29	660.68	426.57	529.06	353.59	595.34	275.28	507.46	358.54	866.07	633.73	423.61	595.34	293.07	507.46	435.55	420.68	329.84	571.05	466.88	420.68	312.0	420.68	426.57	343.89	703.28	532.74	567.1	764.36	373.81	100.13	136.19	123.5	232.94	202.66	182.55	67.12	177.53	212.78	164.42	55.1	202.66	80.01	68.55	417.77	332.14	150.17	70.01	161.02	177.53	228.13	149.12	199.85	98.73	112.77	183.82	76.71	121.79	206.94	85.82	154.42	57.08	152.28	189.02	279.14	162.14	100.83	89.51	170.25	72.52	218.79	189.02	100.83	194.36	131.51	320.8	98.73	108.9	115.97	363.56	120.1	301.33	312.0	139.07	234.57	265.87	139.07	147.06	165.57	159.9	104.42	115.16	118.43	94.67	130.6	102.97	130.6
BRI3BP	195.72	90.77	190.34	102.25	155.5	190.34	161.02	176.29	215.77	126.12	156.59	144.01	166.73	105.89	101.54	153.34	120.1	96.01	111.99	111.99	206.94	143.01	167.9	151.22	90.14	74.58	111.99	100.83	105.15	86.43	76.71	139.07	129.69	44.57	50.27	118.43	47.17	95.34	44.89	28.24	61.68	72.52	66.18	35.5	60.39	31.67	31.67	88.26	80.57	100.83	100.83	43.02	74.58	67.12	50.27	105.15	33.78	37.32	29.27	49.56	27.25	57.49	25.54	38.4	26.28	37.05	156.59	152.28	48.87	84.63	38.67	56.28	29.48	56.28	77.25	21.16	86.43	46.84	189.02	59.97	108.14	57.89	87.03	61.25	82.87	93.35	113.56	136.19	65.26	86.43	98.04	40.07	47.84	32.13	32.13	42.11	41.81	49.56	76.71	27.84
C11orf54	4419.52	4419.52	4972.34	2520.38	4388.98	1844.76	3491.39	941.27	1991.0	825.0	1662.49	3280.18	3212.66	3955.48	1883.54	2976.74	1183.45	1870.53	2739.08	1794.29	934.76	2303.12	934.76	1135.2	1259.69	2417.67	1674.06	2835.7	1628.26	2287.2	2520.38	4450.27	2417.67	312.0	318.57	1037.29	723.08	808.0	612.11	129.69	571.05	915.51	656.11	111.99	447.82	159.9	221.86	1015.93	738.29	890.44	262.2	543.96	417.77	733.19	343.89	825.0	191.67	231.32	242.88	373.81	197.09	769.69	242.88	223.41	108.9	555.41	647.07	1104.13	599.49	723.08	281.09	1143.1	323.03	307.69	1175.27	291.04	708.18	674.59	796.86	595.34	713.11	536.45	1757.34	575.03	1030.12	909.17	921.88	1096.5	473.41	503.95	1008.9	656.11	497.0	232.94	218.79	175.07	738.29	303.44	244.57	277.2
