	TCGA.BT.A20N.11A.11R.A14Y.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.11P82.0426.SM.5HL5D	GTEX.1211K.1326.SM.5FQV2	GTEX.12WSJ.0726.SM.5GCN6	GTEX.13OVG.0926.SM.5J2OJ	GTEX.131XF.0926.SM.5BC69	GTEX.13X6H.1426.SM.5SI91	GTEX.YB5K.0726.SM.5LU8R	GTEX.ZZ64.0326.SM.5E45S	GTEX.YF7O.0826.SM.4W21F	GTEX.13OVJ.1326.SM.5K7Z9	GTEX.13QBU.0926.SM.5K7WQ	TCGA.38.4625.01A.01R.1206.07	TCGA.91.6831.11A.02R.1858.07	GTEX.139UW.0226.SM.5K7WU	GTEX.QMR6.1926.SM.32PL9	TCGA.33.4589.01A.01R.1443.07	TCGA.77.7335.11A.01R.2045.07	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.HU.A4HB.11A.11R.A251.31	TCGA.HU.A4G3.11A.11R.A24K.31	GTEX.S4Z8.1226.SM.4AD6W	GTEX.146FR.2026.SM.5NQAI	GTEX.T5JC.1926.SM.4DM6Q	GTEX.13O3Q.2126.SM.5KM4C	GTEX.Y114.1226.SM.4TT88	GTEX.1211K.1426.SM.5FQTF	GTEX.RU1J.0526.SM.46MUT	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.11VI4.0326.SM.5EQ6L	GTEX.TKQ2.0926.SM.4DXU5	GTEX.ZV6S.0926.SM.57WGB	GTEX.UPIC.1826.SM.4IHKC	GTEX.PLZ6.0826.SM.3P61K	GTEX.OIZH.1526.SM.3NB1J	GTEX.131XE.2226.SM.5PNYX	GTEX.R55D.1526.SM.48FEJ	GTEX.TKQ1.0526.SM.4DXTG	GTEX.S7SF.0626.SM.4AD4V	GTEX.XPVG.1526.SM.4B66C
AKT2	2133.97	1991.0	2682.69	2485.67	2255.7	2075.59	1709.26	1991.0	1936.53	1769.57	1397.83	1709.26	1977.24	1295.13	1794.29	2485.67	961.07	981.29	743.43	620.67	1008.9	967.76	2555.58	2148.82	2384.37	3639.7	3190.46	3589.58	3901.01	2855.44	3190.46	3874.05	3742.05	3124.78	4239.45	2739.08	4152.18	4328.55	3874.05	3639.7	3847.29	3955.48	3847.29	3235.01
ANKRD9	116.78	94.01	165.57	447.82	384.34	289.02	197.09	381.68	229.72	303.44	182.55	197.09	244.57	281.09	287.01	281.09	0.0	105.15	147.06	26.67	36.01	33.06	287.01	473.41	543.96	587.13	435.55	1183.45	339.14	947.83	368.65	780.44	1111.82	371.22	915.51	320.8	759.08	334.46	366.09	503.95	1030.12	791.35	583.07	738.29
ARHGEF4	450.94	638.15	1870.53	1417.35	836.53	423.61	229.72	234.57	226.54	262.2	80.01	149.12	118.43	124.37	106.63	255.0	0.0	239.52	19.11	167.9	94.67	102.97	579.04	830.75	884.29	1551.09	1059.11	3060.45	1806.78	884.29	1104.13	1857.6	2090.03	1407.55	2537.92	555.41	2835.7	2417.67	1551.09	2032.85	1561.89	1896.65	1819.35	1519.15
BCL11A	89.51	61.68	470.14	151.22	159.9	110.43	33.3	120.94	21.16	81.71	72.01	54.33	76.17	66.18	62.56	71.5	0.0	47.84	58.71	8.13	111.21	55.1	356.05	587.13	450.94	309.83	748.61	2537.92	1551.09	1977.24	785.88	2468.49	1757.34	674.59	2047.0	2434.5	4328.55	878.17	2997.45	3589.58	2255.7	1551.09	2351.53	1781.89
C19orf68	117.6	112.77	147.06	183.82	145.02	110.43	65.26	96.68	88.88	95.34	41.52	51.71	65.72	48.52	56.28	88.88	0.0	58.71	11.38	33.54	4.58	6.84	130.6	163.28	205.5	223.41	232.94	195.72	202.66	159.9	198.47	341.51	165.57	112.77	450.94	77.25	307.69	135.24	220.32	163.28	195.72	208.38	236.21	176.29
CAND2	211.31	226.54	500.46	379.04	154.42	224.97	119.26	155.5	178.77	145.02	90.77	128.79	111.21	129.69	99.43	201.25	0.0	47.5	43.94	38.67	8.65	57.89	218.79	318.57	343.89	351.14	307.69	351.14	389.72	185.11	295.11	486.75	426.57	291.04	435.55	236.21	693.58	366.09	426.57	532.74	271.48	368.65	409.15	253.23
CBFA2T2	161.02	220.32	343.89	212.78	260.38	220.32	131.51	142.01	120.94	198.47	115.97	110.43	161.02	116.78	165.57	208.38	0.0	111.99	82.29	108.9	21.01	97.36	325.29	389.72	543.96	336.79	373.81	351.14	441.64	329.84	269.6	753.83	591.22	420.68	842.36	248.0	616.37	327.56	500.46	476.71	638.15	466.88	633.73	403.5
CCDC106	339.14	397.93	521.76	329.84	316.37	507.46	429.54	406.31	351.14	412.0	312.0	267.73	271.48	438.59	305.55	348.71	0.0	197.09	226.54	197.09	31.45	151.22	444.72	563.18	507.46	567.1	579.04	1313.23	909.17	563.18	988.12	915.51	1199.98	473.41	878.17	1073.91	2163.77	435.55	583.07	624.99	738.29	1359.57	896.64	884.29
CDK20	316.37	283.05	297.17	178.77	155.5	161.02	102.97	180.02	141.02	167.9	107.38	191.67	100.83	124.37	73.54	121.79	0.0	98.04	35.5	48.52	5.73	97.36	241.19	212.78	299.25	348.71	258.57	351.14	325.29	279.14	194.36	429.54	563.18	297.17	503.95	320.8	825.0	397.93	432.53	529.06	339.14	314.17	669.92	389.72
CEBPA	2.71	2.66	8.51	20.56	26.28	75.11	0.0	27.25	18.03	34.75	13.93	0.0	10.63	10.79	0.0	21.01	0.0	7.34	26.67	8.85	1.97	3.53	43.63	29.7	50.98	171.45	110.43	187.71	27.05	77.79	72.01	126.12	84.04	29.06	414.87	24.11	429.54	30.12	40.36	77.25	169.07	232.94	176.29	88.88
