	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A2.11A.11R.A213.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.DD.A39W.11A.11R.A213.07	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.11ZVC.0726.SM.5FQT9	GTEX.13NYS.1626.SM.5J2MU	GTEX.12WSI.0826.SM.5EGKD	GTEX.YFCO.0426.SM.4W1Z7	GTEX.X5EB.0426.SM.46MVY	GTEX.YECK.0926.SM.4W214	GTEX.OOBJ.0526.SM.48TDK	GTEX.X3Y1.0626.SM.3P5YS	GTEX.117YW.0526.SM.5H11C	GTEX.11ZUS.0126.SM.5EQM5	GTEX.145MN.0926.SM.5NQBT	GTEX.ZPU1.0926.SM.57WDO	GTEX.XBEW.0226.SM.4AT6A	GTEX.T6MN.0826.SM.32PM4	GTEX.ZE7O.0826.SM.57WCP	GTEX.ZUA1.1026.SM.4YCEA	GTEX.Y3IK.0626.SM.4WWE4	GTEX.145MF.0726.SM.5Q5BT	GTEX.111VG.0726.SM.5GIDC	GTEX.S341.0326.SM.2XCAU	GTEX.13FTX.0326.SM.5J2NG	GTEX.11ZTT.0626.SM.5EQLM	GTEX.1399U.0826.SM.5KM1P
ADAM12	0.52	2.84	2.12	2.1	3.17	2.05	1.36	7.46	0.77	137.14	84.04	1.33	11.38	19.68	4.9	35.0	124.37	96.68	4.62	6.01	3.66	26.86	15.22	46.18	20.71	28.65	107.38	10.55	12.83	11.3	9.2
ADCY6	129.69	132.44	141.02	163.28	80.01	116.78	123.5	127.89	145.02	830.75	406.31	368.65	620.67	587.13	305.55	473.41	2271.4	775.05	540.19	251.48	525.39	633.73	629.35	733.19	563.18	221.86	1674.06	470.14	785.88	547.75	241.19
AFAP1	7.88	11.64	12.64	9.13	18.16	14.14	17.9	6.36	24.11	260.38	167.9	99.43	90.77	195.72	109.66	161.02	607.87	244.57	88.88	183.82	147.06	536.45	187.71	536.45	223.41	221.86	603.67	119.26	128.79	126.12	63.89
ANTXR1	15.8	63.0	44.57	27.44	63.89	35.25	82.29	46.18	102.25	2720.15	1457.23	579.04	633.73	2682.69	647.07	684.02	6164.49	3639.7	579.04	1437.15	785.88	3349.13	1508.65	4152.18	1096.5	1111.82	4358.66	764.36	679.29	1359.57	503.95
B4GALT3	642.59	371.22	547.75	447.82	336.79	301.33	291.04	312.0	307.69	1286.18	656.11	1051.79	629.35	825.0	1008.9	748.61	1369.04	836.53	525.39	723.08	368.65	954.43	878.17	1427.22	854.13	684.02	1733.13	403.5	974.5	373.81	738.29
BNC2	0.56	4.94	1.85	1.27	2.41	2.32	2.97	1.41	1.6	154.42	75.64	13.42	60.82	98.04	26.47	97.36	208.38	111.21	17.64	39.79	49.21	231.32	40.93	176.29	56.68	46.18	199.85	23.42	20.56	48.52	14.78
C11orf30	50.98	61.25	85.82	73.54	70.01	82.29	110.43	54.33	129.69	285.03	305.55	115.16	198.47	387.02	175.07	234.57	521.76	511.0	145.02	248.0	209.84	258.57	231.32	341.51	234.57	285.03	429.54	185.11	155.5	237.86	139.07
CCND2	16.39	28.45	16.27	12.27	24.11	13.12	32.82	21.78	11.91	808.0	493.56	185.11	295.11	1397.83	571.05	540.19	1159.07	1447.15	295.11	189.02	289.02	1151.06	595.34	2701.35	450.94	466.88	1467.37	309.83	339.14	84.04	258.57
CD276	890.44	759.08	583.07	941.27	836.53	633.73	860.08	934.76	967.76	2855.44	1896.65	1104.13	1051.79	1477.58	902.89	1151.06	2193.99	1233.75	981.29	1127.35	748.61	2434.5	902.89	1745.2	1709.26	1030.12	1551.09	1151.06	1369.04	915.51	967.76
CNN2	507.46	414.87	559.28	698.41	759.08	674.59	785.88	480.04	529.06	5006.93	5292.48	4639.29	5076.84	4607.24	5366.37	4066.71	6037.61	6745.86	5112.16	4095.0	5517.27	10368.08	3103.19	6516.03	4704.07	2895.31	10585.95	2816.11	3768.09	5255.91	3874.05
COL1A1	82.29	669.92	269.6	198.47	417.77	327.56	180.02	127.89	201.25	16496.96	988.12	848.22	2451.44	1857.6	934.76	7695.57	14262.1	2319.15	819.3	1037.29	1745.2	3716.2	1159.07	9474.59	4152.18	713.11	4419.52	1844.76	1963.57	2434.5	607.87
COL1A2	157.68	808.0	414.87	279.14	595.34	258.57	329.84	291.04	255.0	22225.61	5517.27	2018.8	7032.37	7857.29	3716.2	11112.3	30999.42	6207.38	2319.15	3395.89	4388.98	15824.9	3982.99	22692.63	6699.25	2537.92	14163.58	4736.79	2591.27	8598.28	1191.69
COL3A1	94.67	921.88	791.35	521.76	902.89	759.08	518.15	616.37	540.19	14461.21	1883.54	1794.29	2224.63	2367.9	967.76	6840.04	13776.25	2591.27	954.43	1183.45	1745.2	4639.29	1322.37	10014.87	4010.71	1023.0	4181.07	2119.22	2104.58	3395.89	555.41
COL6A2	325.29	1096.5	981.29	543.96	1015.93	769.69	1388.16	769.69	872.1	17927.91	8363.13	3081.75	6887.62	12764.83	2835.7	12415.75	32540.65	18819.27	6037.61	2209.26	9740.98	16960.78	7032.37	14065.74	4903.87	1991.0	23009.42	3372.43	6561.36	5041.77	2148.82
CRIM1	25.72	163.28	122.64	116.78	144.01	171.45	151.22	145.02	164.42	796.86	1135.2	1551.09	521.76	1819.35	1175.27	612.11	2400.97	1883.54	866.07	1073.91	1286.18	1991.0	1023.0	2255.7	738.29	1757.34	4639.29	1088.92	1073.91	1427.22	791.35
DLGAP4	507.46	356.05	341.51	299.25	336.79	297.17	460.44	285.03	447.82	1199.98	1233.75	1104.13	1104.13	1685.71	1388.16	775.05	2434.5	2739.08	878.17	872.1	1015.93	1806.78	1051.79	2148.82	1135.2	928.3	3955.48	842.36	872.1	1111.82	665.29
DYRK2	38.4	36.53	36.27	33.3	40.36	36.53	44.89	37.85	23.59	454.09	273.37	120.94	133.36	209.84	165.57	312.0	426.57	346.29	195.72	158.79	166.73	438.59	172.65	356.05	143.01	239.52	309.83	165.57	131.51	180.02	106.63
ENAH	101.54	76.71	138.1	121.79	123.5	104.42	77.25	96.68	102.25	884.29	836.53	802.41	463.65	748.61	295.11	591.22	1857.6	1427.22	444.72	693.58	669.92	995.0	612.11	1733.13	1008.9	1286.18	2627.46	698.41	432.53	1216.75	269.6
FAP	7.28	9.2	3.08	0.0	5.36	1.89	0.61	2.43	5.82	406.31	253.23	26.28	101.54	205.5	29.27	189.02	521.76	107.38	37.85	47.5	46.84	312.0	221.86	293.07	204.07	204.07	336.79	32.82	59.55	60.39	20.71
FAT4	6.41	21.78	35.76	27.64	19.39	21.47	38.67	33.78	34.02	126.12	143.01	36.27	45.53	49.21	53.95	167.9	808.0	194.36	53.19	135.24	126.12	187.71	66.18	152.28	43.02	50.27	529.06	87.65	44.89	237.86	46.5
FGFR1	43.63	89.51	178.77	82.87	124.37	115.16	90.14	59.97	148.09	4268.94	1340.84	669.92	629.35	3103.19	363.56	563.18	3081.75	4575.41	743.43	441.64	947.83	2434.5	587.13	5633.22	748.61	529.06	4298.64	616.37	743.43	518.15	429.54
GALC	100.13	177.53	120.1	125.24	96.01	142.01	29.06	77.79	146.03	457.25	896.64	616.37	470.14	813.63	547.75	353.59	2502.97	1844.76	713.11	780.44	438.59	909.17	1216.75	1457.23	909.17	1605.83	4010.71	743.43	346.29	872.1	543.96
GLIS2	9.13	39.5	36.01	25.35	28.65	21.78	31.67	17.9	19.68	708.18	555.41	1015.93	316.37	967.76	759.08	181.28	2047.0	1487.87	351.14	684.02	397.93	2193.99	571.05	642.59	525.39	353.59	1561.89	366.09	483.38	289.02	249.73
HDC	9.78	7.75	21.78	10.08	9.78	15.8	52.45	9.06	13.22	63.89	1037.29	19.39	125.24	486.75	83.45	144.01	1685.71	860.08	74.06	104.42	79.45	1081.39	785.88	738.29	103.69	397.93	1583.71	173.85	50.63	89.51	94.67
HNRNPH3	674.59	1167.14	1259.69	1208.34	1313.23	1447.15	1806.78	1008.9	1685.71	4512.4	2075.59	1819.35	1745.2	3372.43	2451.44	3039.3	3589.58	5594.3	3124.78	1721.16	2133.97	4388.98	2701.35	5594.3	2303.12	2468.49	5751.61	2163.77	3639.7	2502.97	2758.13
HRH1	2.29	2.89	4.82	1.73	3.59	2.97	1.23	2.1	3.32	221.86	161.02	46.18	48.18	123.5	86.43	64.34	195.72	220.32	51.71	181.28	59.55	441.64	46.18	164.42	88.88	241.19	397.93	54.72	91.41	60.82	45.53
IL1R1	195.72	902.89	1023.0	1119.56	830.75	733.19	444.72	599.49	1159.07	6294.04	3768.09	988.12	780.44	961.07	571.05	934.76	5255.91	2032.85	836.53	1674.06	902.89	2664.15	1044.52	7180.15	1359.57	2956.17	6250.56	642.59	1104.13	1447.15	1331.57
LAMA4	43.63	30.34	55.89	36.27	46.5	46.18	72.52	51.35	65.72	624.99	1397.83	329.84	780.44	1208.34	780.44	493.56	4419.52	3639.7	397.93	909.17	507.46	3443.31	2119.22	3589.58	1350.18	909.17	6607.01	476.71	529.06	1008.9	314.17
LIMA1	116.78	178.77	153.34	175.07	209.84	205.5	164.42	115.97	169.07	819.3	1819.35	825.0	1051.79	1594.73	1066.48	1023.0	3847.29	2976.74	808.0	1127.35	1037.29	2591.27	909.17	2701.35	2209.26	1819.35	5913.33	1322.37	780.44	1216.75	988.12
LINC00632	0.0	1.85	1.71	0.0	0.0	0.0	8.32	0.0	0.0	59.97	10.31	0.0	1.93	17.51	0.82	1.77	87.03	26.47	1.85	4.74	2.39	24.63	4.28	41.22	6.01	1.73	38.95	10.55	0.28	12.83	2.39
LOXL2	38.4	27.05	28.86	19.82	23.93	22.75	12.93	13.42	20.56	334.46	307.69	53.95	244.57	486.75	85.22	141.02	1037.29	435.55	66.65	148.09	70.51	400.71	83.45	974.5	142.01	262.2	1340.84	111.99	100.83	115.16	54.72
LRRC42	334.46	253.23	320.8	299.25	316.37	232.94	291.04	267.73	255.0	629.35	902.89	466.88	289.02	444.72	518.15	239.52	400.71	412.0	297.17	497.0	341.51	476.71	279.14	860.08	493.56	802.41	540.19	511.0	397.93	356.05	289.02
LZTS1	9.06	12.55	8.06	5.96	5.63	4.86	10.55	1.58	10.24	83.45	93.35	94.67	63.45	169.07	49.56	47.84	265.87	78.34	44.57	64.34	25.72	141.02	35.0	107.38	80.57	109.66	346.29	54.33	52.45	45.21	26.86
MID1	17.51	19.97	39.5	18.7	44.89	16.75	18.84	25.54	38.4	454.09	262.2	77.79	127.89	228.13	143.01	165.57	708.18	351.14	117.6	291.04	169.07	368.65	318.57	384.34	119.26	947.83	915.51	215.77	208.38	267.73	150.17
MRGPRF	14.45	47.5	70.51	80.01	163.28	96.01	166.73	215.77	31.9	253.23	536.45	185.11	173.85	371.22	409.15	267.73	1447.15	791.35	172.65	420.68	303.44	780.44	591.22	368.65	387.02	381.68	1225.22	271.48	414.87	109.66	109.66
NTRK1	0.0	3.08	4.17	1.55	3.56	2.78	5.73	0.0	3.82	6.06	26.67	5.02	10.79	29.27	28.86	62.56	107.38	65.26	12.09	18.43	32.13	67.59	32.13	43.32	20.86	18.97	103.69	10.39	16.51	23.93	7.11
NUMBL	36.01	58.3	57.08	55.49	62.12	55.1	59.97	108.14	172.65	503.95	595.34	178.77	483.38	457.25	287.01	373.81	1066.48	587.13	291.04	204.07	543.96	830.75	490.14	532.74	258.57	305.55	941.27	403.5	275.28	255.0	287.01
PIP5K1C	92.05	80.01	76.71	63.45	87.65	75.64	82.87	39.22	86.43	703.28	638.15	397.93	638.15	981.29	384.34	507.46	915.51	1051.79	417.77	327.56	470.14	872.1	356.05	624.99	395.18	387.02	1250.98	361.04	595.34	529.06	476.71
PRRX1	5.77	3.41	1.45	0.0	1.46	3.59	8.0	0.89	7.75	656.11	595.34	102.97	119.26	265.87	110.43	366.09	1286.18	384.34	74.06	264.03	138.1	733.19	403.5	791.35	381.68	417.77	1008.9	167.9	163.28	165.57	53.57
PRRX2	0.95	0.0	0.6	0.0	0.61	0.58	0.0	2.41	5.11	48.87	150.17	35.5	20.41	105.15	27.44	23.59	237.86	92.7	11.3	40.93	79.45	99.43	44.57	273.37	64.8	67.59	289.02	142.01	21.63	12.55	10.39
PTMA	11424.74	12329.98	9606.86	10084.54	13586.57	9540.5	7642.41	13033.07	10084.54	28132.47	29124.6	27363.16	13776.25	34635.37	21172.91	19754.96	33224.42	41188.81	20030.74	26800.01	21320.18	36106.23	35363.15	45386.27	24660.96	33224.42	42054.3	20593.91	29531.18	23330.64	20170.07
ROBO1	37.59	27.64	23.08	15.22	25.91	47.17	5.59	17.77	53.19	599.49	264.03	150.17	64.8	307.69	115.97	780.44	3190.46	819.3	231.32	397.93	98.04	532.74	432.53	669.92	688.78	239.52	1769.57	229.72	119.26	748.61	90.77
RUNX1	80.57	47.17	41.81	25.54	64.34	24.99	31.0	106.63	74.58	974.5	1268.46	303.44	490.14	703.28	368.65	493.56	1639.59	759.08	429.54	607.87	532.74	896.64	603.67	1216.75	775.05	1498.22	1457.23	454.09	384.34	486.75	540.19
SAMD4B	1529.73	1096.5	947.83	854.13	819.3	813.63	860.08	775.05	1135.2	2555.58	2075.59	1709.26	2451.44	3146.52	2240.11	1388.16	4268.94	5147.73	1023.0	1508.65	1519.15	4239.45	2682.69	5594.3	2047.0	1794.29	7230.1	1037.29	1529.73	1304.15	1709.26
SCGB1A1	27.44	0.0	0.0	0.0	0.0	0.0	0.0	2.78	14.67	1273174.62	3336720.86	1813064.98	2141216.62	3178687.03	2343119.96	3156730.23	32092.64	2691538.19	3178687.03	3091765.64	3968052.37	10585.95	3134925.09	2392353.91	2082664.91	2825352.59	1246973.04	2691538.19	1943195.01	3070409.25	1374046.07
SDC3	38.95	125.24	283.05	194.36	205.5	211.31	123.5	74.58	151.22	346.29	738.29	251.48	575.03	733.19	995.0	633.73	2417.67	1096.5	595.34	791.35	303.44	3280.18	242.88	802.41	1159.07	438.59	2193.99	480.04	551.56	928.3	185.11
SELM	423.61	379.04	447.82	275.28	403.5	371.22	320.8	198.47	301.33	5183.54	4972.34	4607.24	2935.74	10659.59	3742.05	2004.85	11267.44	6561.36	1819.35	3325.99	5555.65	4358.66	8421.31	4704.07	3847.29	2682.69	13306.94	5006.93	3419.52	2255.7	2400.97
SEPT8	147.06	121.79	134.3	115.16	124.37	137.14	119.26	114.36	147.06	819.3	669.92	400.71	483.38	688.78	420.68	575.03	1175.27	1059.11	603.67	381.68	420.68	830.75	629.35	1191.69	616.37	525.39	1037.29	450.94	444.72	607.87	325.29
SLIT3	12.55	33.06	9.63	8.0	18.29	14.14	17.0	8.58	14.67	1037.29	884.29	262.2	769.69	921.88	836.53	848.22	2133.97	2384.37	234.57	764.36	559.28	2609.3	733.19	1857.6	808.0	559.28	3146.52	312.0	351.14	1127.35	173.85
SNAPC1	33.06	48.18	81.71	69.52	52.08	85.22	34.75	43.63	48.52	403.5	217.27	138.1	142.01	223.41	130.6	128.79	131.51	146.03	61.68	181.28	138.1	120.1	223.41	536.45	217.27	133.36	348.71	94.67	87.03	101.54	100.13
SOX4	7.57	29.06	35.0	11.64	63.0	25.35	76.71	24.28	27.44	708.18	669.92	265.87	260.38	808.0	389.72	346.29	1628.26	802.41	244.57	518.15	376.41	1259.69	633.73	2796.65	540.19	954.43	1709.26	214.27	400.71	414.87	142.01
TSHZ3	2.01	10.47	11.91	10.08	14.89	10.96	8.51	14.56	14.89	195.72	112.77	51.35	90.14	141.02	74.58	119.26	493.56	264.03	45.53	84.04	75.11	185.11	180.02	142.01	57.49	43.02	351.14	72.01	52.45	37.05	29.7
