	TCGA.BH.A1FH.01A.12R.A13Q.07	TCGA.BH.A0B2.01A.11R.A10J.07	TCGA.BH.A0B2.01A.11R.A10J.07.1	TCGA.AC.A23G.01A.11R.A213.07	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.A7.A0DC.11A.41R.A089.07.1	TCGA.DD.A4NS.01A.11R.A311.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.QDVN.0826.SM.48TZ2	GTEX.ZVP2.0626.SM.51MSO	GTEX.Z9EW.0426.SM.5CVM9	GTEX.ZAB5.0426.SM.5CVMI	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.R53T.0326.SM.48FEC	TCGA.BR.8365.01A.21R.2343.13	TCGA.BR.8364.01A.11R.2343.13
ANGPT1	42.71	38.12	38.12	36.53	490.14	490.14	87.03	58.71	15.34	13.22	21.63	27.05	4.28	9.7	0.64	1.17	3.0	3.79	13.72	10.55	13.12	0.64	4.46	27.25	12.55	2.34	6.84	7.57	28.86	12.55	18.97	255.0	87.03
ASIC1	68.55	60.82	60.82	39.5	63.0	63.0	8.13	24.81	8.65	5.11	2.78	4.43	8.45	9.85	3.11	0.65	0.41	1.36	2.29	0.0	0.93	3.08	0.0	8.71	0.62	0.68	0.0	0.0	1.19	1.57	2.41	85.82	115.97
BCL2	759.08	629.35	629.35	277.2	679.29	679.29	76.17	118.43	37.59	64.34	13.32	34.26	7.82	18.97	3.17	8.25	9.2	30.78	59.97	13.83	52.08	12.55	17.38	66.18	11.04	9.2	7.88	9.41	20.11	23.59	11.04	303.44	226.54
BGN	15607.02	17317.18	17317.18	36864.92	3103.19	3103.19	22692.63	34396.12	10014.87	7280.4	2502.97	5219.6	2119.22	8078.22	934.76	1909.85	3103.19	4481.23	11345.82	1175.27	4268.94	836.53	4358.66	9876.98	7485.11	1477.58	2193.99	3124.78	7130.55	4095.0	2255.7	13215.02	18431.96
BHLHE41	2434.5	1119.56	1119.56	1583.71	759.08	759.08	183.82	327.56	91.41	30.34	51.35	77.25	1.36	12.0	0.37	21.32	6.26	23.25	99.43	29.27	14.56	4.62	8.92	39.22	35.0	21.78	1.38	16.51	6.62	18.16	2.46	1096.5	1127.35
C12orf68	32.13	13.72	13.72	52.45	28.24	28.24	16.88	38.4	19.39	8.32	16.63	10.55	4.03	3.63	4.35	16.63	4.74	11.55	6.06	9.13	12.36	3.41	8.51	11.21	1.62	2.56	3.23	2.71	7.17	5.87	2.29	34.75	44.57
C12orf75	1250.98	547.75	547.75	728.11	896.64	896.64	1001.93	896.64	220.32	90.77	18.97	718.08	52.08	40.93	34.26	45.21	91.41	226.54	234.57	81.71	47.84	56.28	38.95	603.67	34.02	2.27	11.64	19.82	154.42	173.85	122.64	3395.89	3060.45
C3orf70	46.84	15.56	15.56	38.67	43.94	43.94	21.32	20.26	5.45	5.32	4.21	13.12	2.97	4.21	2.1	3.29	3.38	5.5	3.2	1.55	3.11	0.42	4.82	12.27	2.68	2.14	1.93	1.69	5.15	8.38	1.81	305.55	217.27
CASKIN1	9.48	9.41	9.41	14.35	9.2	9.2	0.65	3.76	0.0	0.36	0.39	0.0	0.23	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.46	0.85	0.0	1.16	0.0	0.34	0.0	0.0	0.0	0.0	0.0	8.25	9.48
CD200	463.65	239.52	239.52	536.45	301.33	301.33	132.44	58.71	20.11	12.64	6.62	12.27	6.21	3.23	8.78	2.39	4.86	11.55	2.32	0.0	8.58	2.34	7.06	25.17	3.59	3.69	2.18	6.78	9.56	10.79	8.19	348.71	320.8
CDC42EP5	483.38	432.53	432.53	1135.2	248.0	248.0	460.44	486.75	232.94	133.36	109.66	255.0	34.26	68.55	43.02	54.72	40.36	195.72	87.65	70.51	59.13	55.49	63.0	332.14	57.89	23.42	24.63	72.01	116.78	59.13	39.22	836.53	1081.39
CLEC11A	836.53	1066.48	1066.48	2303.12	144.01	144.01	607.87	733.19	289.02	205.5	62.56	95.34	33.3	211.31	32.36	50.63	72.01	138.1	173.85	51.35	91.41	64.8	68.07	152.28	99.43	15.68	71.5	44.89	114.36	131.51	93.35	379.04	967.76
COL6A2	22380.2	15499.21	15499.21	34876.28	10014.87	10014.87	8718.32	7695.57	3589.58	1639.59	651.58	2178.83	612.11	1313.23	379.04	529.06	497.0	1191.69	1519.15	769.69	1167.14	303.44	547.75	2758.13	941.27	341.51	532.74	616.37	1277.29	860.08	486.75	16157.44	25005.23
CSPG4	111.99	150.17	150.17	587.13	392.44	392.44	132.44	54.72	8.38	10.63	14.67	52.08	11.38	7.4	3.56	15.68	4.82	22.26	6.46	7.82	15.34	4.82	4.1	43.32	6.62	3.69	2.48	4.58	15.22	8.45	3.29	1697.45	764.36
DCN	39785.74	20737.16	20737.16	48307.85	57847.82	57847.82	10733.74	74243.68	10154.69	7911.95	6887.62	10959.3	802.41	8538.88	420.68	638.15	674.59	4210.15	6516.03	1923.14	4736.79	435.55	3257.52	14065.74	5183.54	1151.06	1936.53	3190.46	6121.9	3690.52	3146.52	15934.98	33455.53
EFS	638.15	281.09	281.09	397.93	486.75	486.75	81.14	119.26	64.8	20.11	21.32	36.27	8.58	14.35	0.26	6.36	8.06	23.76	19.82	8.45	22.43	7.75	3.79	36.01	11.21	5.02	1.1	5.36	17.64	9.48	8.25	232.94	231.32
