	TCGA.BQ.7058.01A.11R.1965.07	TCGA.4A.A93X.01A.11R.A37K.07	TCGA.2Z.A9J7.01A.11R.A38C.07	TCGA.KV.A74V.01A.11R.A33Z.07	TCGA.GL.A59T.01A.21R.A28H.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.CC.A7II.01A.11R.A33J.07	TCGA.DD.A39Y.01A.11R.A213.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.O5YW.0526.SM.2YUMX	GTEX.QXCU.0626.SM.2TC69	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.U3ZM.0426.SM.3DB73	GTEX.U8XE.1426.SM.3DB8Q	GTEX.WFJO.0326.SM.3GIL3	GTEX.TML8.0326.SM.4GICN	GTEX.QDVJ.0926.SM.2I5FU	GTEX.XUJ4.1426.SM.4BONT	GTEX.117YX.1326.SM.5H125	GTEX.12WSN.0626.SM.5BC61	GTEX.11EMC.0126.SM.5EGKV	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.WHPG.1426.SM.3NMBB	GTEX.ZT9W.0726.SM.4YCDC	GTEX.13PL7.1726.SM.5J2NX	GTEX.ZDTT.0926.SM.5J2MS	GTEX.XGQ4.0826.SM.4AT4T	GTEX.ZY6K.0326.SM.5SIBB	GTEX.13FTX.0326.SM.5J2NG	GTEX.T8EM.0326.SM.3DB7F	GTEX.PLZ5.0726.SM.2I5F9	GTEX.PW2O.0526.SM.2I3DX	GTEX.RM2N.0426.SM.2TF4T	GTEX.QMRM.0826.SM.3NB33	GTEX.QEG5.1126.SM.33HC2	GTEX.OHPM.0526.SM.2YUMJ	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.AJ.A3BK.01A.11R.A19W.07	TCGA.QF.A5YS.01A.11R.A31O.07	TCGA.D1.A2G0.01A.11R.A32Y.07	TCGA.EY.A548.01A.11R.A27V.07	TCGA.A5.A2K7.01A.11R.A180.07	TCGA.AX.A3G3.01A.11R.A213.07	TCGA.BK.A13B.01A.51R.A22K.07	TCGA.5S.A9Q8.01A.11R.A40A.07	TCGA.SL.A6J9.01A.11R.A31O.07	TCGA.N9.A4Q7.01A.11R.A28V.07
ABCA1	104.42	78.34	85.82	110.43	120.1	38.12	124.37	101.54	406.31	102.25	343.89	713.11	327.56	144.01	647.07	193.01	182.55	205.5	181.28	187.71	175.07	108.9	400.71	403.5	395.18	312.0	182.55	217.27	186.4	237.86	429.54	312.0	473.41	476.71	327.56	373.81	256.78	376.41	253.23	332.14	392.44	283.05	50.27	44.89	29.27	59.13	93.35	63.45	136.19	35.25	45.21	121.79	38.95
ABCG1	441.64	165.57	426.57	170.25	323.03	194.36	51.35	134.3	915.51	1183.45	981.29	2997.45	457.25	1119.56	1208.34	974.5	1417.35	521.76	775.05	1883.54	698.41	3018.3	1757.34	703.28	1407.55	2417.67	1159.07	2701.35	563.18	1313.23	595.34	1015.93	896.64	500.46	836.53	591.22	1250.98	1617.0	1832.01	1001.93	1551.09	1242.34	202.66	447.82	181.28	70.51	748.61	88.88	293.07	325.29	312.0	551.56	211.31
ABHD17C	135.24	125.24	133.36	119.26	148.09	147.06	224.97	154.42	836.53	1594.73	507.46	1250.98	559.28	571.05	629.35	753.83	563.18	575.03	579.04	525.39	543.96	684.02	651.58	665.29	1594.73	409.15	379.04	571.05	941.27	1519.15	373.81	1143.1	414.87	595.34	480.04	796.86	406.31	403.5	825.0	603.67	934.76	1051.79	176.29	201.25	460.44	438.59	497.0	186.4	142.01	341.51	395.18	198.47	336.79
AC011484.1	2.01	0.71	0.0	1.22	3.06	0.0	1.27	0.79	14.14	25.17	37.85	36.79	25.91	24.11	33.78	10.16	36.27	3.38	1.79	38.12	15.45	23.42	24.46	22.43	9.78	5.23	25.91	2.48	31.22	2.36	22.59	33.3	30.56	0.0	32.59	11.55	13.32	26.28	33.54	23.93	1.73	13.12	5.54	1.71	6.31	1.11	0.85	3.0	12.74	2.76	0.0	0.0	0.0
AKIRIN2	397.93	738.29	429.54	497.0	521.76	854.13	723.08	447.82	1066.48	669.92	1073.91	1487.87	1457.23	961.07	1313.23	1331.57	1073.91	813.63	902.89	1369.04	1023.0	1015.93	713.11	1447.15	1733.13	1709.26	1135.2	1081.39	791.35	1340.84	1104.13	1304.15	1059.11	665.29	981.29	1199.98	1167.14	679.29	1477.58	954.43	1721.16	902.89	423.61	392.44	733.19	412.0	563.18	599.49	651.58	638.15	595.34	684.02	796.86
AMIGO2	13.62	34.02	16.39	12.27	63.89	260.38	90.14	66.18	392.44	612.11	490.14	796.86	595.34	1233.75	197.09	1044.52	1369.04	373.81	587.13	2537.92	759.08	256.78	684.02	830.75	1191.69	303.44	909.17	1733.13	660.68	540.19	866.07	1059.11	176.29	119.26	1923.14	325.29	785.88	392.44	1369.04	551.56	351.14	473.41	44.57	24.28	177.53	217.27	14.03	698.41	115.97	85.22	171.45	85.82	114.36
APC	70.51	90.14	44.25	41.52	42.71	31.22	35.76	41.22	262.2	113.56	429.54	104.42	140.04	253.23	198.47	148.09	176.29	205.5	64.8	248.0	187.71	190.34	171.45	327.56	420.68	70.51	228.13	167.9	215.77	173.85	151.22	356.05	169.07	204.07	180.02	182.55	473.41	244.57	205.5	332.14	124.37	255.0	46.84	25.35	47.17	41.22	45.85	44.89	29.48	54.72	55.49	28.04	20.41
ARC	2.48	9.7	14.14	28.86	2.73	11.73	2.58	1.27	220.32	36.01	332.14	143.01	172.65	698.41	48.87	125.24	84.63	43.63	78.34	10.0	69.03	70.51	38.12	98.04	109.66	119.26	120.1	44.89	39.22	84.63	84.63	157.68	100.83	25.72	102.25	40.36	63.45	1175.27	75.64	995.0	35.0	41.52	4.24	2.34	7.94	89.51	3.32	14.78	4.13	2.18	3.0	0.65	1.66
ARHGAP31	35.0	18.84	31.67	25.91	67.12	18.43	8.58	7.82	1617.0	1359.57	3349.13	435.55	647.07	1044.52	353.59	450.94	1628.26	738.29	466.88	967.76	921.88	651.58	703.28	2148.82	1001.93	723.08	511.0	316.37	1066.48	1407.55	802.41	1769.57	291.04	256.78	547.75	651.58	1794.29	1037.29	1208.34	3190.46	201.25	4328.55	64.34	18.03	10.0	8.38	15.56	14.24	20.41	25.54	18.56	14.35	27.64
ARHGDIB	1259.69	764.36	1199.98	1199.98	2739.08	872.1	1135.2	669.92	5995.9	11504.21	3874.05	1781.89	3325.99	10659.59	12589.08	7589.61	7130.55	14065.74	5791.62	9474.59	18950.18	9474.59	12329.98	8363.13	18431.96	4268.94	5255.91	3665.02	15607.02	10440.2	7130.55	10014.87	5219.6	12076.21	7695.57	7695.57	13399.51	8421.31	8778.97	6840.04	6887.62	5872.48	3190.46	2148.82	1023.0	1561.89	1583.71	1151.06	3060.45	1508.65	1286.18	2777.33	5517.27
