	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.D8.A1JI.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0BT.11A.21R.A12P.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.1269C.2426.SM.5FQSN	GTEX.Q2AG.0326.SM.48U1O	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	TCGA.38.4625.01A.01R.1206.07
ABHD13	52.45	153.34	94.01	122.64	373.81	163.28	94.67	77.25	127.0	140.04	149.12	92.7	332.14	224.97	208.38	289.02	217.27	201.25	186.4	204.07	156.59	232.94	267.73	0.0
ABI2	486.75	281.09	497.0	414.87	1066.48	738.29	463.65	490.14	595.34	775.05	536.45	368.65	1081.39	860.08	909.17	909.17	1104.13	941.27	928.3	825.0	872.1	329.84	896.64	314.17
ACSL4	44.89	104.42	71.5	287.01	624.99	236.21	122.64	20.86	48.18	454.09	116.78	52.08	698.41	500.46	379.04	358.54	660.68	273.37	387.02	444.72	329.84	341.51	791.35	0.0
AKAP7	40.07	107.38	85.82	56.68	251.48	172.65	63.45	34.51	58.3	125.24	71.0	120.94	341.51	177.53	152.28	193.01	305.55	273.37	269.6	154.42	223.41	140.04	295.11	0.0
ALPK2	7.0	1.0	1.17	4.1	21.32	0.68	0.33	0.83	0.64	2.01	1.53	0.31	5.06	1.73	3.35	4.58	25.91	19.53	0.88	5.15	9.85	0.0	12.36	0.0
APOBEC3H	13.12	13.22	5.45	6.41	47.84	16.88	4.58	1.45	8.78	8.32	4.43	24.28	11.3	13.22	10.71	13.93	37.59	33.78	37.59	29.48	24.11	7.22	25.54	0.0
ARHGAP18	94.67	127.0	180.02	155.5	348.71	271.48	221.86	55.49	273.37	204.07	191.67	172.65	412.0	277.2	187.71	291.04	444.72	361.04	253.23	283.05	295.11	237.86	759.08	0.0
BEND7	10.31	64.8	11.04	27.25	603.67	39.22	25.54	5.19	88.26	271.48	21.63	8.99	555.41	339.14	325.29	575.03	381.68	327.56	417.77	214.27	381.68	567.1	563.18	0.0
CASP1	162.14	780.44	167.9	466.88	1437.15	612.11	400.71	204.07	100.13	769.69	406.31	248.0	1250.98	890.44	902.89	1605.83	1697.45	1594.73	796.86	1378.57	909.17	343.89	2119.22	0.0
CCDC50	153.34	320.8	134.3	414.87	1096.5	514.56	441.64	162.14	466.88	587.13	291.04	208.38	1175.27	974.5	738.29	1037.29	1508.65	1304.15	1340.84	1208.34	1437.15	392.44	1561.89	0.0
CD47	1477.58	2997.45	1378.57	2796.65	3257.52	1199.98	753.83	1037.29	3124.78	2148.82	1639.59	941.27	3928.15	2956.17	2224.63	3212.66	4095.0	3515.68	2777.33	2701.35	2335.28	2224.63	2485.67	2591.27
CEP128	22.43	14.56	38.4	28.45	115.97	50.27	44.25	20.11	36.79	49.91	37.59	15.34	96.68	96.01	66.18	81.14	164.42	72.01	69.03	154.42	90.77	40.36	151.22	0.0
CEP78	105.89	128.79	62.56	108.14	281.09	217.27	155.5	52.08	78.34	197.09	183.82	75.11	397.93	190.34	206.94	373.81	283.05	273.37	260.38	237.86	325.29	122.64	279.14	205.5
CEP89	246.28	228.13	346.29	417.77	463.65	275.28	346.29	190.34	281.09	224.97	318.57	228.13	379.04	403.5	299.25	503.95	435.55	392.44	295.11	320.8	356.05	244.57	373.81	0.0
CHRNA7	3.63	2.05	1.81	6.62	54.72	7.75	1.64	0.59	1.95	38.12	2.2	0.35	18.84	21.47	22.1	39.22	28.86	24.11	13.93	27.25	22.75	6.94	31.0	0.0
CTTNBP2NL	50.98	116.78	104.42	251.48	395.18	279.14	195.72	71.0	83.45	209.84	211.31	49.56	435.55	348.71	289.02	232.94	293.07	303.44	201.25	423.61	329.84	166.73	547.75	0.0
CYP11A1	10.96	4.86	0.0	10.63	147.06	8.71	0.0	0.65	15.8	29.7	1.66	1.03	34.02	36.27	22.75	55.1	18.56	87.65	54.33	28.24	85.82	37.59	50.27	0.0
DCLRE1C	45.85	85.22	111.21	110.43	339.14	139.07	115.97	85.22	98.73	189.02	95.34	115.16	339.14	209.84	166.73	215.77	314.17	197.09	181.28	127.89	159.9	83.45	189.02	231.32
DZIP1	48.52	27.44	20.11	72.01	669.92	92.05	24.46	9.56	25.54	214.27	18.97	16.39	218.79	199.85	123.5	423.61	217.27	470.14	221.86	124.37	454.09	73.03	190.34	0.0
EML4	190.34	189.02	194.36	381.68	842.36	373.81	169.07	125.24	373.81	500.46	314.17	312.0	967.76	543.96	420.68	656.11	698.41	591.22	1268.46	974.5	642.59	218.79	698.41	0.0
EPDR1	73.03	52.82	20.56	56.28	264.03	90.77	8.06	2.84	72.01	127.89	83.45	27.44	409.15	348.71	170.25	309.83	295.11	251.48	220.32	305.55	285.03	169.07	376.41	0.0
EPS15	198.47	571.05	363.56	483.38	941.27	473.41	417.77	217.27	277.2	575.03	470.14	218.79	1001.93	769.69	563.18	872.1	866.07	665.29	954.43	769.69	759.08	1001.93	802.41	406.31
FAHD2A	392.44	371.22	392.44	206.94	954.43	271.48	368.65	209.84	438.59	603.67	332.14	264.03	503.95	587.13	624.99	733.19	470.14	409.15	718.08	808.0	764.36	748.61	575.03	0.0
FAM171A1	43.94	40.36	26.67	121.79	902.89	116.78	58.3	18.84	135.24	241.19	39.79	24.99	389.72	336.79	251.48	521.76	111.99	620.67	400.71	521.76	463.65	132.44	351.14	0.0
FANCC	80.57	90.77	43.02	80.57	172.65	109.66	121.79	52.08	46.5	115.97	126.12	42.11	161.02	114.36	111.21	125.24	172.65	134.3	49.91	156.59	120.1	97.36	80.57	0.0
FERMT1	2.07	7.82	0.3	22.26	157.68	18.56	1.89	0.28	120.94	62.12	3.92	0.0	155.5	81.71	105.89	295.11	256.78	107.38	137.14	417.77	75.11	35.5	178.77	327.56
FIGN	0.69	1.11	1.91	11.91	71.0	5.59	9.34	0.65	0.4	13.03	7.22	5.06	73.54	37.85	19.97	55.49	136.19	22.59	12.27	54.33	47.17	5.96	30.34	0.0
FMNL2	52.82	66.18	93.35	111.99	620.67	239.52	191.67	53.57	46.18	260.38	63.0	165.57	860.08	432.53	264.03	400.71	532.74	262.2	275.28	312.0	320.8	124.37	684.02	0.0
FRMD4A	153.34	176.29	88.26	183.82	1104.13	435.55	256.78	121.79	139.07	423.61	253.23	138.1	633.73	674.59	543.96	703.28	674.59	679.29	500.46	493.56	764.36	256.78	547.75	0.0
GALK2	201.25	438.59	483.38	447.82	796.86	397.93	343.89	559.28	476.71	521.76	400.71	316.37	583.07	406.31	486.75	563.18	607.87	532.74	392.44	638.15	624.99	384.34	669.92	0.0
GBP7	0.58	0.32	0.0	0.34	6.84	0.33	0.0	1.07	0.31	2.32	0.3	0.0	2.53	1.04	1.33	4.78	4.1	2.29	1.58	3.14	2.84	1.08	1.14	0.0
GPR183	60.82	96.68	128.79	157.68	420.68	299.25	190.34	21.01	10.96	40.64	47.17	73.54	438.59	293.07	119.26	283.05	656.11	460.44	532.74	493.56	409.15	202.66	532.74	0.0
GTF2H1	226.54	525.39	480.04	583.07	780.44	759.08	483.38	432.53	476.71	718.08	483.38	521.76	1096.5	743.43	698.41	1350.18	1104.13	947.83	954.43	796.86	842.36	567.1	1066.48	0.0
HACE1	17.25	66.65	65.26	90.77	215.77	149.12	140.04	41.81	131.51	159.9	87.03	88.26	366.09	226.54	183.82	426.57	293.07	223.41	155.5	279.14	285.03	108.9	253.23	0.0
HECA	155.5	208.38	251.48	242.88	389.72	318.57	389.72	129.69	299.25	289.02	312.0	183.82	819.3	518.15	381.68	529.06	607.87	346.29	389.72	525.39	551.56	307.69	684.02	171.45
IL15RA	131.51	122.64	142.01	134.3	928.3	147.06	97.36	209.84	175.07	231.32	70.01	123.5	297.17	307.69	194.36	186.4	624.99	147.06	214.27	223.41	171.45	189.02	540.19	0.0
IPCEF1	7.4	5.54	11.21	15.22	44.25	30.34	24.46	2.32	4.62	19.25	5.11	6.67	90.14	33.3	11.55	72.52	82.87	39.79	18.29	47.5	44.89	28.86	42.41	0.0
KATNBL1	202.66	426.57	426.57	348.71	543.96	507.46	466.88	242.88	287.01	420.68	432.53	409.15	941.27	555.41	575.03	819.3	866.07	514.56	785.88	718.08	748.61	356.05	830.75	0.0
KCNT2	0.37	1.79	1.28	11.13	21.47	3.92	3.03	0.35	2.05	1.48	1.97	1.35	18.16	12.93	6.84	23.25	23.93	18.03	4.17	34.26	14.03	6.01	17.77	0.0
KDELC1	70.01	52.45	23.76	92.7	309.83	80.57	36.53	18.29	56.68	77.79	36.27	28.24	150.17	98.04	96.01	85.82	56.68	197.09	82.29	122.64	140.04	64.8	162.14	0.0
